gene_id,gene_name,log2 fold change (MLE): group him5gtsf1 vs him5,Benjamini-Hochberg adjusted p-values,him5_adultmale_polya_rep1.robustRPKM,him5_adultmale_polya_rep2.robustRPKM,him5_adultmale_polya_rep3.robustRPKM,him5gtsf1_adultmale_polya_rep1.robustRPKM,him5gtsf1_adultmale_polya_rep2.robustRPKM,him5gtsf1_adultmale_polya_rep3.robustRPKM,Input,Suggested Match,History
WBGene00004906,snf-7,8.707146303943,1.6525019301592498e-195,16.5310343376809,19.3639746477087,17.1258372389359,141.53255915783,140.651778796816,140.785365979114,WBGene00004906,WBGene00004906,History: N.A.
WBGene00019084,F59A6.2,7.16591985504806,3.03215029861784e-163,192.447869413525,168.882205166042,176.587456585378,1800.33265927253,1555.08449716876,1429.92261527243,WBGene00019084,WBGene00019084,History: N.A.
WBGene00014201,ZK1053.6,6.14618323241321,4.48232956503414e-156,28.9623060090193,29.4035623901369,30.5380775388395,167.467282385217,162.173151381746,158.698529884357,WBGene00014201,WBGene00014201,"History: Split into ZK1053.7(WBGene00044786). History of WBGene00014201: Split into ""WBGene00044786"" on 2006-03-16"
WBGene00002212,kin-31,5.79168245331567,6.09576214717951e-148,69.6773441309921,68.2093724245376,64.7580155576349,403.263461852931,374.27044002573,355.777246774646,WBGene00002212,WBGene00002212,History: N.A.
WBGene00018783,cbs-2,5.47737854415729,4.37571116878596e-134,84.7621666600274,78.3737645190644,83.8584125022851,491.416119776439,424.20225198153,434.232266989781,WBGene00018783,WBGene00018783,History: N.A.
WBGene00012401,irld-57,5.39644002714101,5.20340517734097e-130,16.4348700876595,15.4194180911627,13.3927688447728,108.665695609368,101.182886052079,104.40772366464,WBGene00012401,WBGene00012401,History: N.A.
WBGene00017736,F23C8.7,5.02703128854417,8.35104494097034e-129,78.2799656397593,66.3345871532739,72.0951462167879,423.207298525556,405.412872550517,380.330833760794,WBGene00017736,WBGene00017736,History: N.A.
WBGene00007611,C15H7.4,5.00922843728607,2.15763503636152e-128,40.5857915972665,48.3063873373697,40.2574720805678,293.95661967232,265.18407052566,271.244857790489,WBGene00007611,WBGene00007611,History: N.A.
WBGene00014154,ZK930.4,4.91134251655366,1.42292103956691e-123,146.464190916986,134.102957883368,123.325547601828,702.779831365743,701.325794608068,671.743640627192,WBGene00014154,WBGene00014154,History: N.A.
WBGene00015192,B0432.11,4.84808030352023,1.81954974835993e-121,34.3355441536439,34.3080338497902,32.6468814920484,198.704223942664,181.669327162076,180.066617455537,WBGene00015192,WBGene00015192,History: N.A.
WBGene00011039,R05H5.4,4.80927883786894,2.5203618059142703e-117,96.0425606002789,94.2218387209833,85.639892507601,454.822006931599,431.387497785553,410.390181559139,WBGene00011039,WBGene00011039,History: N.A.
WBGene00009401,F35C11.2,4.80363534434822,1.56516543269605e-115,33.3337915788589,33.2504982724599,29.9487115768013,151.064863392548,147.908354808355,150.167490975081,WBGene00009401,WBGene00009401,History: N.A.
WBGene00015500,C06A5.2,4.74981768192794,1.56516543269605e-115,59.251629724577,61.9741449560715,62.3117465750942,408.206231680891,342.898867264746,335.384941711314,WBGene00015500,WBGene00015500,History: N.A.
WBGene00017179,wht-4,4.72675989622432,8.33230671318802e-115,68.334365798184,67.8046542003073,69.6676130299173,260.988854461577,261.903989187109,252.286500318046,WBGene00017179,WBGene00017179,History: N.A.
WBGene00020053,R13A5.11,4.40579897098482,1.91239462104524e-114,56.6164420460966,52.7005670017087,48.9718938764908,245.744924755439,272.46861593576,264.772901308581,WBGene00020053,WBGene00020053,History: N.A.
WBGene00011808,T16G12.7,4.35097331788018,1.5488780334318e-113,67.0077583453195,66.9613118009352,59.7738575144266,284.598029434995,299.9869923268,291.673609888611,WBGene00011808,WBGene00011808,History: N.A.
WBGene00014997,AC7.3,4.3203346475621,3.60564033381757e-113,37.0265187921096,47.1572464174739,37.3991679285709,257.310335145359,277.813883805906,280.008482641207,WBGene00014997,WBGene00014997,History: N.A.
WBGene00022102,Y69F12A.1,4.28396418102473,4.90859099945742e-113,42.2824590509591,42.872401003881,42.0439987453428,181.752494780883,175.57284084479,171.410832311212,WBGene00022102,WBGene00022102,History: N.A.
WBGene00022834,ZK973.8,4.26407380113547,2.8952761649383406e-111,62.3135331758191,61.6391506950064,58.0215216501691,284.55848064484,260.299063082091,256.864465758715,WBGene00022834,WBGene00022834,History: N.A.
WBGene00010876,M05D6.3,4.12422877904737,8.006057236081352e-110,27.939960528378,25.2673046233023,23.5518706699735,149.289305869314,134.162259768004,136.737080128566,WBGene00010876,WBGene00010876,History: N.A.
WBGene00011414,T04A8.13,4.09175324060717,1.60282871717319e-107,59.0707009193943,59.3223865512284,51.2024891801081,311.527276891956,285.362959435013,277.384914288935,WBGene00011414,WBGene00011414,"History: Split into T04A8.18(WBGene00119203). History of WBGene00011414: Split into ""WBGene00119203"" on 2008-08-26"
WBGene00001944,his-70,4.02925736393521,2.66044313383856e-107,239.775530308753,225.48187174249,215.850727821464,958.194566368111,949.680467248859,893.792649093749,WBGene00001944,WBGene00001944,History: N.A.
WBGene00007049,tag-191,4.00333333297676,2.3551473671451902e-106,77.9061497522161,77.5112797950711,73.4096634004499,307.880950026548,309.426235627367,290.430095942431,WBGene00007049,WBGene00007049,History: N.A.
WBGene00007597,C15A11.2,4.00255483557514,2.94695497170748e-106,90.1296215056946,88.8409744273796,88.7863701021055,456.426105560958,424.565197153869,383.33802551602,WBGene00007597,WBGene00007597,History: N.A.
WBGene00014048,ZK666.8,3.85437160486313,4.6199345858816906e-105,30.0916075663069,32.4079789329921,27.1110548331904,155.00626958291,143.619336124037,150.481366571045,WBGene00014048,WBGene00014048,History: N.A.
WBGene00013701,Y106G6D.4,3.83611456221588,3.3248673721658804e-104,20.2870749258489,24.9482357401029,19.970440379783,123.312340262978,122.182239596261,124.309827523634,WBGene00013701,WBGene00013701,History: N.A.
WBGene00020289,T06C10.3,3.81848235030057,1.40313685015677e-99,69.0042608691176,74.3959106287714,64.1507040052397,283.483816855084,296.081931616144,280.053968428932,WBGene00020289,WBGene00020289,History: N.A.
WBGene00010634,K07F5.6,3.64952316563269,1.84538609310378e-99,56.9658007906449,58.3970598911637,54.3949160931223,214.167009638003,225.434381229814,209.569740650828,WBGene00010634,WBGene00010634,History: N.A.
WBGene00013388,Y62F5A.10,3.6254401393446,1.6172270336609302e-98,52.5559615941334,51.5284029157058,50.5511684456861,221.946581763646,203.151118370895,197.86494073103,WBGene00013388,WBGene00013388,History: N.A.
WBGene00020985,W03D8.2,3.60141362524186,4.2251028720035705e-98,61.5640978592976,55.1847953443651,49.6876000644805,264.985305503665,267.923404288638,258.936651122394,WBGene00020985,WBGene00020985,History: N.A.
WBGene00002227,klp-17,3.56299944057089,4.0537394021236893e-97,73.5187696196903,82.6532407004561,70.3259250364187,311.611573690563,311.215911572183,315.08584465755,WBGene00002227,WBGene00002227,"History: Split into cisd-1(WBGene00044026). History of WBGene00002227: Split into ""WBGene00044026"" on 2004-12-14"
WBGene00021639,Y47G6A.13,3.56041119741528,1.54878147353027e-95,91.4530889721205,87.0590637655124,83.1635356319006,371.771495374887,344.057358925949,329.863801821279,WBGene00021639,WBGene00021639,History: N.A.
WBGene00007610,C15H7.3,3.55214944729351,7.93449568787567e-95,170.535022160373,161.669303219891,153.509952839386,583.199690243943,604.650271186261,572.019560137913,WBGene00007610,WBGene00007610,History: N.A.
WBGene00012345,W08E3.4,3.4326662104521,1.07545365107891e-94,80.1339803641365,80.7534905017314,75.7563915348183,283.593630458359,285.467917320965,292.431732119333,WBGene00012345,WBGene00012345,History: N.A.
WBGene00012627,Y38H6C.15,3.42558281517067,3.7704903232921696e-94,86.6930872243295,79.0056494673233,78.3953282598762,410.590354238941,362.906110975144,352.007814455792,WBGene00012627,WBGene00012627,History: N.A.
WBGene00000771,cpb-2,3.41373419629636,7.02396254520016e-94,88.3880432098861,90.4482636329404,78.8656456319426,333.219301496245,368.526794420241,357.836079897699,WBGene00000771,WBGene00000771,History: N.A.
WBGene00022530,ZC155.2,3.40877028182268,8.689587294198201e-94,20.9954471190339,22.8523606912577,20.4648043446432,159.558548628597,131.696083095676,126.904465387442,WBGene00022530,WBGene00022530,History: N.A.
WBGene00235383,ZK616.65,3.4071545276022,4.46137411469688e-92,53.3358090486257,54.2058735569705,54.8883169857663,216.803519547257,199.637178219249,193.029358819306,WBGene00235383,WBGene00235383,History: N.A.
WBGene00008001,C38C10.3,3.40182378843779,1.43483069828456e-91,92.6952689692884,99.3765479550251,86.8254021349902,348.925572680875,371.321716475188,365.136904564022,WBGene00008001,WBGene00008001,History: N.A.
WBGene00012544,Y37D8A.2,3.39598310663787,1.74864192010826e-91,111.374750461603,126.603773453873,118.777598179507,30.4170482322077,29.8366437781118,29.9963494807481,WBGene00012544,WBGene00012544,History: N.A.
WBGene00013978,ZK507.1,3.37066337432204,1.53570272990516e-90,55.742473054675,55.2737939839286,52.1994765749909,212.613719709822,202.443551033082,197.525797158679,WBGene00013978,WBGene00013978,History: N.A.
WBGene00007081,AH6.3,3.33149446890757,2.78866995633217e-88,122.873623181011,109.076387609475,110.940642045349,563.653905322579,484.58227507837,480.90475157461,WBGene00007081,WBGene00007081,History: N.A.
WBGene00008137,sfxn-1.4,3.31896458149214,2.86100738446542e-87,46.217109619163,54.1251966406944,48.6427466093805,195.644316160838,200.884771140334,197.223882199677,WBGene00008137,WBGene00008137,History: N.A.
WBGene00018999,F57B9.8,3.27270544073489,4.61569094800873e-87,70.1833923382694,66.3279897283591,64.1952960789404,242.6057220875,229.684264990826,230.690389866556,WBGene00018999,WBGene00018999,History: N.A.
WBGene00015004,B0034.4,3.20733672504262,5.73618382191125e-87,22.8567117631899,24.2150632609816,22.5775831280695,113.110727351674,103.395596416085,104.985669100656,WBGene00015004,WBGene00015004,History: N.A.
WBGene00011191,R10D12.10,3.20122294091254,8.82282822111739e-86,61.9204712000644,65.8840090194571,60.5022155767388,222.036745961382,224.277176169989,210.171245787884,WBGene00011191,WBGene00011191,History: N.A.
