# mRNA hermaphrodite-bias in gonads fold change >2, padj<0.01,,,,,,,,,,,,,
gene,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Female4,Female6,Female7,Male5,Male8,Male9,Input,Suggested Match,History
lin-15b,ZK662.4,32.74706633,-6.626997038,1.610203243,-4.115627682,3.86e-05,0.000166748,30.31243819,52.24447552,53.81456223,0.0,0.0,0.0,,,
nrde-3,R04A9.2,35.26312839,-5.035326078,0.999511221,-5.037788445,4.71e-07,2.63e-06,61.63529099,57.8420979,72.12260917,0.0,0.0,6.088397163,nrde-3,WBGene00019862,Public name for WBGene00019862. History: Renamed on 2011-10-14
alg-2,T07D3.7,11.45978448,-4.642270714,1.251617473,-3.709017183,0.000208065,0.000796728,15.1562191,26.7441958,36.06130459,1.946583289,0.0,0.0,alg-2,WBGene00000106,Public name for WBGene00000106. History: N.A.
zfp-3,W05H7.4,48.81656893,-4.261059384,0.721715836,-5.904068018,3.55e-09,2.5e-08,74.77068088,69.65930069,105.4099673,1.946583289,0.0,12.17679433,zfp-3,WBGene00021047,Public name for WBGene00021047. History: N.A.
sek-3,ZC449.3,56.60887865,-4.119225933,0.790414497,-5.211475683,1.87e-07,1.09e-06,37.38534044,92.0497902,55.47893013,1.946583289,0.0,9.132595745,sek-3,WBGene00022613,Public name for WBGene00022613. History: N.A.
ergo-1,R09A1.1,319.8817604,-4.046511921,0.322084083,-12.56352651,3.35e-36,1.56e-34,383.9575504,474.553986,494.8720568,27.25216604,28.72627319,24.35358865,ergo-1,WBGene00019971,Public name for WBGene00019971. History: N.A.
sid-3,B0302.1,26.38554852,-3.840812395,1.075616697,-3.570800272,0.000355892,0.001296614,31.3228528,17.41482517,33.28735808,1.946583289,0.0,3.044198582,sid-3,WBGene00002207,Public name for WBGene00002207. History: Renamed on 2012-11-07
ekl-5,Y26E6A.1,24.35901705,-3.783505041,0.819547064,-4.616580558,3.9e-06,1.94e-05,42.43741347,40.42727272,53.25977293,7.786333155,0.0,0.0,ekl-5,WBGene00012512,Public name for WBGene00012512. History: N.A.
lin-15a,ZK678.1,27.9871836,-3.580094446,0.898894646,-3.982774247,6.81e-05,0.000282453,31.3228528,23.01244755,46.04751201,0.0,0.0,9.132595745,,,
sid-5,F14B8.2,23.31202879,-3.572046632,0.9491452,-3.763435387,0.000167595,0.000652369,32.33326741,41.67118881,22.19157205,0.0,7.181568298,0.0,sid-5,WBGene00017445,Public name for WBGene00017445. History: N.A.
eri-7,C41D11.7,26.35986178,-2.99444716,0.831766126,-3.60010713,0.000318086,0.001172325,20.20829213,32.96377622,28.29425437,3.893166578,4.787712199,0.0,eri-7,WBGene00016566,Public name for WBGene00016566. History: N.A.
rde-8,ZC477.5,155.2155381,-2.870845081,0.312568942,-9.184677977,4.13e-20,7.69e-19,217.2391404,248.7832168,203.6076736,23.35899947,43.08940979,24.35358865,rde-8,WBGene00022620,Public name for WBGene00022620. History: N.A.
arl-8,Y57G11C.13,993.8365634,-2.806839218,0.240678986,-11.66216987,1.9900000000000003e-31,7.26e-30,1301.414013,1818.605314,1617.210813,272.5216604,220.2347611,176.5635177,arl-8,WBGene00000192,Public name for WBGene00000192. History: N.A.
alg-1,F48F7.1,27.88464579,-2.471593653,0.751835913,-3.287411005,0.001011131,0.003335024,13.13538988,37.31748251,30.51341157,7.786333155,0.0,6.088397163,alg-1,WBGene00000105,Public name for WBGene00000105. History: N.A.
eri-12,B0001.6,44.7894883,-2.445459153,0.674126082,-3.627599078,0.000286069,0.001067871,31.3228528,24.87832168,72.12260917,13.62608302,4.787712199,3.044198582,eri-12,WBGene00007091,Public name for WBGene00007091. History: N.A.
