WBGene,biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Input,Suggested Match,History
WBGene00011812,protein_coding,3629.38055577342,3.24071816887799,0.175804198687171,18.4336790194902,7.05201707497675e-76,7.27204000771603e-72,WBGene00011812,WBGene00011812,History: N.A.
WBGene00014027,protein_coding,2653.85555335197,3.35264710631017,0.186918876219379,17.9363752560512,6.13273814118749e-72,3.16203978559627e-68,WBGene00014027,WBGene00014027,History: N.A.
WBGene00018218,protein_coding,719.30631119216,4.17620627271527,0.242993250838274,17.1865113879018,3.35098978597275e-66,1.15184688909837e-62,WBGene00018218,WBGene00018218,History: N.A.
WBGene00014681,pseudogene,548.028318841017,8.89718693929068,0.547840542821681,16.2404682454958,2.609248905654591e-59,6.72664367877754e-56,WBGene00014681,WBGene00014681,History: N.A.
WBGene00011398,protein_coding,11166.936042076,3.70017408614948,0.237213960605304,15.5984667879903,7.45633881320292e-55,1.53779531683497e-51,WBGene00011398,WBGene00011398,History: N.A.
WBGene00019370,protein_coding,480.003625500456,-3.8583970389169,0.252141042191087,-15.3025346662634,7.35360525690735e-53,1.26383962348714e-49,WBGene00019370,WBGene00019370,History: N.A.
WBGene00007715,pseudogene,400.195102080778,8.75088208288096,0.572755831558049,15.2785560630194,1.06269336248118e-52,1.56549913627228e-49,WBGene00007715,WBGene00007715,History: N.A.
WBGene00001955,protein_coding,1079.37478791184,-3.75861975636,0.250087285930989,-15.0292316635288,4.7245385713797e-51,6.08993021850844e-48,WBGene00001955,WBGene00001955,History: N.A.
WBGene00003387,protein_coding,287.574588783232,-3.70344230592918,0.255121845276538,-14.5163668831058,9.54361272861595e-48,1.09348593841653e-44,WBGene00003387,WBGene00003387,History: N.A.
WBGene00020797,protein_coding,551.077200414069,-6.28376127670241,0.433858556793202,-14.483432856892,1.54199543537263e-47,1.5901056929562602e-44,WBGene00020797,WBGene00020797,History: N.A.
WBGene00013499,protein_coding,784.564047988826,-3.52385944124746,0.254790009648814,-13.8304458879864,1.66982236714909e-43,1.5653825681855799e-40,WBGene00013499,WBGene00013499,History: N.A.
WBGene00015115,protein_coding,428.568908416093,-3.22739898530826,0.244928397598578,-13.1769080962093,1.19175760096865e-39,1.02411703176573e-36,WBGene00015115,WBGene00015115,History: N.A.
WBGene00018658,pseudogene,2550.79797837105,2.9502302052879,0.240162628703861,12.2843017717205,1.099905492251e-34,8.72478879699411e-32,WBGene00018658,WBGene00018658,History: N.A.
WBGene00013672,protein_coding,838.176814132833,-3.55380357771494,0.294835035695075,-12.053532136494,1.8581329541045898e-33,1.3686476444804699e-30,WBGene00013672,WBGene00013672,History: N.A.
WBGene00007721,pseudogene,165.927355748787,5.29100411526828,0.439830242613703,12.0296505393225,2.48209120259154e-33,1.70635496540826e-30,WBGene00007721,WBGene00007721,History: N.A.
WBGene00012124,protein_coding,866.139017321471,-3.08990280713358,0.257000964807683,-12.0229229857008,2.6927442579973002e-33,1.7354736742792597e-30,WBGene00012124,WBGene00012124,History: N.A.
