# NeuroSTGs displaying >5 RPM levels across replicates of neuronal samples from N2 wild-type animals.
genes,A1_N2_small_amp_count,A2_N2_small_amp_count,Input,Suggested Match,History
F09A5.3,7882.23282318811,7040.33563710324,F09A5.3,WBGene00008600,Public name for WBGene00008600. History: N.A.
Y62F5A.9,1286.28280136232,743.396452673098,Y62F5A.9,WBGene00013387,Public name for WBGene00013387. History: N.A.
T07D1.2,1099.83879334227,1613.69751170265,T07D1.2,WBGene00020301,Sequence name for WBGene00020301(gid-2). History: N.A.
F37H8.2,567.347143452552,523.091553437789,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
Y52B11A.18,536.889689761445,433.559542561927,Y52B11A.18,WBGene00206497,Public name for WBGene00206497. History: N.A.
got-1.2,513.214260171598,438.738049114329,got-1.2,WBGene00020146,Public name for WBGene00020146. History: N.A.
Y73B6BL.269,503.678323253464,513.857589946759,Y73B6BL.269,WBGene00189951,Sequence name for WBGene00189951(linc-29). History: N.A.
C47G2.8,494.142386335331,476.360211175754,C47G2.8,WBGene00044161,Public name for WBGene00044161. History: Killed on 2007-10-17; Resurrected on 2010-05-27
F15D4.5,493.484735513391,407.167876638241,F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
Y39E4B.14,479.46855237079,405.108952346322,Y39E4B.14,WBGene00014884,Public name for WBGene00014884. History: N.A.
W09C5.12,466.562154990213,448.970278928713,W09C5.12,WBGene00194660,Public name for WBGene00194660. History: N.A.
bath-45,465.000234288105,462.509265939209,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
Y17D7C.3,438.15986011767,580.928608547144,Y17D7C.3,WBGene00045366,Public name for WBGene00045366. History: N.A.
F32A11.5,413.908986058625,366.051782445075,F32A11.5,WBGene00009310,Public name for WBGene00009310. History: N.A.
B0250.8,392.083199405484,392.755406594809,B0250.8,WBGene00007125,Public name for WBGene00007125. History: N.A.
C44B11.6,389.822524705064,409.663542446627,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
bath-20,385.506691186081,414.966832289448,bath-20,WBGene00015012,Public name for WBGene00015012. History: N.A.
K08B4.5,384.396905424057,354.446936436078,K08B4.5,WBGene00019517,Public name for WBGene00019517. History: N.A.
cars-2,380.820929079757,370.356805964541,cars-2,WBGene00000801,Public name for WBGene00000801. History: Renamed on 2010-01-29
fkb-8,379.793349670476,352.637578724998,fkb-8,WBGene00001433,Public name for WBGene00001433. History: N.A.
Y46H3C.6,367.955634875552,311.271917950994,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
F39E9.10,347.691768924519,453.27530244818,F39E9.10,WBGene00023036,Public name for WBGene00023036. History: N.A.
eri-6,342.882697289081,325.621996349215,eri-6,WBGene00016561,Public name for WBGene00016561. History: N.A.
Y105E8A.28,320.810291577713,336.602925906115,Y105E8A.28,WBGene00013685,Public name for WBGene00013685. History: N.A.
Y37H9A.2,320.07043440303,280.637620153051,Y37H9A.2,WBGene00012577,Public name for WBGene00012577. History: N.A.
T26E3.7,319.330577228347,309.212993659075,T26E3.7,WBGene00012040,Public name for WBGene00012040. History: N.A.
W03H9.2,306.629695729627,258.925327620089,W03H9.2,WBGene00012228,Public name for WBGene00012228. History: N.A.
K02E2.6,302.889306679842,300.478163329722,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
T12G3.1,292.038068117828,300.602946620142,T12G3.1,WBGene00011737,Sequence name for WBGene00011737(sqst-1). History: N.A.
Y54G11A.14,287.187893306019,264.041442527281,Y54G11A.14,WBGene00013221,Public name for WBGene00013221. History: N.A.
F37D6.3,264.951074889165,245.448732254802,F37D6.3,WBGene00009509,Public name for WBGene00009509. History: N.A.
saeg-2,263.430257363429,241.518058606594,saeg-2,WBGene00011964,Public name for WBGene00011964. History: N.A.
zip-2,252.08578068496,245.074382383544,zip-2,WBGene00019327,Public name for WBGene00019327. History: N.A.
fbxb-14,248.016566224205,237.712168248804,fbxb-14,WBGene00021098,Public name for WBGene00021098. History: N.A.
C01G6.10,246.372439169354,251.875071711397,C01G6.10,WBGene00014663,Public name for WBGene00014663. History: N.A.
F58D2.4,246.290232816612,220.866424042196,F58D2.4,WBGene00185077,Public name for WBGene00185077. History: N.A.
his-24,232.849494143208,185.927102724787,his-24,WBGene00001898,Public name for WBGene00001898. History: Renamed on 2010-11-12
rac-3,226.231882747435,199.341306444864,rac-3,WBGene00044670,Public name for WBGene00044670. History: N.A.
rnh-1.3,223.108041343219,206.266779063136,rnh-1.3,WBGene00007303,Public name for WBGene00007303. History: N.A.
C06C3.5,218.58669194238,191.729525729285,C06C3.5,WBGene00007376,Public name for WBGene00007376. History: N.A.
K08E7.10,215.216231479936,204.519812997265,K08E7.10,WBGene00044907,Public name for WBGene00044907. History: N.A.
F59H6.14,207.242215263911,192.66540040743,F59H6.14,WBGene00206415,Public name for WBGene00206415. History: N.A.
hmg-11,203.789548448725,166.336126128953,hmg-11,WBGene00001976,Public name for WBGene00001976. History: N.A.
F49F1.8,199.925849869826,180.249463010708,F49F1.8,WBGene00018648,Public name for WBGene00018648. History: N.A.
M117.3,195.897738585442,182.807520464304,M117.3,WBGene00010919,Public name for WBGene00010919. History: N.A.
F39E9.7,195.034571881646,247.944398063189,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
Y77E11A.3,181.429420502758,161.344794512181,Y77E11A.3,WBGene00022308,Public name for WBGene00022308. History: N.A.
T09F5.12,179.620880742422,168.519833711292,T09F5.12,WBGene00014836,Public name for WBGene00014836. History: N.A.
C04G2.10,168.440816769438,178.689671880466,C04G2.10,WBGene00007309,Public name for WBGene00007309. History: N.A.
K08F11.1,161.371070433581,153.670622151392,K08F11.1,WBGene00019541,Public name for WBGene00019541. History: N.A.
Y76B12C.8,161.042245022611,132.457462780108,Y76B12C.8,WBGene00022302,Public name for WBGene00022302. History: N.A.
Y48G1BM.8,160.220181495186,142.876867530121,Y48G1BM.8,WBGene00021673,Public name for WBGene00021673. History: N.A.
M02F4.1,159.028189380419,134.516387072027,M02F4.1,WBGene00019735,Public name for WBGene00019735. History: N.A.
Y46G5A.6,159.028189380419,155.542371507682,Y46G5A.6,WBGene00012898,"Public name for WBGene00012898. History: Split into Y46G5A.42(WBGene00077635), Y46G5A.43(WBGene00077636). History of WBGene00012898: Renamed on 2005-03-17; Split into ""WBGene00077636"" on 2008-02-22"
F02C12.3,154.753459037808,133.767687329511,F02C12.3,WBGene00008517,Public name for WBGene00008517. History: N.A.
faah-5,154.424633626837,134.828345298075,faah-5,WBGene00013226,"Public name for WBGene00013226. History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
F58H7.5,153.931395510382,129.275488874415,F58H7.5,WBGene00019070,Public name for WBGene00019070. History: N.A.
W04A8.9,152.903816101101,146.495582952282,W04A8.9,WBGene00195155,Public name for WBGene00195155. History: N.A.
C18H2.1,150.684244577052,132.831812651366,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
F46F2.4,148.916807993088,120.915008416321,F46F2.4,WBGene00009788,Public name for WBGene00009788. History: N.A.
F10E7.2,148.300260347519,139.570110334009,F10E7.2,WBGene00017344,Public name for WBGene00017344. History: N.A.
fbxc-43,145.916276117986,126.53025648519,fbxc-43,WBGene00045297,Public name for WBGene00045297. History: N.A.
W04B5.2,140.613966366093,136.575311363946,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
fbxb-97,140.161831426009,135.514653395381,fbxb-97,WBGene00016885,Public name for WBGene00016885. History: N.A.
Y57G11C.51,135.065037555972,100.388157142343,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
Y53F4B.5,134.530696263146,123.161107643869,Y53F4B.5,WBGene00013152,Public name for WBGene00013152. History: N.A.
ZC15.4,134.407386734032,125.656773452255,ZC15.4,WBGene00014977,Public name for WBGene00014977. History: N.A.
rab-3,133.873045441206,153.046705699296,rab-3,WBGene00004267,Public name for WBGene00004267. History: N.A.
C36A4.5,133.626426382978,112.679311248646,C36A4.5,WBGene00007966,Sequence name for WBGene00007966(maph-1.3). History: N.A.
Y57G11C.499,132.72215650281,129.462663810044,Y57G11C.499,WBGene00077762,Public name for WBGene00077762. History: N.A.
Y48G1BM.6,132.06450568087,134.204428845979,Y48G1BM.6,WBGene00021671,"Public name for WBGene00021671. History: Split into Y48G1BM.10(WBGene00306121). History of WBGene00021671: Split into ""WBGene00306121"" on 2020-11-10"
Y46G5A.43,126.84440228172,110.308428730679,Y46G5A.43,WBGene00077636,Public name for WBGene00077636. History: N.A.
imb-2,125.487997461468,109.622120633373,imb-2,WBGene00002076,Public name for WBGene00002076. History: N.A.
F13D12.5,124.5837275813,125.344815226207,F13D12.5,WBGene00008740,Public name for WBGene00008740. History: N.A.
F41G4.7,124.131592641216,114.363885669307,F41G4.7,WBGene00018310,"Public name for WBGene00018310. History: Split into F41G4.13(WBGene00304806). History of WBGene00018310: Split into ""WBGene00304806"" on 2019-05-20"
K09H11.11,123.556148172018,117.42107628458,K09H11.11,WBGene00044541,Public name for WBGene00044541. History: N.A.
F43E2.1,120.432306767802,114.363885669307,F43E2.1,WBGene00018390,Public name for WBGene00018390. History: N.A.
Y59H11AR.6,118.212735243754,113.428010991162,Y59H11AR.6,WBGene00077437,Public name for WBGene00077437. History: N.A.
Y71A12B.10,118.007219361898,115.486935283081,Y71A12B.10,WBGene00013507,Public name for WBGene00013507. History: N.A.
T05H4.10,117.308465363586,104.318830790551,T05H4.10,WBGene00020273,Public name for WBGene00020273. History: N.A.
ZK892.6,115.541028779622,96.0831336228763,ZK892.6,WBGene00014130,Public name for WBGene00014130. History: N.A.
F23D12.9,115.294409721394,92.3396349102967,F23D12.9,WBGene00044217,Public name for WBGene00044217. History: N.A.
gadr-5,109.416655500304,103.320564467197,gadr-5,WBGene00045058,Public name for WBGene00045058. History: N.A.
cdh-12,109.211139618447,113.178444410323,cdh-12,WBGene00022103,Public name for WBGene00022103. History: N.A.
snrp-200,108.30686973828,123.473065869917,snrp-200,WBGene00012896,Public name for WBGene00012896. History: Renamed on 2005-03-17
cls-2,107.936941150938,103.570131048036,cls-2,WBGene00000549,Public name for WBGene00000549. History: N.A.
Y67D8C.6,107.608115739968,99.2027158833593,Y67D8C.6,WBGene00022070,Public name for WBGene00022070. History: N.A.
C41A3.1,107.402599858112,123.473065869917,C41A3.1,WBGene00016558,Sequence name for WBGene00016558(pks-1). History: N.A.
ZK262.8,106.169504566974,83.2304547096864,ZK262.8,WBGene00013953,Public name for WBGene00013953. History: N.A.
fbxa-218,105.347441039549,97.0813999462309,fbxa-218,WBGene00013036,Public name for WBGene00013036. History: N.A.
Y37E11B.2,105.306337863177,92.0276766842484,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
rpi-2,103.744417161069,97.3933581722792,rpi-2,WBGene00019536,Public name for WBGene00019536. History: N.A.
lrg-1,102.757940928159,96.0831336228763,lrg-1,WBGene00003067,Public name for WBGene00003067. History: N.A.
Y71A12B.18,101.031607520566,88.3465696168785,Y71A12B.18,WBGene00045077,Public name for WBGene00045077. History: N.A.
pll-1,100.49726622774,88.4089612620881,pll-1,WBGene00004045,Public name for WBGene00004045. History: N.A.
F33E2.5,98.688726467404,71.4384337650606,F33E2.5,WBGene00009361,Public name for WBGene00009361. History: N.A.
B0391.10,98.1954883509488,86.3500369701694,B0391.10,WBGene00007165,Public name for WBGene00007165. History: N.A.
pvf-1,97.8666629399787,89.2200526498137,pvf-1,WBGene00004249,Public name for WBGene00004249. History: N.A.
F30F8.10,97.4145279998948,51.2859323623405,F30F8.10,WBGene00009277,Public name for WBGene00009277. History: N.A.
Y37H2A.16,97.3734248235235,94.2737759117962,Y37H2A.16,WBGene00050935,Public name for WBGene00050935. History: N.A.
F22H10.4,97.291218470781,97.8300996887468,F22H10.4,WBGene00017729,"Public name for Dead gene WBGene00017728. History of WBGene00017728: Merged into ""WBGene00017729"" on 2014-12-15"
fbxa-192,96.9212898834396,93.9618176857479,fbxa-192,WBGene00010212,Public name for WBGene00010212. History: N.A.
set-9,96.7979803543258,94.5857341378445,set-9,WBGene00017482,Public name for WBGene00017482. History: N.A.
T11F9.10,96.4691549433557,82.3569716767511,T11F9.10,WBGene00011712,Public name for WBGene00011712. History: N.A.
Y54G2A.21,96.2636390614994,80.547613965671,Y54G2A.21,WBGene00021886,Public name for WBGene00021886. History: N.A.
zig-5,96.0581231796431,82.6065382575898,zig-5,WBGene00006982,Public name for WBGene00006982. History: N.A.
frm-1,94.3728929484213,88.0970030360399,frm-1,WBGene00001488,Public name for WBGene00001488. History: N.A.
