...1,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
W04B5.2,752.2262631,4.645643616,3.6599999999999997e-93,5.4799999999999994e-89,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
Y110A2AL.1,535.4516156,4.71673344,4.96e-92,3.71e-88,Y110A2AL.1,WBGene00022438,Public name for WBGene00022438. History: N.A.
saeg-2,2368.147869,2.444616551,2.0499999999999998e-42,1.02e-38,saeg-2,WBGene00011964,Public name for WBGene00011964. History: N.A.
F43E2.6,855.0258902,3.01012546,1.6599999999999999e-40,4.95e-37,F43E2.6,WBGene00018394,Public name for WBGene00018394. History: N.A.
Y39A1A.9,244.0759178,-3.191529621,1.42e-40,4.95e-37,Y39A1A.9,WBGene00012648,Public name for WBGene00012648. History: N.A.
F58F9.1,117.8278009,3.745659621,9.679999999999999e-40,2.41e-36,F58F9.1,WBGene00019055,Public name for WBGene00019055. History: N.A.
Y105C5A.1271,151.7498491,2.600719951,4.16e-22,8.88e-19,Y105C5A.1271,WBGene00194667,Public name for WBGene00194667. History: N.A.
K02E2.6,989.4670387,2.836737526,5.56e-22,1.04e-18,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
ZK228.1,114.2537238,2.506525233,1.05e-20,1.74e-17,ZK228.1,WBGene00013944,Public name for WBGene00013944. History: N.A.
C44B11.6,1466.903959,2.740050403,2.89e-20,4.32e-17,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
B0001.6,88.23079167,2.432287227,6.71e-17,9.13e-14,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
Y41C4A.17,48.65243628,2.472079942,7.92e-17,9.87e-14,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
rab-3,1160.627119,1.528470245,7.26e-14,8.36e-11,rab-3,WBGene00004267,Public name for WBGene00004267. History: N.A.
ndx-1,101.8584676,-2.011987967,1.27e-13,1.36e-10,ndx-1,WBGene00003578,Public name for WBGene00003578. History: N.A.
Y102A5C.36,287.5995282,1.759853361,2.58e-13,2.57e-10,Y102A5C.36,WBGene00044213,Public name for WBGene00044213. History: N.A.
F39E9.7,537.261946,2.132495202,7.25e-13,6.77e-10,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
pyk-1,371.3170957,1.399212774,8.73e-12,7.68e-09,pyk-1,WBGene00009126,Public name for WBGene00009126. History: N.A.
H16D19.7,61.30294877,1.972830452,1.69e-11,1.36e-08,H16D19.7,WBGene00195255,Public name for WBGene00195255. History: N.A.
Y46D2A.1,32.71236211,1.990630436,1.72e-11,1.36e-08,Y46D2A.1,WBGene00021589,Public name for WBGene00021589. History: N.A.
F39E9.10,1994.315592,1.832956448,6.81e-10,5.09e-07,F39E9.10,WBGene00023036,Public name for WBGene00023036. History: N.A.
fbxa-216,80.87220652,1.697999032,1.02e-09,7.28e-07,fbxa-216,WBGene00012953,Public name for WBGene00012953. History: N.A.
C36A4.14,455.8783191,1.31607503,1.36e-09,9.22e-07,C36A4.14,WBGene00194650,Public name for WBGene00194650. History: N.A.
lin-31,145.0977297,-1.537578169,1.54e-09,1e-06,lin-31,WBGene00003017,Public name for WBGene00003017. History: N.A.
Y59H11AR.6,248.4008199,1.405350536,1.62e-09,1.01e-06,Y59H11AR.6,WBGene00077437,Public name for WBGene00077437. History: N.A.
B0261.8,611.8355916,1.317022689,8.76e-09,5.24e-06,B0261.8,WBGene00015096,Public name for WBGene00015096. History: N.A.
Y38F1A.8,113.3511202,-1.4921456,1.28e-08,7.34e-06,Y38F1A.8,WBGene00012610,Public name for WBGene00012610. History: N.A.
ZK228.4,34.50803884,1.655467996,2.56e-08,1.42e-05,ZK228.4,WBGene00013947,Public name for WBGene00013947. History: N.A.
C08F11.7,521.5647106,1.127472782,4.12e-08,2.2e-05,C08F11.7,WBGene00007454,Public name for WBGene00007454. History: N.A.
Y17D7B.10,22.91103101,1.538124275,1.2e-07,6.18e-05,Y17D7B.10,WBGene00194982,Public name for WBGene00194982. History: N.A.
