...1,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
Y47H10A.5,2134.33107685023,7.45673057579173,0.0,0.0,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
rde-4,14610.540186786,5.95187455966195,0.0,0.0,rde-4,WBGene00004326,Public name for WBGene00004326. History: N.A.
F56D6.16,1106.49912510337,6.97806024739463,7.96263096439604e-227,4.99256961467632e-223,F56D6.16,WBGene00219304,Public name for WBGene00219304. History: N.A.
Y17D7B.4,1671.68080178354,6.37440684203961,3.76662385290182e-192,1.77125486682708e-188,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
gpd-2,367.30961991715,4.88396310700637,1.6473589391427402e-112,6.19736432905497e-109,gpd-2,WBGene00001684,Public name for WBGene00001684. History: N.A.
C44B11.6,1055.03735557722,4.44660357502219,1.7780025001770801e-97,5.57403783805514e-94,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
C55C3.3,1221.88403286703,3.03200736733627,1.68431746677849e-94,4.5260016500147803e-91,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
F56D6.17,310.197357397496,4.89757175621891,1.3864395398699501e-88,3.25986596811923e-85,F56D6.17,WBGene00219307,Public name for WBGene00219307. History: N.A.
Y37E11B.2,613.31042244975,3.92540939221702,2.51503755836756e-86,5.25642849698819e-83,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
K02E2.6,1299.81987153576,3.85223604894124,1.20128137738336e-76,2.2596102708581e-73,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
W04B5.2,1546.81872010666,3.97635556436113,2.05861641601666e-76,3.52023407138849e-73,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
W04B5.1,140.883620014316,3.64522051862657,4.80361672291645e-59,7.5296692131715275e-56,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
F39E9.10,2674.05029324363,2.18442146786146,7.00073862578998e-53,1.01295302731623e-49,F39E9.10,WBGene00023036,Public name for WBGene00023036. History: N.A.
C06B8.7,1018.55992500949,-2.07814902093902,9.26353723713015e-53,1.2446223959315599e-49,C06B8.7,WBGene00007372,Public name for WBGene00007372. History: N.A.
T08B6.2,124.005603177979,3.5370003479029,5.68010379359801e-50,7.122850157171911e-47,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
