# Neuronal-RDE-4-Dependent STGs from Germline samples.  Shown are DESeq2 fold-change Values  (Psng-1::rde-4 vs rde-4(-)) for STGs that changed in the P0 generation and the F3 generation.
genes,P0 Psng-1::rde-4 vs rde-4(-),F3 of Psng-1::rde-4 vs rde-4(-),Input,Suggested Match,History
F29D10.3,-2.57465112250488,-1.174244715,F29D10.3,WBGene00009252,Public name for WBGene00009252. History: N.A.
aex-5,-2.56595857100679,-1.372086454,aex-5,WBGene00000088,Public name for WBGene00000088. History: N.A.
srh-71,-2.04985774489567,-1.268362723,srh-71,WBGene00005292,Public name for WBGene00005292. History: N.A.
T28F2.2,-1.77959518018452,-1.736527297,T28F2.2,WBGene00020901,Public name for WBGene00020901. History: N.A.
W04A8.5,-0.767582507366945,-0.916126378,W04A8.5,WBGene00012240,Public name for WBGene00012240. History: N.A.
Y87G2A.2,-0.721118155534294,-1.160886202,Y87G2A.2,WBGene00013594,Public name for WBGene00013594. History: N.A.
Y40H7A.4,-0.570650121220912,-0.775842273,Y40H7A.4,WBGene00012744,Public name for WBGene00012744. History: N.A.
elks-1,-0.523346097588678,1.172895438,elks-1,WBGene00018330,Public name for WBGene00018330. History: N.A.
K06A9.1,0.548521521589507,0.975443373,K06A9.1,WBGene00019435,Public name for WBGene00019435. History: N.A.
W10G11.19,0.627109516293343,0.958438522,W10G11.19,WBGene00021148,Public name for WBGene00021148. History: N.A.
ZK1010.10,0.639141105067133,1.008776585,ZK1010.10,WBGene00164985,Public name for WBGene00164985. History: N.A.
his-62,0.653519767944005,0.904886661,his-62,WBGene00001936,Public name for WBGene00001936. History: N.A.
frpr-19,0.687588494681172,1.118586082,frpr-19,WBGene00021510,Public name for WBGene00021510. History: N.A.
nex-1,0.802354269959526,0.898600865,nex-1,WBGene00003588,Public name for WBGene00003588. History: N.A.
ZK355.2,0.805348207829156,1.044015278,ZK355.2,WBGene00022712,Public name for WBGene00022712. History: N.A.
lron-13,0.807214118569749,1.144016386,lron-13,WBGene00013574,Public name for WBGene00013574. History: N.A.
his-61,0.812575716994498,1.301514195,his-61,WBGene00001935,Public name for WBGene00001935. History: N.A.
Y48G9A.7,0.828068745028604,1.124873349,Y48G9A.7,WBGene00021701,Public name for WBGene00021701. History: N.A.
ZC239.21,0.898156854092252,1.150676492,ZC239.21,WBGene00044372,Public name for WBGene00044372. History: N.A.
F33E11.3,0.92282515328595,0.882299013,F33E11.3,WBGene00018011,Public name for WBGene00018011. History: N.A.
his-66,0.9755239006682,1.326615081,his-66,WBGene00001940,Public name for WBGene00001940. History: N.A.
Y18H1A.14,0.993662248453042,1.051678009,Y18H1A.14,WBGene00044461,Public name for WBGene00044461. History: N.A.
ZC317.6,1.00556188874602,0.992166667,ZC317.6,WBGene00022589,Public name for WBGene00022589. History: N.A.
djr-1.1,1.01543921535988,0.971214924,djr-1.1,WBGene00015184,Public name for WBGene00015184. History: N.A.
C06A5.12,1.05190018562069,1.268686244,C06A5.12,WBGene00044414,Public name for WBGene00044414. History: N.A.
his-15,1.13568820448839,1.261081317,his-15,WBGene00001889,Public name for WBGene00001889. History: N.A.
his-44,1.13615406901695,1.576963707,his-44,WBGene00001918,Public name for WBGene00001918. History: N.A.
his-11,1.1536104092932,1.238291644,his-11,WBGene00001885,Public name for WBGene00001885. History: N.A.
Y23B4A.2,1.21040530634631,1.120921554,Y23B4A.2,WBGene00021268,Sequence name for WBGene00021268(capa-1). History: Renamed on 2015-04-14
Y102A5C.5,1.25213745891731,1.205282963,Y102A5C.5,WBGene00014954,Public name for WBGene00014954. History: N.A.
Y41C4A.12,1.31559684875873,1.2796627,Y41C4A.12,WBGene00012758,Public name for WBGene00012758. History: N.A.
dgk-2,1.35448886119382,1.254385017,dgk-2,WBGene00000959,Public name for WBGene00000959. History: N.A.
his-63,1.45872337342541,1.48927167,his-63,WBGene00001937,Public name for WBGene00001937. History: N.A.
fgt-1,1.65195224870378,1.268161134,fgt-1,WBGene00019207,Public name for WBGene00019207. History: N.A.
his-45,1.91575367308759,1.586449002,his-45,WBGene00001919,Public name for WBGene00001919. History: N.A.
saeg-2,2.33154189334731,1.206762068,saeg-2,WBGene00011964,Public name for WBGene00011964. History: N.A.
