# Neuronal-RDE-4-Dependent STGs from whole worms samples. Values shown are DESeq2 fold-change values (Psng-1::rde-4 vs rde-4(-)) for STGs that changed in he P0 generation. NaN in ""F3"" stand for -> Not differentially expressed in F3 (padjusted > 0.1).
genes,P0 Psng-1::rde-4 vs rde-4(-),"[rde-4(-), F3 of Psng-1::rde-4(+/-)] vs rde-4(-)",Input,Suggested Match,History
T28F2.1,-4.712445391,-1.1235999360597,T28F2.1,WBGene00020900,Public name for WBGene00020900. History: N.A.
T23F6.3,-4.599425322,,T23F6.3,WBGene00011951,Public name for WBGene00011951. History: N.A.
mltn-3,-4.237947827,,mltn-3,WBGene00012199,Public name for WBGene00012199. History: N.A.
cah-6,-4.219006815,,cah-6,WBGene00000284,Public name for WBGene00000284. History: N.A.
pde-4,-3.917244967,,pde-4,WBGene00020114,Public name for WBGene00020114. History: N.A.
Y32H12A.1,-3.062481939,-1.21909203132774,Y32H12A.1,WBGene00021310,Public name for WBGene00021310. History: N.A.
nas-7,-3.053452114,,nas-7,WBGene00003526,Public name for WBGene00003526. History: N.A.
col-51,-3.0063397,-1.21047343206648,col-51,WBGene00000628,Public name for WBGene00000628. History: N.A.
npr-20,-2.980130047,,npr-20,WBGene00011578,Public name for WBGene00011578. History: N.A.
Y41D4A.7,-2.676086776,-0.7318297416520378,Y41D4A.7,WBGene00021509,Public name for WBGene00021509. History: N.A.
T23F6.2,-2.386183829,,T23F6.2,WBGene00011950,Public name for WBGene00011950. History: N.A.
F35E12.2,-2.241050054,,F35E12.2,WBGene00009426,Public name for WBGene00009426. History: N.A.
W03A5.1,-2.177737357,,W03A5.1,WBGene00020966,Public name for WBGene00020966. History: N.A.
cpz-1,-2.1521045,,cpz-1,WBGene00000788,Public name for WBGene00000788. History: N.A.
Y119C1B.9,-2.061906009,-0.9749681260545408,Y119C1B.9,WBGene00022474,Sequence name for WBGene00022474(zig-9). History: N.A.
T04A8.5,-2.038342055,-1.11004509155174,T04A8.5,WBGene00011407,Sequence name for WBGene00011407(ppat-1). History: N.A.
M03A1.8,-1.95380572,-0.7263950021160769,M03A1.8,WBGene00077490,Public name for WBGene00077490. History: N.A.
mltn-5,-1.944846594,,mltn-5,WBGene00044074,Public name for WBGene00044074. History: N.A.
col-50,-1.93859185,-1.00103934075824,col-50,WBGene00000627,Public name for WBGene00000627. History: N.A.
C07G1.7,-1.924277442,,C07G1.7,WBGene00015573,Public name for WBGene00015573. History: N.A.
C27D8.1,-1.920447478,,C27D8.1,WBGene00007777,Public name for WBGene00007777. History: N.A.
W05B2.2,-1.875701848,,W05B2.2,WBGene00012271,Public name for WBGene00012271. History: N.A.
Y73F8A.32,-1.838229814,,Y73F8A.32,WBGene00013536,Public name for WBGene00013536. History: N.A.
Y75D11A.1,-1.835181127,,Y75D11A.1,WBGene00022290,Public name for WBGene00022290. History: N.A.
ndx-1,-1.8279512,,ndx-1,WBGene00003578,Public name for WBGene00003578. History: N.A.
C34C12.6,-1.823193319,,C34C12.6,WBGene00007925,Public name for WBGene00007925. History: N.A.
F54F7.7,-1.813861763,-0.637144294786596,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
