...1,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
C32D5.8,257.441993211309,3.69748312390554,4.5677540890937804e-76,9.29949054998603e-72,C32D5.8,WBGene00016316,Public name for WBGene00016316. History: N.A.
saeg-2,296.072124549487,-3.11700595672021,3.43782433956626e-60,3.49953328646147e-56,saeg-2,WBGene00011964,Public name for WBGene00011964. History: N.A.
C32D5.18,171.598704208229,3.32103663946001,4.7953770652096395e-42,3.25430272235343e-38,C32D5.18,WBGene00200080,Public name for WBGene00200080. History: N.A.
Y102A5C.5,115.074128736423,-3.06910179037407,2.13533094435004e-32,1.08683006740056e-28,Y102A5C.5,WBGene00014954,Public name for WBGene00014954. History: N.A.
his-60,409.902176576537,2.29316331301051,2.5812776458621092e-26,1.05104463184214e-22,his-60,WBGene00001934,Public name for WBGene00001934. History: N.A.
K10G9.2,215.334026689295,-2.4508903717421,3.04984348295666e-23,1.0348627244919101e-19,K10G9.2,WBGene00010756,Public name for WBGene00010756. History: N.A.
T10D4.6,273.904793857571,-1.99755356726977,2.34704872814486e-21,6.8262235794715894e-18,T10D4.6,WBGene00020408,Public name for WBGene00020408. History: N.A.
C46G7.111,91.2010659927705,-2.41879117438636,1.1267577608778899e-18,2.8674576567141106e-15,C46G7.111,WBGene00235389,Public name for WBGene00235389. History: N.A.
his-63,362.951398765667,2.13899482144401,2.12759523333005e-17,4.81285681726294e-14,his-63,WBGene00001937,Public name for WBGene00001937. History: N.A.
his-64,195.323224698968,1.86259277340069,4.8548265830882804e-17,9.88394144050944e-14,his-64,WBGene00001938,Public name for WBGene00001938. History: N.A.
his-59,590.944979725496,1.88740661434261,3.45448515598811e-15,6.3936239355237995e-12,his-59,WBGene00001933,Public name for WBGene00001933. History: N.A.
dyf-3,928.303829867892,-1.58478442426856,1.21714059607624e-13,2.06498044962635e-10,dyf-3,WBGene00001119,Public name for WBGene00001119. History: N.A.
his-55,461.160314445812,1.82638246785926,1.55577797424451e-13,2.43646798289569e-10,his-55,WBGene00001929,Public name for WBGene00001929. History: N.A.
lin-59,716.907428052373,-1.4956802364253,3.00608733694316e-13,4.37149514948756e-10,lin-59,WBGene00003040,Public name for WBGene00003040. History: N.A.
T23G5.9,28.9307642703109,-1.93901389560285,4.82878855157508e-12,6.553953741434471e-09,T23G5.9,WBGene00195317,Public name for WBGene00195317. History: N.A.
ccb-1,133.056852572137,-1.80900104461566,6.50062068504604e-12,7.785066854520731e-09,ccb-1,WBGene00000368,Public name for WBGene00000368. History: Renamed on 2015-03-05
his-45,488.532493163542,1.7515986772534,6.48883319226494e-12,7.785066854520731e-09,his-45,WBGene00001919,Public name for WBGene00001919. History: N.A.
R01H10.4,210.975743157742,-1.91215576673181,7.44253784118477e-12,8.417923772704481e-09,R01H10.4,WBGene00010972,Public name for WBGene00010972. History: N.A.
lpr-3,35.6863658614039,-1.90474774529245,9.75288331764008e-12,1.04504711296755e-08,lpr-3,WBGene00012261,Public name for WBGene00012261. History: N.A.
tag-344,105.365748298167,-1.91301165234354,1.4621936241661297e-11,1.48843999971992e-08,tag-344,WBGene00015230,Public name for WBGene00015230. History: N.A.
Y46G5A.43,46.5759434030697,-1.80123678249093,2.69443897424445e-11,2.61219443222108e-08,Y46G5A.43,WBGene00077636,Public name for WBGene00077636. History: N.A.
