# Shown are DESeq2 fold-change values (vs rde-4) for all STGs in whole worm samples.  ""NaN"" stands for: not significatnly different compared to rde-4(-) sample (padjusted >0.1).
genes,P0 generation (Psng-1::rde-4 worms),"rde-4(-), F1 of Psng-1::rde-4 worms","rde-4(-), F3 of Psng-1::rde-4 worms",Input,Suggested Match,History
C46G7.3,-4.67276383346805,-3.83911521584062,-1.94759180814755,C46G7.3,,Sequence name for Suppressed gene WBGene00016723. Molecular name for Suppressed gene WBGene00016723. Public name for Suppressed gene WBGene00016723. History of WBGene00016723: Killed on 2012-07-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F41C3.8,-4.58358492717313,-4.6430640614187295,-1.74496422589187,F41C3.8,WBGene00018274,Public name for WBGene00018274. History: N.A.
F58E10.7,-4.23281388128312,-4.2251513855094895,,F58E10.7,WBGene00010262,Sequence name for WBGene00010262(droe-4). History: N.A.
unc-73,-3.96129134682575,-3.8863297545694,-3.7646666256555696,unc-73,WBGene00006805,Public name for WBGene00006805. History: Renamed on 2015-03-04
C27D8.1,-3.55880048901356,-3.50754073775847,-2.53144354044738,C27D8.1,WBGene00007777,Public name for WBGene00007777. History: N.A.
F31E9.6,-3.49242782227877,-2.52791095545295,-1.60366798423274,F31E9.6,WBGene00009299,Public name for WBGene00009299. History: N.A.
ZK1010.5,-3.47805056410155,-2.35993185322835,-1.93228090489268,ZK1010.5,WBGene00014179,Public name for WBGene00014179. History: N.A.
fbxa-98,-3.33435348342475,-2.59469956730408,-2.10321477793008,fbxa-98,WBGene00007453,Public name for WBGene00007453. History: N.A.
C08F11.7,-3.16495908302664,-3.09215306126221,-3.00111240090119,C08F11.7,WBGene00007454,Public name for WBGene00007454. History: N.A.
daf-7,-3.03534093155058,-1.87391210582117,,daf-7,WBGene00000903,Public name for WBGene00000903. History: N.A.
Y37H2B.1,-2.93002966586732,-1.84371369506991,,Y37H2B.1,WBGene00012572,Public name for WBGene00012572. History: N.A.
ZC416.2,-2.90362485027973,-2.14996981555443,-1.91133067841707,ZC416.2,WBGene00022609,Public name for WBGene00022609. History: N.A.
Y77E11A.2,-2.80657805776554,-1.52709611398163,,Y77E11A.2,WBGene00022307,Sequence name for WBGene00022307(nadk-1). History: N.A.
C18H2.1,-2.71064829276453,-2.51014276196675,-1.80030636871221,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
Y102A5C.36,-2.69285682541572,-2.54944312384112,-2.14278343058211,Y102A5C.36,WBGene00044213,Public name for WBGene00044213. History: N.A.
W03A5.1,-2.68310771472865,-1.95317464954914,-1.57252132641322,W03A5.1,WBGene00020966,Public name for WBGene00020966. History: N.A.
tax-4,-2.68189932992099,-1.44187219083226,,tax-4,WBGene00006526,Public name for WBGene00006526. History: N.A.
hlh-30,-2.60623962528509,-2.14103784428957,-1.25977738421103,hlh-30,WBGene00020930,Public name for WBGene00020930. History: N.A.
fbxa-111,-2.6013014372377,-2.38071604679834,-2.14247907272037,fbxa-111,WBGene00013620,Public name for WBGene00013620. History: N.A.
asah-1,-2.59612200378193,-2.83757696505402,-1.55976590944134,asah-1,WBGene00010769,Public name for WBGene00010769. History: Renamed on 2004-08-25
Y50E8A.14,-2.58714245004002,,,Y50E8A.14,WBGene00013056,Public name for WBGene00013056. History: N.A.
tep-1,-2.54190547739918,-1.22575419285173,,tep-1,WBGene00013969,Public name for WBGene00013969. History: N.A.
crtc-1,-2.51832416505244,-2.30355531439116,,crtc-1,WBGene00021237,Public name for WBGene00021237. History: N.A.
C35B1.5,-2.48029354649265,-2.66509228534015,-1.72759847713404,C35B1.5,WBGene00016435,Public name for WBGene00016435. History: N.A.
skr-3,-2.47087151779165,-1.95128228917536,-0.86055570674971,skr-3,WBGene00004809,Public name for WBGene00004809. History: N.A.
C18C4.4,-2.45476838612693,-0.9502122847841568,,C18C4.4,WBGene00023239,Public name for WBGene00023239. History: N.A.
T17H7.7,-2.44644040516797,-1.59424358581064,,T17H7.7,WBGene00020551,Public name for WBGene00020551. History: N.A.
F26F2.1,-2.3678671993377,,,F26F2.1,WBGene00009166,Public name for WBGene00009166. History: N.A.
fbxb-70,-2.36466423822203,-1.04215118038281,,fbxb-70,WBGene00014149,Public name for WBGene00014149. History: N.A.
eva-1,-2.33343767264229,-1.2384510253537,,eva-1,WBGene00009304,Public name for WBGene00009304. History: Renamed on 2007-10-09
Y71G12B.11,-2.32439291039226,-2.16714720854067,-1.96517970586999,Y71G12B.11,WBGene00006771,"Sequence name for WBGene00006771(tln-1). History: Renamed on 2011-08-12. Public name for Dead gene WBGene00022151. History of WBGene00022151: Merged into ""WBGene00006771"" on 2013-01-31"
ser-3,-2.31425427599209,-1.35557797245303,,ser-3,WBGene00004778,Public name for WBGene00004778. History: N.A.
Y116F11B.6,-2.30930793348176,,,Y116F11B.6,WBGene00013822,Public name for WBGene00013822. History: N.A.
fbxa-165,-2.27976700765067,,,fbxa-165,WBGene00015600,Public name for WBGene00015600. History: N.A.
T01G5.8,-2.25786180398961,,,T01G5.8,WBGene00077585,Public name for WBGene00077585. History: N.A.
F40D4.17,-2.20621856377912,-2.0966015887399094,-1.60633670118624,F40D4.17,WBGene00194682,Public name for WBGene00194682. History: N.A.
Y39B6A.41,-2.20112241574959,-1.99699510006267,-1.30391013523467,Y39B6A.41,WBGene00012699,Public name for WBGene00012699. History: N.A.
fbxa-180,-2.18083808732207,,,fbxa-180,WBGene00009295,Public name for WBGene00009295. History: N.A.
ttn-1,-2.14645108675501,-1.15283561162822,,ttn-1,WBGene00006436,Public name for WBGene00006436. History: Renamed on 2005-12-13
Y81G3A.1,-2.14292893486671,-1.70538758948185,-1.78765388318974,Y81G3A.1,WBGene00013590,Public name for WBGene00013590. History: N.A.
fbxa-110,-2.13756414820678,-1.44523262379302,,fbxa-110,WBGene00013615,Public name for WBGene00013615. History: N.A.
Y52D5A.1,-2.1243588009056,-1.18747681099197,-1.09960137171387,Y52D5A.1,WBGene00021792,Public name for WBGene00021792. History: N.A.
fbxa-224,-2.10451745167838,-1.27712792203016,-1.29399497507322,fbxa-224,WBGene00022890,Public name for WBGene00022890. History: N.A.
C17H1.7,-2.10211506204329,,,C17H1.7,WBGene00007660,Sequence name for WBGene00007660(pals-6). History: N.A.
W02D9.10,-2.0888076825408,-1.24207843599867,,W02D9.10,WBGene00012216,Public name for WBGene00012216. History: N.A.
C18D4.6,-2.08394012048078,-1.9966594677181897,-1.55740035450713,C18D4.6,WBGene00007675,Public name for WBGene00007675. History: N.A.
Y39A1A.25,-2.08060408145475,,,Y39A1A.25,WBGene00044808,Public name for WBGene00044808. History: N.A.
K08D10.5,-2.0560581175351,-1.08918156587606,-1.05743117786187,K08D10.5,WBGene00019529,Public name for WBGene00019529. History: N.A.
F19B2.6,-2.04649484160865,-0.811343059247133,,F19B2.6,WBGene00008945,Public name for WBGene00008945. History: N.A.
clec-236,-2.0453934434443,-1.07008544708631,,clec-236,WBGene00013495,Public name for WBGene00013495. History: N.A.
cor-1,-2.02956447325297,-2.2046381663000294,-2.00604933836378,cor-1,WBGene00000768,Public name for WBGene00000768. History: N.A.
frm-8,-2.01378895362063,-2.18888907293012,-1.60161571194249,frm-8,WBGene00001494,Public name for WBGene00001494. History: N.A.
clec-69,-2.0000738862603,-1.68843265609527,-0.914701363597972,clec-69,WBGene00044642,Public name for WBGene00044642. History: N.A.
T20H9.6,-1.9889528489027,-1.1170302708293,-1.16570694681019,T20H9.6,WBGene00020642,Public name for WBGene00020642. History: N.A.
T20B6.2,-1.96526076363245,-1.36438540038179,-1.29865139373684,T20B6.2,WBGene00020598,Public name for WBGene00020598. History: N.A.
cpz-1,-1.95971504433701,-1.8453621189220897,-1.29412626394627,cpz-1,WBGene00000788,Public name for WBGene00000788. History: N.A.
W08F4.10,-1.95072363933026,-1.6790559284068,-1.21416538710838,W08F4.10,WBGene00021099,Public name for WBGene00021099. History: N.A.
F01F1.3,-1.94769365751787,-1.74376932633393,-1.65195753602594,F01F1.3,WBGene00017160,Public name for WBGene00017160. History: N.A.
F36A2.3,-1.93901787406961,-1.58236439543988,-1.47106299049569,F36A2.3,WBGene00009453,Public name for WBGene00009453. History: N.A.
C15H11.10,-1.93441754572624,-1.1236231653014,-1.03891139477651,C15H11.10,WBGene00007618,Public name for WBGene00007618. History: N.A.
K08H2.5,-1.92329591835723,-1.01754889610842,-1.09106928762086,K08H2.5,WBGene00010692,Public name for WBGene00010692. History: N.A.
C14A6.16,-1.92248572830912,-1.39355858357635,-1.07557958871132,C14A6.16,WBGene00206536,Public name for WBGene00206536. History: N.A.
F54F12.1,-1.9217807554126,,-0.926666111018247,F54F12.1,WBGene00010072,Public name for WBGene00010072. History: N.A.
vglu-2,-1.91603287441535,-1.68182641780803,-1.59089890945518,vglu-2,WBGene00010755,Public name for WBGene00010755. History: N.A.
ZC513.3,-1.8951433185618,,-0.903453792034683,ZC513.3,WBGene00022628,Public name for WBGene00022628. History: N.A.
F36D3.5,-1.89045210872056,,,F36D3.5,WBGene00009471,Public name for WBGene00009471. History: N.A.
W03A5.2,-1.87698366581843,-1.39857200893958,-1.15468317608445,W03A5.2,WBGene00020967,Public name for WBGene00020967. History: N.A.
F28A10.2,-1.86546935421041,,,F28A10.2,WBGene00017870,Public name for WBGene00017870. History: N.A.
ceh-20,-1.86125018829006,-1.76811354745082,-1.67449406775965,ceh-20,WBGene00000443,Public name for WBGene00000443. History: N.A.
C07A9.8,-1.85129763133977,-1.11146707837881,,C07A9.8,WBGene00007404,Sequence name for WBGene00007404(best-5). History: N.A.
oac-27,-1.84255735630975,,,oac-27,WBGene00009609,Public name for WBGene00009609. History: N.A.
C01G10.1,-1.83784461406995,-0.9659852539302988,-1.01806904117721,C01G10.1,WBGene00007230,Public name for WBGene00007230. History: N.A.
Y54G2A.24,-1.83163729471528,-1.04890063148991,-1.00081493551537,Y54G2A.24,WBGene00021889,Public name for WBGene00021889. History: N.A.
F17A9.4,-1.83113842125073,-0.926218394953743,,F17A9.4,WBGene00017536,Public name for WBGene00017536. History: N.A.
C09F9.7,-1.82523050573496,-1.1204165676787,,C09F9.7,WBGene00045322,Public name for WBGene00045322. History: N.A.
clec-29,-1.82440888860304,,,clec-29,WBGene00012024,Public name for WBGene00012024. History: N.A.
gst-8,-1.82295447998518,,,gst-8,WBGene00001756,Public name for WBGene00001756. History: N.A.
ser-5,-1.81435172002015,,,ser-5,WBGene00008890,Public name for WBGene00008890. History: N.A.
