# Shown are DESeq2 fold-change values (vs rde-4) for all STGs in whole worm samples.  ""NaN"" stands for: not significatnly different compared to rde-4(-) sample (padjusted >0.1).
genes,P0 generation (Prgef-1::rde-4 worms),"rde-4(-), F1 of Prgef-1::rde-4 worms","rde-4(-), F3 of Prgef-1::rde-4 worms",Input,Suggested Match,History
C53D5.5,-3.314777234,-2.890547753,-2.503503953,C53D5.5,WBGene00016906,Public name for WBGene00016906. History: N.A.
Y59C2A.1,-3.238807165,-2.874835789,-2.817684477,Y59C2A.1,WBGene00021984,Public name for WBGene00021984. History: N.A.
eva-1,-2.329182158,-1.700864427,-1.096610214,eva-1,WBGene00009304,Public name for WBGene00009304. History: Renamed on 2007-10-09
C28C12.1,-2.189087336,-1.935038001,-1.814059764,C28C12.1,WBGene00016177,Public name for WBGene00016177. History: N.A.
F17C8.8,-2.139152598,,,F17C8.8,WBGene00044224,Public name for WBGene00044224. History: N.A.
Y45F10A.3,-1.805729238,-1.566631139,-1.259778409,Y45F10A.3,WBGene00012866,Sequence name for WBGene00012866(afmd-2). History: N.A.
tep-1,-1.77268859,-1.288073167,-0.7374694099999999,tep-1,WBGene00013969,Public name for WBGene00013969. History: N.A.
C56G7.3,-1.766612266,-1.966663229,-1.726288787,C56G7.3,WBGene00008348,Public name for WBGene00008348. History: N.A.
jip-1,-1.741509419,-1.765489682,-1.132470091,jip-1,WBGene00002176,Public name for WBGene00002176. History: N.A.
ZK355.2,-1.614520436,-1.351751066,-1.438305992,ZK355.2,WBGene00022712,Public name for WBGene00022712. History: N.A.
ptc-3,-1.409290973,-1.068688045,-0.8000548,ptc-3,WBGene00004210,Public name for WBGene00004210. History: N.A.
C55C3.7,-1.403885307,,-1.052758417,C55C3.7,WBGene00043065,Public name for WBGene00043065. History: N.A.
asah-1,-1.347273896,,-1.619445092,asah-1,WBGene00010769,Public name for WBGene00010769. History: Renamed on 2004-08-25
fbxa-90,-1.231767467,-0.655882458,,fbxa-90,WBGene00013623,Public name for WBGene00013623. History: N.A.
T22F7.3,-1.161357124,,,T22F7.3,WBGene00020702,Public name for WBGene00020702. History: N.A.
scrt-1,-1.148741171,-0.737692909,-0.758872325,scrt-1,WBGene00016948,Public name for WBGene00016948. History: N.A.
tag-68,-1.138049166,-0.7433324479999999,-0.736889232,tag-68,WBGene00006445,Public name for WBGene00006445. History: N.A.
C06A5.12,-1.130860948,-1.191912585,-1.198718386,C06A5.12,WBGene00044414,Public name for WBGene00044414. History: N.A.
inx-13,-1.111185078,-1.036288659,-0.783481749,inx-13,WBGene00002135,Public name for WBGene00002135. History: Renamed on 2015-03-05
F32A7.5,-1.097368551,-0.671600888,-0.493019676,F32A7.5,WBGene00009306,Sequence name for WBGene00009306(maph-1.1). History: N.A.
dmd-9,-1.094173802,-0.865393473,-0.646318098,dmd-9,WBGene00022060,Public name for WBGene00022060. History: N.A.
Y54E5A.8,-1.070035443,-0.977321316,-0.729025153,Y54E5A.8,WBGene00013203,Public name for WBGene00013203. History: N.A.
C55C3.6,-1.055000383,-0.6867173939999999,-0.7065684009999998,C55C3.6,WBGene00016956,Public name for WBGene00016956. History: N.A.
mltn-8,-1.054465917,,-0.576847623,mltn-8,WBGene00021451,Public name for WBGene00021451. History: N.A.
