# Table S1. IP-MS results of TOFU-6, PICS-1, ERH-2 and TOST-1,,
# TOFU-6::GFP,IP-MS,
gene_ID,gene public name,WD_score,Input,Suggested Match,History
C35D10.13,C35D10.13,685.1356,C35D10.13,WBGene00016449,Sequence name for WBGene00016449(tost-1). History: N.A.
F18A1.8,F18A1.8,540.8098,F18A1.8,WBGene00017549,Sequence name for WBGene00017549(pid-1). History: N.A.
EEED8.1,mel-47,300.1928,EEED8.1,WBGene00017132,Sequence name for WBGene00017132(tofu-6). History: Renamed on 2006-10-16; Renamed on 2014-03-28; Renamed on 2014-09-02; Renamed on 2015-03-25; Renamed on 2015-03-25
Y23H5A.3,Y23H5A.3,296.0817,Y23H5A.3,WBGene00021270,Sequence name for WBGene00021270(pid-3). History: Renamed on 2019-11-21
F35G12.11,F35G12.11,172.7606,F35G12.11,WBGene00009444,Sequence name for WBGene00009444(erh-2). History: N.A.
B0348.6,ife-3,134.8164,B0348.6,WBGene00002061,Sequence name for WBGene00002061(ife-3). History: N.A.
F40G9.2,F40G9.2,117.7282,F40G9.2,WBGene00018240,Sequence name for WBGene00018240(cox-17). History: N.A.
T01D3.6,T01D3.6,115.0462,T01D3.6,WBGene00011330,Public name for WBGene00011330. History: N.A.
F53A2.6,ife-1,87.0035,F53A2.6,WBGene00002059,Sequence name for WBGene00002059(ife-1). History: N.A.
B0213.6,nlp-31,86.8893,B0213.6,WBGene00003769,Sequence name for WBGene00003769(nlp-31). History: N.A.
Y37D8A.11,cec-7,59.8825,Y37D8A.11,WBGene00012551,Sequence name for WBGene00012551(cec-7). History: N.A.
M01E11.5,cey-3,54.6296,M01E11.5,WBGene00000474,Sequence name for WBGene00000474(cey-3). History: N.A.
C50E3.12,C50E3.12,53.1486,C50E3.12,WBGene00016823,Public name for WBGene00016823. History: N.A.
F42E11.4,tni-1,41.5198,F42E11.4,WBGene00006584,Sequence name for WBGene00006584(tni-1). History: N.A.
Y39A1C.3,cey-4,33.1719,Y39A1C.3,WBGene00000475,Sequence name for WBGene00000475(cey-4). History: N.A.
F07D10.1,rpl-11.2,28.6084,F07D10.1,WBGene00004423,Sequence name for WBGene00004423(rpl-11.2). History: N.A.
T17H7.4,pat-12,27.3134,T17H7.4,WBGene00003936,"Sequence name for WBGene00003936(pat-12). History: Renamed on 2010-01-11. Public name for Dead gene WBGene00001573. History of WBGene00001573: Merged into ""WBGene00003936"" on 2010-01-11"
T20B3.2,tni-3,27.2729,T20B3.2,WBGene00006585,Sequence name for WBGene00006585(tni-3). History: N.A.
F46F11.2,cey-2,24.7915,F46F11.2,WBGene00000473,Sequence name for WBGene00000473(cey-2). History: N.A.
ZK1127.11,him-14,24.2258,ZK1127.11,WBGene00001872,Sequence name for WBGene00001872(him-14). History: N.A.
R04A9.4,ife-2,23.5447,R04A9.4,WBGene00002060,Sequence name for WBGene00002060(ife-2). History: N.A.
F52B11.3,noah-2,23.5081,F52B11.3,WBGene00009926,Sequence name for WBGene00009926(noah-2). History: Renamed on 2005-03-17
F40F8.5,F40F8.5,23.3424,F40F8.5,WBGene00009578,"Public name for WBGene00009578. History: Split into F40F8.11(WBGene00044916). History of WBGene00009578: Split into ""WBGene00044916"" on 2006-07-18"
T04C9.4,mlp-1,21.5451,T04C9.4,WBGene00003375,Sequence name for WBGene00003375(mlp-1). History: N.A.
M03A8.4,gei-15,20.4397,M03A8.4,WBGene00001572,Sequence name for WBGene00001572(gei-15). History: N.A.
F53A9.10,tnt-2,19.8128,F53A9.10,WBGene00006587,Sequence name for WBGene00006587(tnt-2). History: N.A.
C46G7.4,pqn-22,19.4555,C46G7.4,WBGene00004112,Sequence name for WBGene00004112(pqn-22). History: N.A.
ZC8.4,lfi-1,18.6353,ZC8.4,WBGene00022500,Sequence name for WBGene00022500(lfi-1). History: N.A.
Y43F8B.1,Y43F8B.1,18.1734,Y43F8B.1,WBGene00012812,Public name for WBGene00012812. History: N.A.
Y49E10.2,glrx-5,17.9043,Y49E10.2,WBGene00013029,Sequence name for WBGene00013029(glrx-5). History: N.A.
C06B8.8,rpl-38,17.7897,C06B8.8,WBGene00004452,Sequence name for WBGene00004452(rpl-38). History: N.A.
Y37E11AL.7,map-1,17.3769,Y37E11AL.7,WBGene00003129,Sequence name for WBGene00003129(map-1). History: N.A.
Y45F10C.2,Y45F10C.2,17.3049,Y45F10C.2,WBGene00012878,Public name for WBGene00012878. History: N.A.
F07A5.7,unc-15,17.2044,F07A5.7,WBGene00006754,Sequence name for WBGene00006754(unc-15). History: N.A.
F08B6.4,unc-87,16.4203,F08B6.4,WBGene00006819,Sequence name for WBGene00006819(unc-87). History: N.A.
T22E5.5,mup-2,15.6751,T22E5.5,WBGene00003495,Sequence name for WBGene00003495(mup-2). History: N.A.
ZK1058.9,ZK1058.9,14.8615,ZK1058.9,WBGene00014207,Public name for WBGene00014207. History: N.A.
T06D8.1,srap-1,14.658,T06D8.1,WBGene00011522,Sequence name for WBGene00011522(srap-1). History: N.A.
K04G2.5,ath-1,14.4621,K04G2.5,WBGene00010564,Sequence name for WBGene00010564(ath-1). History: N.A.
ZK1248.16,lec-5,13.6171,ZK1248.16,WBGene00002268,Sequence name for WBGene00002268(lec-5). History: N.A.
C36E6.3,mlc-1,13.4438,C36E6.3,WBGene00003369,Sequence name for WBGene00003369(mlc-1). History: N.A.
Y41D4B.5,rps-28,12.5645,Y41D4B.5,WBGene00004497,Sequence name for WBGene00004497(rps-28). History: N.A.
K12F2.1,myo-3,12.0692,K12F2.1,WBGene00003515,Sequence name for WBGene00003515(myo-3). History: N.A.
W10G6.3,mua-6,11.8369,W10G6.3,WBGene00003485,Sequence name for WBGene00003485(mua-6). History: N.A.
C52E4.3,snr-4,11.5886,C52E4.3,WBGene00004917,Sequence name for WBGene00004917(snr-4). History: N.A.
C44B12.5,perm-4,11.404,C44B12.5,WBGene00016638,Sequence name for WBGene00016638(perm-4). History: N.A.
F56D3.1,F56D3.1,11.3858,F56D3.1,WBGene00018969,Public name for WBGene00018969. History: N.A.
Y48B6A.14,hmg-1.1,11.3475,Y48B6A.14,WBGene00001971,Sequence name for WBGene00001971(hmg-1.1). History: N.A.
T04C12.6,act-1,11.3007,T04C12.6,WBGene00000063,Sequence name for WBGene00000063(act-1). History: N.A.
R03G5.1,eef-1A.2,11.174,R03G5.1,WBGene00001169,Sequence name for WBGene00001169(eef-1A.2). History: Renamed on 2010-08-03
F11C3.3,unc-54,10.8151,F11C3.3,WBGene00006789,Sequence name for WBGene00006789(unc-54). History: N.A.
ZK721.2,unc-27,10.7089,ZK721.2,WBGene00006764,Sequence name for WBGene00006764(unc-27). History: N.A.
ZK892.1,lec-3,10.353,ZK892.1,WBGene00002266,Sequence name for WBGene00002266(lec-3). History: N.A.
T25F10.6,T25F10.6,10.2395,T25F10.6,WBGene00020808,Sequence name for WBGene00020808(clik-1). History: N.A.
ZK1321.4,ZK1321.4,10.1854,ZK1321.4,WBGene00014262,Public name for WBGene00014262. History: N.A.
K07H8.6,vit-6,9.9216,K07H8.6,WBGene00006930,Sequence name for WBGene00006930(vit-6). History: N.A.
M03F4.2,act-4,9.8072,M03F4.2,WBGene00000066,Sequence name for WBGene00000066(act-4). History: N.A.
F54C1.7,pat-10,9.7046,F54C1.7,WBGene00003934,Sequence name for WBGene00003934(pat-10). History: Renamed on 2015-03-05
F58G4.1,myo-5,9.3702,F58G4.1,WBGene00019064,Sequence name for WBGene00019064(myo-5). History: N.A.
F42A8.1,F42A8.1,9.2863,F42A8.1,WBGene00009626,Public name for WBGene00009626. History: N.A.
F33A8.3,cey-1,9.2112,F33A8.3,WBGene00000472,Sequence name for WBGene00000472(cey-1). History: N.A.
C44B12.1,perm-2,9.0266,C44B12.1,WBGene00016636,Sequence name for WBGene00016636(perm-2). History: N.A.
T25C8.2,act-5,8.8666,T25C8.2,WBGene00000067,Sequence name for WBGene00000067(act-5). History: N.A.
T04C12.5,act-2,8.7946,T04C12.5,WBGene00000064,Sequence name for WBGene00000064(act-2). History: N.A.
F26D10.3,hsp-1,8.6883,F26D10.3,WBGene00002005,Sequence name for WBGene00002005(hsp-1). History: N.A.
F42A8.2,sdhb-1,8.5709,F42A8.2,WBGene00006433,Sequence name for WBGene00006433(sdhb-1). History: Renamed on 2006-07-19
F45E4.2,plp-1,8.352,F45E4.2,WBGene00004046,Sequence name for WBGene00004046(plp-1). History: N.A.
B0513.3,rpl-29,8.3173,B0513.3,WBGene00004443,Sequence name for WBGene00004443(rpl-29). History: N.A.
K05B2.3,ifa-4,8.1628,K05B2.3,WBGene00002052,Sequence name for WBGene00002052(ifa-4). History: N.A.
ZC373.2,ZC373.2,7.8609,ZC373.2,WBGene00013867,Public name for WBGene00013867. History: N.A.
F10C1.2,ifb-1,7.6847,F10C1.2,WBGene00002053,Sequence name for WBGene00002053(ifb-1). History: N.A.
F09F7.2,mlc-3,7.5673,F09F7.2,WBGene00003371,Sequence name for WBGene00003371(mlc-3). History: N.A.
C37C3.6,mig-6,7.5671,C37C3.6,WBGene00003242,"Sequence name for WBGene00003242(mig-6). History: N.A.. Public name for Dead gene WBGene00016498. History of WBGene00016498: Merged into ""WBGene00003242"" on 2009-03-31"
C42D8.2,vit-2,7.5079,C42D8.2,WBGene00006926,Sequence name for WBGene00006926(vit-2). History: N.A.
F38B2.1,ifa-1,7.4681,F38B2.1,WBGene00002050,Sequence name for WBGene00002050(ifa-1). History: N.A.
Y105E8B.1,lev-11,7.4579,Y105E8B.1,WBGene00002978,Sequence name for WBGene00002978(lev-11). History: N.A.
C07H6.5,cgh-1,7.404,C07H6.5,WBGene00000479,Sequence name for WBGene00000479(cgh-1). History: N.A.
M117.2,par-5,6.9227,M117.2,WBGene00003920,Sequence name for WBGene00003920(par-5). History: N.A.
F37C12.11,rps-21,6.7905,F37C12.11,WBGene00004490,Sequence name for WBGene00004490(rps-21). History: N.A.
