# Table S1. IP-MS results of TOFU-6, PICS-1, ERH-2 and TOST-1,,
# TOST-1::GFP IP-MS,,
gene_ID,Gene_Pubnic_name,WD_score,Input,Suggested Match,History
C35D10.13,C35D10.13,892.7862,C35D10.13,WBGene00016449,Sequence name for WBGene00016449(tost-1). History: N.A.
EEED8.1,mel-47,203.8025,EEED8.1,WBGene00017132,Sequence name for WBGene00017132(tofu-6). History: Renamed on 2006-10-16; Renamed on 2014-03-28; Renamed on 2014-09-02; Renamed on 2015-03-25; Renamed on 2015-03-25
Y23H5A.3,Y23H5A.3,199.2243,Y23H5A.3,WBGene00021270,Sequence name for WBGene00021270(pid-3). History: Renamed on 2019-11-21
K05F1.7,msp-63,45.2096,K05F1.7,WBGene00003456,Sequence name for WBGene00003456(msp-63). History: N.A.
B0348.6,ife-3,35.9818,B0348.6,WBGene00002061,Sequence name for WBGene00002061(ife-3). History: N.A.
F42A6.9,elks-1,35.7409,F42A6.9,WBGene00018330,Sequence name for WBGene00018330(elks-1). History: N.A.
C29E4.8,let-754,23.8275,C29E4.8,WBGene00002879,"Sequence name for WBGene00002879(let-754). History: N.A.. Public name for Dead gene WBGene00016205. History of WBGene00016205: Merged into ""WBGene00002879"" on 2008-01-30"
Y37E3.15,npp-13,23.4243,Y37E3.15,WBGene00003799,Sequence name for WBGene00003799(npp-13). History: N.A.
ZK546.6,msp-152,21.0587,ZK546.6,WBGene00003470,Sequence name for WBGene00003470(msp-152). History: N.A.
F52D10.3,ftt-2,19.8673,F52D10.3,WBGene00001502,Sequence name for WBGene00001502(ftt-2). History: N.A.
R07B1.4,gst-36,19.4004,R07B1.4,WBGene00001784,Sequence name for WBGene00001784(gst-36). History: N.A.
F10C1.7,ifb-2,19.0207,F10C1.7,WBGene00002054,Sequence name for WBGene00002054(ifb-2). History: N.A.
C53B7.4,asg-2,14.4267,C53B7.4,WBGene00000210,Sequence name for WBGene00000210(asg-2). History: N.A.
F10E7.7,rpl-33,14.2311,F10E7.7,WBGene00004447,Sequence name for WBGene00004447(rpl-33). History: N.A.
T05G5.6,ech-6,13.9442,T05G5.6,WBGene00001155,Sequence name for WBGene00001155(ech-6). History: N.A.
ZK131.3,his-9,13.8875,ZK131.3,WBGene00001883,Sequence name for WBGene00001883(his-9). History: N.A.
T04C12.6,act-1,13.5947,T04C12.6,WBGene00000063,Sequence name for WBGene00000063(act-1). History: N.A.
T07A9.11,rps-24,13.4845,T07A9.11,WBGene00004493,Sequence name for WBGene00004493(rps-24). History: N.A.
F25H2.5,ndk-1,13.3368,F25H2.5,WBGene00009119,Sequence name for WBGene00009119(ndk-1). History: N.A.
F40F8.10,rps-9,12.7532,F40F8.10,WBGene00004478,Sequence name for WBGene00004478(rps-9). History: N.A.
Y22D7AL.10,Y22D7AL.10,12.5162,Y22D7AL.10,WBGene00021248,Public name for WBGene00021248. History: N.A.
R03G5.1,eef-1A.2,12.4398,R03G5.1,WBGene00001169,Sequence name for WBGene00001169(eef-1A.2). History: Renamed on 2010-08-03
M117.2,par-5,12.3637,M117.2,WBGene00003920,Sequence name for WBGene00003920(par-5). History: N.A.
F53G12.10,rpl-7,12.2629,F53G12.10,WBGene00004418,Sequence name for WBGene00004418(rpl-7). History: N.A.
