gene,1: adareri,2: adareri,3: wt,4: wt,ave wt,ave adareri,adareri/wt,fold change,pvalue,gene name,seq name,Input,Suggested Match,History
WBGene00219661,0.52847403,2.244844432,2297.578607,3240.367009,2768.972808,1.386659231,0.000500785,0.000500785,2.0199999999999998e-24,linc-45,C44B11.9,WBGene00219661,WBGene00219661,History: N.A.
WBGene00219689,1.585422091,1.122422216,1576.318717,2039.85952,1808.089119,1.353922154,0.000748814,0.000748814,9.27e-24,linc-41,F36A4.22,WBGene00219689,WBGene00219689,History: N.A.
WBGene00219304,16.38269494,15.71391103,5799.34764,4494.379009,5146.863324,16.04830299,0.003118074,0.003118074,1.16e-22,0,F56D6.16,WBGene00219304,WBGene00219304,History: N.A.
WBGene00003356,4.756266274,6.734533297,2069.702294,2533.104241,2301.403267,5.745399786,0.002496477,0.002496477,8.29e-22,mir-262,ZK384.5,WBGene00003356,WBGene00003356,History: N.A.
WBGene00021018,20.08201316,24.69328876,5019.550715,12316.06986,8667.810287,22.38765096,0.00258285,0.00258285,5.34e-21,0,W04B5.1,WBGene00021018,WBGene00021018,History: N.A.
WBGene00219755,3.170844183,2.244844432,1129.973828,1870.985904,1500.479866,2.707844308,0.001804652,0.001804652,1.59e-20,linc-17,Y49F6A.9,WBGene00219755,WBGene00219755,History: N.A.
WBGene00189975,2.113896122,4.489688865,1276.316415,1780.69704,1528.506727,3.301792493,0.002160143,0.002160143,4.21e-20,0,K02E2.12,WBGene00189975,WBGene00189975,History: N.A.
WBGene00219477,2.113896122,1.122422216,1630.674535,912.9207362,1271.797635,1.618159169,0.00127234,0.00127234,4.33e-20,0,F57G8.14,WBGene00219477,WBGene00219477,History: N.A.
WBGene00219594,2.113896122,1.122422216,1573.182804,892.8565442,1233.019674,1.618159169,0.001312355,0.001312355,5.78e-20,linc-59,F57G8.15,WBGene00219594,WBGene00219594,History: N.A.
WBGene00021019,44.92029259,80.81439956,9876.033976,13876.06079,11876.04738,62.86734608,0.005293625,0.005293625,7.37e-19,0,W04B5.2,WBGene00021019,WBGene00021019,"History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
WBGene00219771,7.398636427,12.34664438,1680.849136,2546.480369,2113.664752,9.872640402,0.004670864,0.004670864,3.36e-18,linc-24,Y82E9BR.31,WBGene00219771,WBGene00219771,History: N.A.
