gene,1: eri-6,2: eri-6,3: wt,4: wt,average wt,average eri6,eri6/wt,fold change,pvalue,gene name,seq name,Input,Suggested Match,History
WBGene00219304,12.59474574,15.0195761,4679.891166,3410.656747,4045.273957,13.80716092,0.003413158,0.00341316,7.17e-18,0,F56D6.16,WBGene00219304,WBGene00219304,History: N.A.
WBGene00219689,2.518949148,1.155352008,1272.039632,1547.99153,1410.015581,1.837150578,0.001302929,0.00130293,1.6e-17,linc-41,F36A4.22,WBGene00219689,WBGene00219689,History: N.A.
WBGene00219661,6.717197727,5.776760039,1854.073681,2459.02261,2156.548146,6.246978883,0.002896749,0.00289675,2.19e-17,linc-45,C44B11.9,WBGene00219661,WBGene00219661,History: N.A.
WBGene00044478,11.75509602,23.10704015,3423.035031,5489.025703,4456.030367,17.43106809,0.003911793,0.00391179,3.64e-16,0,K06B9.6,WBGene00044478,WBGene00044478,History: N.A.
WBGene00194708,3.358598864,10.39816807,3739.357884,2127.853931,2933.605907,6.878383467,0.002344686,0.00234469,4.18e-16,0,Y36E3A.2,WBGene00194708,WBGene00194708,History: N.A.
WBGene00269383,32.74633892,32.34985622,5041.76451,5241.600827,5141.682669,32.54809757,0.006330242,0.00633024,8.88e-16,0,ZK384.7,WBGene00269383,WBGene00269383,History: N.A.
WBGene00044167,13.43439545,27.72844819,3493.047823,5959.767389,4726.407606,20.58142182,0.004354559,0.00435456,1.72e-15,0,C36A4.11,WBGene00044167,WBGene00044167,History: N.A.
WBGene00014562,8.396497159,10.39816807,2342.476166,1597.476505,1969.976335,9.397332614,0.004770277,0.00477028,2.07e-15,0,Y17D7B.7,WBGene00014562,WBGene00014562,History: N.A.
WBGene00003356,10.07579659,4.621408031,1670.184663,1922.300957,1796.24281,7.348602311,0.004091096,0.0040911,3.11e-15,mir-262,ZK384.5,WBGene00003356,WBGene00003356,History: N.A.
WBGene00021018,14.27404517,35.81591224,4050.619571,9346.316072,6698.467822,25.04497871,0.003738912,0.00373891,9.32e-15,0,W04B5.1,WBGene00021018,WBGene00021018,History: N.A.
WBGene00219477,4.198248579,3.466056023,1315.903068,692.7896518,1004.34636,3.832152301,0.003815568,0.00381557,4.68e-14,0,F57G8.14,WBGene00219477,WBGene00219477,History: N.A.
WBGene00219594,4.198248579,3.466056023,1269.509049,677.5635056,973.5362775,3.832152301,0.003936322,0.00393632,6.08e-14,linc-59,F57G8.15,WBGene00219594,WBGene00219594,History: N.A.
WBGene00219688,4.198248579,10.39816807,1126.952884,1952.753249,1539.853066,7.298208325,0.004739549,0.00473955,1.02e-13,linc-21,F36A4.21,WBGene00219688,WBGene00219688,History: N.A.
WBGene00044559,14.27404517,16.17492811,1528.472025,2167.188142,1847.830083,15.22448664,0.008239116,0.00823912,1.97e-13,0,ZK380.5,WBGene00044559,WBGene00044559,History: N.A.
WBGene00012452,38.62388693,53.14619236,3997.477332,5175.62086,4586.549096,45.88503964,0.010004262,0.01000426,2.96e-13,0,Y17D7B.4,WBGene00012452,WBGene00012452,History: N.A.
WBGene00219307,11.75509602,30.0391522,3201.187271,2472.979911,2837.083591,20.89712411,0.007365706,0.00736571,5.17e-13,0,F56D6.17,WBGene00219307,WBGene00219307,History: N.A.
WBGene00195029,1.679299432,5.776760039,726.2772701,827.2872765,776.7822733,3.728029735,0.004799324,0.00479932,1.29e-12,0,Y37E11B.11,WBGene00195029,WBGene00195029,History: N.A.
WBGene00189975,4.198248579,11.55352008,1029.947209,1351.320475,1190.633842,7.875884328,0.006614867,0.00661487,1.54e-12,0,K02E2.12,WBGene00189975,WBGene00189975,History: N.A.
WBGene00010100,10.07579659,17.33028012,1535.220246,1360.202393,1447.711319,13.70303835,0.009465311,0.00946531,1.86e-12,0,F55C9.3,WBGene00010100,WBGene00010100,History: N.A.
WBGene00010102,4.198248579,6.932112046,763.3924848,697.8650339,730.6287593,5.565180313,0.007616974,0.00761697,3.57e-12,0,F55C9.5,WBGene00010102,WBGene00010102,History: N.A.
WBGene00171981,0,0,362.7168712,356.54559,359.6312306,0,0,0,4.09e-12,21ur-9823,Y82E9BR.24,WBGene00171981,WBGene00171981,History: N.A.
WBGene00021019,52.8979321,135.1761849,7969.648836,10530.14894,9249.898887,94.0370585,0.01016628,0.01016628,5.21e-12,0,W04B5.2,WBGene00021019,WBGene00021019,"History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
WBGene00219660,6.717197727,5.776760039,642.7680369,780.3399924,711.5540147,6.246978883,0.008779346,0.00877935,7.44e-12,linc-19,C44B11.8,WBGene00219660,WBGene00219660,History: N.A.
WBGene00219687,5.037898295,3.466056023,506.1165645,626.809685,566.4631247,4.251977159,0.007506185,0.00750619,1.23e-11,linc-12,F34D6.11,WBGene00219687,WBGene00219687,History: N.A.
