# Table S2: A full list of the 310 epigenetic and small RNA factors that were examined in this study and their regulation in HSF-1High and HSF-1Low worms.
...1,UP_in_HSF-1High,DOWN_in_HSF-1High,UP_in_HSF-1Low,DOWN_in_HSF-1Low,Input,Suggested Match,History
WBGene00000019,Yes,No,No,No,WBGene00000019,WBGene00000019,History: N.A.
WBGene00000041,No,Yes,No,No,WBGene00000041,WBGene00000041,History: N.A.
WBGene00000079,No,No,No,No,WBGene00000079,WBGene00000079,History: N.A.
WBGene00000080,No,Yes,No,No,WBGene00000080,WBGene00000080,History: N.A.
WBGene00000105,No,No,No,No,WBGene00000105,WBGene00000105,History: N.A.
WBGene00000106,No,Yes,No,No,WBGene00000106,WBGene00000106,History: N.A.
WBGene00000137,No,No,No,No,WBGene00000137,WBGene00000137,History: N.A.
WBGene00000366,No,No,Yes,No,WBGene00000366,WBGene00000366,History: N.A.
WBGene00000411,No,Yes,Yes,No,WBGene00000411,WBGene00000411,History: N.A.
WBGene00000414,No,No,No,Yes,WBGene00000414,WBGene00000414,History: N.A.
WBGene00000479,No,Yes,No,No,WBGene00000479,WBGene00000479,History: N.A.
WBGene00000774,No,No,No,No,WBGene00000774,WBGene00000774,History: N.A.
WBGene00000939,No,No,Yes,No,WBGene00000939,WBGene00000939,History: N.A.
WBGene00000940,No,Yes,No,No,WBGene00000940,WBGene00000940,History: Renamed on 2005-12-19
WBGene00001086,No,No,No,No,WBGene00001086,WBGene00001086,History: N.A.
WBGene00001088,No,Yes,No,No,WBGene00001088,WBGene00001088,History: N.A.
WBGene00001090,No,Yes,No,No,WBGene00001090,WBGene00001090,History: N.A.
WBGene00001091,Yes,No,No,No,WBGene00001091,WBGene00001091,History: N.A.
WBGene00001214,No,Yes,No,No,WBGene00001214,WBGene00001214,History: N.A.
WBGene00001258,No,No,No,No,WBGene00001258,WBGene00001258,History: Renamed on 2006-10-16
WBGene00001332,No,Yes,Yes,No,WBGene00001332,WBGene00001332,History: N.A.
WBGene00001435,No,No,No,No,WBGene00001435,WBGene00001435,History: N.A.
WBGene00001436,No,No,No,No,WBGene00001436,WBGene00001436,"History: Split into C29F7.10(WBGene00206389). History of WBGene00001436: Split into ""WBGene00206389"" on 2011-01-21"
WBGene00001437,No,No,Yes,No,WBGene00001437,WBGene00001437,History: N.A.
WBGene00001470,No,Yes,Yes,No,WBGene00001470,WBGene00001470,History: Renamed on 2014-10-08
WBGene00001568,No,Yes,No,No,WBGene00001568,WBGene00001568,History: Renamed on 2013-07-04
WBGene00001569,No,Yes,Yes,No,WBGene00001569,WBGene00001569,History: Renamed on 2014-08-15
WBGene00001584,No,Yes,No,No,WBGene00001584,WBGene00001584,History: Renamed on 2011-05-17
WBGene00001585,No,Yes,No,Yes,WBGene00001585,WBGene00001585,History: N.A.
WBGene00001598,No,Yes,No,No,WBGene00001598,WBGene00001598,History: N.A.
WBGene00001812,No,Yes,Yes,No,WBGene00001812,WBGene00001812,History: N.A.
WBGene00001814,Yes,No,No,No,WBGene00001814,WBGene00001814,History: N.A.
WBGene00001816,No,Yes,No,Yes,WBGene00001816,WBGene00001816,History: N.A.
WBGene00001819,Yes,No,No,No,WBGene00001819,WBGene00001819,History: N.A.
WBGene00001836,No,Yes,Yes,No,WBGene00001836,WBGene00001836,History: N.A.
WBGene00001852,Yes,No,No,No,WBGene00001852,WBGene00001852,History: N.A.
WBGene00001853,Yes,No,No,Yes,WBGene00001853,WBGene00001853,History: Renamed on 2010-11-12
WBGene00001854,No,No,No,Yes,WBGene00001854,WBGene00001854,History: Renamed on 2010-11-12
WBGene00001855,No,Yes,No,No,WBGene00001855,WBGene00001855,History: Renamed on 2010-11-12
WBGene00001856,No,No,No,No,WBGene00001856,WBGene00001856,History: Renamed on 2010-11-12
WBGene00001858,No,No,No,No,WBGene00001858,WBGene00001858,History: Renamed on 2010-11-12
WBGene00001898,Yes,No,No,No,WBGene00001898,WBGene00001898,History: Renamed on 2010-11-12
WBGene00001995,No,No,Yes,No,WBGene00001995,WBGene00001995,History: N.A.
WBGene00001996,No,Yes,No,No,WBGene00001996,WBGene00001996,History: N.A.
WBGene00002074,No,Yes,Yes,No,WBGene00002074,WBGene00002074,History: N.A.
WBGene00002076,No,Yes,Yes,No,WBGene00002076,WBGene00002076,History: N.A.
WBGene00002079,No,Yes,Yes,No,WBGene00002079,WBGene00002079,History: Renamed on 2008-01-30
WBGene00002169,No,Yes,Yes,No,WBGene00002169,WBGene00002169,History: N.A.
WBGene00002196,No,Yes,No,No,WBGene00002196,WBGene00002196,History: N.A.
WBGene00002207,No,No,No,No,WBGene00002207,WBGene00002207,History: Renamed on 2012-11-07
WBGene00002804,No,No,No,No,WBGene00002804,WBGene00002804,History: Renamed on 2014-09-04
WBGene00002990,No,No,No,No,WBGene00002990,WBGene00002990,History: Renamed on 2011-11-08
WBGene00002994,No,Yes,Yes,No,WBGene00002994,WBGene00002994,History: N.A.
WBGene00003014,No,No,No,No,WBGene00003014,WBGene00003014,History: N.A.
WBGene00003220,No,No,Yes,No,WBGene00003220,WBGene00003220,History: N.A.
WBGene00003221,No,No,Yes,No,WBGene00003221,WBGene00003221,History: N.A.
WBGene00003222,No,Yes,Yes,No,WBGene00003222,WBGene00003222,History: N.A.
WBGene00003224,No,No,No,No,WBGene00003224,WBGene00003224,History: N.A.
WBGene00003367,No,Yes,Yes,No,WBGene00003367,WBGene00003367,History: N.A.
WBGene00003390,No,No,No,No,WBGene00003390,WBGene00003390,History: Renamed on 2011-05-05
WBGene00003391,No,Yes,Yes,No,WBGene00003391,WBGene00003391,History: N.A.
WBGene00003395,No,Yes,Yes,No,WBGene00003395,WBGene00003395,History: N.A.
WBGene00003406,No,Yes,No,No,WBGene00003406,WBGene00003406,History: N.A.
WBGene00003407,Yes,No,No,No,WBGene00003407,WBGene00003407,History: N.A.
WBGene00003472,No,No,Yes,No,WBGene00003472,WBGene00003472,History: N.A.
WBGene00003499,No,Yes,No,No,WBGene00003499,WBGene00003499,History: Renamed on 2006-07-10
WBGene00003504,No,Yes,Yes,No,WBGene00003504,WBGene00003504,History: N.A.
WBGene00003507,No,Yes,No,No,WBGene00003507,WBGene00003507,History: N.A.
WBGene00003508,No,Yes,No,No,WBGene00003508,WBGene00003508,History: Renamed on 2013-10-16
WBGene00003559,No,No,Yes,No,WBGene00003559,WBGene00003559,History: N.A.
WBGene00003598,No,Yes,Yes,No,WBGene00003598,WBGene00003598,History: N.A.
WBGene00003787,No,Yes,No,No,WBGene00003787,WBGene00003787,History: N.A.
WBGene00003795,No,Yes,Yes,No,WBGene00003795,WBGene00003795,History: N.A.
WBGene00003802,No,Yes,No,No,WBGene00003802,WBGene00003802,History: N.A.
WBGene00003901,No,Yes,No,No,WBGene00003901,WBGene00003901,History: N.A.
WBGene00003992,No,Yes,No,No,WBGene00003992,WBGene00003992,History: N.A.
WBGene00003998,No,No,No,No,WBGene00003998,WBGene00003998,History: N.A.
WBGene00004005,No,No,No,Yes,WBGene00004005,WBGene00004005,History: N.A.
WBGene00004077,No,No,Yes,No,WBGene00004077,WBGene00004077,History: N.A.
WBGene00004090,No,Yes,No,No,WBGene00004090,WBGene00004090,History: Renamed on 2018-07-02
WBGene00004093,No,Yes,Yes,No,WBGene00004093,WBGene00004093,History: Renamed on 2011-10-14
WBGene00004094,No,No,Yes,No,WBGene00004094,WBGene00004094,History: Renamed on 2011-10-14
WBGene00004117,No,Yes,Yes,No,WBGene00004117,WBGene00004117,History: Renamed on 2007-06-21
WBGene00004152,No,Yes,No,Yes,WBGene00004152,WBGene00004152,History: N.A.
WBGene00004178,No,Yes,Yes,No,WBGene00004178,WBGene00004178,History: N.A.
WBGene00004179,No,Yes,No,No,WBGene00004179,WBGene00004179,History: Renamed on 2007-11-05
WBGene00004188,No,Yes,Yes,No,WBGene00004188,WBGene00004188,History: N.A.
WBGene00004304,No,Yes,No,No,WBGene00004304,WBGene00004304,History: N.A.
WBGene00004312,No,Yes,Yes,No,WBGene00004312,WBGene00004312,History: N.A.
WBGene00004319,No,No,Yes,No,WBGene00004319,WBGene00004319,History: N.A.
WBGene00004323,No,Yes,No,No,WBGene00004323,WBGene00004323,History: N.A.
WBGene00004324,No,Yes,Yes,No,WBGene00004324,WBGene00004324,History: N.A.
WBGene00004326,No,Yes,Yes,No,WBGene00004326,WBGene00004326,History: N.A.
WBGene00004355,No,Yes,Yes,No,WBGene00004355,WBGene00004355,History: N.A.
WBGene00004385,No,No,No,Yes,WBGene00004385,WBGene00004385,History: N.A.
WBGene00004386,No,Yes,No,No,WBGene00004386,WBGene00004386,History: N.A.
WBGene00004439,No,Yes,No,No,WBGene00004439,WBGene00004439,History: N.A.
WBGene00004466,No,Yes,No,No,WBGene00004466,WBGene00004466,History: N.A.
WBGene00004468,No,Yes,No,No,WBGene00004468,WBGene00004468,History: N.A.
WBGene00004508,No,Yes,No,No,WBGene00004508,WBGene00004508,History: N.A.
WBGene00004509,No,No,Yes,No,WBGene00004509,WBGene00004509,History: N.A.
WBGene00004510,No,Yes,Yes,No,WBGene00004510,WBGene00004510,History: Renamed on 2016-06-06
WBGene00004681,No,No,Yes,No,WBGene00004681,WBGene00004681,History: N.A.
WBGene00004682,No,No,No,No,WBGene00004682,WBGene00004682,History: N.A.
WBGene00004684,No,Yes,Yes,No,WBGene00004684,WBGene00004684,History: N.A.
WBGene00004704,No,Yes,No,No,WBGene00004704,WBGene00004704,History: N.A.
WBGene00004745,No,Yes,Yes,No,WBGene00004745,WBGene00004745,History: N.A.
WBGene00004747,No,Yes,Yes,No,WBGene00004747,WBGene00004747,History: N.A.
