# Table S1: DESeq2 results of differentially expressed genes in the different states of inheritance (Silencers/non-silencers)
...1,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Input,Suggested Match,History
WBGene00000668,col-93,2791.17275,2.078618933,0.206223411,10.0794518,6.81e-24,6.48e-20,col-93,WBGene00000668,Public name for WBGene00000668. History: N.A.
WBGene00195164,K12B6.11,24.66070078,2.016686477,0.623417561,3.234888785,0.001216901,0.050589081,K12B6.11,WBGene00195164,Public name for WBGene00195164. History: N.A.
WBGene00219423,C23H5.15,33.18969163,1.952593493,0.5106946,3.823407362,0.00013162,0.010801922,C23H5.15,WBGene00219423,Public name for WBGene00219423. History: N.A.
WBGene00000669,col-94,27.73192368,1.74557867,0.461538759,3.782084679,0.00015552,0.012037029,col-94,WBGene00000669,Public name for WBGene00000669. History: N.A.
WBGene00011926,sptf-2,49.95575755,1.695861637,0.467405201,3.628247253,0.000285352,0.017872041,sptf-2,WBGene00011926,Public name for WBGene00011926. History: N.A.
WBGene00000698,col-124,5924.972105,1.644990429,0.188584327,8.722837455,2.71e-18,1.29e-14,col-124,WBGene00000698,Public name for WBGene00000698. History: N.A.
WBGene00000611,col-34,134.1953594,1.625583161,0.275856113,5.892866179,3.8e-09,2.13e-06,col-34,WBGene00000611,Public name for WBGene00000611. History: N.A.
WBGene00000726,col-153,51.01566303,1.604840007,0.382934397,4.190900632,2.78e-05,0.003148959,col-153,WBGene00000726,Public name for WBGene00000726. History: N.A.
WBGene00012323,oac-54,35.51002483,1.60265447,0.550008557,2.913871884,0.003569764,0.098508876,oac-54,WBGene00012323,Public name for WBGene00012323. History: N.A.
WBGene00011289,R102.2,23.58445493,1.557794755,0.517273185,3.011551341,0.002599164,0.078264738,R102.2,WBGene00011289,Public name for WBGene00011289. History: N.A.
WBGene00016684,nlp-43,22.82206882,1.49282748,0.511631811,2.917776898,0.003525365,0.098132963,nlp-43,WBGene00016684,Public name for WBGene00016684. History: N.A.
WBGene00000712,col-139,63.8859129,1.441129803,0.401381631,3.590422912,0.000330142,0.019643441,col-139,WBGene00000712,Public name for WBGene00000712. History: N.A.
WBGene00015965,ugt-48,28.52824859,1.431510202,0.473044063,3.026166726,0.002476757,0.077232682,ugt-48,WBGene00015965,Public name for WBGene00015965. History: N.A.
WBGene00044681,T24C4.8,24.83166982,1.416096373,0.472866581,2.994705972,0.002747095,0.081726079,T24C4.8,WBGene00044681,Public name for WBGene00044681. History: N.A.
WBGene00000609,col-20,18712.52995,1.394867144,0.169445054,8.231973188,1.84e-16,4.38e-13,col-20,WBGene00000609,Public name for WBGene00000609. History: N.A.
WBGene00000732,col-159,231.2011576,1.387709468,0.224914821,6.16993341,6.83e-10,5.42e-07,col-159,WBGene00000732,Public name for WBGene00000732. History: N.A.
WBGene00000752,col-179,1742.452835,1.372545129,0.191944753,7.150730141,8.63e-13,1.17e-09,col-179,WBGene00000752,Public name for WBGene00000752. History: N.A.
WBGene00003471,mtd-1,32.06751966,1.356248036,0.420363892,3.226366632,0.001253726,0.051177574,mtd-1,WBGene00003471,Public name for WBGene00003471. History: N.A.
WBGene00016424,C34H4.1,347.4363424,1.351536785,0.254974787,5.300668349,1.15e-07,4.39e-05,C34H4.1,WBGene00016424,Public name for WBGene00016424. History: N.A.
WBGene00077783,D1054.18,168.6204309,1.328998922,0.288546701,4.605836483,4.11e-06,0.0006218,D1054.18,WBGene00077783,Public name for WBGene00077783. History: N.A.
WBGene00010859,M04C9.4,47.07588628,1.301170431,0.374570655,3.473764999,0.00051321,0.027515984,M04C9.4,WBGene00010859,Public name for WBGene00010859. History: N.A.
WBGene00009577,F40F8.4,46.9589785,1.260203594,0.384558055,3.277017811,0.001049098,0.046238002,F40F8.4,WBGene00009577,Public name for WBGene00009577. History: N.A.
WBGene00022411,Y102A11A.1,35.61483479,1.255743979,0.415459145,3.02254504,0.002506588,0.077232682,Y102A11A.1,WBGene00022411,Public name for WBGene00022411. History: N.A.
WBGene00044120,C36B1.13,83.17029276,1.221485839,0.313965521,3.890509484,0.000100034,0.008786437,C36B1.13,WBGene00044120,Public name for WBGene00044120. History: N.A.
WBGene00077775,nlp-58,38.92390193,1.20851417,0.390950742,3.091218507,0.001993369,0.067533351,nlp-58,WBGene00077775,Public name for WBGene00077775. History: N.A.
WBGene00007112,B0035.13,2726.717615,1.195116346,0.388985611,3.072392172,0.002123505,0.071019039,B0035.13,WBGene00007112,Public name for WBGene00007112. History: N.A.
WBGene00007228,acs-7,128.3945924,1.19411497,0.289074117,4.130826318,3.61e-05,0.003781444,acs-7,WBGene00007228,Public name for WBGene00007228. History: N.A.
WBGene00013104,Y51H4A.8,87.04390037,1.178700644,0.306149736,3.850078916,0.00011808,0.009930335,Y51H4A.8,WBGene00013104,Public name for WBGene00013104. History: N.A.
WBGene00219376,C28G1.10,83.60134385,1.173287244,0.314066152,3.73579654,0.000187122,0.01339399,C28G1.10,WBGene00219376,Public name for WBGene00219376. History: N.A.
WBGene00019105,asp-8,99.42141973,1.163820766,0.333958939,3.484921741,0.000492281,0.026780086,asp-8,WBGene00019105,Public name for WBGene00019105. History: N.A.
WBGene00001458,flp-15,48.89251933,1.159161104,0.363909862,3.185297309,0.001446054,0.054846337,flp-15,WBGene00001458,Public name for WBGene00001458. History: N.A.
WBGene00044291,C25F9.10,102.1251781,1.156576836,0.266472165,4.340328891,1.42e-05,0.001816739,C25F9.10,WBGene00044291,Public name for WBGene00044291. History: N.A.
WBGene00044221,F41G3.18,121.7154676,1.145729595,0.301314903,3.80243255,0.000143282,0.011462583,F41G3.18,WBGene00044221,Public name for WBGene00044221. History: N.A.
WBGene00018400,F43H9.4,320.1061451,1.144571313,0.244361368,4.683929065,2.81e-06,0.000470033,F43H9.4,WBGene00018400,Public name for WBGene00018400. History: N.A.
WBGene00014091,ZK822.4,40.26080491,1.142849449,0.369621623,3.091944242,0.001988502,0.067533351,ZK822.4,WBGene00014091,Public name for WBGene00014091. History: N.A.
WBGene00001476,fmo-1,220.7746145,1.142367048,0.245577982,4.651748653,3.29e-06,0.000540231,fmo-1,WBGene00001476,Public name for WBGene00001476. History: N.A.
WBGene00019404,K05B2.4,119.2742179,1.142109566,0.247988443,4.605495129,4.11e-06,0.0006218,K05B2.4,WBGene00019404,Public name for WBGene00019404. History: N.A.
WBGene00000692,col-118,875.0155926,1.140345192,0.156145813,7.303078896,2.81e-13,4.46e-10,col-118,WBGene00000692,Public name for WBGene00000692. History: N.A.
WBGene00022572,ZC239.14,266.4431911,1.130284382,0.230048624,4.91324122,8.96e-07,0.000193825,ZC239.14,WBGene00022572,Public name for WBGene00022572. History: N.A.
WBGene00002012,hsp-12.3,886.0499749,1.120455509,0.186000023,6.023953612,1.7e-09,1.08e-06,hsp-12.3,WBGene00002012,Public name for WBGene00002012. History: N.A.
WBGene00021518,hpo-6,120.5805144,1.097396098,0.287700519,3.814369553,0.000136531,0.011109192,hpo-6,WBGene00021518,Public name for WBGene00021518. History: N.A.
WBGene00007130,B0272.4,194.565512,1.095210793,0.216670646,5.054726203,4.31e-07,0.00011743,B0272.4,WBGene00007130,Public name for WBGene00007130. History: N.A.
WBGene00000597,col-8,662.3479633,1.093265113,0.167806889,6.515019244,7.27e-11,6.92e-08,col-8,WBGene00000597,Public name for WBGene00000597. History: N.A.
WBGene00003755,nlp-17,134.7510717,1.053694651,0.268505546,3.924293799,8.7e-05,0.007886597,nlp-17,WBGene00003755,Public name for WBGene00003755. History: N.A.
WBGene00010063,dhrs-4,186.7488451,1.052690922,0.211871487,4.968535121,6.75e-07,0.000160556,dhrs-4,WBGene00010063,Public name for WBGene00010063. History: N.A.
WBGene00000608,col-19,4818.473228,1.050335451,0.17507735,5.999265175,1.98e-09,1.18e-06,col-19,WBGene00000608,Public name for WBGene00000608. History: N.A.
WBGene00044073,tag-244,134.6552495,1.049467943,0.253058251,4.147139793,3.37e-05,0.003683852,tag-244,WBGene00044073,Public name for WBGene00044073. History: N.A.
WBGene00003175,mec-12,151.4850694,1.042942297,0.276381846,3.773555719,0.000160937,0.012316571,mec-12,WBGene00003175,Public name for WBGene00003175. History: N.A.
WBGene00001692,grd-3,430.0682889,1.041956376,0.217719474,4.785774828,1.7e-06,0.000327362,grd-3,WBGene00001692,Public name for WBGene00001692. History: N.A.
WBGene00045392,F26D11.12,109.8420518,1.040527989,0.274968213,3.784175546,0.000154219,0.012034134,F26D11.12,WBGene00045392,Public name for WBGene00045392. History: N.A.
WBGene00003171,mec-7,101.1461698,1.035676639,0.319982821,3.236663258,0.00120936,0.050496096,mec-7,WBGene00003171,Public name for WBGene00003171. History: N.A.
WBGene00003094,lys-5,556.3501519,1.028976982,0.183929712,5.594403259,2.21e-08,9.58e-06,lys-5,WBGene00003094,Public name for WBGene00003094. History: N.A.
