# Supplementary File 3,Sheet 11: Small RNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for 10 generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen10),Input,Suggested Match,History
WBGene00021986,6.20030330671768,5.87437729305569,WBGene00021986,WBGene00021986,History: N.A.
WBGene00013587,5.91535545222693,4.78628808953771,WBGene00013587,WBGene00013587,History: N.A.
WBGene00003385,5.58500752820082,2.95570216045217,WBGene00003385,WBGene00003385,History: N.A.
WBGene00001890,5.40337767835122,3.11679957594328,WBGene00001890,WBGene00001890,History: N.A.
WBGene00001899,5.22283859525852,4.77708837904144,WBGene00001899,WBGene00001899,History: N.A.
WBGene00019997,5.00381722608575,4.02683211611037,WBGene00019997,WBGene00019997,History: N.A.
WBGene00001791,4.93696826666407,3.98285621230124,WBGene00001791,WBGene00001791,History: N.A.
WBGene00001916,4.82578422708646,4.14627428288377,WBGene00001916,WBGene00001916,History: N.A.
WBGene00012867,4.7105776172169,4.1067537814983,WBGene00012867,WBGene00012867,History: N.A.
WBGene00021020,4.68660011033316,4.23223369335766,WBGene00021020,WBGene00021020,History: N.A.
WBGene00001883,4.6790298060313,4.58366550145368,WBGene00001883,WBGene00001883,History: N.A.
WBGene00001887,4.66234261679218,4.08695559535985,WBGene00001887,WBGene00001887,History: N.A.
WBGene00001906,4.65827593868063,3.57394839254134,WBGene00001906,WBGene00001906,History: N.A.
WBGene00017153,4.60443131804465,2.67949209332227,WBGene00017153,WBGene00017153,History: N.A.
WBGene00010768,4.52099335892499,1.4147796854054,WBGene00010768,WBGene00010768,History: N.A.
WBGene00001886,4.30770588962796,2.69516739744948,WBGene00001886,WBGene00001886,History: N.A.
WBGene00018330,4.24824778098317,1.25731483407758,WBGene00018330,WBGene00018330,History: N.A.
WBGene00019096,4.17408686381547,1.01217446297254,WBGene00019096,WBGene00019096,History: N.A.
WBGene00200004,4.17333628593252,3.85621858950195,WBGene00200004,WBGene00200004,History: N.A.
WBGene00001917,4.13252178941054,2.76905573106019,WBGene00001917,WBGene00001917,History: N.A.
WBGene00006508,4.12706554085758,5.33576727000057,WBGene00006508,WBGene00006508,History: Renamed on 2015-11-05
WBGene00012673,4.08196144936376,1.61283560924954,WBGene00012673,WBGene00012673,History: N.A.
WBGene00001893,3.77461828664841,1.30233132245185,WBGene00001893,WBGene00001893,History: N.A.
WBGene00199162,3.72728305642457,4.03940488161665,WBGene00199162,WBGene00199162,History: N.A.
WBGene00013358,3.69056285691537,3.64070644241079,WBGene00013358,WBGene00013358,History: N.A.
WBGene00021340,3.68550370358923,2.16542622984532,WBGene00021340,WBGene00021340,History: N.A.
WBGene00001881,3.64574348720005,1.53839377216124,WBGene00001881,WBGene00001881,History: N.A.
WBGene00011805,3.61685205549944,3.80350499581855,WBGene00011805,WBGene00011805,History: N.A.
WBGene00014259,3.56905205601565,2.6550015744177,WBGene00014259,WBGene00014259,History: N.A.
WBGene00001907,3.50340838353718,1.48413467713951,WBGene00001907,WBGene00001907,History: N.A.
WBGene00001927,3.48899727077717,1.26408119271344,WBGene00001927,WBGene00001927,History: N.A.
WBGene00001895,3.44291589032717,1.29264780666265,WBGene00001895,WBGene00001895,History: N.A.
WBGene00001925,3.29528371917079,1.14662401057859,WBGene00001925,WBGene00001925,History: N.A.
WBGene00001904,3.26773318048847,1.21133140339096,WBGene00001904,WBGene00001904,History: N.A.
WBGene00001942,3.19191821619699,1.46958208560382,WBGene00001942,WBGene00001942,History: N.A.
WBGene00022542,3.19086158768292,1.97581387563283,WBGene00022542,WBGene00022542,History: N.A.
WBGene00018720,3.18395175908819,1.24799134882419,WBGene00018720,WBGene00018720,History: N.A.
WBGene00001032,3.09277022840453,2.47754020342483,WBGene00001032,WBGene00001032,History: N.A.
WBGene00001900,2.96323754199958,2.98707300622185,WBGene00001900,WBGene00001900,History: N.A.
WBGene00001888,2.96250581801452,2.96302734364879,WBGene00001888,WBGene00001888,History: N.A.
WBGene00016492,2.94602775322085,1.35835087830468,WBGene00016492,WBGene00016492,History: N.A.
WBGene00020507,2.79873000734083,1.6592941533336,WBGene00020507,WBGene00020507,History: Renamed on 2005-03-17
WBGene00001877,2.73549206334089,1.44139424875523,WBGene00001877,WBGene00001877,History: N.A.
WBGene00001884,2.72661421721278,3.08779642821182,WBGene00001884,WBGene00001884,History: N.A.
WBGene00016561,2.65575932380154,2.12911771902832,WBGene00016561,WBGene00016561,History: N.A.
