# Supplementary File 3,Sheet 12: Small RNAs significantly down-regulated 2 fold or greater in mut-16 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00005257,-10.2618248901364,WBGene00005257,WBGene00005257,History: N.A.
WBGene00010148,-9.71514433395013,WBGene00010148,WBGene00010148,History: N.A.
WBGene00013288,-9.53805410335297,WBGene00013288,WBGene00013288,History: N.A.
WBGene00016308,-9.46963688874925,WBGene00016308,WBGene00016308,History: N.A.
WBGene00021274,-9.30390326099504,WBGene00021274,WBGene00021274,History: N.A.
WBGene00005308,-9.29707931069776,WBGene00005308,WBGene00005308,History: N.A.
WBGene00007485,-9.17175367708933,WBGene00007485,WBGene00007485,History: N.A.
WBGene00008086,-9.12992287388072,WBGene00008086,WBGene00008086,History: N.A.
WBGene00044443,-9.12284333463802,WBGene00044443,WBGene00044443,History: N.A.
WBGene00015895,-9.10675301152833,WBGene00015895,WBGene00015895,History: N.A.
WBGene00018711,-9.08233735075227,WBGene00018711,WBGene00018711,History: N.A.
WBGene00022446,-9.05136498928412,WBGene00022446,WBGene00022446,History: N.A.
WBGene00001523,-9.02852633359278,WBGene00001523,WBGene00001523,History: N.A.
WBGene00002246,-9.02437176606463,WBGene00002246,WBGene00002246,History: N.A.
WBGene00019863,-8.99314948296671,WBGene00019863,WBGene00019863,History: N.A.
WBGene00219957,-8.95924685826087,WBGene00219957,WBGene00219957,History: N.A.
WBGene00011267,-8.94201326411659,WBGene00011267,WBGene00011267,History: N.A.
WBGene00022443,-8.89540232188875,WBGene00022443,WBGene00022443,History: N.A.
WBGene00020560,-8.88877115474559,WBGene00020560,WBGene00020560,History: N.A.
WBGene00020306,-8.86444780769276,WBGene00020306,WBGene00020306,History: N.A.
WBGene00019420,-8.81518078203297,WBGene00019420,WBGene00019420,History: N.A.
WBGene00044692,-8.80934775199851,WBGene00044692,WBGene00044692,History: N.A.
WBGene00086555,-8.78870414181465,WBGene00086555,WBGene00086555,History: N.A.
WBGene00006756,-8.78533947446943,WBGene00006756,WBGene00006756,History: N.A.
WBGene00012899,-8.76855087519008,WBGene00012899,WBGene00012899,History: N.A.
WBGene00013622,-8.76488453485875,WBGene00013622,WBGene00013622,History: N.A.
WBGene00000819,-8.74794589903017,WBGene00000819,WBGene00000819,History: N.A.
WBGene00019705,-8.73915893675203,WBGene00019705,WBGene00019705,History: N.A.
WBGene00015430,-8.72289871002923,WBGene00015430,WBGene00015430,History: N.A.
WBGene00045056,-8.71026376917368,WBGene00045056,WBGene00045056,History: N.A.
WBGene00015888,-8.69743981818195,WBGene00015888,WBGene00015888,History: N.A.
WBGene00013062,-8.69121879517582,WBGene00013062,WBGene00013062,History: N.A.
WBGene00022438,-8.67664116903979,WBGene00022438,WBGene00022438,History: N.A.
WBGene00016487,-8.67494166618087,WBGene00016487,WBGene00016487,History: N.A.
WBGene00044606,-8.66728663189544,WBGene00044606,WBGene00044606,History: N.A.
WBGene00005191,-8.65094184355436,WBGene00005191,WBGene00005191,History: N.A.
WBGene00194675,-8.64817132428931,WBGene00194675,WBGene00194675,History: N.A.
WBGene00008695,-8.64439834424381,WBGene00008695,WBGene00008695,History: N.A.
WBGene00011393,-8.62646886515024,WBGene00011393,WBGene00011393,History: N.A.
WBGene00013614,-8.60237456709812,WBGene00013614,WBGene00013614,History: N.A.
WBGene00013666,-8.59873439210981,WBGene00013666,WBGene00013666,History: N.A.
WBGene00197843,-8.59501010063207,WBGene00197843,WBGene00197843,History: N.A.
WBGene00021505,-8.58990228566071,WBGene00021505,WBGene00021505,History: N.A.
WBGene00018456,-8.58560553397881,WBGene00018456,WBGene00018456,History: N.A.
WBGene00017571,-8.58072294513683,WBGene00017571,WBGene00017571,History: Renamed on 2016-08-08
WBGene00020212,-8.57832432099021,WBGene00020212,WBGene00020212,History: N.A.
WBGene00007769,-8.57382417661011,WBGene00007769,WBGene00007769,History: N.A.
WBGene00022726,-8.55286894711745,WBGene00022726,WBGene00022726,History: N.A.
WBGene00009148,-8.54946646240482,WBGene00009148,WBGene00009148,History: N.A.
WBGene00269383,-8.54488379273622,WBGene00269383,WBGene00269383,History: N.A.
WBGene00016641,-8.53757317819556,WBGene00016641,WBGene00016641,History: N.A.
WBGene00017639,-8.53244722406981,WBGene00017639,WBGene00017639,History: N.A.
WBGene00003075,-8.52950285888016,WBGene00003075,WBGene00003075,History: N.A.
WBGene00014063,-8.51633922185417,WBGene00014063,WBGene00014063,History: N.A.
WBGene00021483,-8.50674235844788,WBGene00021483,WBGene00021483,History: N.A.
WBGene00175029,-8.48563117895176,WBGene00175029,WBGene00175029,History: N.A.
WBGene00009788,-8.47573869692604,WBGene00009788,WBGene00009788,History: N.A.
WBGene00013511,-8.4747549684082,WBGene00013511,WBGene00013511,"History: Split into Y71A12B.18(WBGene00045077). History of WBGene00013511: Split into ""WBGene00045077"" on 2006-10-17"
WBGene00202374,-8.47177990233202,WBGene00202374,WBGene00202374,History: N.A.
WBGene00016076,-8.46959567725761,WBGene00016076,WBGene00016076,History: N.A.
WBGene00013618,-8.46284988810988,WBGene00013618,WBGene00013618,History: N.A.
WBGene00044200,-8.45259952883141,WBGene00044200,WBGene00044200,History: N.A.
WBGene00021130,-8.4441360837239,WBGene00021130,WBGene00021130,History: N.A.
WBGene00022640,-8.42240489839742,WBGene00022640,WBGene00022640,History: N.A.
WBGene00002088,-8.41822032408627,WBGene00002088,WBGene00002088,History: N.A.
WBGene00194981,-8.41673370941242,WBGene00194981,WBGene00194981,History: N.A.
WBGene00007218,-8.4053444444813,WBGene00007218,WBGene00007218,History: N.A.
WBGene00017182,-8.40487222807688,WBGene00017182,WBGene00017182,History: N.A.
WBGene00014858,-8.40056429234922,WBGene00014858,WBGene00014858,History: N.A.
WBGene00010330,-8.39567266072777,WBGene00010330,WBGene00010330,History: N.A.
WBGene00008270,-8.38771485141396,WBGene00008270,WBGene00008270,History: N.A.
WBGene00018204,-8.38274247735103,WBGene00018204,WBGene00018204,History: N.A.
WBGene00008937,-8.37324411238763,WBGene00008937,WBGene00008937,History: N.A.
WBGene00020666,-8.35794911860315,WBGene00020666,WBGene00020666,History: N.A.
WBGene00010311,-8.35730864892261,WBGene00010311,WBGene00010311,History: N.A.
WBGene00018760,-8.34408028172303,WBGene00018760,WBGene00018760,History: N.A.
WBGene00012124,-8.33397257572557,WBGene00012124,WBGene00012124,History: N.A.
WBGene00008226,-8.3282671565631,WBGene00008226,WBGene00008226,History: N.A.
WBGene00021835,-8.32805715496309,WBGene00021835,WBGene00021835,History: N.A.
WBGene00012961,-8.31967412623277,WBGene00012961,WBGene00012961,History: N.A.
WBGene00003552,-8.3172794130956,WBGene00003552,WBGene00003552,History: N.A.
WBGene00012396,-8.31691365987407,WBGene00012396,WBGene00012396,History: N.A.
WBGene00001247,-8.30835560160516,WBGene00001247,WBGene00001247,History: N.A.
WBGene00197474,-8.29846955168434,WBGene00197474,WBGene00197474,History: N.A.
WBGene00044372,-8.29662760152056,WBGene00044372,WBGene00044372,History: N.A.
WBGene00195183,-8.29634270274594,WBGene00195183,WBGene00195183,History: N.A.
WBGene00017949,-8.29427901580809,WBGene00017949,WBGene00017949,"History: Split into F31D5.7(WBGene00206414). History of WBGene00017949: Split into ""WBGene00206414"" on 2011-02-28"
WBGene00012985,-8.28537600451152,WBGene00012985,WBGene00012985,History: N.A.
WBGene00077756,-8.27825128547705,WBGene00077756,WBGene00077756,History: N.A.
WBGene00020669,-8.27587636305745,WBGene00020669,WBGene00020669,History: N.A.
WBGene00012061,-8.26944278774648,WBGene00012061,WBGene00012061,History: N.A.
WBGene00044768,-8.26108749836184,WBGene00044768,WBGene00044768,History: N.A.
WBGene00019638,-8.25280594843099,WBGene00019638,WBGene00019638,History: N.A.
WBGene00021976,-8.2367062233806,WBGene00021976,WBGene00021976,History: N.A.
WBGene00196365,-8.23050830913801,WBGene00196365,WBGene00196365,History: N.A.
WBGene00018252,-8.22809295385458,WBGene00018252,WBGene00018252,History: N.A.
WBGene00219932,-8.22662194039237,WBGene00219932,WBGene00219932,History: N.A.
WBGene00016110,-8.22217527304441,WBGene00016110,WBGene00016110,History: N.A.
WBGene00018186,-8.2208028646164,WBGene00018186,WBGene00018186,History: N.A.
WBGene00009061,-8.21398415960084,WBGene00009061,WBGene00009061,"History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
WBGene00219571,-8.19600692769552,WBGene00219571,WBGene00219571,History: N.A.
WBGene00044217,-8.19097390511127,WBGene00044217,WBGene00044217,History: N.A.
WBGene00012499,-8.18993740890079,WBGene00012499,WBGene00012499,History: N.A.
WBGene00002222,-8.18651714156859,WBGene00002222,WBGene00002222,"History: Split into F20C5.11(WBGene00303015). History of WBGene00002222: Split into ""WBGene00303015"" on 2018-03-06"
WBGene00010585,-8.17813520285184,WBGene00010585,WBGene00010585,History: N.A.
