# Supplementary File 3,Sheet 13: Small RNAs significantly up-regulated 2 fold or greater in mut-16 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00017059,6.45255718566355,WBGene00017059,WBGene00017059,History: N.A.
WBGene00018500,6.34776937558261,WBGene00018500,WBGene00018500,History: N.A.
WBGene00018497,5.93079757224281,WBGene00018497,WBGene00018497,History: N.A.
WBGene00017058,5.89162046092793,WBGene00017058,WBGene00017058,History: N.A.
WBGene00013858,5.47122765138633,WBGene00013858,WBGene00013858,History: N.A.
WBGene00012294,5.28765940736356,WBGene00012294,WBGene00012294,History: N.A.
WBGene00017542,5.21763434537954,WBGene00017542,WBGene00017542,History: N.A.
WBGene00019026,5.0922848663328,WBGene00019026,WBGene00019026,History: N.A.
WBGene00020715,4.59392062355047,WBGene00020715,WBGene00020715,History: N.A.
WBGene00022751,4.54844748536498,WBGene00022751,WBGene00022751,History: N.A.
WBGene00007307,4.49467446938957,WBGene00007307,WBGene00007307,History: N.A.
WBGene00235359,4.21038275849376,WBGene00235359,WBGene00235359,History: N.A.
WBGene00194700,4.11683456683554,WBGene00194700,WBGene00194700,History: N.A.
WBGene00043147,4.03369068543255,WBGene00043147,WBGene00043147,History: Killed on 2004-10-04; Resurrected on 2006-10-03
WBGene00022899,3.88059519699045,WBGene00022899,WBGene00022899,History: N.A.
WBGene00014339,3.76862839353671,WBGene00014339,WBGene00014339,History: N.A.
WBGene00023175,3.71517712339172,WBGene00023175,WBGene00023175,History: N.A.
WBGene00011346,3.66178779868601,WBGene00011346,WBGene00011346,History: N.A.
WBGene00007733,3.6443280444648,WBGene00007733,WBGene00007733,History: N.A.
WBGene00020840,3.61325573151617,WBGene00020840,WBGene00020840,History: N.A.
WBGene00023207,3.59636657404129,WBGene00023207,WBGene00023207,History: N.A.
WBGene00014154,3.58204513629712,WBGene00014154,WBGene00014154,History: N.A.
WBGene00019084,3.5698066731886,WBGene00019084,WBGene00019084,History: N.A.
WBGene00014525,3.56134458868188,WBGene00014525,WBGene00014525,History: N.A.
WBGene00022952,3.53455943104886,WBGene00022952,WBGene00022952,History: N.A.
WBGene00015689,3.51354973971604,WBGene00015689,WBGene00015689,History: N.A.
WBGene00014459,3.48687821231779,WBGene00014459,WBGene00014459,History: N.A.
WBGene00001170,3.46606878089011,WBGene00001170,WBGene00001170,History: N.A.
WBGene00010474,3.38828638039483,WBGene00010474,WBGene00010474,History: N.A.
WBGene00022897,3.36625004630713,WBGene00022897,WBGene00022897,History: N.A.
WBGene00018121,3.3622394634324,WBGene00018121,WBGene00018121,History: N.A.
WBGene00023176,3.36036877656159,WBGene00023176,WBGene00023176,History: N.A.
WBGene00023123,3.27935657716738,WBGene00023123,WBGene00023123,History: N.A.
WBGene00023174,3.18702450450949,WBGene00023174,WBGene00023174,History: N.A.
