# Supplementary File 3,Sheet 16: Small RNAs significantly down-regulated 2 fold or greater in prg-1 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00022438,-11.8325847795663,WBGene00022438,WBGene00022438,History: N.A.
WBGene00020666,-10.5024974998459,WBGene00020666,WBGene00020666,History: N.A.
WBGene00016076,-10.3382160199907,WBGene00016076,WBGene00016076,History: N.A.
WBGene00022726,-10.178395648353,WBGene00022726,WBGene00022726,History: N.A.
WBGene00007485,-10.0935814473077,WBGene00007485,WBGene00007485,History: N.A.
WBGene00008086,-10.085402189302,WBGene00008086,WBGene00008086,History: N.A.
WBGene00020306,-10.0804138317916,WBGene00020306,WBGene00020306,History: N.A.
WBGene00020669,-10.0502493240401,WBGene00020669,WBGene00020669,History: N.A.
WBGene00006985,-10.0254623129087,WBGene00006985,WBGene00006985,History: N.A.
WBGene00012792,-9.9135827022694,WBGene00012792,WBGene00012792,History: N.A.
WBGene00017405,-9.88142241885509,WBGene00017405,WBGene00017405,History: N.A.
WBGene00044372,-9.83414745184054,WBGene00044372,WBGene00044372,History: N.A.
WBGene00017639,-9.82605979023931,WBGene00017639,WBGene00017639,History: N.A.
WBGene00202374,-9.79740102275512,WBGene00202374,WBGene00202374,History: N.A.
WBGene00013288,-9.77388586721338,WBGene00013288,WBGene00013288,History: N.A.
WBGene00219315,-9.66987666021229,WBGene00219315,WBGene00219315,History: N.A.
WBGene00021274,-9.66264326899683,WBGene00021274,WBGene00021274,History: N.A.
WBGene00022446,-9.65527447582091,WBGene00022446,WBGene00022446,History: N.A.
WBGene00017182,-9.53940252420865,WBGene00017182,WBGene00017182,History: N.A.
WBGene00017571,-9.51927404773752,WBGene00017571,WBGene00017571,History: Renamed on 2016-08-08
WBGene00043534,-9.51370027352826,WBGene00043534,WBGene00043534,History: Killed on 2004-10-04; Resurrected on 2007-01-29
WBGene00019909,-9.48799832988079,WBGene00019909,WBGene00019909,History: N.A.
WBGene00003552,-9.39100377221741,WBGene00003552,WBGene00003552,History: N.A.
WBGene00003523,-9.32822928103317,WBGene00003523,WBGene00003523,History: N.A.
WBGene00014090,-9.32338883680888,WBGene00014090,WBGene00014090,"History: Split into ZK822.6(WBGene00044009). History of WBGene00014090: Split into ""WBGene00044009"" on 2004-11-30"
WBGene00012490,-9.27597362277578,WBGene00012490,WBGene00012490,History: N.A.
WBGene00201366,-9.23624746593673,WBGene00201366,WBGene00201366,History: N.A.
WBGene00013222,-9.21180667754855,WBGene00013222,WBGene00013222,History: N.A.
WBGene00044217,-9.19107080942276,WBGene00044217,WBGene00044217,History: N.A.
WBGene00007769,-9.17848234700078,WBGene00007769,WBGene00007769,History: N.A.
WBGene00018202,-9.15206060858007,WBGene00018202,WBGene00018202,History: N.A.
WBGene00008695,-9.13024009208385,WBGene00008695,WBGene00008695,History: N.A.
WBGene00013163,-9.12994443560248,WBGene00013163,WBGene00013163,History: N.A.
WBGene00002088,-9.12933188524094,WBGene00002088,WBGene00002088,History: N.A.
WBGene00000469,-9.08385303029417,WBGene00000469,WBGene00000469,History: N.A.
WBGene00021835,-9.07451110986608,WBGene00021835,WBGene00021835,History: N.A.
WBGene00000089,-9.02675379311807,WBGene00000089,WBGene00000089,History: Renamed on 2006-08-30
WBGene00014663,-9.01737204069416,WBGene00014663,WBGene00014663,History: N.A.
WBGene00220130,-8.99229343546759,WBGene00220130,WBGene00220130,History: N.A.
WBGene00018456,-8.99183971522388,WBGene00018456,WBGene00018456,History: N.A.
WBGene00005191,-8.92931219139479,WBGene00005191,WBGene00005191,History: N.A.
WBGene00044692,-8.92505430276922,WBGene00044692,WBGene00044692,History: N.A.
WBGene00008937,-8.9174281938951,WBGene00008937,WBGene00008937,History: N.A.
WBGene00009061,-8.88049470541524,WBGene00009061,WBGene00009061,"History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
WBGene00189978,-8.8397543432238,WBGene00189978,WBGene00189978,History: N.A.
WBGene00016242,-8.83337709782808,WBGene00016242,WBGene00016242,History: N.A.
WBGene00016641,-8.82445377926942,WBGene00016641,WBGene00016641,History: N.A.
WBGene00013622,-8.81510011208584,WBGene00013622,WBGene00013622,History: N.A.
WBGene00008782,-8.79418296363329,WBGene00008782,WBGene00008782,History: N.A.
WBGene00194675,-8.75562780283562,WBGene00194675,WBGene00194675,History: N.A.
WBGene00189979,-8.75160977151755,WBGene00189979,WBGene00189979,History: N.A.
WBGene00014130,-8.71513634647301,WBGene00014130,WBGene00014130,History: N.A.
WBGene00002246,-8.70873201721926,WBGene00002246,WBGene00002246,History: N.A.
WBGene00013614,-8.67322147109457,WBGene00013614,WBGene00013614,History: N.A.
WBGene00011393,-8.66788937595423,WBGene00011393,WBGene00011393,History: N.A.
WBGene00019814,-8.6655235231679,WBGene00019814,WBGene00019814,History: N.A.
WBGene00009788,-8.61306917118982,WBGene00009788,WBGene00009788,History: N.A.
WBGene00010448,-8.61189197604481,WBGene00010448,WBGene00010448,History: N.A.
WBGene00000775,-8.58278396429081,WBGene00000775,WBGene00000775,History: Renamed on 2006-01-04
WBGene00001188,-8.58143636459166,WBGene00001188,WBGene00001188,History: N.A.
WBGene00013162,-8.55250689088991,WBGene00013162,WBGene00013162,History: N.A.
WBGene00021483,-8.55080697497429,WBGene00021483,WBGene00021483,History: N.A.
WBGene00008090,-8.53903251865868,WBGene00008090,WBGene00008090,History: N.A.
WBGene00022272,-8.51748692218605,WBGene00022272,WBGene00022272,History: N.A.
WBGene00018532,-8.51250027342841,WBGene00018532,WBGene00018532,History: N.A.
