# Supplementary File 3,Sheet 17: Small RNAs significantly up-regulated 2 fold or greater in prg-1 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00015573,12.3801318448455,WBGene00015573,WBGene00015573,History: N.A.
WBGene00022674,11.0522263066543,WBGene00022674,WBGene00022674,History: N.A.
WBGene00007185,9.64368618824529,WBGene00007185,WBGene00007185,History: N.A.
WBGene00007777,9.47593929407687,WBGene00007777,WBGene00007777,History: N.A.
WBGene00015272,9.3188775993822,WBGene00015272,WBGene00015272,History: N.A.
WBGene00000113,9.25827331276198,WBGene00000113,WBGene00000113,History: N.A.
WBGene00013671,9.09647014149825,WBGene00013671,WBGene00013671,History: N.A.
WBGene00001910,8.42535518145512,WBGene00001910,WBGene00001910,History: N.A.
WBGene00021220,8.35962512896383,WBGene00021220,WBGene00021220,History: N.A.
WBGene00003234,7.86658346995576,WBGene00003234,WBGene00003234,History: N.A.
WBGene00000464,7.61440353940508,WBGene00000464,WBGene00000464,"History: Split into Y54F10AM.16(WBGene00306126). History of WBGene00000464: Split into ""WBGene00306126"" on 2022-01-04"
WBGene00021269,7.60473854626946,WBGene00021269,WBGene00021269,History: N.A.
WBGene00044690,7.47474381586939,WBGene00044690,WBGene00044690,History: N.A.
WBGene00006620,7.37447508703308,WBGene00006620,WBGene00006620,History: N.A.
WBGene00017059,7.329763030194,WBGene00017059,WBGene00017059,History: N.A.
WBGene00014259,7.31088067509472,WBGene00014259,WBGene00014259,History: N.A.
WBGene00200004,7.30756649849934,WBGene00200004,WBGene00200004,History: N.A.
WBGene00199162,7.16500247092825,WBGene00199162,WBGene00199162,History: N.A.
WBGene00013203,7.13145844174986,WBGene00013203,WBGene00013203,History: N.A.
WBGene00012780,7.07073503564273,WBGene00012780,WBGene00012780,History: N.A.
WBGene00009367,7.02241106544594,WBGene00009367,WBGene00009367,History: N.A.
WBGene00021020,6.91397214144907,WBGene00021020,WBGene00021020,History: N.A.
WBGene00007299,6.81009447224021,WBGene00007299,WBGene00007299,History: N.A.
WBGene00017058,6.77571739677336,WBGene00017058,WBGene00017058,History: N.A.
WBGene00194812,6.73036428955021,WBGene00194812,WBGene00194812,History: N.A.
WBGene00001935,6.72574440523764,WBGene00001935,WBGene00001935,History: N.A.
WBGene00001927,6.71263948556093,WBGene00001927,WBGene00001927,History: N.A.
WBGene00013290,6.69719542439828,WBGene00013290,WBGene00013290,History: N.A.
WBGene00016906,6.66862086195632,WBGene00016906,WBGene00016906,History: N.A.
WBGene00021237,6.65706024901703,WBGene00021237,WBGene00021237,History: N.A.
WBGene00015796,6.61344023913354,WBGene00015796,WBGene00015796,History: N.A.
WBGene00043068,6.59765285443881,WBGene00043068,WBGene00043068,History: N.A.
WBGene00194998,6.56164668071667,WBGene00194998,WBGene00194998,History: N.A.
WBGene00010768,6.5469099593673,WBGene00010768,WBGene00010768,History: N.A.
WBGene00001893,6.52050816241807,WBGene00001893,WBGene00001893,History: N.A.
WBGene00001925,6.41898531326213,WBGene00001925,WBGene00001925,History: N.A.
WBGene00008348,6.41335609910368,WBGene00008348,WBGene00008348,History: N.A.
WBGene00001881,6.33608860312454,WBGene00001881,WBGene00001881,History: N.A.
WBGene00001895,6.30383659798842,WBGene00001895,WBGene00001895,History: N.A.
WBGene00019096,6.29495308734666,WBGene00019096,WBGene00019096,History: N.A.
WBGene00017080,6.26305018791416,WBGene00017080,WBGene00017080,History: N.A.
WBGene00001939,6.25550309308501,WBGene00001939,WBGene00001939,History: N.A.
WBGene00001918,6.2106862403161,WBGene00001918,WBGene00001918,History: N.A.
WBGene00001890,6.14502663247895,WBGene00001890,WBGene00001890,History: N.A.
WBGene00219667,6.14498169122409,WBGene00219667,WBGene00219667,History: N.A.
WBGene00019636,6.13831547018778,WBGene00019636,WBGene00019636,History: N.A.
WBGene00001931,6.13083589642851,WBGene00001931,WBGene00001931,History: N.A.
WBGene00001889,6.1141435078569,WBGene00001889,WBGene00001889,History: N.A.
WBGene00001921,6.11092834452399,WBGene00001921,WBGene00001921,History: N.A.
WBGene00010989,6.05659780074074,WBGene00010989,WBGene00010989,History: N.A.
WBGene00044896,6.05023582840435,WBGene00044896,WBGene00044896,History: N.A.
WBGene00008576,6.02524072089863,WBGene00008576,WBGene00008576,History: N.A.
WBGene00019094,6.00948395739216,WBGene00019094,WBGene00019094,History: N.A.
WBGene00013858,5.98430537592095,WBGene00013858,WBGene00013858,History: N.A.
WBGene00021457,5.97925936656737,WBGene00021457,WBGene00021457,"History: Split into Y39F10C.3(WBGene00206368). History of WBGene00021457: Split into ""WBGene00206368"" on 2010-12-09"
WBGene00019197,5.96192366095177,WBGene00019197,WBGene00019197,History: N.A.
WBGene00017542,5.93696153745609,WBGene00017542,WBGene00017542,History: N.A.
WBGene00001886,5.90243202723467,WBGene00001886,WBGene00001886,History: N.A.
WBGene00001907,5.89585014407566,WBGene00001907,WBGene00001907,History: N.A.
WBGene00015096,5.82362291938547,WBGene00015096,WBGene00015096,History: N.A.
WBGene00022712,5.82123073036979,WBGene00022712,WBGene00022712,History: N.A.
WBGene00001904,5.78629604250676,WBGene00001904,WBGene00001904,History: N.A.
WBGene00001885,5.77437133092562,WBGene00001885,WBGene00001885,History: N.A.
