# Supplementary File 3,Sheet 2. Small RNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00022438,-7.20088946601261,WBGene00022438,WBGene00022438,History: N.A.
WBGene00017644,-5.04372222540289,WBGene00017644,WBGene00017644,History: Renamed on 2005-07-22
WBGene00019538,-5.01290141329925,WBGene00019538,WBGene00019538,History: N.A.
WBGene00004196,-4.94280355257446,WBGene00004196,WBGene00004196,History: N.A.
WBGene00003579,-4.93456816964885,WBGene00003579,WBGene00003579,History: N.A.
WBGene00010735,-4.71673475108623,WBGene00010735,WBGene00010735,History: N.A.
WBGene00022209,-4.6763500589103,WBGene00022209,WBGene00022209,History: N.A.
WBGene00017106,-4.67363602177338,WBGene00017106,WBGene00017106,History: N.A.
WBGene00002100,-4.63389982459056,WBGene00002100,WBGene00002100,History: N.A.
WBGene00016273,-4.26255526901759,WBGene00016273,WBGene00016273,History: N.A.
WBGene00017515,-4.25280362909552,WBGene00017515,WBGene00017515,History: N.A.
WBGene00019267,-4.24221390954504,WBGene00019267,WBGene00019267,History: N.A.
WBGene00017354,-4.22990680176481,WBGene00017354,WBGene00017354,History: N.A.
WBGene00005061,-4.20644498949653,WBGene00005061,WBGene00005061,History: N.A.
WBGene00012407,-4.17741677197533,WBGene00012407,WBGene00012407,History: N.A.
WBGene00001955,-4.1207121108592,WBGene00001955,WBGene00001955,History: N.A.
WBGene00020988,-4.11526383088205,WBGene00020988,WBGene00020988,History: N.A.
WBGene00013622,-4.03125499197382,WBGene00013622,WBGene00013622,History: N.A.
WBGene00017629,-3.99752003102159,WBGene00017629,WBGene00017629,History: N.A.
WBGene00014033,-3.9536326337483,WBGene00014033,WBGene00014033,History: N.A.
WBGene00015868,-3.93750590639725,WBGene00015868,WBGene00015868,History: N.A.
WBGene00009510,-3.92965175094146,WBGene00009510,WBGene00009510,History: N.A.
WBGene00013614,-3.88879809261492,WBGene00013614,WBGene00013614,History: N.A.
WBGene00012295,-3.85435668914871,WBGene00012295,WBGene00012295,History: N.A.
WBGene00005235,-3.83758235583099,WBGene00005235,WBGene00005235,History: N.A.
WBGene00015111,-3.8330699178256,WBGene00015111,WBGene00015111,History: N.A.
WBGene00022315,-3.7501005609666,WBGene00022315,WBGene00022315,History: N.A.
WBGene00019044,-3.74409842169,WBGene00019044,WBGene00019044,History: N.A.
WBGene00219957,-3.72641220391111,WBGene00219957,WBGene00219957,History: N.A.
WBGene00013812,-3.60832324223471,WBGene00013812,WBGene00013812,History: N.A.
WBGene00022358,-3.5902633772556,WBGene00022358,WBGene00022358,History: N.A.
WBGene00016308,-3.56745161847648,WBGene00016308,WBGene00016308,History: N.A.
WBGene00009081,-3.55996454356099,WBGene00009081,WBGene00009081,History: N.A.
WBGene00013830,-3.55473118856124,WBGene00013830,WBGene00013830,History: N.A.
WBGene00021148,-3.54777479982159,WBGene00021148,WBGene00021148,History: N.A.
WBGene00006962,-3.51901712122639,WBGene00006962,WBGene00006962,History: N.A.
WBGene00017148,-3.51640485967523,WBGene00017148,WBGene00017148,History: N.A.
WBGene00013736,-3.46988845922536,WBGene00013736,WBGene00013736,History: N.A.
WBGene00022441,-3.45677925583748,WBGene00022441,WBGene00022441,History: N.A.
WBGene00012572,-3.43033259103991,WBGene00012572,WBGene00012572,History: N.A.
WBGene00016661,-3.39148614915424,WBGene00016661,WBGene00016661,History: N.A.
WBGene00000518,-3.38496765909843,WBGene00000518,WBGene00000518,History: N.A.
WBGene00044502,-3.38393450904433,WBGene00044502,WBGene00044502,History: N.A.
WBGene00009288,-3.37057560915117,WBGene00009288,WBGene00009288,History: N.A.
WBGene00010330,-3.3659551324675,WBGene00010330,WBGene00010330,History: N.A.
WBGene00019577,-3.35195108095064,WBGene00019577,WBGene00019577,History: N.A.
WBGene00019899,-3.35146780690581,WBGene00019899,WBGene00019899,History: N.A.
WBGene00013499,-3.34892006819624,WBGene00013499,WBGene00013499,History: N.A.
WBGene00206535,-3.3480940248151,WBGene00206535,WBGene00206535,History: N.A.
WBGene00016165,-3.33628003532534,WBGene00016165,WBGene00016165,History: N.A.
WBGene00018309,-3.30904717437206,WBGene00018309,WBGene00018309,History: N.A.
WBGene00011592,-3.3025814805735,WBGene00011592,WBGene00011592,History: N.A.
WBGene00007600,-3.28855826944596,WBGene00007600,WBGene00007600,History: N.A.
WBGene00007750,-3.28452681903989,WBGene00007750,WBGene00007750,History: N.A.
WBGene00000535,-3.28120050687689,WBGene00000535,WBGene00000535,History: Renamed on 2006-01-04
WBGene00019370,-3.27988946232925,WBGene00019370,WBGene00019370,History: N.A.
WBGene00017630,-3.27788285506939,WBGene00017630,WBGene00017630,History: N.A.
WBGene00045255,-3.26636223429684,WBGene00045255,WBGene00045255,History: N.A.
WBGene00015735,-3.25138603879568,WBGene00015735,WBGene00015735,History: Renamed on 2012-08-29
WBGene00013802,-3.2501903951404,WBGene00013802,WBGene00013802,History: N.A.
WBGene00008890,-3.24140085512543,WBGene00008890,WBGene00008890,History: N.A.
WBGene00009495,-3.23964274328764,WBGene00009495,WBGene00009495,History: N.A.
WBGene00008776,-3.22868940404985,WBGene00008776,WBGene00008776,History: N.A.
WBGene00003124,-3.22398864716313,WBGene00003124,WBGene00003124,History: N.A.
WBGene00003387,-3.21946433264383,WBGene00003387,WBGene00003387,History: N.A.
WBGene00019208,-3.21012939188887,WBGene00019208,WBGene00019208,History: N.A.
WBGene00003480,-3.20280844326543,WBGene00003480,WBGene00003480,History: N.A.
WBGene00010976,-3.19984136468108,WBGene00010976,WBGene00010976,History: N.A.
WBGene00001745,-3.19453048489141,WBGene00001745,WBGene00001745,History: N.A.
WBGene00219413,-3.18723479144139,WBGene00219413,WBGene00219413,History: N.A.
WBGene00021668,-3.16814429223077,WBGene00021668,WBGene00021668,History: N.A.
WBGene00018383,-3.14328567126787,WBGene00018383,WBGene00018383,History: N.A.
WBGene00018608,-3.13924033948245,WBGene00018608,WBGene00018608,History: N.A.
WBGene00007275,-3.13814488832,WBGene00007275,WBGene00007275,History: N.A.
WBGene00000469,-3.11456988992154,WBGene00000469,WBGene00000469,History: N.A.
WBGene00000903,-3.10260811699167,WBGene00000903,WBGene00000903,History: N.A.
WBGene00007405,-3.09780856106719,WBGene00007405,WBGene00007405,History: N.A.
WBGene00018433,-3.09619882877516,WBGene00018433,WBGene00018433,History: N.A.
WBGene00007489,-3.09241066949314,WBGene00007489,WBGene00007489,History: N.A.
WBGene00013565,-3.08866218910917,WBGene00013565,WBGene00013565,History: N.A.
WBGene00219675,-3.08122451201484,WBGene00219675,WBGene00219675,History: N.A.
WBGene00015504,-3.06006022484644,WBGene00015504,WBGene00015504,History: N.A.
WBGene00013387,-3.04330272443701,WBGene00013387,WBGene00013387,History: N.A.
WBGene00016935,-3.03830346845794,WBGene00016935,WBGene00016935,History: Renamed on 2018-06-11
WBGene00012846,-3.02827474476468,WBGene00012846,WBGene00012846,History: N.A.
WBGene00015492,-3.02665958294617,WBGene00015492,WBGene00015492,History: N.A.
WBGene00012299,-3.01880164671819,WBGene00012299,WBGene00012299,History: N.A.
WBGene00016550,-3.01662799121457,WBGene00016550,WBGene00016550,History: N.A.
WBGene00001705,-3.00908309365071,WBGene00001705,WBGene00001705,History: N.A.
WBGene00009660,-3.00005314246189,WBGene00009660,WBGene00009660,History: N.A.
WBGene00010528,-2.99582464967558,WBGene00010528,WBGene00010528,History: N.A.
WBGene00018021,-2.98281298142997,WBGene00018021,WBGene00018021,History: N.A.
WBGene00010226,-2.97924691262907,WBGene00010226,WBGene00010226,History: N.A.
WBGene00020456,-2.97457361417065,WBGene00020456,WBGene00020456,History: N.A.
WBGene00000075,-2.97324894585617,WBGene00000075,WBGene00000075,History: N.A.
WBGene00175029,-2.96787703609197,WBGene00175029,WBGene00175029,History: N.A.
WBGene00004377,-2.95211666546918,WBGene00004377,WBGene00004377,History: N.A.
WBGene00012710,-2.9451474131441,WBGene00012710,WBGene00012710,History: N.A.
WBGene00019909,-2.94268489985259,WBGene00019909,WBGene00019909,History: N.A.
WBGene00001638,-2.93600425958108,WBGene00001638,WBGene00001638,History: N.A.
WBGene00195226,-2.91703369762831,WBGene00195226,WBGene00195226,History: N.A.
WBGene00018005,-2.88781000635773,WBGene00018005,WBGene00018005,History: N.A.
WBGene00012866,-2.88647140251427,WBGene00012866,WBGene00012866,History: N.A.
WBGene00003409,-2.8829110776057,WBGene00003409,WBGene00003409,History: N.A.
WBGene00016880,-2.88092179086885,WBGene00016880,WBGene00016880,History: N.A.
WBGene00001666,-2.87239988094386,WBGene00001666,WBGene00001666,History: N.A.
WBGene00015830,-2.86060952350866,WBGene00015830,WBGene00015830,History: N.A.
WBGene00077728,-2.85755691351117,WBGene00077728,WBGene00077728,History: N.A.
WBGene00017737,-2.85021298531804,WBGene00017737,WBGene00017737,History: N.A.
WBGene00013602,-2.84998687370375,WBGene00013602,WBGene00013602,History: N.A.
WBGene00010365,-2.84875977236433,WBGene00010365,WBGene00010365,"History: Split into H04D03.7(WBGene00305993). History of WBGene00010365: Split into ""WBGene00305993"" on 2020-01-20"
WBGene00050929,-2.84553192151918,WBGene00050929,WBGene00050929,History: N.A.
WBGene00021458,-2.84341195193852,WBGene00021458,WBGene00021458,History: N.A.
WBGene00014807,-2.83187804091669,WBGene00014807,WBGene00014807,History: N.A.
WBGene00004778,-2.82946761420486,WBGene00004778,WBGene00004778,History: N.A.
WBGene00010483,-2.82809893959801,WBGene00010483,WBGene00010483,History: N.A.
WBGene00012445,-2.81854862529671,WBGene00012445,WBGene00012445,History: N.A.
WBGene00020371,-2.81395225886929,WBGene00020371,WBGene00020371,History: N.A.
WBGene00020363,-2.80495459605471,WBGene00020363,WBGene00020363,History: N.A.
WBGene00012899,-2.80207919732361,WBGene00012899,WBGene00012899,History: N.A.
WBGene00017303,-2.79902047578856,WBGene00017303,WBGene00017303,History: N.A.
WBGene00010726,-2.76998419413993,WBGene00010726,WBGene00010726,History: N.A.
WBGene00022511,-2.76686932383634,WBGene00022511,WBGene00022511,History: N.A.
WBGene00018929,-2.76160586381419,WBGene00018929,WBGene00018929,History: N.A.
WBGene00010804,-2.76127781142924,WBGene00010804,WBGene00010804,History: N.A.
WBGene00007926,-2.75289456356976,WBGene00007926,WBGene00007926,History: N.A.
WBGene00014148,-2.74259884404196,WBGene00014148,WBGene00014148,History: N.A.
WBGene00012717,-2.73959866129748,WBGene00012717,WBGene00012717,History: N.A.
WBGene00007672,-2.73702924611215,WBGene00007672,WBGene00007672,History: N.A.
WBGene00012699,-2.72876707711037,WBGene00012699,WBGene00012699,History: N.A.
WBGene00021008,-2.724830875506,WBGene00021008,WBGene00021008,History: N.A.
WBGene00013288,-2.72281513618998,WBGene00013288,WBGene00013288,History: N.A.
WBGene00012289,-2.715352475639,WBGene00012289,WBGene00012289,History: N.A.
WBGene00022307,-2.70128482247906,WBGene00022307,WBGene00022307,History: N.A.
WBGene00022519,-2.69906903486201,WBGene00022519,WBGene00022519,History: N.A.
WBGene00017100,-2.69661947766912,WBGene00017100,WBGene00017100,History: N.A.
WBGene00020560,-2.69030466590916,WBGene00020560,WBGene00020560,History: N.A.
WBGene00022443,-2.68158987748964,WBGene00022443,WBGene00022443,History: N.A.
WBGene00010587,-2.68010914660072,WBGene00010587,WBGene00010587,History: N.A.
WBGene00014206,-2.67751551654793,WBGene00014206,WBGene00014206,History: N.A.
WBGene00001468,-2.67428549768309,WBGene00001468,WBGene00001468,History: N.A.
WBGene00045043,-2.67348915765307,WBGene00045043,WBGene00045043,History: N.A.
WBGene00043990,-2.66979022011805,WBGene00043990,WBGene00043990,History: N.A.
WBGene00005191,-2.65376916141587,WBGene00005191,WBGene00005191,History: N.A.
WBGene00000819,-2.6511016579777,WBGene00000819,WBGene00000819,History: N.A.
WBGene00003976,-2.6510813384915,WBGene00003976,WBGene00003976,History: N.A.
WBGene00004120,-2.6448671438073,WBGene00004120,WBGene00004120,History: N.A.
WBGene00016997,-2.64011127214504,WBGene00016997,WBGene00016997,History: Renamed on 2017-04-04
WBGene00011626,-2.63675297359146,WBGene00011626,WBGene00011626,History: N.A.
WBGene00003848,-2.6362104026007,WBGene00003848,WBGene00003848,History: N.A.
WBGene00000210,-2.62311980884683,WBGene00000210,WBGene00000210,History: N.A.
WBGene00077756,-2.61285644734239,WBGene00077756,WBGene00077756,History: N.A.
WBGene00189948,-2.59765809815983,WBGene00189948,WBGene00189948,History: N.A.
WBGene00007079,-2.59732804243718,WBGene00007079,WBGene00007079,History: N.A.
WBGene00016030,-2.59536592488952,WBGene00016030,WBGene00016030,History: N.A.
WBGene00018933,-2.59077473782318,WBGene00018933,WBGene00018933,History: N.A.
WBGene00010371,-2.58745119194483,WBGene00010371,WBGene00010371,History: N.A.
WBGene00016486,-2.58596957924245,WBGene00016486,WBGene00016486,History: N.A.
WBGene00006784,-2.58247375267774,WBGene00006784,WBGene00006784,History: N.A.
WBGene00077666,-2.55349042404571,WBGene00077666,WBGene00077666,History: N.A.
WBGene00006570,-2.54242436413295,WBGene00006570,WBGene00006570,History: N.A.
WBGene00220089,-2.54201861158799,WBGene00220089,WBGene00220089,History: N.A.
WBGene00019959,-2.53932875150754,WBGene00019959,WBGene00019959,History: N.A.
WBGene00020473,-2.53884560181108,WBGene00020473,WBGene00020473,History: N.A.
WBGene00043989,-2.53722885968292,WBGene00043989,WBGene00043989,History: N.A.
WBGene00012549,-2.53661572239336,WBGene00012549,WBGene00012549,History: N.A.
WBGene00003959,-2.53333629180246,WBGene00003959,WBGene00003959,History: N.A.
WBGene00015896,-2.52939245891751,WBGene00015896,WBGene00015896,History: N.A.
WBGene00013009,-2.52435625258654,WBGene00013009,WBGene00013009,History: N.A.
WBGene00018878,-2.524196742948,WBGene00018878,WBGene00018878,History: Renamed on 2019-05-20
WBGene00219553,-2.52263068142095,WBGene00219553,WBGene00219553,History: N.A.
WBGene00020630,-2.5196373035064,WBGene00020630,WBGene00020630,History: N.A.
WBGene00044000,-2.51551449661026,WBGene00044000,WBGene00044000,History: N.A.
WBGene00007453,-2.5143041620819,WBGene00007453,WBGene00007453,History: N.A.
WBGene00012096,-2.51416018518988,WBGene00012096,WBGene00012096,History: N.A.
WBGene00018439,-2.51391616215762,WBGene00018439,WBGene00018439,History: N.A.
WBGene00022225,-2.50920827550883,WBGene00022225,WBGene00022225,History: N.A.
WBGene00044560,-2.50428035273917,WBGene00044560,WBGene00044560,History: N.A.
WBGene00195253,-2.49846835068601,WBGene00195253,WBGene00195253,History: N.A.
WBGene00017533,-2.49419964648139,WBGene00017533,WBGene00017533,History: N.A.
WBGene00012486,-2.49406636454528,WBGene00012486,WBGene00012486,History: N.A.
WBGene00005147,-2.48858104970677,WBGene00005147,WBGene00005147,History: N.A.
WBGene00043992,-2.4871706828058,WBGene00043992,WBGene00043992,History: N.A.
WBGene00008695,-2.47276669120473,WBGene00008695,WBGene00008695,History: N.A.
WBGene00018813,-2.46914678128524,WBGene00018813,WBGene00018813,History: N.A.
WBGene00015644,-2.46881824187165,WBGene00015644,WBGene00015644,"History: Split into C09E8.6(WBGene00303037). History of WBGene00015644: Split into ""WBGene00303037"" on 2018-03-02"
WBGene00010984,-2.46683812486313,WBGene00010984,WBGene00010984,History: N.A.
WBGene00006922,-2.46586655214228,WBGene00006922,WBGene00006922,History: N.A.
WBGene00235370,-2.46511296991646,WBGene00235370,WBGene00235370,History: N.A.
WBGene00007679,-2.46341612129234,WBGene00007679,WBGene00007679,History: N.A.
WBGene00021913,-2.45948707453913,WBGene00021913,WBGene00021913,History: N.A.
WBGene00021075,-2.45716164947915,WBGene00021075,WBGene00021075,History: N.A.
WBGene00022608,-2.45643531568829,WBGene00022608,WBGene00022608,History: N.A.
WBGene00008973,-2.45566374195044,WBGene00008973,WBGene00008973,History: N.A.
WBGene00007076,-2.45448288429466,WBGene00007076,WBGene00007076,History: N.A.
WBGene00012848,-2.45150477684059,WBGene00012848,WBGene00012848,History: N.A.
WBGene00012554,-2.44509112189296,WBGene00012554,WBGene00012554,History: N.A.
WBGene00020540,-2.43605260308276,WBGene00020540,WBGene00020540,History: N.A.
WBGene00001548,-2.4299982155199,WBGene00001548,WBGene00001548,History: N.A.
WBGene00002151,-2.42869614410286,WBGene00002151,WBGene00002151,History: N.A.
WBGene00012442,-2.42731405731341,WBGene00012442,WBGene00012442,History: N.A.
WBGene00021353,-2.41817998741024,WBGene00021353,WBGene00021353,History: N.A.
WBGene00012492,-2.40887689549058,WBGene00012492,WBGene00012492,History: N.A.
