# Supplementary File 3,Sheet 3. Small RNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00003385,5.40422441105804,WBGene00003385,WBGene00003385,History: N.A.
WBGene00021986,5.31184427673516,WBGene00021986,WBGene00021986,History: N.A.
WBGene00017153,5.08970486573655,WBGene00017153,WBGene00017153,History: N.A.
WBGene00021020,5.04779160558357,WBGene00021020,WBGene00021020,History: N.A.
WBGene00001935,5.00713247052396,WBGene00001935,WBGene00001935,History: N.A.
WBGene00012673,4.80378907904868,WBGene00012673,WBGene00012673,History: N.A.
WBGene00001791,4.65239782499535,WBGene00001791,WBGene00001791,History: N.A.
WBGene00018720,4.634567943054,WBGene00018720,WBGene00018720,History: N.A.
WBGene00000232,4.61981126418665,WBGene00000232,WBGene00000232,History: N.A.
WBGene00012867,4.60508676037735,WBGene00012867,WBGene00012867,History: N.A.
WBGene00013587,4.55374015813986,WBGene00013587,WBGene00013587,History: N.A.
WBGene00010768,4.53251585403174,WBGene00010768,WBGene00010768,History: N.A.
WBGene00000401,4.08050880961831,WBGene00000401,WBGene00000401,History: N.A.
WBGene00017818,3.9905709322009,WBGene00017818,WBGene00017818,"History: Split into F26D11.20(WBGene00302988). History of WBGene00017818: Split into ""WBGene00302988"" on 2018-03-06"
WBGene00001895,3.97157696354099,WBGene00001895,WBGene00001895,History: N.A.
WBGene00019094,3.94070733988999,WBGene00019094,WBGene00019094,History: N.A.
WBGene00006508,3.87730597632098,WBGene00006508,WBGene00006508,History: Renamed on 2015-11-05
WBGene00016492,3.87490356243876,WBGene00016492,WBGene00016492,History: N.A.
WBGene00019096,3.82771483551372,WBGene00019096,WBGene00019096,History: N.A.
WBGene00199162,3.77093891145927,WBGene00199162,WBGene00199162,History: N.A.
WBGene00020183,3.74245700300207,WBGene00020183,WBGene00020183,History: N.A.
WBGene00019997,3.73347783650546,WBGene00019997,WBGene00019997,History: N.A.
WBGene00001925,3.70899896391373,WBGene00001925,WBGene00001925,History: N.A.
WBGene00001893,3.66615446669384,WBGene00001893,WBGene00001893,History: N.A.
WBGene00021340,3.62276641914921,WBGene00021340,WBGene00021340,History: N.A.
WBGene00016763,3.59601220665317,WBGene00016763,WBGene00016763,History: N.A.
WBGene00001881,3.48735294780748,WBGene00001881,WBGene00001881,History: N.A.
WBGene00001906,3.4743395760068,WBGene00001906,WBGene00001906,History: N.A.
WBGene00017101,3.45642104375478,WBGene00017101,WBGene00017101,History: N.A.
WBGene00016540,3.44014682656993,WBGene00016540,WBGene00016540,History: N.A.
WBGene00011291,3.40816404550539,WBGene00011291,WBGene00011291,History: N.A.
WBGene00200004,3.33684043097183,WBGene00200004,WBGene00200004,History: N.A.
WBGene00018842,3.32538267632319,WBGene00018842,WBGene00018842,History: N.A.
WBGene00014259,3.24635432365867,WBGene00014259,WBGene00014259,History: N.A.
WBGene00021808,3.23183062496008,WBGene00021808,WBGene00021808,History: N.A.
WBGene00006771,3.21115040705975,WBGene00006771,WBGene00006771,History: Renamed on 2011-08-12
WBGene00011812,3.19295204839382,WBGene00011812,WBGene00011812,History: N.A.
WBGene00001942,3.12822490202229,WBGene00001942,WBGene00001942,History: N.A.
WBGene00001119,3.08322695594878,WBGene00001119,WBGene00001119,History: N.A.
WBGene00010294,3.07034181480806,WBGene00010294,WBGene00010294,History: N.A.
WBGene00000237,3.05030608466222,WBGene00000237,WBGene00000237,History: N.A.
WBGene00001927,3.01365459662419,WBGene00001927,WBGene00001927,History: N.A.
WBGene00015488,2.96145386789416,WBGene00015488,WBGene00015488,History: N.A.
WBGene00018330,2.91647537543972,WBGene00018330,WBGene00018330,History: N.A.
WBGene00001890,2.81806675166044,WBGene00001890,WBGene00001890,History: N.A.
WBGene00015477,2.81756331024391,WBGene00015477,WBGene00015477,History: N.A.
WBGene00001907,2.81574136859857,WBGene00001907,WBGene00001907,History: N.A.
WBGene00007281,2.78147761668442,WBGene00007281,WBGene00007281,History: N.A.
WBGene00021357,2.7634226682907,WBGene00021357,WBGene00021357,History: N.A.
WBGene00008698,2.75709070219883,WBGene00008698,WBGene00008698,History: N.A.
WBGene00008779,2.74582680235389,WBGene00008779,WBGene00008779,History: N.A.
WBGene00016953,2.74129807051792,WBGene00016953,WBGene00016953,History: N.A.
WBGene00001877,2.69367194337053,WBGene00001877,WBGene00001877,History: N.A.
WBGene00000113,2.6760638702216,WBGene00000113,WBGene00000113,History: N.A.
WBGene00000224,2.67177220051851,WBGene00000224,WBGene00000224,History: Renamed on 2008-02-28
WBGene00021809,2.6509168266149,WBGene00021809,WBGene00021809,History: N.A.
WBGene00017796,2.6470757658939,WBGene00017796,WBGene00017796,History: N.A.
WBGene00001931,2.6165168537288,WBGene00001931,WBGene00001931,History: N.A.
WBGene00001886,2.59998041564494,WBGene00001886,WBGene00001886,History: N.A.
WBGene00001904,2.59908847702843,WBGene00001904,WBGene00001904,History: N.A.
WBGene00019588,2.53526155269858,WBGene00019588,WBGene00019588,History: N.A.
WBGene00001939,2.44533329246279,WBGene00001939,WBGene00001939,History: N.A.
WBGene00019636,2.43947260280806,WBGene00019636,WBGene00019636,History: N.A.
WBGene00002048,2.42083441099886,WBGene00002048,WBGene00002048,History: N.A.
WBGene00044588,2.41490773070334,WBGene00044588,WBGene00044588,History: N.A.
WBGene00012191,2.4131312881277,WBGene00012191,WBGene00012191,History: N.A.
WBGene00001921,2.39984644570519,WBGene00001921,WBGene00001921,History: N.A.
WBGene00001899,2.39491189593795,WBGene00001899,WBGene00001899,History: N.A.
WBGene00012462,2.36925289561278,WBGene00012462,WBGene00012462,History: N.A.
WBGene00012237,2.32084683138664,WBGene00012237,WBGene00012237,History: N.A.
WBGene00003533,2.30398285722477,WBGene00003533,WBGene00003533,History: N.A.
WBGene00015765,2.27930227082244,WBGene00015765,WBGene00015765,History: N.A.
WBGene00015229,2.26488701934496,WBGene00015229,WBGene00015229,History: N.A.
WBGene00007752,2.23498337991229,WBGene00007752,WBGene00007752,"History: Split into C26H9A.4(WBGene00303042). History of WBGene00007752: Split into ""WBGene00303042"" on 2018-03-02"
WBGene00001917,2.2235352203122,WBGene00001917,WBGene00001917,History: N.A.
WBGene00006062,2.21980431356455,WBGene00006062,WBGene00006062,History: N.A.
WBGene00022589,2.20702674447428,WBGene00022589,WBGene00022589,History: N.A.
WBGene00022165,2.19155171189406,WBGene00022165,WBGene00022165,"History: Split into Y71H2AL.4(WBGene00303095). History of WBGene00022165: Split into ""WBGene00303095"" on 2018-03-02"
WBGene00001131,2.18374510568716,WBGene00001131,WBGene00001131,History: N.A.
WBGene00010295,2.15180008478531,WBGene00010295,WBGene00010295,History: N.A.
