# Supplementary File 3,Sheet 4: Small RNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for one generation.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00022438,-7.40246981774283,WBGene00022438,WBGene00022438,History: N.A.
WBGene00017644,-6.85187625140752,WBGene00017644,WBGene00017644,History: Renamed on 2005-07-22
WBGene00019267,-6.32267106831612,WBGene00019267,WBGene00019267,History: N.A.
WBGene00001705,-6.16489732819004,WBGene00001705,WBGene00001705,History: N.A.
WBGene00017106,-5.77404373299286,WBGene00017106,WBGene00017106,History: N.A.
WBGene00003579,-5.60599139290731,WBGene00003579,WBGene00003579,History: N.A.
WBGene00012572,-5.56949289578196,WBGene00012572,WBGene00012572,History: N.A.
WBGene00016273,-5.53175419989624,WBGene00016273,WBGene00016273,History: N.A.
WBGene00001666,-5.52253351737279,WBGene00001666,WBGene00001666,History: N.A.
WBGene00019538,-5.51388835507736,WBGene00019538,WBGene00019538,History: N.A.
WBGene00017515,-5.39041264543585,WBGene00017515,WBGene00017515,History: N.A.
WBGene00195253,-5.38146302492902,WBGene00195253,WBGene00195253,History: N.A.
WBGene00019370,-5.36151241399505,WBGene00019370,WBGene00019370,History: N.A.
WBGene00022276,-5.35983182348692,WBGene00022276,WBGene00022276,History: N.A.
WBGene00013622,-5.312338790526,WBGene00013622,WBGene00013622,History: N.A.
WBGene00022307,-5.29579456796959,WBGene00022307,WBGene00022307,History: N.A.
WBGene00008890,-5.205039619902,WBGene00008890,WBGene00008890,History: N.A.
WBGene00017148,-5.17681627210719,WBGene00017148,WBGene00017148,History: N.A.
WBGene00010735,-5.12699180354067,WBGene00010735,WBGene00010735,History: N.A.
WBGene00000903,-5.10743764750037,WBGene00000903,WBGene00000903,History: N.A.
WBGene00012759,-5.09416540389768,WBGene00012759,WBGene00012759,History: N.A.
WBGene00012407,-5.08825270713938,WBGene00012407,WBGene00012407,History: N.A.
WBGene00007600,-5.07687411225755,WBGene00007600,WBGene00007600,History: N.A.
WBGene00021479,-5.07577942730856,WBGene00021479,WBGene00021479,History: N.A.
WBGene00007275,-5.0552512646722,WBGene00007275,WBGene00007275,History: N.A.
WBGene00013812,-5.02898418392376,WBGene00013812,WBGene00013812,History: N.A.
WBGene00002088,-5.0158273231793,WBGene00002088,WBGene00002088,History: N.A.
WBGene00001955,-4.99718973761333,WBGene00001955,WBGene00001955,History: N.A.
WBGene00013387,-4.97951679641115,WBGene00013387,WBGene00013387,History: N.A.
WBGene00019044,-4.96220985385373,WBGene00019044,WBGene00019044,History: N.A.
WBGene00003124,-4.94403811887323,WBGene00003124,WBGene00003124,History: N.A.
WBGene00013499,-4.8989403130311,WBGene00013499,WBGene00013499,History: N.A.
WBGene00013778,-4.88961557337961,WBGene00013778,WBGene00013778,History: N.A.
WBGene00008776,-4.88720957645171,WBGene00008776,WBGene00008776,History: N.A.
WBGene00014033,-4.83233107917863,WBGene00014033,WBGene00014033,History: N.A.
WBGene00019546,-4.80651161845958,WBGene00019546,WBGene00019546,History: N.A.
WBGene00010226,-4.74568585483867,WBGene00010226,WBGene00010226,History: N.A.
WBGene00004196,-4.74110706513665,WBGene00004196,WBGene00004196,History: N.A.
WBGene00019545,-4.73540388449869,WBGene00019545,WBGene00019545,History: N.A.
