# Supplementary File 3,Sheet 5: Small RNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for one generation.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00021986,6.46362109472133,WBGene00021986,WBGene00021986,History: N.A.
WBGene00001935,5.27537442534822,WBGene00001935,WBGene00001935,History: N.A.
WBGene00003385,5.24785219269403,WBGene00003385,WBGene00003385,History: N.A.
WBGene00012867,4.9244416447139,WBGene00012867,WBGene00012867,History: N.A.
WBGene00013587,4.84750667231064,WBGene00013587,WBGene00013587,History: N.A.
WBGene00017061,4.62228871505697,WBGene00017061,WBGene00017061,History: N.A.
WBGene00001893,4.59381787539748,WBGene00001893,WBGene00001893,History: N.A.
WBGene00017153,4.56208972447654,WBGene00017153,WBGene00017153,History: N.A.
WBGene00200004,4.47173261288935,WBGene00200004,WBGene00200004,History: N.A.
WBGene00001890,4.38041398788647,WBGene00001890,WBGene00001890,History: N.A.
WBGene00001899,4.35196601403033,WBGene00001899,WBGene00001899,History: N.A.
WBGene00001791,4.31108483673184,WBGene00001791,WBGene00001791,History: N.A.
WBGene00001906,4.3049960030086,WBGene00001906,WBGene00001906,History: N.A.
WBGene00001925,4.29550549001508,WBGene00001925,WBGene00001925,History: N.A.
WBGene00001881,4.29274545987011,WBGene00001881,WBGene00001881,History: N.A.
WBGene00001895,4.28976140296055,WBGene00001895,WBGene00001895,History: N.A.
WBGene00001927,4.28847941445774,WBGene00001927,WBGene00001927,History: N.A.
WBGene00012673,4.25932877909556,WBGene00012673,WBGene00012673,History: N.A.
WBGene00022815,4.24090801037125,WBGene00022815,WBGene00022815,History: N.A.
WBGene00199162,4.18312868843247,WBGene00199162,WBGene00199162,History: N.A.
WBGene00006508,4.17403209421964,WBGene00006508,WBGene00006508,History: Renamed on 2015-11-05
WBGene00001916,4.1345266985806,WBGene00001916,WBGene00001916,History: N.A.
WBGene00002048,4.08275897244919,WBGene00002048,WBGene00002048,History: N.A.
WBGene00021020,4.04362464970937,WBGene00021020,WBGene00021020,History: N.A.
WBGene00001883,3.96006346143925,WBGene00001883,WBGene00001883,History: N.A.
WBGene00001887,3.94946015618553,WBGene00001887,WBGene00001887,History: N.A.
WBGene00001907,3.90337896564406,WBGene00001907,WBGene00001907,History: N.A.
WBGene00010768,3.80561610313883,WBGene00010768,WBGene00010768,History: N.A.
WBGene00001886,3.80402148547915,WBGene00001886,WBGene00001886,History: N.A.
WBGene00017101,3.78703758131347,WBGene00017101,WBGene00017101,History: N.A.
WBGene00001904,3.68030165715474,WBGene00001904,WBGene00001904,History: N.A.
WBGene00001917,3.59997139266225,WBGene00001917,WBGene00001917,History: N.A.
WBGene00019096,3.55425174874822,WBGene00019096,WBGene00019096,History: N.A.
WBGene00001888,3.51968161112873,WBGene00001888,WBGene00001888,History: N.A.
WBGene00019997,3.49332147201924,WBGene00019997,WBGene00019997,History: N.A.
WBGene00017818,3.44605343896966,WBGene00017818,WBGene00017818,"History: Split into F26D11.20(WBGene00302988). History of WBGene00017818: Split into ""WBGene00302988"" on 2018-03-06"
WBGene00019094,3.43958411159285,WBGene00019094,WBGene00019094,History: N.A.
WBGene00001900,3.38766927023808,WBGene00001900,WBGene00001900,History: N.A.
WBGene00001884,3.36056347463749,WBGene00001884,WBGene00001884,History: N.A.
WBGene00021340,3.31873641251639,WBGene00021340,WBGene00021340,History: N.A.
WBGene00016763,3.23026092471988,WBGene00016763,WBGene00016763,History: N.A.
WBGene00000232,3.22335820937875,WBGene00000232,WBGene00000232,History: N.A.
WBGene00003533,3.20707849313726,WBGene00003533,WBGene00003533,History: N.A.
WBGene00001877,3.1401249914597,WBGene00001877,WBGene00001877,History: N.A.
WBGene00194682,3.1073260502998,WBGene00194682,WBGene00194682,History: N.A.
WBGene00018842,3.09046547471242,WBGene00018842,WBGene00018842,History: N.A.
WBGene00001931,3.02672809645135,WBGene00001931,WBGene00001931,History: N.A.
WBGene00001921,2.99506301409364,WBGene00001921,WBGene00001921,History: N.A.
WBGene00001942,2.93661967711528,WBGene00001942,WBGene00001942,History: N.A.
WBGene00012237,2.9289712770497,WBGene00012237,WBGene00012237,History: N.A.
WBGene00012148,2.90787532214488,WBGene00012148,WBGene00012148,History: N.A.
WBGene00014259,2.90393174380705,WBGene00014259,WBGene00014259,History: N.A.
WBGene00020183,2.89990520567291,WBGene00020183,WBGene00020183,History: N.A.
WBGene00016492,2.86970415490839,WBGene00016492,WBGene00016492,History: N.A.
WBGene00018330,2.86879522387095,WBGene00018330,WBGene00018330,History: N.A.
WBGene00011805,2.86665171433096,WBGene00011805,WBGene00011805,History: N.A.
WBGene00001939,2.8218165927521,WBGene00001939,WBGene00001939,History: N.A.
WBGene00015477,2.78956232797362,WBGene00015477,WBGene00015477,History: N.A.
WBGene00010295,2.76751535579114,WBGene00010295,WBGene00010295,History: N.A.
WBGene00018720,2.74112315526728,WBGene00018720,WBGene00018720,History: N.A.
