# Supplementary File 3,Sheet 6: Small RNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for two generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen2),Input,Suggested Match,History
WBGene00022438,-7.354245456,-7.70440377451322,WBGene00022438,WBGene00022438,History: N.A.
WBGene00007600,-6.726972566,-6.83123360768136,WBGene00007600,WBGene00007600,History: N.A.
WBGene00017106,-6.634044294,-6.30761805109976,WBGene00017106,WBGene00017106,History: N.A.
WBGene00019370,-6.621702731,-6.44871006988889,WBGene00019370,WBGene00019370,History: N.A.
WBGene00001705,-6.520049131,-5.59049826936596,WBGene00001705,WBGene00001705,History: N.A.
WBGene00012572,-6.071823455,-5.94332267275392,WBGene00012572,WBGene00012572,History: N.A.
WBGene00017644,-5.801815427,-5.53587318732486,WBGene00017644,WBGene00017644,History: Renamed on 2005-07-22
WBGene00008776,-5.664686443,-5.3881234789654,WBGene00008776,WBGene00008776,History: N.A.
WBGene00013499,-5.660413576,-5.50542240115887,WBGene00013499,WBGene00013499,History: N.A.
WBGene00001955,-5.658363553,-5.63750110899759,WBGene00001955,WBGene00001955,History: N.A.
WBGene00021835,-5.604780916,-5.50021351504277,WBGene00021835,WBGene00021835,History: N.A.
WBGene00003579,-5.54572402,-5.42333422331473,WBGene00003579,WBGene00003579,History: N.A.
WBGene00016273,-5.443942427,-5.39828484784155,WBGene00016273,WBGene00016273,History: N.A.
WBGene00021479,-5.368655089,-5.71595321213095,WBGene00021479,WBGene00021479,History: N.A.
WBGene00019538,-5.339610065,-5.55411549353668,WBGene00019538,WBGene00019538,History: N.A.
WBGene00004778,-5.277551467,-4.08401118609881,WBGene00004778,WBGene00004778,History: N.A.
WBGene00022307,-5.267911606,-4.75183473372186,WBGene00022307,WBGene00022307,History: N.A.
WBGene00008890,-5.188162386,-5.46909261458288,WBGene00008890,WBGene00008890,History: N.A.
WBGene00022276,-5.152811316,-5.72760812519655,WBGene00022276,WBGene00022276,History: N.A.
WBGene00010226,-5.143846413,-5.2878098699572,WBGene00010226,WBGene00010226,History: N.A.
WBGene00019909,-5.126289504,-4.46946403892349,WBGene00019909,WBGene00019909,History: N.A.
WBGene00019044,-5.097825129,-5.06707505686803,WBGene00019044,WBGene00019044,History: N.A.
WBGene00012854,-5.090059543,-4.3874777662238,WBGene00012854,WBGene00012854,History: N.A.
WBGene00021927,-5.08180964,-4.62123865211981,WBGene00021927,WBGene00021927,History: N.A.
WBGene00001666,-5.069578405,-5.13293283928326,WBGene00001666,WBGene00001666,History: N.A.
WBGene00019267,-5.040030915,-5.23456051925815,WBGene00019267,WBGene00019267,History: N.A.
WBGene00219675,-4.990895047,-5.1901278586583,WBGene00219675,WBGene00219675,History: N.A.
WBGene00013387,-4.978063486,-4.8171898023515,WBGene00013387,WBGene00013387,History: N.A.
WBGene00009005,-4.924289047,-4.88661458386165,WBGene00009005,WBGene00009005,History: N.A.
WBGene00004196,-4.915875919,-4.85370397634917,WBGene00004196,WBGene00004196,History: N.A.
WBGene00019545,-4.881799766,-4.64625396507406,WBGene00019545,WBGene00019545,History: N.A.
WBGene00017099,-4.872277142,-4.69441183519016,WBGene00017099,WBGene00017099,History: N.A.
WBGene00017303,-4.83011939,-4.70026902975348,WBGene00017303,WBGene00017303,History: N.A.
WBGene00044502,-4.829118036,-5.17038026810024,WBGene00044502,WBGene00044502,History: N.A.
WBGene00009361,-4.810730531,-3.74885817231363,WBGene00009361,WBGene00009361,History: N.A.
WBGene00021353,-4.760435723,-4.67537672580526,WBGene00021353,WBGene00021353,History: N.A.
WBGene00012407,-4.719293084,-4.00638268243807,WBGene00012407,WBGene00012407,History: N.A.
WBGene00012554,-4.716871628,-4.51200689562675,WBGene00012554,WBGene00012554,History: N.A.
WBGene00219413,-4.715408703,-4.56215196925237,WBGene00219413,WBGene00219413,History: N.A.
WBGene00012759,-4.709345072,-5.35949706284707,WBGene00012759,WBGene00012759,History: N.A.
WBGene00007275,-4.662682386,-4.66739196677593,WBGene00007275,WBGene00007275,History: N.A.
WBGene00014033,-4.656280644,-3.7312265253371,WBGene00014033,WBGene00014033,History: N.A.
WBGene00013736,-4.646932028,-4.58150015159672,WBGene00013736,WBGene00013736,History: N.A.
WBGene00009657,-4.622609859,-4.33738990729431,WBGene00009657,WBGene00009657,History: N.A.
WBGene00020988,-4.588588837,-4.08668535488166,WBGene00020988,WBGene00020988,History: N.A.
WBGene00195253,-4.563360946,-4.01088456802871,WBGene00195253,WBGene00195253,History: N.A.
WBGene00017698,-4.559992831,-3.52839154234653,WBGene00017698,WBGene00017698,History: N.A.
WBGene00000903,-4.541223685,-3.79624001867388,WBGene00000903,WBGene00000903,History: N.A.
WBGene00012866,-4.540238211,-4.8429270784508,WBGene00012866,WBGene00012866,History: N.A.
WBGene00013802,-4.534655767,-4.48424364508664,WBGene00013802,WBGene00013802,History: N.A.
WBGene00018383,-4.502439814,-4.5044470608278,WBGene00018383,WBGene00018383,History: N.A.
WBGene00003387,-4.495829558,-4.59441525401408,WBGene00003387,WBGene00003387,History: N.A.
WBGene00007750,-4.481734301,-4.05573503266173,WBGene00007750,WBGene00007750,History: N.A.
WBGene00015020,-4.473633954,-3.95021842378274,WBGene00015020,WBGene00015020,History: N.A.
WBGene00011592,-4.463995976,-4.27894918603172,WBGene00011592,WBGene00011592,History: N.A.
WBGene00007679,-4.459614652,-4.5745871880479,WBGene00007679,WBGene00007679,History: N.A.
WBGene00017944,-4.454610512,-4.12143118929259,WBGene00017944,WBGene00017944,History: N.A.
WBGene00023209,-4.450645882,-4.26425552158017,WBGene00023209,WBGene00023209,History: N.A.
WBGene00003124,-4.447913538,-4.37434049592163,WBGene00003124,WBGene00003124,History: N.A.
WBGene00021008,-4.437956843,-4.40496524750378,WBGene00021008,WBGene00021008,History: N.A.
WBGene00012289,-4.424166741,-4.6254938300107,WBGene00012289,WBGene00012289,History: N.A.
WBGene00009288,-4.401491379,-4.43462893722661,WBGene00009288,WBGene00009288,History: N.A.
WBGene00019665,-4.359287737,-4.37347854055522,WBGene00019665,WBGene00019665,History: N.A.
WBGene00044468,-4.355424287,-3.74138176860293,WBGene00044468,WBGene00044468,History: N.A.
WBGene00007079,-4.34880764,-4.0516290201477,WBGene00007079,WBGene00007079,History: N.A.
WBGene00014807,-4.326719853,-3.52332861380984,WBGene00014807,WBGene00014807,History: N.A.
WBGene00017515,-4.315926097,-4.05904487004269,WBGene00017515,WBGene00017515,History: N.A.
WBGene00007722,-4.304542279,-4.36229361836997,WBGene00007722,WBGene00007722,History: N.A.
WBGene00005061,-4.29671768,-4.4184376085759,WBGene00005061,WBGene00005061,History: N.A.
WBGene00020540,-4.295856164,-3.08938105098141,WBGene00020540,WBGene00020540,History: N.A.
WBGene00022358,-4.293857827,-4.64672643714679,WBGene00022358,WBGene00022358,History: N.A.
WBGene00043990,-4.284344759,-4.00759490800346,WBGene00043990,WBGene00043990,History: N.A.
WBGene00007928,-4.267425943,-4.0704658737775,WBGene00007928,WBGene00007928,History: N.A.
WBGene00015111,-4.267226993,-3.03736968835279,WBGene00015111,WBGene00015111,History: N.A.
WBGene00017354,-4.262724032,-4.43190795774462,WBGene00017354,WBGene00017354,History: N.A.
WBGene00022315,-4.255181724,-3.40117954211121,WBGene00022315,WBGene00022315,History: N.A.
WBGene00007405,-4.249028786,-3.49994864372875,WBGene00007405,WBGene00007405,History: N.A.
WBGene00021301,-4.239758468,-3.49900494156247,WBGene00021301,WBGene00021301,History: N.A.
WBGene00007926,-4.235496915,-3.62630552495976,WBGene00007926,WBGene00007926,History: N.A.
WBGene00016871,-4.235013922,-3.14840757835296,WBGene00016871,WBGene00016871,History: Renamed on 2013-04-16
WBGene00044530,-4.232299089,-4.68204655737422,WBGene00044530,WBGene00044530,History: N.A.
WBGene00007489,-4.218273373,-3.81336721157237,WBGene00007489,WBGene00007489,History: N.A.
WBGene00206474,-4.207125286,-4.30297548228385,WBGene00206474,WBGene00206474,History: N.A.
WBGene00019546,-4.182908363,-3.85234586594044,WBGene00019546,WBGene00019546,History: N.A.
WBGene00002100,-4.180476702,-4.13390923414292,WBGene00002100,WBGene00002100,History: N.A.
WBGene00017148,-4.141248365,-4.45342180493179,WBGene00017148,WBGene00017148,History: N.A.
WBGene00014148,-4.134317344,-3.72142682503298,WBGene00014148,WBGene00014148,History: N.A.
WBGene00017100,-4.129650293,-3.86681456681983,WBGene00017100,WBGene00017100,History: N.A.
WBGene00016165,-4.094562896,-4.11721571705177,WBGene00016165,WBGene00016165,History: N.A.
WBGene00021505,-4.065503008,-3.8938772542957,WBGene00021505,WBGene00021505,History: N.A.
WBGene00007076,-4.06501063,-3.66894148384138,WBGene00007076,WBGene00007076,History: N.A.
WBGene00020352,-4.062543325,-2.99828970108959,WBGene00020352,WBGene00020352,History: N.A.
WBGene00043989,-4.055330956,-3.66711447733964,WBGene00043989,WBGene00043989,History: N.A.
WBGene00194747,-4.049195041,-4.39131858364641,WBGene00194747,WBGene00194747,History: N.A.
WBGene00001745,-4.04598363,-3.85393977562841,WBGene00001745,WBGene00001745,History: N.A.
WBGene00269433,-4.034116592,-4.02537449088419,WBGene00269433,WBGene00269433,History: N.A.
WBGene00021790,-4.010656785,-3.74816003751391,WBGene00021790,WBGene00021790,History: N.A.
WBGene00013812,-4.006909695,-4.47242004359621,WBGene00013812,WBGene00013812,History: N.A.
WBGene00219317,-3.969753409,-3.71545611589974,WBGene00219317,WBGene00219317,History: N.A.
WBGene00016758,-3.9569197,-3.56821075158132,WBGene00016758,WBGene00016758,History: N.A.
WBGene00012671,-3.910809601,-4.07864413606908,WBGene00012671,WBGene00012671,History: N.A.
WBGene00014233,-3.895723387,-3.8896072855571,WBGene00014233,WBGene00014233,History: N.A.
WBGene00007988,-3.892139382,-3.70714561283737,WBGene00007988,WBGene00007988,History: N.A.
WBGene00021148,-3.876283462,-3.61512097027644,WBGene00021148,WBGene00021148,History: N.A.
WBGene00206511,-3.875359949,-3.44551196493824,WBGene00206511,WBGene00206511,History: N.A.
WBGene00018439,-3.864681283,-3.31215230411705,WBGene00018439,WBGene00018439,History: N.A.
WBGene00000819,-3.86078252,-3.15401849581146,WBGene00000819,WBGene00000819,History: N.A.
WBGene00015407,-3.849634167,-3.7979208364659,WBGene00015407,WBGene00015407,History: N.A.
WBGene00003480,-3.847436094,-3.5559896983686,WBGene00003480,WBGene00003480,History: N.A.
WBGene00009081,-3.834807722,-3.84116959739789,WBGene00009081,WBGene00009081,History: N.A.
WBGene00001764,-3.832779889,-4.30078068373934,WBGene00001764,WBGene00001764,History: N.A.
WBGene00009635,-3.829498071,-3.58556558950202,WBGene00009635,WBGene00009635,History: N.A.
WBGene00013692,-3.828679549,-4.98606040844287,WBGene00013692,WBGene00013692,History: N.A.
WBGene00021817,-3.825199437,-3.64676930957872,WBGene00021817,WBGene00021817,History: N.A.
WBGene00021096,-3.81585633,-3.92318286886108,WBGene00021096,WBGene00021096,History: N.A.
WBGene00002088,-3.815115658,-3.90000531815349,WBGene00002088,WBGene00002088,History: N.A.
WBGene00009044,-3.808076485,-3.60928183125748,WBGene00009044,WBGene00009044,History: N.A.
WBGene00003090,-3.803427789,-3.73091978980712,WBGene00003090,WBGene00003090,History: N.A.
WBGene00044414,-3.779830354,-4.02225493216202,WBGene00044414,WBGene00044414,History: N.A.
WBGene00002017,-3.771347427,-4.50984346062618,WBGene00002017,WBGene00002017,History: N.A.
WBGene00014906,-3.770151181,-3.083789916561,WBGene00014906,WBGene00014906,History: N.A.
WBGene00011971,-3.76224006,-3.76127754710669,WBGene00011971,WBGene00011971,History: N.A.
WBGene00010449,-3.759643262,-4.48399855033229,WBGene00010449,WBGene00010449,History: N.A.
WBGene00018241,-3.758274327,-4.06039547670524,WBGene00018241,WBGene00018241,"History: Split into F40G9.15(WBGene00077531). History of WBGene00018241: Split into ""WBGene00077531"" on 2008-01-15"
WBGene00017979,-3.742028871,-3.38184069052467,WBGene00017979,WBGene00017979,History: N.A.
WBGene00018662,-3.737373283,-3.56157406293205,WBGene00018662,WBGene00018662,History: N.A.
WBGene00015896,-3.735772315,-3.51305716212759,WBGene00015896,WBGene00015896,History: N.A.
WBGene00045043,-3.713253949,-3.72003171347681,WBGene00045043,WBGene00045043,History: N.A.
WBGene00011575,-3.708328943,-4.13341115097233,WBGene00011575,WBGene00011575,History: N.A.
WBGene00044482,-3.698580459,-3.97695500727473,WBGene00044482,WBGene00044482,History: N.A.
WBGene00002015,-3.697163609,-4.38813865173005,WBGene00002015,WBGene00002015,History: N.A.
WBGene00008421,-3.684548814,-3.7884060943402,WBGene00008421,WBGene00008421,History: N.A.
WBGene00013509,-3.680509873,-2.74625349201517,WBGene00013509,WBGene00013509,History: N.A.
WBGene00011393,-3.672919801,-3.65201036931735,WBGene00011393,WBGene00011393,History: N.A.
WBGene00010365,-3.657540972,-2.24553981888655,WBGene00010365,WBGene00010365,"History: Split into H04D03.7(WBGene00305993). History of WBGene00010365: Split into ""WBGene00305993"" on 2020-01-20"
WBGene00012985,-3.645003103,-2.99956378347563,WBGene00012985,WBGene00012985,History: N.A.
WBGene00000784,-3.64150244,-3.68902896974832,WBGene00000784,WBGene00000784,History: N.A.
WBGene00017737,-3.635922872,-3.71131814924355,WBGene00017737,WBGene00017737,History: N.A.
WBGene00007395,-3.627797099,-3.65846280025262,WBGene00007395,WBGene00007395,History: N.A.
WBGene00015115,-3.622523169,-4.00702066693204,WBGene00015115,WBGene00015115,History: N.A.
WBGene00004130,-3.609998747,-2.92532704230006,WBGene00004130,WBGene00004130,History: N.A.
WBGene00013009,-3.593437249,-3.16818005316171,WBGene00013009,WBGene00013009,History: N.A.
WBGene00045277,-3.576077191,-2.89001986203453,WBGene00045277,WBGene00045277,History: N.A.
WBGene00012911,-3.572382288,-3.56976212631331,WBGene00012911,WBGene00012911,History: N.A.
WBGene00021547,-3.570078496,-3.65003988094253,WBGene00021547,WBGene00021547,History: N.A.
WBGene00009917,-3.55977265,-3.32211112964007,WBGene00009917,WBGene00009917,History: N.A.
WBGene00018309,-3.552440137,-2.86175966817183,WBGene00018309,WBGene00018309,History: N.A.
WBGene00021079,-3.543355253,-2.92060861860728,WBGene00021079,WBGene00021079,History: N.A.
WBGene00018433,-3.535710956,-3.34599940213628,WBGene00018433,WBGene00018433,History: N.A.
WBGene00004933,-3.515741415,-3.73108522307033,WBGene00004933,WBGene00004933,History: N.A.
WBGene00013830,-3.512840392,-2.80593308611062,WBGene00013830,WBGene00013830,History: N.A.
WBGene00008690,-3.500112372,-3.77344729800114,WBGene00008690,WBGene00008690,History: N.A.
WBGene00022642,-3.4974403,-3.46543462053759,WBGene00022642,WBGene00022642,History: N.A.
WBGene00043992,-3.494601259,-3.16261312053569,WBGene00043992,WBGene00043992,History: N.A.
WBGene00201351,-3.493694636,-3.65423876394308,WBGene00201351,WBGene00201351,History: N.A.
