# Supplementary File 3,Sheet 7: Small RNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for two generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen2),Input,Suggested Match,History
WBGene00021986,6.48041473189266,6.80263822801998,WBGene00021986,WBGene00021986,History: N.A.
WBGene00003385,5.46760227213169,5.18817941421725,WBGene00003385,WBGene00003385,History: N.A.
WBGene00013587,5.16068404802697,5.25978609857553,WBGene00013587,WBGene00013587,History: N.A.
WBGene00012867,5.08562472360325,5.06789867631643,WBGene00012867,WBGene00012867,History: N.A.
WBGene00001935,4.82664110009355,4.60206569575393,WBGene00001935,WBGene00001935,History: N.A.
WBGene00017153,4.82647425420932,4.56307095125553,WBGene00017153,WBGene00017153,History: N.A.
WBGene00001791,4.69062278760378,4.67230869027359,WBGene00001791,WBGene00001791,History: N.A.
WBGene00200004,4.68043623172382,4.18529940467583,WBGene00200004,WBGene00200004,History: N.A.
WBGene00001890,4.66064530571258,4.44783523926392,WBGene00001890,WBGene00001890,History: N.A.
WBGene00001899,4.52288046350891,4.81974547818809,WBGene00001899,WBGene00001899,History: N.A.
WBGene00001893,4.49095340620729,4.0371271008349,WBGene00001893,WBGene00001893,History: N.A.
WBGene00022815,4.4671128685532,4.38235253220623,WBGene00022815,WBGene00022815,History: N.A.
WBGene00021020,4.42324712872359,4.27638846887069,WBGene00021020,WBGene00021020,History: N.A.
WBGene00012673,4.40487538044799,4.02099771733168,WBGene00012673,WBGene00012673,History: N.A.
WBGene00006508,4.35255210500123,4.8045259791518,WBGene00006508,WBGene00006508,History: Renamed on 2015-11-05
WBGene00001906,4.3157282507761,3.98184473236096,WBGene00001906,WBGene00001906,History: N.A.
WBGene00199162,4.27938381949877,3.93366713220635,WBGene00199162,WBGene00199162,History: N.A.
WBGene00001927,4.13755096863822,3.88042686917924,WBGene00001927,WBGene00001927,History: N.A.
WBGene00001881,4.117236132584,3.80232241351084,WBGene00001881,WBGene00001881,History: N.A.
WBGene00010768,4.09551691189347,3.77649837660845,WBGene00010768,WBGene00010768,History: N.A.
WBGene00001895,4.0954166120265,4.28962395771248,WBGene00001895,WBGene00001895,History: N.A.
WBGene00001925,4.07419530834537,3.66619004784883,WBGene00001925,WBGene00001925,History: N.A.
WBGene00001916,4.04865343922377,3.81232134611992,WBGene00001916,WBGene00001916,History: N.A.
WBGene00001887,3.92380525932592,4.00207600775096,WBGene00001887,WBGene00001887,History: N.A.
WBGene00019997,3.92261377730085,3.56442792341132,WBGene00019997,WBGene00019997,History: N.A.
WBGene00001883,3.90484295946009,4.30009125584559,WBGene00001883,WBGene00001883,History: N.A.
WBGene00019096,3.89891444074193,3.56067147193185,WBGene00019096,WBGene00019096,History: N.A.
WBGene00001886,3.77633650020037,3.80376729807165,WBGene00001886,WBGene00001886,History: N.A.
WBGene00002048,3.76436443015267,3.81772657015552,WBGene00002048,WBGene00002048,History: N.A.
WBGene00019094,3.72797745283006,3.23544925726524,WBGene00019094,WBGene00019094,History: N.A.
WBGene00001888,3.70661189529665,3.44845870915655,WBGene00001888,WBGene00001888,History: N.A.
WBGene00017101,3.67043512281554,3.67526071258161,WBGene00017101,WBGene00017101,History: N.A.
WBGene00001917,3.58481615718219,4.07290803398973,WBGene00001917,WBGene00001917,History: N.A.
WBGene00001900,3.57503575207216,3.47551919000107,WBGene00001900,WBGene00001900,History: N.A.
WBGene00001884,3.47564704475506,3.41278168390752,WBGene00001884,WBGene00001884,History: N.A.
WBGene00021340,3.44634473408914,3.13862757335544,WBGene00021340,WBGene00021340,History: N.A.
WBGene00017818,3.35588378529002,3.50612779122001,WBGene00017818,WBGene00017818,"History: Split into F26D11.20(WBGene00302988). History of WBGene00017818: Split into ""WBGene00302988"" on 2018-03-06"
WBGene00000232,3.31359209605636,3.00268485566532,WBGene00000232,WBGene00000232,History: N.A.
WBGene00014259,3.30514896209761,3.17801289174472,WBGene00014259,WBGene00014259,History: N.A.
WBGene00011805,3.29497982289795,3.4342468211687,WBGene00011805,WBGene00011805,History: N.A.
WBGene00001907,3.28966152482128,3.36067738870499,WBGene00001907,WBGene00001907,History: N.A.
WBGene00018330,3.21700402682923,2.21178897003221,WBGene00018330,WBGene00018330,History: N.A.
WBGene00001904,3.12371797366479,3.50245863781778,WBGene00001904,WBGene00001904,History: N.A.
WBGene00016763,3.09173670134176,3.32576537632418,WBGene00016763,WBGene00016763,History: N.A.
WBGene00018720,3.01464532545582,2.63975906197546,WBGene00018720,WBGene00018720,History: N.A.
WBGene00018842,3.00337632360604,2.96943258560309,WBGene00018842,WBGene00018842,History: N.A.
WBGene00194682,2.99714926164081,3.44506302148336,WBGene00194682,WBGene00194682,History: N.A.
WBGene00016492,2.98474475739246,2.89146149419963,WBGene00016492,WBGene00016492,History: N.A.
WBGene00001877,2.93831033031629,2.61848112312031,WBGene00001877,WBGene00001877,History: N.A.
WBGene00012237,2.86078878251359,3.31062297620543,WBGene00012237,WBGene00012237,History: N.A.
WBGene00020183,2.75779926242227,2.6075482518891,WBGene00020183,WBGene00020183,History: N.A.
WBGene00014459,2.73140791869024,2.284858820916,WBGene00014459,WBGene00014459,History: N.A.
WBGene00010295,2.72849681603267,2.78395828205483,WBGene00010295,WBGene00010295,History: N.A.
WBGene00001119,2.64703177593042,2.14309494857802,WBGene00001119,WBGene00001119,History: N.A.
WBGene00008779,2.64568054575776,2.47910314268044,WBGene00008779,WBGene00008779,History: N.A.
WBGene00016540,2.6439743254031,2.2369534200732,WBGene00016540,WBGene00016540,History: N.A.
WBGene00001942,2.63347547347532,2.55089951076159,WBGene00001942,WBGene00001942,History: N.A.
WBGene00013358,2.62105048777405,2.44866766039057,WBGene00013358,WBGene00013358,History: N.A.
WBGene00016953,2.52074545172465,1.88431413856745,WBGene00016953,WBGene00016953,History: N.A.
WBGene00001921,2.48471501348583,2.1638532004898,WBGene00001921,WBGene00001921,History: N.A.
WBGene00014471,2.45171701794012,1.47728580479508,WBGene00014471,WBGene00014471,History: N.A.
WBGene00019588,2.41872214300936,3.39451333598507,WBGene00019588,WBGene00019588,History: N.A.
WBGene00004747,2.4144975999749,2.56178042811087,WBGene00004747,WBGene00004747,History: N.A.
WBGene00001931,2.40531316098583,2.0560580126582,WBGene00001931,WBGene00001931,History: N.A.
WBGene00021808,2.39768740234893,2.6224805506561,WBGene00021808,WBGene00021808,History: N.A.
WBGene00001880,2.3916720827571,1.90657788405563,WBGene00001880,WBGene00001880,History: N.A.
WBGene00018196,2.38533209603866,1.94462668084998,WBGene00018196,WBGene00018196,History: N.A.
WBGene00000057,2.35054269277246,1.94416225978224,WBGene00000057,WBGene00000057,History: N.A.
WBGene00011812,2.33299360834282,2.08187239677444,WBGene00011812,WBGene00011812,History: N.A.
WBGene00006819,2.32853819540817,2.02695973455162,WBGene00006819,WBGene00006819,History: N.A.
WBGene00006771,2.30847095753403,1.97770211423556,WBGene00006771,WBGene00006771,History: Renamed on 2011-08-12
WBGene00007281,2.29879727831923,2.38253466259456,WBGene00007281,WBGene00007281,History: N.A.
WBGene00001939,2.27762346595529,2.33242091229445,WBGene00001939,WBGene00001939,History: N.A.
WBGene00015488,2.24275831004882,1.67503104980948,WBGene00015488,WBGene00015488,History: N.A.
WBGene00014450,2.22450979365334,1.4778196441882,WBGene00014450,WBGene00014450,History: N.A.
WBGene00015230,2.15557424550683,1.90608059107516,WBGene00015230,WBGene00015230,History: N.A.
WBGene00010294,2.05617097071421,2.1029368334254,WBGene00010294,WBGene00010294,History: N.A.
WBGene00003040,2.04855932966766,2.14102200117851,WBGene00003040,WBGene00003040,History: N.A.
WBGene00007752,1.99414177027761,2.08766250496854,WBGene00007752,WBGene00007752,"History: Split into C26H9A.4(WBGene00303042). History of WBGene00007752: Split into ""WBGene00303042"" on 2018-03-02"
WBGene00014461,1.90484084811062,1.31843735845187,WBGene00014461,WBGene00014461,History: N.A.
WBGene00011291,1.90196444428214,1.74153004363194,WBGene00011291,WBGene00011291,History: N.A.
WBGene00000224,1.87556380403785,1.48358034484938,WBGene00000224,WBGene00000224,History: Renamed on 2008-02-28
WBGene00017796,1.86395624291328,2.00272748238089,WBGene00017796,WBGene00017796,History: N.A.
WBGene00021107,1.81586183111867,1.9380342178436,WBGene00021107,WBGene00021107,History: N.A.
WBGene00003235,1.79982902057666,1.42798486236309,WBGene00003235,WBGene00003235,History: N.A.
WBGene00019994,1.76275391518685,1.18141900505348,WBGene00019994,WBGene00019994,History: N.A.
WBGene00017186,1.75882413521577,1.9615753748497,WBGene00017186,WBGene00017186,History: N.A.
WBGene00001937,1.73032863112131,1.3976895484647,WBGene00001937,WBGene00001937,History: N.A.
WBGene00000237,1.72903701142224,2.22113605885895,WBGene00000237,WBGene00000237,History: N.A.
WBGene00015344,1.70077105187818,1.49480686228057,WBGene00015344,WBGene00015344,History: N.A.
WBGene00001919,1.68409485230281,1.33148195503985,WBGene00001919,WBGene00001919,History: N.A.
WBGene00004357,1.65544746356383,1.89461262202997,WBGene00004357,WBGene00004357,History: N.A.
WBGene00012423,1.65081254779055,1.86059665598691,WBGene00012423,WBGene00012423,History: N.A.
WBGene00013419,1.61301815521287,1.83921374887327,WBGene00013419,WBGene00013419,History: N.A.
WBGene00003068,1.60512307952504,1.44192298021885,WBGene00003068,WBGene00003068,History: N.A.
WBGene00014456,1.59211742086611,1.30132498285142,WBGene00014456,WBGene00014456,History: N.A.
WBGene00013531,1.58150865480053,1.6706085398126,WBGene00013531,WBGene00013531,History: N.A.
WBGene00044177,1.56445596612615,1.51690772800141,WBGene00044177,WBGene00044177,History: N.A.
WBGene00001032,1.54572273043391,1.6422416411667,WBGene00001032,WBGene00001032,History: N.A.
WBGene00009370,1.54050121833933,1.31444130007918,WBGene00009370,WBGene00009370,History: N.A.
WBGene00013835,1.52831052141647,1.28652673224181,WBGene00013835,WBGene00013835,History: N.A.
WBGene00010293,1.48394544281959,1.40477127440558,WBGene00010293,WBGene00010293,History: N.A.
WBGene00022165,1.47393051993022,1.31178491358252,WBGene00022165,WBGene00022165,"History: Split into Y71H2AL.4(WBGene00303095). History of WBGene00022165: Split into ""WBGene00303095"" on 2018-03-02"
WBGene00021357,1.45015230953254,1.38279875218936,WBGene00021357,WBGene00021357,History: N.A.
WBGene00015229,1.43883953975417,1.61340310601967,WBGene00015229,WBGene00015229,History: N.A.
