# Supplementary File 3,Sheet 8: Small RNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for seven generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen7),Input,Suggested Match,History
WBGene00021927,-8.391567963,-7.55364356667534,WBGene00021927,WBGene00021927,History: N.A.
WBGene00022438,-8.342117445,-8.39501882986734,WBGene00022438,WBGene00022438,History: N.A.
WBGene00021301,-8.065067843,-6.22539988042122,WBGene00021301,WBGene00021301,History: N.A.
WBGene00017106,-7.910173127,-7.16176954309715,WBGene00017106,WBGene00017106,History: N.A.
WBGene00012572,-7.873506318,-7.08092140897311,WBGene00012572,WBGene00012572,History: N.A.
WBGene00001705,-7.673739265,-5.0064252289341,WBGene00001705,WBGene00001705,History: N.A.
WBGene00007600,-7.398487941,-7.69089798096087,WBGene00007600,WBGene00007600,History: N.A.
WBGene00008890,-7.35605772,-7.38736080458183,WBGene00008890,WBGene00008890,History: N.A.
WBGene00019370,-7.267020413,-5.75969901776577,WBGene00019370,WBGene00019370,History: N.A.
WBGene00017644,-6.952092904,-6.38179687399197,WBGene00017644,WBGene00017644,History: Renamed on 2005-07-22
WBGene00021505,-6.89202441,-6.35952938985475,WBGene00021505,WBGene00021505,History: N.A.
WBGene00007926,-6.787060169,-5.72642092341183,WBGene00007926,WBGene00007926,History: N.A.
WBGene00008776,-6.779795248,-5.72791670879588,WBGene00008776,WBGene00008776,History: N.A.
WBGene00013499,-6.518774978,-6.41778761516837,WBGene00013499,WBGene00013499,History: N.A.
WBGene00010226,-6.515525832,-6.28384995456838,WBGene00010226,WBGene00010226,History: N.A.
WBGene00001666,-6.469910013,-6.18879612504419,WBGene00001666,WBGene00001666,History: N.A.
WBGene00000819,-6.450618329,-4.03163587409109,WBGene00000819,WBGene00000819,History: N.A.
WBGene00015020,-6.406095275,-5.45335028318739,WBGene00015020,WBGene00015020,History: N.A.
WBGene00012554,-6.382337751,-6.12436539170837,WBGene00012554,WBGene00012554,History: N.A.
WBGene00017100,-6.379674082,-5.52233844535627,WBGene00017100,WBGene00017100,History: N.A.
WBGene00001955,-6.370418839,-5.93351351947677,WBGene00001955,WBGene00001955,History: N.A.
WBGene00019909,-6.353371385,-4.56053034280016,WBGene00019909,WBGene00019909,History: N.A.
WBGene00022307,-6.343384438,-3.62104027438005,WBGene00022307,WBGene00022307,History: N.A.
WBGene00017148,-6.330134222,-6.20043845221476,WBGene00017148,WBGene00017148,History: N.A.
WBGene00012985,-6.171026091,-4.7803282627506,WBGene00012985,WBGene00012985,History: N.A.
WBGene00019044,-6.125680252,-5.61048068202315,WBGene00019044,WBGene00019044,History: N.A.
WBGene00003579,-6.115511244,-6.19151954763081,WBGene00003579,WBGene00003579,History: N.A.
WBGene00021835,-5.963303551,-5.08153180406002,WBGene00021835,WBGene00021835,History: N.A.
WBGene00001745,-5.963193283,-5.53665952882786,WBGene00001745,WBGene00001745,History: N.A.
WBGene00043990,-5.939531449,-5.47049852998078,WBGene00043990,WBGene00043990,History: N.A.
WBGene00002100,-5.93686311,-5.92097147847451,WBGene00002100,WBGene00002100,History: N.A.
WBGene00007079,-5.9216289,-5.41034318918272,WBGene00007079,WBGene00007079,History: N.A.
WBGene00004196,-5.91270758,-5.81895701907866,WBGene00004196,WBGene00004196,History: N.A.
WBGene00022276,-5.862519603,-7.27866616998771,WBGene00022276,WBGene00022276,History: N.A.
WBGene00007076,-5.846415188,-5.12497754486619,WBGene00007076,WBGene00007076,History: N.A.
WBGene00005061,-5.83610374,-6.03484891760046,WBGene00005061,WBGene00005061,History: N.A.
WBGene00022315,-5.823714873,-4.30382123756996,WBGene00022315,WBGene00022315,History: N.A.
WBGene00017515,-5.819929697,-5.16463233791365,WBGene00017515,WBGene00017515,History: N.A.
WBGene00013222,-5.813078964,-3.71989969394158,WBGene00013222,WBGene00013222,History: N.A.
WBGene00043989,-5.761391459,-5.0648649358419,WBGene00043989,WBGene00043989,History: N.A.
WBGene00009657,-5.749434479,-5.51620926964286,WBGene00009657,WBGene00009657,History: N.A.
WBGene00012759,-5.74413233,-6.89335589351258,WBGene00012759,WBGene00012759,History: N.A.
WBGene00021790,-5.743911645,-5.23771451514654,WBGene00021790,WBGene00021790,History: N.A.
WBGene00016758,-5.741125556,-4.78211176897917,WBGene00016758,WBGene00016758,History: N.A.
WBGene00019267,-5.726991454,-6.14729678105556,WBGene00019267,WBGene00019267,History: N.A.
WBGene00021008,-5.683092261,-5.5322260013517,WBGene00021008,WBGene00021008,History: N.A.
WBGene00012854,-5.661701221,-4.08590984548179,WBGene00012854,WBGene00012854,History: N.A.
WBGene00021479,-5.659288528,-6.07492394127549,WBGene00021479,WBGene00021479,History: N.A.
WBGene00016273,-5.654764533,-5.63161151016132,WBGene00016273,WBGene00016273,History: N.A.
WBGene00012866,-5.645704111,-6.19745918328412,WBGene00012866,WBGene00012866,History: N.A.
WBGene00017099,-5.628399468,-5.06749901770138,WBGene00017099,WBGene00017099,History: N.A.
WBGene00013802,-5.626307918,-5.59744583801223,WBGene00013802,WBGene00013802,History: N.A.
WBGene00011592,-5.624464711,-5.30597954945164,WBGene00011592,WBGene00011592,History: N.A.
WBGene00007275,-5.592658027,-5.43355997077459,WBGene00007275,WBGene00007275,History: N.A.
WBGene00269433,-5.574271381,-5.38255751305136,WBGene00269433,WBGene00269433,History: N.A.
WBGene00012289,-5.565946506,-6.04521015806834,WBGene00012289,WBGene00012289,History: N.A.
WBGene00018439,-5.543940854,-4.23867558650166,WBGene00018439,WBGene00018439,History: N.A.
WBGene00002088,-5.542162939,-5.88243845525973,WBGene00002088,WBGene00002088,History: N.A.
WBGene00044468,-5.526374237,-4.04416231246355,WBGene00044468,WBGene00044468,History: N.A.
WBGene00004130,-5.518840759,-3.56592652814978,WBGene00004130,WBGene00004130,History: N.A.
WBGene00021096,-5.514321334,-5.42893160583314,WBGene00021096,WBGene00021096,History: N.A.
WBGene00019538,-5.485654032,-6.1732380328363,WBGene00019538,WBGene00019538,History: N.A.
WBGene00017944,-5.467600016,-4.74123920230318,WBGene00017944,WBGene00017944,History: N.A.
WBGene00045043,-5.444087385,-5.58176014213413,WBGene00045043,WBGene00045043,History: N.A.
WBGene00007928,-5.433290429,-5.15693827086214,WBGene00007928,WBGene00007928,History: N.A.
WBGene00206511,-5.420419078,-4.9604533610329,WBGene00206511,WBGene00206511,History: N.A.
WBGene00016216,-5.416724537,-5.30761550973562,WBGene00016216,WBGene00016216,History: N.A.
