# Supplementary File 3,Sheet 9: Small RNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for seven generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen7),Input,Suggested Match,History
WBGene00021986,6.50545118622688,5.79837688255131,WBGene00021986,WBGene00021986,History: N.A.
WBGene00013587,5.65083510899408,4.89127066404854,WBGene00013587,WBGene00013587,History: N.A.
WBGene00003385,5.61206124583071,4.48365943735436,WBGene00003385,WBGene00003385,History: N.A.
WBGene00012867,4.99729303517426,4.49820473830014,WBGene00012867,WBGene00012867,History: N.A.
WBGene00022815,4.90650652199112,5.0736984753773,WBGene00022815,WBGene00022815,History: N.A.
WBGene00001791,4.90012374041913,4.24463112887329,WBGene00001791,WBGene00001791,History: N.A.
WBGene00001899,4.84685182779659,4.82153887572214,WBGene00001899,WBGene00001899,History: N.A.
WBGene00017153,4.75746760641471,3.97313631098392,WBGene00017153,WBGene00017153,History: N.A.
WBGene00021020,4.70098976575331,4.05794076426461,WBGene00021020,WBGene00021020,History: N.A.
WBGene00001890,4.66862159749923,3.79255313622793,WBGene00001890,WBGene00001890,History: N.A.
WBGene00001935,4.55932680474232,3.34249343143869,WBGene00001935,WBGene00001935,History: N.A.
WBGene00001916,4.52220281034189,3.94292243772745,WBGene00001916,WBGene00001916,History: N.A.
WBGene00001906,4.43790215859099,3.70791476839923,WBGene00001906,WBGene00001906,History: N.A.
WBGene00012673,4.40974855525671,2.96533483443092,WBGene00012673,WBGene00012673,History: N.A.
WBGene00200004,4.3731669299216,3.63714755343551,WBGene00200004,WBGene00200004,History: N.A.
WBGene00006508,4.35272240241915,4.89841058979418,WBGene00006508,WBGene00006508,History: Renamed on 2015-11-05
WBGene00001887,4.3336722607189,4.27761270595754,WBGene00001887,WBGene00001887,History: N.A.
WBGene00019997,4.32549266065436,3.50637849029855,WBGene00019997,WBGene00019997,History: N.A.
WBGene00010768,4.31062958952725,2.75127384192137,WBGene00010768,WBGene00010768,History: N.A.
WBGene00001883,4.28071228692688,4.0624557816639,WBGene00001883,WBGene00001883,History: N.A.
WBGene00001893,4.10406067348492,2.53392470143634,WBGene00001893,WBGene00001893,History: N.A.
WBGene00019096,4.02886586243157,2.34442207373233,WBGene00019096,WBGene00019096,History: N.A.
WBGene00001881,3.93072719470191,2.63486167065502,WBGene00001881,WBGene00001881,History: N.A.
