# Supplementary File 3,Sheet 10: Small RNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for 10 generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen10),Input,Suggested Match,History
WBGene00021301,-8.37957554138445,-4.89075034685758,WBGene00021301,WBGene00021301,History: N.A.
WBGene00008890,-7.58829706193156,-6.34589571586912,WBGene00008890,WBGene00008890,History: N.A.
WBGene00012124,-7.57201995085225,-4.23820878388879,WBGene00012124,WBGene00012124,History: N.A.
WBGene00022275,-6.92308749099979,-3.10177746479365,WBGene00022275,WBGene00022275,History: N.A.
WBGene00021505,-6.75464216665986,-5.24399218831113,WBGene00021505,WBGene00021505,History: N.A.
WBGene00000819,-6.71380323314334,-2.87803140812754,WBGene00000819,WBGene00000819,History: N.A.
WBGene00021927,-6.66989152659373,-5.93825718735484,WBGene00021927,WBGene00021927,History: N.A.
WBGene00017644,-6.65185765716454,-6.19746854327722,WBGene00017644,WBGene00017644,History: Renamed on 2005-07-22
WBGene00017106,-6.58922280401661,-5.85658574739288,WBGene00017106,WBGene00017106,History: N.A.
WBGene00021008,-6.53333419403229,-6.81980234562907,WBGene00021008,WBGene00021008,History: N.A.
WBGene00007119,-6.49758811204317,-6.03889121322898,WBGene00007119,WBGene00007119,History: N.A.
WBGene00008776,-6.46361779084531,-5.49228071833023,WBGene00008776,WBGene00008776,History: N.A.
WBGene00007926,-6.44379508098996,-4.84764584955976,WBGene00007926,WBGene00007926,History: N.A.
WBGene00044468,-6.37172122300198,-3.83301125023404,WBGene00044468,WBGene00044468,History: N.A.
WBGene00001955,-6.1894781990037,-5.77962502714587,WBGene00001955,WBGene00001955,History: N.A.
WBGene00009696,-6.1829698058043,-3.30795865197605,WBGene00009696,WBGene00009696,History: N.A.
WBGene00004196,-6.17437327202476,-5.95216747166069,WBGene00004196,WBGene00004196,History: N.A.
WBGene00016585,-6.15685935324943,-6.19229464702111,WBGene00016585,WBGene00016585,History: N.A.
WBGene00044504,-6.15174400055975,-5.74119998052188,WBGene00044504,WBGene00044504,History: N.A.
WBGene00013666,-6.07690985129722,-5.4871050328859,WBGene00013666,WBGene00013666,History: N.A.
WBGene00007079,-6.05059889002744,-4.28942704651801,WBGene00007079,WBGene00007079,History: N.A.
WBGene00001745,-6.03089971871198,-4.65214288102266,WBGene00001745,WBGene00001745,History: N.A.
WBGene00017515,-6.02641088815821,-4.87990304346635,WBGene00017515,WBGene00017515,History: N.A.
WBGene00017100,-6.0093308900204,-4.88824119110287,WBGene00017100,WBGene00017100,History: N.A.
WBGene00021790,-5.99765806434088,-5.45793799951647,WBGene00021790,WBGene00021790,History: N.A.
WBGene00012624,-5.97499484387009,-3.50524738746694,WBGene00012624,WBGene00012624,History: N.A.
WBGene00016758,-5.95686660288645,-4.62271503883591,WBGene00016758,WBGene00016758,History: N.A.
WBGene00043989,-5.94348820681599,-4.56550825650383,WBGene00043989,WBGene00043989,History: N.A.
WBGene00011733,-5.9357395255263,-5.79686804639279,WBGene00011733,WBGene00011733,History: N.A.
WBGene00001666,-5.9248503347149,-6.31269747100932,WBGene00001666,WBGene00001666,History: N.A.
WBGene00010226,-5.91339046348134,-6.40929346974751,WBGene00010226,WBGene00010226,History: N.A.
WBGene00045043,-5.88124977277066,-5.51582761719394,WBGene00045043,WBGene00045043,History: N.A.
WBGene00043990,-5.8421517464958,-4.13596390301828,WBGene00043990,WBGene00043990,History: N.A.
WBGene00002100,-5.8361448243998,-5.85407292045507,WBGene00002100,WBGene00002100,History: N.A.
WBGene00012671,-5.80903095532142,-6.74297179691434,WBGene00012671,WBGene00012671,History: N.A.
WBGene00002088,-5.80545728618127,-6.02472240672232,WBGene00002088,WBGene00002088,History: N.A.
WBGene00022438,-5.74894758670359,-6.23305499657162,WBGene00022438,WBGene00022438,History: N.A.
WBGene00012854,-5.72831907523403,-4.4048909396578,WBGene00012854,WBGene00012854,History: N.A.
WBGene00012554,-5.68785688078592,-5.50891146659359,WBGene00012554,WBGene00012554,History: N.A.
WBGene00014105,-5.67890482604279,-4.94350277061573,WBGene00014105,WBGene00014105,History: N.A.
WBGene00017099,-5.67870759458031,-4.46087526453734,WBGene00017099,WBGene00017099,History: N.A.
WBGene00015020,-5.65351331522451,-4.31842255026434,WBGene00015020,WBGene00015020,History: N.A.
WBGene00009657,-5.61761529164206,-6.0800148532568,WBGene00009657,WBGene00009657,History: N.A.
WBGene00007600,-5.6120117556525,-5.96691780900928,WBGene00007600,WBGene00007600,History: N.A.
WBGene00007928,-5.56393548466745,-4.9774449342139,WBGene00007928,WBGene00007928,History: N.A.
WBGene00016216,-5.55909423088344,-4.91936203445825,WBGene00016216,WBGene00016216,History: N.A.
WBGene00013802,-5.55327050166095,-5.34855003855198,WBGene00013802,WBGene00013802,History: N.A.
WBGene00018383,-5.55241309682079,-5.27042780017641,WBGene00018383,WBGene00018383,History: N.A.
WBGene00016871,-5.53673541165455,-3.78280159061376,WBGene00016871,WBGene00016871,History: Renamed on 2013-04-16
WBGene00021415,-5.52888741350053,-5.55698763801809,WBGene00021415,WBGene00021415,History: N.A.
WBGene00009468,-5.49570939239261,-5.11881595858904,WBGene00009468,WBGene00009468,History: N.A.
WBGene00007076,-5.47274396599631,-4.14848795819524,WBGene00007076,WBGene00007076,History: N.A.
WBGene00013387,-5.46690520872182,-5.73130138133762,WBGene00013387,WBGene00013387,History: N.A.
WBGene00015896,-5.43592140455225,-4.35103930983063,WBGene00015896,WBGene00015896,History: N.A.
WBGene00003579,-5.42374744873626,-5.20823679777556,WBGene00003579,WBGene00003579,History: N.A.
WBGene00009288,-5.4158503426842,-5.44704340816455,WBGene00009288,WBGene00009288,History: N.A.
WBGene00219675,-5.39661208877047,-5.9009498084354,WBGene00219675,WBGene00219675,History: N.A.
WBGene00021976,-5.37888914695144,-5.4956513801915,WBGene00021976,WBGene00021976,History: N.A.
WBGene00014148,-5.37383471105568,-3.88472038741148,WBGene00014148,WBGene00014148,History: N.A.
WBGene00002222,-5.36786758073442,-5.0520844702123,WBGene00002222,WBGene00002222,"History: Split into F20C5.11(WBGene00303015). History of WBGene00002222: Split into ""WBGene00303015"" on 2018-03-06"
WBGene00019327,-5.36221508486165,-2.6860945434977,WBGene00019327,WBGene00019327,History: N.A.
WBGene00016273,-5.32424155340188,-5.06636138099512,WBGene00016273,WBGene00016273,History: N.A.
WBGene00011531,-5.32410491468407,-5.80074839663735,WBGene00011531,WBGene00011531,"History: Split into T06D10.8(WBGene00303078). History of WBGene00011531: Split into ""WBGene00303078"" on 2018-03-02"
WBGene00015407,-5.29829389331427,-4.43262947266046,WBGene00015407,WBGene00015407,History: N.A.
WBGene00011592,-5.29367100304968,-5.20153500301186,WBGene00011592,WBGene00011592,History: N.A.
WBGene00018850,-5.28896663927534,-4.22850197633891,WBGene00018850,WBGene00018850,History: N.A.
WBGene00021479,-5.2406032935731,-6.3606493919964,WBGene00021479,WBGene00021479,History: N.A.
WBGene00006570,-5.22363270144403,-4.81982828876672,WBGene00006570,WBGene00006570,History: N.A.
WBGene00195071,-5.2021324611031,-3.42815475335188,WBGene00195071,WBGene00195071,History: N.A.
WBGene00020988,-5.19505296903597,-5.17287638058041,WBGene00020988,WBGene00020988,History: N.A.
WBGene00013672,-5.19421879676525,-4.9417516334086,WBGene00013672,WBGene00013672,History: N.A.
WBGene00009361,-5.14256165870357,-2.44780903181104,WBGene00009361,WBGene00009361,History: N.A.
WBGene00021913,-5.13978517827834,-4.84515479575442,WBGene00021913,WBGene00021913,History: N.A.
WBGene00020486,-5.10060076835476,-3.15234935387459,WBGene00020486,WBGene00020486,History: N.A.
WBGene00017303,-5.09909686810066,-4.89669850884157,WBGene00017303,WBGene00017303,History: N.A.
WBGene00023284,-5.0927241472233,-2.24098961270287,WBGene00023284,WBGene00023284,History: N.A.
WBGene00018761,-5.06529917664758,-4.64056449219727,WBGene00018761,WBGene00018761,History: N.A.
WBGene00044530,-5.05947998945257,-5.64951681564008,WBGene00044530,WBGene00044530,History: N.A.
WBGene00013233,-5.05207973248181,-4.99392418298797,WBGene00013233,WBGene00013233,History: Renamed on 2005-12-13
WBGene00022608,-5.04972601346082,-4.0881452274296,WBGene00022608,WBGene00022608,History: N.A.
WBGene00206511,-5.04298469933903,-4.22297107254289,WBGene00206511,WBGene00206511,History: N.A.
WBGene00021678,-5.03177454726641,-4.35196537615558,WBGene00021678,WBGene00021678,History: N.A.
WBGene00007395,-5.02830696381828,-4.28267717347172,WBGene00007395,WBGene00007395,History: N.A.
WBGene00017944,-5.01957084421949,-3.80048326090799,WBGene00017944,WBGene00017944,History: N.A.
WBGene00019545,-4.99343599338059,-4.17426961359237,WBGene00019545,WBGene00019545,History: N.A.
WBGene00021095,-4.99183733295274,-6.0258496330327,WBGene00021095,WBGene00021095,History: Renamed on 2005-03-17
WBGene00201019,-4.98638399782243,-5.26218892651938,WBGene00201019,WBGene00201019,History: N.A.
WBGene00021817,-4.98240960440294,-4.2576056711757,WBGene00021817,WBGene00021817,History: N.A.
WBGene00012717,-4.95833387633881,-4.92182268149613,WBGene00012717,WBGene00012717,History: N.A.
WBGene00022358,-4.95191142675108,-4.59476367175297,WBGene00022358,WBGene00022358,History: N.A.
WBGene00000857,-4.94966053234613,-3.56661693744841,WBGene00000857,WBGene00000857,History: N.A.
WBGene00044705,-4.94538538600033,-3.91619057037493,WBGene00044705,WBGene00044705,History: N.A.
WBGene00023209,-4.91886511988029,-4.42634481033643,WBGene00023209,WBGene00023209,History: N.A.
WBGene00021653,-4.91867883097802,-4.77727097263436,WBGene00021653,WBGene00021653,History: N.A.
WBGene00022446,-4.91789767476267,-4.9740434731022,WBGene00022446,WBGene00022446,History: N.A.
WBGene00001247,-4.917357064092,-5.82576270228481,WBGene00001247,WBGene00001247,History: N.A.
WBGene00006784,-4.91680254946375,-5.38081457391065,WBGene00006784,WBGene00006784,History: N.A.
WBGene00012866,-4.91163195817169,-5.54062547335044,WBGene00012866,WBGene00012866,History: N.A.
WBGene00013230,-4.88804134083183,-4.83844241974576,WBGene00013230,WBGene00013230,History: N.A.
WBGene00012759,-4.88604337598327,-5.91879465531566,WBGene00012759,WBGene00012759,History: N.A.
WBGene00219317,-4.87189673258008,-6.02879737431385,WBGene00219317,WBGene00219317,History: N.A.
WBGene00045212,-4.85890910499587,-4.19769412672549,WBGene00045212,WBGene00045212,History: N.A.
WBGene00000463,-4.85517176122021,-4.99827315385469,WBGene00000463,WBGene00000463,History: Renamed on 2013-07-26
WBGene00019267,-4.83860685826493,-5.44964406594824,WBGene00019267,WBGene00019267,History: N.A.
WBGene00023451,-4.83674871917394,-3.71918363254961,WBGene00023451,WBGene00023451,History: N.A.
WBGene00007372,-4.82727807772207,-4.44868764241173,WBGene00007372,WBGene00007372,History: N.A.
