# Supplementary File 5,Sheet 11: mRNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for 10 generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen10),Input,Suggested Match,History
WBGene00009572,7.01936085972767,7.01890570413439,WBGene00009572,WBGene00009572,History: N.A.
WBGene00016299,6.84701419683554,5.35451362801436,WBGene00016299,WBGene00016299,History: N.A.
WBGene00021731,6.64485921892218,1.11753865384974,WBGene00021731,WBGene00021731,History: N.A.
WBGene00017629,6.429880869673,3.73414873536663,WBGene00017629,WBGene00017629,History: N.A.
WBGene00020306,6.30321951799526,2.14171106692408,WBGene00020306,WBGene00020306,History: N.A.
WBGene00016885,6.21661501680815,1.09243718541657,WBGene00016885,WBGene00016885,History: N.A.
WBGene00008575,6.20095948124524,1.80554028917296,WBGene00008575,WBGene00008575,History: N.A.
WBGene00018202,6.18357414324231,2.69459584676988,WBGene00018202,WBGene00018202,History: N.A.
WBGene00020666,5.71140522067814,3.26777426316283,WBGene00020666,WBGene00020666,History: N.A.
WBGene00044541,5.68214115769606,7.15187320080887,WBGene00044541,WBGene00044541,History: N.A.
WBGene00021141,5.54512963114463,1.1756237016243,WBGene00021141,WBGene00021141,History: N.A.
WBGene00017729,5.44069376897938,3.59035502116826,WBGene00017729,WBGene00017729,"History: Split into F22H10.11(WBGene00255607). History of WBGene00017729: Split into ""WBGene00255607"" on 2014-12-15"
WBGene00011841,5.30435954367273,1.79427279501804,WBGene00011841,WBGene00011841,History: N.A.
WBGene00017949,5.08605054728595,3.56714766674892,WBGene00017949,WBGene00017949,"History: Split into F31D5.7(WBGene00206414). History of WBGene00017949: Split into ""WBGene00206414"" on 2011-02-28"
WBGene00044249,5.0574840923476,6.46031708388443,WBGene00044249,WBGene00044249,History: N.A.
WBGene00011172,4.97153847166419,3.36941301831147,WBGene00011172,WBGene00011172,History: N.A.
