# Supplementary File 5,Sheet 12: mRNAs significantly down-regulated 2 fold or greater in mut-16 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00017069,5.52408926741596,WBGene00017069,WBGene00017069,History: N.A.
WBGene00008349,-5.94966795342361,WBGene00008349,WBGene00008349,History: N.A.
WBGene00022222,-5.73285593942579,WBGene00022222,WBGene00022222,History: N.A.
WBGene00011612,-5.60330527522248,WBGene00011612,WBGene00011612,History: N.A.
WBGene00022432,-4.93421872365495,WBGene00022432,WBGene00022432,History: N.A.
WBGene00016251,-4.84535468890401,WBGene00016251,WBGene00016253,"History: Merged into ""WBGene00016253"" on 2019-05-20"
WBGene00011613,-4.65861693269629,WBGene00011613,WBGene00011613,History: N.A.
WBGene00011611,-4.62803596066413,WBGene00011611,WBGene00011611,History: N.A.
WBGene00022227,-4.19853075235796,WBGene00022227,WBGene00022227,History: N.A.
WBGene00011610,-4.14506397035089,WBGene00011610,WBGene00011610,History: N.A.
WBGene00022203,-3.90695252415615,WBGene00022203,WBGene00022203,History: N.A.
WBGene00022206,-3.85197055208679,WBGene00022206,WBGene00022206,History: N.A.
WBGene00022221,-3.67527157377981,WBGene00022221,WBGene00022221,History: N.A.
WBGene00194682,-3.58436450895022,WBGene00194682,WBGene00194682,History: N.A.
WBGene00044537,-3.57149119355664,WBGene00044537,WBGene00044537,History: N.A.
WBGene00022224,-3.54948148119884,WBGene00022224,WBGene00022224,History: N.A.
WBGene00012485,-3.41015913666828,WBGene00012485,WBGene00012485,History: N.A.
WBGene00021342,-3.09149068140133,WBGene00021342,WBGene00021342,History: N.A.
WBGene00011798,-2.94672418497327,WBGene00011798,WBGene00011798,History: N.A.
WBGene00077558,-2.94424049146522,WBGene00077558,WBGene00077558,History: N.A.
WBGene00015320,-2.87901126014945,WBGene00015320,WBGene00015320,History: N.A.
WBGene00011607,-2.87550792420188,WBGene00011607,WBGene00011607,History: N.A.
WBGene00016566,-2.75934806428553,WBGene00016566,WBGene00016566,History: N.A.
WBGene00021338,-2.75579675270662,WBGene00021338,WBGene00021338,History: N.A.
WBGene00011608,-2.66856505176263,WBGene00011608,WBGene00011608,History: N.A.
WBGene00022211,-2.65523576335665,WBGene00022211,WBGene00022211,History: N.A.
WBGene00012505,-2.60330331188546,WBGene00012505,WBGene00012505,History: N.A.
WBGene00077449,-2.60061100573897,WBGene00077449,WBGene00077449,History: N.A.
WBGene00045511,-2.58331879656872,WBGene00045511,WBGene00045511,History: N.A.
WBGene00011606,-2.58084464141299,WBGene00011606,WBGene00011606,History: N.A.
WBGene00008695,-2.57325250259172,WBGene00008695,WBGene00008695,History: N.A.
WBGene00044700,-2.51438933558818,WBGene00044700,WBGene00044700,History: N.A.
WBGene00017106,-2.40460055781687,WBGene00017106,WBGene00017106,History: N.A.
WBGene00006616,-2.39815220078433,WBGene00006616,WBGene00006616,History: N.A.
WBGene00022638,-2.36455807973227,WBGene00022638,WBGene00022638,History: N.A.
WBGene00016935,-2.33632063581838,WBGene00016935,WBGene00016935,History: Renamed on 2018-06-11
WBGene00013622,-2.1963248104753,WBGene00013622,WBGene00013622,History: N.A.
WBGene00015756,-2.18324562900951,WBGene00015756,WBGene00015756,History: N.A.
WBGene00021028,-2.17067927699403,WBGene00021028,WBGene00021028,"History: Split into W04C9.9(WBGene00235388). History of WBGene00021028: Split into ""WBGene00235388"" on 2013-10-17"
WBGene00016864,-2.1459620235013,WBGene00016864,WBGene00016864,History: N.A.
WBGene00014920,-2.13872785067444,WBGene00014920,WBGene00014920,History: N.A.
WBGene00021819,-2.11907898655535,WBGene00021819,WBGene00021819,History: N.A.
WBGene00007140,-2.06245558670666,WBGene00007140,WBGene00007140,History: N.A.
WBGene00008890,-2.04961312080303,WBGene00008890,WBGene00008890,History: N.A.
WBGene00011609,-2.03419245504353,WBGene00011609,WBGene00011609,History: N.A.
WBGene00011362,-1.9698717858749,WBGene00011362,WBGene00011362,History: Renamed on 2019-05-20
WBGene00001677,-1.95473840144056,WBGene00001677,WBGene00001677,History: N.A.
WBGene00004054,-1.93793555642319,WBGene00004054,WBGene00004054,History: Renamed on 2014-12-04
WBGene00021167,-1.89676724660646,WBGene00021167,WBGene00021167,History: N.A.
WBGene00009698,-1.8756069651788,WBGene00009698,WBGene00009698,History: N.A.
