# Supplementary File 5,Sheet 13: mRNAs significantly up-regulated 2 fold or greater in mut-16 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00013953,9.16204111989834,WBGene00013953,WBGene00013953,History: N.A.
WBGene00008010,8.78212351827379,WBGene00008010,WBGene00008010,History: N.A.
WBGene00194703,8.6677125425022,WBGene00194703,WBGene00194703,History: N.A.
WBGene00017508,8.62362328661767,WBGene00017508,WBGene00017508,History: N.A.
WBGene00013832,8.44196283521173,WBGene00013832,WBGene00013832,History: N.A.
WBGene00008698,8.42275555285414,WBGene00008698,WBGene00008698,History: N.A.
WBGene00006047,8.41807142001274,WBGene00006047,WBGene00006047,History: N.A.
WBGene00011172,8.25739985890356,WBGene00011172,WBGene00011172,History: N.A.
WBGene00007082,8.04925263328511,WBGene00007082,WBGene00007082,History: N.A.
WBGene00017978,8.02457513629562,WBGene00017978,WBGene00017978,History: N.A.
WBGene00009581,7.68951564339539,WBGene00009581,WBGene00009581,History: N.A.
WBGene00010612,7.67805184762353,WBGene00010612,WBGene00010612,History: N.A.
WBGene00010377,7.66863739751212,WBGene00010377,WBGene00010377,History: N.A.
WBGene00013888,7.66863739751212,WBGene00013888,WBGene00013888,History: N.A.
WBGene00018497,7.59053874001257,WBGene00018497,WBGene00018497,History: N.A.
WBGene00044056,7.58763616594428,WBGene00044056,WBGene00044056,History: N.A.
WBGene00044249,7.4695416703535,WBGene00044249,WBGene00044249,History: N.A.
WBGene00019151,7.46518689057813,WBGene00019151,WBGene00019151,History: N.A.
WBGene00013854,7.44724188456142,WBGene00013854,WBGene00013854,History: N.A.
WBGene00016565,7.42273432245524,WBGene00016565,WBGene00016565,History: N.A.
WBGene00020105,7.39530924788598,WBGene00020105,WBGene00020105,History: N.A.
WBGene00019026,7.37869586374671,WBGene00019026,WBGene00019026,History: N.A.
WBGene00018122,7.33338579245447,WBGene00018122,WBGene00018122,History: N.A.
WBGene00013581,7.33068246755222,WBGene00013581,WBGene00013581,History: N.A.
WBGene00008862,7.24655219814942,WBGene00008862,WBGene00008862,History: N.A.
WBGene00007190,7.24374252654409,WBGene00007190,WBGene00007190,History: N.A.
WBGene00014665,7.23589240199525,WBGene00014665,WBGene00014665,History: N.A.
WBGene00235367,7.18018206361558,WBGene00235367,WBGene00235367,History: N.A.
WBGene00019015,7.14219338080151,WBGene00019015,WBGene00019015,History: N.A.
WBGene00021098,7.12617442273358,WBGene00021098,WBGene00021098,History: N.A.
WBGene00008724,7.11192449718764,WBGene00008724,WBGene00008724,History: N.A.
WBGene00013954,7.0892762516259,WBGene00013954,WBGene00013954,History: N.A.
WBGene00235090,7.06817251788736,WBGene00235090,WBGene00235090,History: N.A.
WBGene00017673,7.038339196847,WBGene00017673,WBGene00017673,History: Renamed on 2015-04-29
WBGene00012547,7.02416320949905,WBGene00012547,WBGene00012547,History: N.A.
WBGene00016161,6.95095176741398,WBGene00016161,WBGene00016161,History: N.A.
WBGene00050956,6.90771723399914,WBGene00050956,WBGene00050956,History: N.A.
WBGene00015516,6.88368303215151,WBGene00015516,WBGene00015516,History: N.A.
WBGene00194700,6.88014856732316,WBGene00194700,WBGene00194700,History: N.A.
WBGene00086554,6.86664014861317,WBGene00086554,WBGene00086554,History: N.A.
WBGene00044475,6.83603554638061,WBGene00044475,WBGene00044475,History: N.A.
WBGene00003457,6.79543841159743,WBGene00003457,WBGene00003457,History: N.A.
WBGene00017185,6.7937842155173,WBGene00017185,WBGene00017185,History: N.A.
WBGene00021106,6.7937842155173,WBGene00021106,WBGene00021106,History: N.A.
WBGene00044541,6.77692041476796,WBGene00044541,WBGene00044541,History: N.A.
WBGene00003442,6.73661130359755,WBGene00003442,WBGene00003442,History: N.A.
WBGene00011954,6.71293446830177,WBGene00011954,WBGene00011954,History: N.A.
WBGene00018119,6.68830904683558,WBGene00018119,WBGene00018119,History: N.A.
WBGene00000741,6.67886587012868,WBGene00000741,WBGene00000741,History: N.A.
WBGene00003431,6.67094785439139,WBGene00003431,WBGene00003431,History: N.A.
WBGene00003445,6.66246129693314,WBGene00003445,WBGene00003445,History: N.A.
WBGene00009463,6.64818019161727,WBGene00009463,WBGene00009463,History: N.A.
WBGene00011491,6.64254485898032,WBGene00011491,WBGene00011491,History: N.A.
WBGene00011132,6.63115169102769,WBGene00011132,WBGene00011132,History: N.A.
WBGene00008230,6.59032370143714,WBGene00008230,WBGene00008230,History: Renamed on 2014-03-03
WBGene00001603,6.52895618656251,WBGene00001603,WBGene00001603,History: N.A.
WBGene00012912,6.52041126815115,WBGene00012912,WBGene00012912,History: N.A.
WBGene00008313,6.44783782385739,WBGene00008313,WBGene00008313,History: N.A.
WBGene00007613,6.4189493625575,WBGene00007613,WBGene00007613,"History: Split into C15H11.13(WBGene00077576). History of WBGene00007613: Split into ""WBGene00077576"" on 2008-02-06"
WBGene00019531,6.40082857954082,WBGene00019531,WBGene00019531,History: N.A.
WBGene00008001,6.39289617503837,WBGene00008001,WBGene00008001,History: N.A.
WBGene00008660,6.35772345076519,WBGene00008660,WBGene00008660,History: N.A.
WBGene00003470,6.31695866347704,WBGene00003470,WBGene00003470,History: N.A.
WBGene00000930,6.29161749540423,WBGene00000930,WBGene00000930,History: N.A.
WBGene00017152,6.284598104888,WBGene00017152,WBGene00017152,History: N.A.
WBGene00013138,6.25392925025253,WBGene00013138,WBGene00013138,"History: Split into Y53C10A.24(WBGene00305049). History of WBGene00013138: Split into ""WBGene00305049"" on 2019-10-21"
WBGene00019248,6.24148907723666,WBGene00019248,WBGene00019248,History: N.A.
WBGene00007714,6.23082851810198,WBGene00007714,WBGene00007714,History: N.A.
WBGene00015908,6.23001982740246,WBGene00015908,WBGene00015908,History: N.A.
WBGene00016954,6.22924196505861,WBGene00016954,WBGene00016954,History: N.A.
WBGene00013944,6.21935829966627,WBGene00013944,WBGene00013944,History: N.A.
WBGene00015106,6.21615265292271,WBGene00015106,WBGene00015106,"History: Split into B0280.17(WBGene00044674). History of WBGene00015106: Split into ""WBGene00044674"" on 2005-11-18"
WBGene00020039,6.21257011859028,WBGene00020039,WBGene00020039,History: N.A.
WBGene00017542,6.20731720231706,WBGene00017542,WBGene00017542,History: N.A.
WBGene00004909,6.20085843393595,WBGene00004909,WBGene00004909,History: N.A.
WBGene00006409,6.18097480778339,WBGene00006409,WBGene00006409,History: N.A.
WBGene00013523,6.16119527443602,WBGene00013523,WBGene00013523,History: N.A.
WBGene00004901,6.15797725766783,WBGene00004901,WBGene00004901,History: N.A.
WBGene00022006,6.1528739020418,WBGene00022006,WBGene00022006,History: N.A.
WBGene00022007,6.1528739020418,WBGene00022007,WBGene00022007,History: N.A.
WBGene00014238,6.14745308164785,WBGene00014238,WBGene00014238,History: N.A.
WBGene00017853,6.13295291017609,WBGene00017853,WBGene00017853,History: N.A.
WBGene00015689,6.10615899544811,WBGene00015689,WBGene00015689,History: N.A.
WBGene00014129,6.10348614671614,WBGene00014129,WBGene00014129,History: N.A.
WBGene00009458,6.10316993115599,WBGene00009458,WBGene00009458,History: N.A.
WBGene00003465,6.10075487536946,WBGene00003465,WBGene00003465,History: N.A.
WBGene00044039,6.09683709543913,WBGene00044039,WBGene00044161,"History: Merged into ""WBGene00044161"" on 2017-03-03"
WBGene00014246,6.09411542309192,WBGene00014246,WBGene00014246,History: N.A.
WBGene00015696,6.09113047320812,WBGene00015696,WBGene00015696,History: N.A.
WBGene00006052,6.08785655971111,WBGene00006052,WBGene00006052,History: N.A.
WBGene00008659,6.08149430743395,WBGene00008659,WBGene00008659,History: N.A.
WBGene00009457,6.06532865869285,WBGene00009457,WBGene00009457,History: N.A.
WBGene00003432,6.06227135561786,WBGene00003432,WBGene00003432,History: N.A.
WBGene00003443,6.05937301844428,WBGene00003443,WBGene00003443,History: N.A.
WBGene00003438,6.05687477991588,WBGene00003438,WBGene00003438,History: N.A.
WBGene00020070,6.05330235201659,WBGene00020070,WBGene00020070,History: N.A.
