# Supplementary File 5,Sheet 14: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals exclusively at 25ºC for 10 generations (not down-regulated at 20ºC or after a single generation at 25ºC).
Gene name,Input,Suggested Match,History
WBGene00006665,WBGene00006665,WBGene00006665,History: N.A.
WBGene00019623,WBGene00019623,WBGene00019623,History: N.A.
WBGene00077444,WBGene00077444,WBGene00077444,History: N.A.
WBGene00016403,WBGene00016403,WBGene00016403,History: N.A.
WBGene00010723,WBGene00010723,WBGene00010723,History: N.A.
WBGene00045183,WBGene00045183,WBGene00045183,History: N.A.
WBGene00195209,WBGene00195209,WBGene00195209,History: N.A.
WBGene00009724,WBGene00009724,WBGene00009724,History: N.A.
WBGene00011643,WBGene00011643,WBGene00011643,History: Renamed on 2015-04-29
WBGene00004236,WBGene00004236,WBGene00004236,History: N.A.
WBGene00002087,WBGene00002087,WBGene00002087,History: N.A.
WBGene00006636,WBGene00006636,WBGene00006636,History: N.A.
WBGene00007006,WBGene00007006,WBGene00007006,History: N.A.
WBGene00017484,WBGene00017484,WBGene00017484,History: N.A.
WBGene00021094,WBGene00021094,WBGene00021094,History: N.A.
WBGene00016009,WBGene00016009,WBGene00016009,History: N.A.
WBGene00045253,WBGene00045253,WBGene00045253,History: N.A.
WBGene00017637,WBGene00017637,WBGene00017637,History: N.A.
WBGene00019968,WBGene00019968,WBGene00019968,History: N.A.
WBGene00008886,WBGene00008886,WBGene00008886,History: N.A.
WBGene00010966,WBGene00010966,WBGene00010966,History: N.A.
WBGene00017938,WBGene00017938,WBGene00017938,History: N.A.
WBGene00016003,WBGene00016003,WBGene00016003,History: N.A.
WBGene00009723,WBGene00009723,WBGene00009723,History: N.A.
WBGene00001791,WBGene00001791,WBGene00001791,History: N.A.
WBGene00004264,WBGene00004264,WBGene00004264,History: N.A.
WBGene00015592,WBGene00015592,WBGene00015592,History: N.A.
WBGene00001242,WBGene00001242,WBGene00001242,History: N.A.
WBGene00004359,WBGene00004359,WBGene00004359,History: N.A.
WBGene00007515,WBGene00007515,WBGene00007515,History: N.A.
WBGene00010957,WBGene00010957,WBGene00010957,History: N.A.
WBGene00016914,WBGene00016914,WBGene00016914,History: N.A.
WBGene00007347,WBGene00007347,WBGene00007347,History: N.A.
WBGene00019300,WBGene00019300,WBGene00019300,History: N.A.
