# Supplementary File 5,Sheet 15: mRNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals exclusively at 25ºC for 10 generations  (not up-regulated at 20ºC or after a single generation at 25ºC).
Gene name,Input,Suggested Match,History
WBGene00009572,WBGene00009572,WBGene00009572,History: N.A.
WBGene00044541,WBGene00044541,WBGene00044541,History: N.A.
WBGene00021141,WBGene00021141,WBGene00021141,History: N.A.
WBGene00011841,WBGene00011841,WBGene00011841,History: N.A.
WBGene00017949,WBGene00017949,WBGene00017949,"History: Split into F31D5.7(WBGene00206414). History of WBGene00017949: Split into ""WBGene00206414"" on 2011-02-28"
WBGene00044056,WBGene00044056,WBGene00044056,History: N.A.
WBGene00018648,WBGene00018648,WBGene00018648,History: N.A.
WBGene00019070,WBGene00019070,WBGene00019070,History: N.A.
WBGene00022674,WBGene00022674,WBGene00022674,History: N.A.
WBGene00022433,WBGene00022433,WBGene00022433,"History: Split into Y108F1.6(WBGene00304828). History of WBGene00022433: Split into ""WBGene00304828"" on 2019-07-25"
WBGene00235367,WBGene00235367,WBGene00235367,History: N.A.
WBGene00020669,WBGene00020669,WBGene00020669,History: N.A.
WBGene00009247,WBGene00009247,WBGene00009247,History: N.A.
WBGene00009602,WBGene00009602,WBGene00009602,History: N.A.
WBGene00011712,WBGene00011712,WBGene00011712,History: N.A.
WBGene00019739,WBGene00019739,WBGene00019739,History: N.A.
WBGene00018851,WBGene00018851,WBGene00018851,History: N.A.
WBGene00185077,WBGene00185077,WBGene00185077,History: N.A.
WBGene00019069,WBGene00019069,WBGene00019069,History: N.A.
WBGene00022223,WBGene00022223,WBGene00022223,History: N.A.
WBGene00045202,WBGene00045202,WBGene00045202,History: N.A.
WBGene00022431,WBGene00022431,WBGene00022431,History: N.A.
WBGene00013613,WBGene00013613,WBGene00013613,History: N.A.
WBGene00044586,WBGene00044586,WBGene00044586,History: N.A.
WBGene00019541,WBGene00019541,WBGene00019541,History: N.A.
WBGene00008010,WBGene00008010,WBGene00008010,History: N.A.
WBGene00020451,WBGene00020451,WBGene00020451,History: N.A.
WBGene00009316,WBGene00009316,WBGene00009316,History: N.A.
WBGene00016891,WBGene00016891,WBGene00016891,"History: Split into C53A3.4(WBGene00303231). History of WBGene00016891: Split into ""WBGene00303231"" on 2018-05-16"
WBGene00010946,WBGene00010946,WBGene00010946,History: N.A.
WBGene00013105,WBGene00013105,WBGene00013105,History: N.A.
WBGene00018850,WBGene00018850,WBGene00018850,History: N.A.
WBGene00009463,WBGene00009463,WBGene00009463,History: N.A.
WBGene00235090,WBGene00235090,WBGene00235090,History: N.A.
WBGene00022017,WBGene00022017,WBGene00022017,History: N.A.
WBGene00043990,WBGene00043990,WBGene00043990,History: N.A.
WBGene00007079,WBGene00007079,WBGene00007079,History: N.A.
WBGene00021673,WBGene00021673,WBGene00021673,History: N.A.
WBGene00043988,WBGene00043988,WBGene00043988,History: N.A.
WBGene00007075,WBGene00007075,WBGene00007075,History: N.A.
WBGene00007920,WBGene00007920,WBGene00007920,History: N.A.
WBGene00003424,WBGene00003424,WBGene00003424,History: N.A.
WBGene00043989,WBGene00043989,WBGene00043989,History: N.A.
WBGene00007076,WBGene00007076,WBGene00007076,History: N.A.
WBGene00017978,WBGene00017978,WBGene00017978,History: N.A.
WBGene00011491,WBGene00011491,WBGene00011491,History: N.A.
WBGene00016637,WBGene00016637,WBGene00016637,History: N.A.
WBGene00013854,WBGene00013854,WBGene00013854,History: N.A.
WBGene00219295,WBGene00219295,WBGene00219295,History: N.A.
WBGene00015015,WBGene00015015,WBGene00015015,History: N.A.
WBGene00016447,WBGene00016447,WBGene00016447,History: N.A.
WBGene00020715,WBGene00020715,WBGene00020715,History: N.A.
WBGene00007077,WBGene00007077,WBGene00007077,History: N.A.
WBGene00013999,WBGene00013999,WBGene00013999,History: N.A.
WBGene00013153,WBGene00013153,WBGene00013153,History: N.A.
WBGene00022090,WBGene00022090,WBGene00022090,History: N.A.
WBGene00017185,WBGene00017185,WBGene00017185,History: N.A.
WBGene00021106,WBGene00021106,WBGene00021106,History: N.A.
WBGene00003469,WBGene00003469,WBGene00003469,History: N.A.
WBGene00012373,WBGene00012373,WBGene00012373,History: N.A.
WBGene00016161,WBGene00016161,WBGene00016161,History: N.A.
WBGene00012547,WBGene00012547,WBGene00012547,History: N.A.
WBGene00017387,WBGene00017387,WBGene00017387,History: N.A.
WBGene00017955,WBGene00017955,WBGene00017955,History: N.A.
WBGene00009754,WBGene00009754,WBGene00009754,History: N.A.
WBGene00022224,WBGene00022224,WBGene00022224,History: N.A.
WBGene00007133,WBGene00007133,WBGene00007133,History: N.A.
WBGene00018336,WBGene00018336,WBGene00018336,History: N.A.
WBGene00005904,WBGene00005904,WBGene00005904,History: N.A.
WBGene00022754,WBGene00022754,WBGene00022754,History: N.A.
WBGene00019912,WBGene00019912,WBGene00019912,History: N.A.
WBGene00008259,WBGene00008259,WBGene00008259,History: N.A.
WBGene00010083,WBGene00010083,WBGene00010083,History: N.A.
WBGene00012898,WBGene00012898,WBGene00012898,"History: Split into Y46G5A.42(WBGene00077635), Y46G5A.43(WBGene00077636). History of WBGene00012898: Renamed on 2005-03-17; Split into ""WBGene00077636"" on 2008-02-22"
WBGene00021969,WBGene00021969,WBGene00021969,History: N.A.
WBGene00008030,WBGene00008030,WBGene00008030,History: N.A.
WBGene00044655,WBGene00044655,WBGene00044655,History: N.A.
WBGene00008074,WBGene00008074,WBGene00008074,History: N.A.
WBGene00015456,WBGene00015456,WBGene00015456,History: N.A.
WBGene00017264,WBGene00017264,WBGene00017264,History: N.A.
WBGene00016357,WBGene00016357,WBGene00016357,History: N.A.
WBGene00012176,WBGene00012176,WBGene00012176,History: N.A.
WBGene00008681,WBGene00008681,WBGene00008681,History: Renamed on 2007-05-03
WBGene00022535,WBGene00022535,,"History: Killed on 2017-03-03. Remark: This is on the opposite, incorrect strand to the Mucin gene ZC178.2."
