# Supplementary File 5,Sheet 2: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00010295,-5.45966388508679,WBGene00010295,WBGene00010295,History: N.A.
WBGene00013007,-5.33322733642929,WBGene00013007,WBGene00013007,History: N.A.
WBGene00017186,-5.14554426354334,WBGene00017186,WBGene00017186,History: N.A.
WBGene00021107,-5.14554426354334,WBGene00021107,WBGene00021107,History: N.A.
WBGene00001900,-4.75565421880146,WBGene00001900,WBGene00001900,History: N.A.
WBGene00001884,-4.75565421880146,WBGene00001884,WBGene00001884,History: N.A.
WBGene00001888,-4.75565421880146,WBGene00001888,WBGene00001888,History: N.A.
WBGene00015504,-4.59390965179028,WBGene00015504,WBGene00015504,History: N.A.
WBGene00002015,-4.48797405258097,WBGene00002015,WBGene00002015,History: N.A.
WBGene00001917,-4.17064757550585,WBGene00001917,WBGene00001917,History: N.A.
WBGene00001886,-4.17064757550585,WBGene00001886,WBGene00001886,History: N.A.
WBGene00010209,-4.12520962695118,WBGene00010209,WBGene00010209,History: N.A.
WBGene00010212,-4.1122784143799,WBGene00010212,WBGene00010212,History: N.A.
WBGene00044213,-3.93423687033394,WBGene00044213,WBGene00044213,History: N.A.
WBGene00011610,-3.77341022525733,WBGene00011610,WBGene00011610,History: N.A.
WBGene00022222,-3.67065332524946,WBGene00022222,WBGene00022222,History: N.A.
WBGene00012237,-3.52854216967466,WBGene00012237,WBGene00012237,History: N.A.
WBGene00001918,-3.44474942020738,WBGene00001918,WBGene00001918,History: N.A.
WBGene00001889,-3.44474942020738,WBGene00001889,WBGene00001889,History: N.A.
WBGene00012673,-3.38920801538118,WBGene00012673,WBGene00012673,History: N.A.
WBGene00001883,-3.28779019836794,WBGene00001883,WBGene00001883,History: N.A.
WBGene00001887,-3.28779019836794,WBGene00001887,WBGene00001887,History: N.A.
WBGene00022203,-3.26416718284895,WBGene00022203,WBGene00022203,History: N.A.
WBGene00015860,-3.2105978347654,WBGene00015860,WBGene00015860,History: N.A.
WBGene00011608,-3.19878711478128,WBGene00011608,WBGene00011608,History: N.A.
WBGene00001885,-3.17747991541718,WBGene00001885,WBGene00001885,History: N.A.
WBGene00014955,-3.12019232980876,WBGene00014955,WBGene00014955,History: N.A.
WBGene00001899,-3.03241661544633,WBGene00001899,WBGene00001899,History: N.A.
WBGene00021986,-2.96230906471979,WBGene00021986,WBGene00021986,History: N.A.
WBGene00011607,-2.94657571420241,WBGene00011607,WBGene00011607,History: N.A.
WBGene00010293,-2.89834398807457,WBGene00010293,WBGene00010293,History: N.A.
WBGene00011612,-2.88853410845117,WBGene00011612,WBGene00011612,History: N.A.
WBGene00008350,-2.85847814898266,WBGene00008350,WBGene00008350,History: N.A.
WBGene00010314,-2.84284853719166,WBGene00010314,WBGene00010314,History: N.A.
WBGene00014954,-2.82976510183704,WBGene00014954,WBGene00014954,History: N.A.
WBGene00001119,-2.78985653396971,WBGene00001119,WBGene00001119,History: N.A.
WBGene00008349,-2.77901275016498,WBGene00008349,WBGene00008349,History: N.A.
WBGene00012898,-2.77480097205391,WBGene00012898,WBGene00012898,"History: Split into Y46G5A.42(WBGene00077635), Y46G5A.43(WBGene00077636). History of WBGene00012898: Renamed on 2005-03-17; Split into ""WBGene00077636"" on 2008-02-22"
WBGene00008863,-2.76833906464359,WBGene00008863,WBGene00008863,History: N.A.
WBGene00022206,-2.71891511673783,WBGene00022206,WBGene00022206,History: N.A.
WBGene00011611,-2.71233721389321,WBGene00011611,WBGene00011611,History: N.A.
WBGene00017153,-2.6665676935705,WBGene00017153,WBGene00017153,History: N.A.
