# Supplementary File 5,Sheet 3: mRNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 20ºC.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00017069,5.95028914057174,WBGene00017069,WBGene00017069,History: N.A.
WBGene00010249,5.69481188399021,WBGene00010249,WBGene00010249,History: N.A.
WBGene00015230,4.63966979915038,WBGene00015230,WBGene00015230,History: N.A.
WBGene00015229,4.44813099197738,WBGene00015229,WBGene00015229,History: N.A.
WBGene00009326,4.28608329839662,WBGene00009326,WBGene00009326,History: N.A.
WBGene00016951,4.11796257970909,WBGene00016951,WBGene00016951,History: N.A.
WBGene00015236,3.7745457498752,WBGene00015236,WBGene00015236,History: N.A.
WBGene00011683,3.41325707725503,WBGene00011683,WBGene00011683,History: N.A.
WBGene00019534,3.35778664461517,WBGene00019534,WBGene00019534,History: N.A.
WBGene00016885,3.22488486105275,WBGene00016885,WBGene00016885,History: N.A.
WBGene00022623,3.16465673569481,WBGene00022623,WBGene00022623,History: N.A.
WBGene00007509,2.97465931336032,WBGene00007509,WBGene00007509,History: N.A.
WBGene00000372,2.94780368988721,WBGene00000372,WBGene00000372,History: N.A.
WBGene00003569,2.93422052105467,WBGene00003569,WBGene00003569,History: N.A.
WBGene00019267,2.88057293154388,WBGene00019267,WBGene00019267,History: N.A.
WBGene00014006,2.85565172899858,WBGene00014006,WBGene00014006,History: N.A.
WBGene00017471,2.77307137788029,WBGene00017471,WBGene00017471,History: N.A.
WBGene00017246,2.5894003518472,WBGene00017246,WBGene00017246,History: N.A.
WBGene00008495,2.55261573057356,WBGene00008495,WBGene00008495,History: N.A.
WBGene00004144,2.3862873979485,WBGene00004144,WBGene00004144,History: N.A.
WBGene00017499,2.38430042001067,WBGene00017499,WBGene00017499,History: N.A.
WBGene00018543,2.38396597063804,WBGene00018543,WBGene00018543,History: N.A.
WBGene00008841,2.29369622754489,WBGene00008841,WBGene00008841,History: N.A.
WBGene00011262,2.2914370578544,WBGene00011262,WBGene00011262,History: N.A.
WBGene00219413,2.27466158188342,WBGene00219413,WBGene00219413,History: N.A.
WBGene00001483,2.24661951392931,WBGene00001483,WBGene00001483,History: N.A.
WBGene00003096,2.2419613023221,WBGene00003096,WBGene00003096,History: N.A.
WBGene00016037,2.21175564703658,WBGene00016037,WBGene00016037,History: N.A.
WBGene00016781,2.15670155247314,WBGene00016781,WBGene00016781,History: N.A.
WBGene00008027,2.15332626754032,WBGene00008027,WBGene00008027,History: N.A.
WBGene00000232,2.14978813046857,WBGene00000232,WBGene00000232,History: N.A.
WBGene00019200,2.11107349764771,WBGene00019200,WBGene00019200,History: N.A.
WBGene00016782,2.10376556747682,WBGene00016782,WBGene00016782,History: N.A.
WBGene00050946,2.10023162297996,WBGene00050946,WBGene00050946,History: N.A.
WBGene00017490,2.08584895655321,WBGene00017490,WBGene00017490,History: N.A.
WBGene00017500,2.08584895655321,WBGene00017500,WBGene00017500,History: N.A.
WBGene00269421,2.08181994288056,WBGene00269421,WBGene00269421,History: N.A.
WBGene00009383,2.06901347931563,WBGene00009383,WBGene00009383,History: N.A.
WBGene00018303,2.06708425130172,WBGene00018303,WBGene00018303,History: N.A.
WBGene00077764,2.04633653503083,WBGene00077764,WBGene00077764,History: N.A.
WBGene00019772,2.04130172303596,WBGene00019772,WBGene00019772,History: N.A.
WBGene00044357,2.02235447856348,WBGene00044357,WBGene00044357,History: N.A.
WBGene00044337,2.02235447856348,WBGene00044337,WBGene00044337,History: N.A.
WBGene00044174,2.01938977553413,WBGene00044174,WBGene00044174,History: N.A.
WBGene00001687,1.99084164605735,WBGene00001687,WBGene00001687,History: N.A.
WBGene00016845,1.96917992792962,WBGene00016845,WBGene00016845,History: N.A.
WBGene00017247,1.91579757719724,WBGene00017247,WBGene00017247,"History: Split into F08D12.5(WBGene00043239). History of WBGene00017247: Split into ""WBGene00043239"" on 2014-06-30"
WBGene00019598,1.89692037702893,WBGene00019598,WBGene00019598,History: N.A.
WBGene00021279,1.89581938260021,WBGene00021279,WBGene00021279,History: N.A.
WBGene00008558,1.8917213719857,WBGene00008558,WBGene00008558,History: N.A.
WBGene00044260,1.88509396026253,WBGene00044260,WBGene00044260,History: N.A.
WBGene00015392,1.87890190975564,WBGene00015392,WBGene00015392,History: N.A.
WBGene00235310,1.87206157916606,WBGene00235310,WBGene00235310,History: N.A.
WBGene00044339,1.87129590954743,WBGene00044339,WBGene00044339,History: N.A.
WBGene00011870,1.86924631812625,WBGene00011870,WBGene00011870,History: N.A.
WBGene00008298,1.86913992236192,WBGene00008298,WBGene00008298,History: N.A.
WBGene00020862,1.8545026861554,WBGene00020862,WBGene00020862,History: N.A.
WBGene00018202,1.84358042089106,WBGene00018202,WBGene00018202,History: N.A.
WBGene00010940,1.83452129868848,WBGene00010940,WBGene00010940,History: N.A.
WBGene00023477,1.83025562703901,WBGene00023477,WBGene00023477,History: N.A.
WBGene00004023,1.8243192976068,WBGene00004023,WBGene00004023,History: N.A.
WBGene00019439,1.82065747046755,WBGene00019439,WBGene00019439,History: N.A.
