# Supplementary File 5,Sheet 4: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for one generation.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00000691,-8.7033869307886,WBGene00000691,WBGene00000691,History: N.A.
WBGene00020040,-7.13342061999224,WBGene00020040,WBGene00020040,History: N.A.
WBGene00011018,-6.03141538284468,WBGene00011018,WBGene00011018,"History: Split into K01G12.22(WBGene00271789). History of WBGene00011018: Split into ""WBGene00271789"" on 2017-09-21"
WBGene00018726,-6.00753732328709,WBGene00018726,WBGene00018726,History: N.A.
WBGene00017560,-5.99597218427676,WBGene00017560,WBGene00017560,History: N.A.
WBGene00009032,-5.77066578515497,WBGene00009032,WBGene00009032,History: N.A.
WBGene00014067,-5.69239590632338,WBGene00014067,WBGene00014067,History: N.A.
WBGene00011508,-5.59725823605538,WBGene00011508,WBGene00011508,History: N.A.
WBGene00011136,-5.56911043348568,WBGene00011136,WBGene00011136,History: N.A.
WBGene00018630,-5.46253540852675,WBGene00018630,WBGene00018630,History: N.A.
WBGene00044242,-5.43763086961362,WBGene00044242,WBGene00044242,History: N.A.
WBGene00010400,-5.43512350474652,WBGene00010400,WBGene00010400,History: N.A.
WBGene00011585,-5.43512350474652,WBGene00011585,WBGene00011585,History: N.A.
WBGene00001714,-5.36969633246817,WBGene00001714,WBGene00001714,History: N.A.
WBGene00020039,-5.250919869741,WBGene00020039,WBGene00020039,History: N.A.
WBGene00008673,-5.23023115692503,WBGene00008673,WBGene00008673,History: N.A.
WBGene00010874,-5.22189127212861,WBGene00010874,WBGene00010874,History: N.A.
WBGene00016136,-5.18960049927304,WBGene00016136,WBGene00016136,History: N.A.
WBGene00013791,-5.18580286300647,WBGene00013791,WBGene00013791,History: N.A.
WBGene00015340,-5.1838560021228,WBGene00015340,WBGene00015340,History: N.A.
WBGene00000650,-5.17170958327713,WBGene00000650,WBGene00000650,History: N.A.
WBGene00015598,-5.15957585419236,WBGene00015598,WBGene00015598,History: N.A.
WBGene00019312,-5.1256220379185,WBGene00019312,WBGene00019312,History: N.A.
WBGene00194710,-5.1256220379185,WBGene00194710,WBGene00194710,History: N.A.
WBGene00011999,-5.10669763721794,WBGene00011999,WBGene00011999,History: N.A.
WBGene00017562,-5.07747324651601,WBGene00017562,WBGene00017562,History: N.A.
WBGene00138711,-5.0516224844981,WBGene00138711,WBGene00138711,History: N.A.
WBGene00044024,-5.04722066912019,WBGene00044024,WBGene00044024,History: N.A.
WBGene00009261,-5.02997422189915,WBGene00009261,WBGene00009261,"History: Split into F30A10.13(WBGene00044680). History of WBGene00009261: Split into ""WBGene00044680"" on 2005-11-21"
WBGene00011786,-5.02913993897813,WBGene00011786,WBGene00011786,History: N.A.
WBGene00018791,-5.02815394838427,WBGene00018791,WBGene00018791,History: N.A.
WBGene00011624,-5.02137493797735,WBGene00011624,WBGene00011624,History: N.A.
WBGene00005005,-4.98354117300118,WBGene00005005,WBGene00005005,"History: Split into spp-27(WBGene00271815). History of WBGene00005005: Split into ""WBGene00271815"" on 2017-09-21"
WBGene00007560,-4.96075796479875,WBGene00007560,WBGene00007560,History: N.A.
WBGene00008671,-4.95211713126581,WBGene00008671,WBGene00008671,History: N.A.
WBGene00015103,-4.93912434209974,WBGene00015103,WBGene00015103,History: N.A.
WBGene00006954,-4.93515204844164,WBGene00006954,WBGene00006954,History: N.A.
WBGene00010461,-4.92875091812875,WBGene00010461,WBGene00010461,History: N.A.
