# Supplementary File 5,Sheet 5: mRNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for one generation.
Gene name,log2FoldChange,Input,Suggested Match,History
WBGene00016299,6.78393876980675,WBGene00016299,WBGene00016299,History: N.A.
WBGene00021731,6.63134206882722,WBGene00021731,WBGene00021731,History: N.A.
WBGene00007872,6.47224952273085,WBGene00007872,WBGene00007872,History: N.A.
WBGene00016885,6.24722917928685,WBGene00016885,WBGene00016885,History: N.A.
WBGene00018708,5.87945791824344,WBGene00018708,WBGene00018708,History: N.A.
WBGene00020306,5.72620006987079,WBGene00020306,WBGene00020306,History: N.A.
WBGene00003663,5.69323267397693,WBGene00003663,WBGene00003663,History: N.A.
WBGene00001693,5.61647787211746,WBGene00001693,WBGene00001693,History: N.A.
WBGene00004144,5.59471971594893,WBGene00004144,WBGene00004144,History: N.A.
WBGene00044703,5.48167272705548,WBGene00044703,WBGene00044703,History: N.A.
WBGene00017555,5.43964165143521,WBGene00017555,WBGene00017555,History: N.A.
WBGene00019267,5.400729470523,WBGene00019267,WBGene00019267,History: N.A.
WBGene00010249,5.13592956755395,WBGene00010249,WBGene00010249,History: N.A.
WBGene00018138,5.05028774653683,WBGene00018138,WBGene00018138,History: N.A.
WBGene00007876,5.02406357972763,WBGene00007876,WBGene00007876,History: N.A.
WBGene00164974,4.87645007364351,WBGene00164974,WBGene00164974,History: N.A.
WBGene00050930,4.8754673470131,WBGene00050930,WBGene00050930,History: N.A.
WBGene00019517,4.86789789299175,WBGene00019517,WBGene00019517,History: N.A.
WBGene00008028,4.76839194732733,WBGene00008028,WBGene00008028,History: N.A.
WBGene00016072,4.74753664624473,WBGene00016072,WBGene00016072,History: N.A.
WBGene00019534,4.73275952598447,WBGene00019534,WBGene00019534,History: N.A.
WBGene00044639,4.69921846382602,WBGene00044639,WBGene00044639,History: N.A.
WBGene00017729,4.54187484857085,WBGene00017729,WBGene00017729,"History: Split into F22H10.11(WBGene00255607). History of WBGene00017729: Split into ""WBGene00255607"" on 2014-12-15"
WBGene00018202,4.48849246901399,WBGene00018202,WBGene00018202,History: N.A.
WBGene00014130,4.47142283026553,WBGene00014130,WBGene00014130,History: N.A.
WBGene00077653,4.40728140014564,WBGene00077653,WBGene00077653,History: N.A.
WBGene00020666,4.36704426644776,WBGene00020666,WBGene00020666,History: N.A.
WBGene00006719,4.35973967397392,WBGene00006719,WBGene00006719,History: N.A.
WBGene00044268,4.35048060938222,WBGene00044268,WBGene00044268,History: N.A.
WBGene00022446,4.26436273345821,WBGene00022446,WBGene00022446,History: N.A.
WBGene00017629,4.21245786109883,WBGene00017629,WBGene00017629,History: N.A.
WBGene00020988,4.20445575063055,WBGene00020988,WBGene00020988,History: N.A.
WBGene00016712,4.19624202501872,WBGene00016712,WBGene00016712,History: N.A.
WBGene00009310,4.16594719991006,WBGene00009310,WBGene00009310,History: N.A.
WBGene00000668,4.14453535872129,WBGene00000668,WBGene00000668,History: N.A.
WBGene00022512,4.10573874486576,WBGene00022512,WBGene00022512,History: N.A.
WBGene00018690,4.10200714835885,WBGene00018690,WBGene00018690,History: N.A.
WBGene00015623,4.08178423983574,WBGene00015623,WBGene00015623,History: N.A.
WBGene00011973,4.05824497805312,WBGene00011973,WBGene00011973,History: N.A.
WBGene00219238,4.01597466388254,WBGene00219238,WBGene00219238,History: N.A.
WBGene00015879,3.96942885436396,WBGene00015879,WBGene00015879,History: N.A.
WBGene00017182,3.96811821018955,WBGene00017182,WBGene00017182,History: N.A.
WBGene00018543,3.95492553824057,WBGene00018543,WBGene00018543,History: N.A.
WBGene00018433,3.9308725552669,WBGene00018433,WBGene00018433,History: N.A.
WBGene00017485,3.91413459841618,WBGene00017485,WBGene00017485,History: N.A.
WBGene00015589,3.84690081496088,WBGene00015589,WBGene00015589,History: N.A.
WBGene00012848,3.82520362266058,WBGene00012848,WBGene00012848,History: N.A.
WBGene00021711,3.81718068370159,WBGene00021711,WBGene00021711,History: N.A.
WBGene00004817,3.79505382587006,WBGene00004817,WBGene00004817,History: N.A.
WBGene00004171,3.78757703359441,WBGene00004171,WBGene00004171,History: N.A.
WBGene00006928,3.77589845452696,WBGene00006928,WBGene00006928,History: N.A.
WBGene00015230,3.76103108422941,WBGene00015230,WBGene00015230,History: N.A.
WBGene00019796,3.75677017240617,WBGene00019796,WBGene00019796,History: N.A.
WBGene00219725,3.73691143311372,WBGene00219725,WBGene00219725,History: N.A.
WBGene00009326,3.72456879689932,WBGene00009326,WBGene00009326,History: N.A.
WBGene00195226,3.68851188379948,WBGene00195226,WBGene00195226,History: N.A.
WBGene00015111,3.646989161447,WBGene00015111,WBGene00015111,History: N.A.
WBGene00014663,3.64344748344196,WBGene00014663,WBGene00014663,History: N.A.
