# Supplementary File 5,Sheet 6: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for two generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen2),Input,Suggested Match,History
WBGene00202504,-6.32844215609494,-6.25236415760556,WBGene00202504,WBGene00202504,History: N.A.
WBGene00000650,-6.29865665521089,-3.99559265738685,WBGene00000650,WBGene00000650,History: N.A.
WBGene00194710,-5.76950987203926,-4.89431102384298,WBGene00194710,WBGene00194710,History: N.A.
WBGene00009041,-5.48067094677776,-3.58744960629558,WBGene00009041,WBGene00009041,History: N.A.
WBGene00011848,-5.27047702115348,-5.68313773424764,WBGene00011848,WBGene00011848,History: N.A.
WBGene00019839,-5.15844781417757,-4.2010487486692,WBGene00019839,WBGene00019839,History: N.A.
WBGene00000738,-5.01913566590658,-3.15344180051358,WBGene00000738,WBGene00000738,History: N.A.
WBGene00010209,-4.95738147306415,-3.73725132486862,WBGene00010209,WBGene00010209,History: N.A.
WBGene00014094,-4.91248315103254,-4.68357147905596,WBGene00014094,WBGene00014094,History: N.A.
WBGene00044427,-4.88611356108786,-6.15075261897483,WBGene00044427,WBGene00044427,History: N.A.
WBGene00044113,-4.83762574555397,-3.81744705248068,WBGene00044113,WBGene00044113,History: N.A.
WBGene00018092,-4.68198662690949,-3.52395549448828,WBGene00018092,WBGene00018092,History: N.A.
WBGene00010461,-4.2567902323674,-3.2472982211323,WBGene00010461,WBGene00010461,History: N.A.
WBGene00014186,-4.20096875036533,-3.12132186611723,WBGene00014186,WBGene00014186,History: N.A.
WBGene00012673,-4.14205002222103,-3.51225562739265,WBGene00012673,WBGene00012673,History: N.A.
WBGene00015679,-4.00975233088635,-3.05339034255772,WBGene00015679,WBGene00015679,History: N.A.
WBGene00045457,-3.931417855544,-3.83696928904357,WBGene00045457,WBGene00045457,History: N.A.
WBGene00016242,-3.91837838548216,-3.77441447737782,WBGene00016242,WBGene00016242,History: N.A.
WBGene00019314,-3.87988271072008,-4.28564923283677,WBGene00019314,WBGene00019314,History: N.A.
WBGene00002015,-3.85434340027584,-3.32556245505615,WBGene00002015,WBGene00002015,History: N.A.
WBGene00000893,-3.7997377044014,-3.28566317207042,WBGene00000893,WBGene00000893,"History: Split into ZC250.5(WBGene00045306). History of WBGene00000893: Split into ""WBGene00045306"" on 2007-03-02"
WBGene00044242,-3.79265918580097,-1.92040839203617,WBGene00044242,WBGene00044242,History: N.A.
WBGene00044379,-3.76240667455379,-4.56397785096801,WBGene00044379,WBGene00044379,History: N.A.
WBGene00005005,-3.74454439541022,-4.77245699452017,WBGene00005005,WBGene00005005,"History: Split into spp-27(WBGene00271815). History of WBGene00005005: Split into ""WBGene00271815"" on 2017-09-21"
WBGene00011508,-3.66751737736609,-2.61726915718488,WBGene00011508,WBGene00011508,History: N.A.
WBGene00022477,-3.65412819206205,-4.4310105508466,WBGene00022477,WBGene00022477,History: N.A.
