# Supplementary File 5,Sheet 7: mRNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for two generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen2),Input,Suggested Match,History
WBGene00044109,7.62144391605026,4.39935945629837,WBGene00044109,WBGene00044109,History: N.A.
WBGene00010474,7.11101367931777,2.38656744471352,WBGene00010474,WBGene00010474,History: N.A.
WBGene00021731,7.09707029098267,3.17035528338039,WBGene00021731,WBGene00021731,History: N.A.
WBGene00015997,6.8743851576809,2.6089400248323,WBGene00015997,WBGene00015997,History: N.A.
WBGene00011172,6.79212434393325,5.8218378988226,WBGene00011172,WBGene00011172,History: N.A.
WBGene00000734,6.76109155027906,3.94966659247201,WBGene00000734,WBGene00000734,History: N.A.
WBGene00021627,6.67763431249815,4.35581597410326,WBGene00021627,WBGene00021627,History: N.A.
WBGene00019459,6.64203016778345,2.30538393341658,WBGene00019459,WBGene00019459,History: N.A.
WBGene00000596,6.63803895168922,5.52084833123428,WBGene00000596,WBGene00000596,History: N.A.
WBGene00014997,6.56410746430796,2.69635568486599,WBGene00014997,WBGene00014997,History: N.A.
WBGene00012402,6.36386181655018,3.24933951174864,WBGene00012402,WBGene00012402,History: N.A.
WBGene00013712,6.34314862146366,2.83289229193245,WBGene00013712,WBGene00013712,History: N.A.
WBGene00000707,6.18002281881741,3.97942610269839,WBGene00000707,WBGene00000707,History: N.A.
WBGene00021620,6.04930545874506,2.86852530126341,WBGene00021620,WBGene00021620,History: N.A.
WBGene00012401,5.9969466914662,4.65406960303149,WBGene00012401,WBGene00012401,History: N.A.
WBGene00007543,5.96324925007734,4.48302959448018,WBGene00007543,WBGene00007543,History: N.A.
WBGene00006719,5.92742288726595,2.65602871815822,WBGene00006719,WBGene00006719,History: N.A.
WBGene00018497,5.9149778346198,3.74417203488549,WBGene00018497,WBGene00018497,History: N.A.
WBGene00013194,5.87309678289284,2.13347530332625,WBGene00013194,WBGene00013194,History: N.A.
WBGene00000613,5.86235988415493,4.16971558892942,WBGene00000613,WBGene00000613,History: N.A.
WBGene00001782,5.84389445878723,3.72099967984928,WBGene00001782,WBGene00001782,History: N.A.
WBGene00016299,5.83836082378993,4.963161549653,WBGene00016299,WBGene00016299,History: N.A.
WBGene00021786,5.83617422082366,2.89855587715993,WBGene00021786,WBGene00021786,History: N.A.
WBGene00194935,5.8348125640977,2.45876896743542,WBGene00194935,WBGene00194935,History: N.A.
WBGene00008001,5.82918361205485,2.75563019044795,WBGene00008001,WBGene00008001,History: N.A.
WBGene00000663,5.80934805564539,4.41391896184271,WBGene00000663,WBGene00000663,History: N.A.
WBGene00011295,5.77079804392915,2.14145595443771,WBGene00011295,WBGene00011295,History: N.A.
WBGene00000606,5.74172855407232,4.20978988519346,WBGene00000606,WBGene00000606,History: N.A.
WBGene00015890,5.72475890745908,2.92889298783925,WBGene00015890,WBGene00015890,History: N.A.
WBGene00014062,5.69515539117272,3.2069374858482,WBGene00014062,WBGene00014062,History: N.A.
WBGene00004394,5.67950645436041,3.79144008143117,WBGene00004394,WBGene00004394,History: N.A.
WBGene00013337,5.64178251136942,3.28444598213546,WBGene00013337,WBGene00013337,History: N.A.
WBGene00001074,5.63531134729263,3.81575942113152,WBGene00001074,WBGene00001074,History: N.A.
WBGene00013886,5.57286394672132,2.66824359765014,WBGene00013886,WBGene00013886,History: N.A.
WBGene00000639,5.54121964962418,4.15439624612817,WBGene00000639,WBGene00000639,History: N.A.
WBGene00013657,5.5397957961431,3.07283252470897,WBGene00013657,WBGene00013657,History: N.A.
WBGene00000684,5.50268836468973,2.8538690411186,WBGene00000684,WBGene00000684,History: N.A.
WBGene00009753,5.47829308981047,3.11276951948767,WBGene00009753,WBGene00009753,History: N.A.
WBGene00235254,5.40659285784959,4.07110785927019,WBGene00235254,WBGene00235254,History: N.A.
WBGene00013800,5.39904900652493,2.56609330134947,WBGene00013800,WBGene00013800,History: N.A.
WBGene00000649,5.39874812161055,4.22603337833993,WBGene00000649,WBGene00000649,History: N.A.
WBGene00022763,5.35154363817925,3.20293529230678,WBGene00022763,WBGene00022763,History: N.A.
WBGene00018493,5.31893526097696,4.72555608656015,WBGene00018493,WBGene00018493,History: N.A.
WBGene00014183,5.31472698169345,6.57426612524859,WBGene00014183,WBGene00014183,History: N.A.
WBGene00012761,5.30833803850661,2.7305620649953,WBGene00012761,WBGene00012761,History: N.A.
WBGene00013823,5.29507078018839,2.26760189308036,WBGene00013823,WBGene00013823,History: N.A.
WBGene00017555,5.28635269051111,1.91713837347824,WBGene00017555,WBGene00017555,History: N.A.
WBGene00000602,5.25769655881591,3.8178981383311,WBGene00000602,WBGene00000602,History: N.A.
WBGene00010247,5.25312075047271,2.74061093479505,WBGene00010247,WBGene00010247,History: N.A.
WBGene00007049,5.23117158814628,2.11930501882897,WBGene00007049,WBGene00007049,History: N.A.
WBGene00016885,5.22819838757837,2.32164013106597,WBGene00016885,WBGene00016885,History: N.A.
WBGene00000930,5.21184854807478,2.42682444311602,WBGene00000930,WBGene00000930,History: N.A.
WBGene00021889,5.20453210680182,2.42045381678409,WBGene00021889,WBGene00021889,History: N.A.
WBGene00001695,5.20228633204465,4.34768937794229,WBGene00001695,WBGene00001695,History: N.A.
WBGene00007570,5.18114092831955,3.18629178305229,WBGene00007570,WBGene00007570,History: N.A.
WBGene00014239,5.17113248728844,2.83097788018594,WBGene00014239,WBGene00014239,History: N.A.
WBGene00017672,5.15891067202075,2.82238387957966,WBGene00017672,WBGene00017672,History: N.A.
WBGene00012509,5.15812801169736,3.18690953579991,WBGene00012509,WBGene00012509,History: N.A.
WBGene00014127,5.15309929833274,2.78609237234161,WBGene00014127,WBGene00014127,History: N.A.
WBGene00008497,5.1462949718144,2.49505450012958,WBGene00008497,WBGene00008497,History: N.A.
WBGene00015879,5.13386233675009,2.63034904792683,WBGene00015879,WBGene00015879,History: N.A.
WBGene00013452,5.12873462704892,2.67234711934581,WBGene00013452,WBGene00013452,"History: Split into Y67A10A.13(WBGene00045099). History of WBGene00013452: Split into ""WBGene00045099"" on 2006-11-01"
WBGene00022833,5.12199728106362,3.80605821516659,WBGene00022833,WBGene00022833,History: N.A.
WBGene00013951,5.11049969663014,2.9204668937464,WBGene00013951,WBGene00013951,History: N.A.
WBGene00044805,5.10191231178985,2.68265666072736,WBGene00044805,WBGene00044805,History: N.A.
WBGene00016413,5.09866605290721,3.94883273731123,WBGene00016413,WBGene00016413,History: N.A.
WBGene00000657,5.08718225718878,3.23832769163871,WBGene00000657,WBGene00000657,History: N.A.
WBGene00013810,5.07765960245176,3.04939181620948,WBGene00013810,WBGene00013810,History: N.A.
WBGene00011178,5.07104750924015,4.47279906094063,WBGene00011178,WBGene00011178,History: N.A.
WBGene00010612,5.06768389556384,2.70021444752089,WBGene00010612,WBGene00010612,History: N.A.
WBGene00017056,5.06675312840857,2.36085293554528,WBGene00017056,WBGene00017056,History: N.A.
WBGene00018123,5.06228915279176,3.25979211855166,WBGene00018123,WBGene00018123,History: N.A.
WBGene00077682,5.03908341107439,2.50809736020353,WBGene00077682,WBGene00077682,History: N.A.
WBGene00003466,5.02678990408121,2.9421015665571,WBGene00003466,WBGene00003466,History: N.A.
WBGene00018168,5.02129054459289,2.78352557097071,WBGene00018168,WBGene00018168,History: N.A.
WBGene00010377,5.01854037015694,3.49605227174944,WBGene00010377,WBGene00010377,History: N.A.
WBGene00013888,5.01854037015694,3.49605227174944,WBGene00013888,WBGene00013888,History: N.A.
WBGene00012609,5.00584790718484,2.67637194096879,WBGene00012609,WBGene00012609,History: N.A.
WBGene00045180,5.00545504962911,2.86102413086749,WBGene00045180,WBGene00045180,History: N.A.
WBGene00013085,5.00131334386625,3.09307803803093,WBGene00013085,WBGene00013085,History: N.A.
WBGene00001067,4.99583112572964,4.10697170246301,WBGene00001067,WBGene00001067,History: N.A.
WBGene00000256,4.98130028263957,4.31766121511831,WBGene00000256,WBGene00000256,History: Renamed on 2011-04-06
WBGene00018528,4.95956297087634,2.51996390497505,WBGene00018528,WBGene00018528,History: N.A.
WBGene00001066,4.9432066436702,3.65870527175767,WBGene00001066,WBGene00001066,History: N.A.
WBGene00206368,4.93395624411682,3.40594774774779,WBGene00206368,WBGene00206368,History: N.A.
WBGene00010114,4.92935288558197,3.33845261762091,WBGene00010114,WBGene00010114,History: N.A.
WBGene00044393,4.92429266668404,3.10889602013927,WBGene00044393,WBGene00044393,History: N.A.
WBGene00009326,4.90654804326998,3.89034124919063,WBGene00009326,WBGene00009326,History: N.A.
WBGene00004397,4.90606745773458,4.38809202908365,WBGene00004397,WBGene00004397,History: N.A.
WBGene00017629,4.88526652819317,4.28429144465924,WBGene00017629,WBGene00017629,History: N.A.
WBGene00019026,4.87907182933967,2.67973734952266,WBGene00019026,WBGene00019026,History: N.A.
WBGene00008575,4.8681751346602,3.35656288642754,WBGene00008575,WBGene00008575,History: N.A.
WBGene00009502,4.84869856287725,2.98395691883761,WBGene00009502,WBGene00009502,History: N.A.
WBGene00013684,4.83754751467374,2.64752861145794,WBGene00013684,WBGene00013684,History: N.A.
WBGene00021109,4.83585240803243,3.35952564775197,WBGene00021109,WBGene00021109,History: N.A.
WBGene00004144,4.79515986755818,3.62764679352226,WBGene00004144,WBGene00004144,History: N.A.
WBGene00001944,4.79097145478119,3.08677669335246,WBGene00001944,WBGene00001944,History: N.A.
WBGene00000697,4.78523129807706,4.24393310259431,WBGene00000697,WBGene00000697,History: N.A.
WBGene00008312,4.7814018684831,2.54231216022959,WBGene00008312,WBGene00008312,History: N.A.
WBGene00021967,4.7718459256467,3.76875009259254,WBGene00021967,WBGene00021967,History: N.A.
WBGene00235383,4.76373547026192,4.0357506513407,WBGene00235383,WBGene00235383,History: N.A.
WBGene00000689,4.75907187522715,2.79444039030388,WBGene00000689,WBGene00000689,History: N.A.
WBGene00016839,4.73801358673076,3.65266165985682,WBGene00016839,WBGene00016839,History: N.A.
WBGene00044333,4.73572848376442,3.27684679850073,WBGene00044333,WBGene00044333,History: N.A.
WBGene00020978,4.73218930110346,2.01625131961391,WBGene00020978,WBGene00020978,History: N.A.
WBGene00003437,4.72262004755811,1.97690668623427,WBGene00003437,WBGene00003437,History: N.A.
WBGene00013656,4.71374347167285,2.8239249236459,WBGene00013656,WBGene00013656,History: N.A.
WBGene00020656,4.71323413294235,1.97927081090849,WBGene00020656,WBGene00020656,History: N.A.
WBGene00006052,4.7099214692985,2.66031527895241,WBGene00006052,WBGene00006052,History: N.A.
WBGene00008381,4.70224547686327,3.60104302690785,WBGene00008381,WBGene00008381,"History: Split into D1081.10(WBGene00045508), D1081.19(WBGene00304981). History of WBGene00008381: Split into ""WBGene00045508"" on 2007-07-26; Split into ""WBGene00304981"" on 2019-09-26"
WBGene00008650,4.69630612831189,1.84254204047622,WBGene00008650,WBGene00008650,History: N.A.
WBGene00004962,4.69428014138323,3.17282981877347,WBGene00004962,WBGene00004962,History: N.A.
WBGene00003424,4.68590922943102,3.24019409910146,WBGene00003424,WBGene00003424,History: N.A.
WBGene00000614,4.68294107935576,3.27240855921095,WBGene00000614,WBGene00000614,History: N.A.
WBGene00044272,4.67456332347747,3.62358548679428,WBGene00044272,WBGene00044272,History: N.A.
WBGene00010883,4.66420955540446,2.60340013308914,WBGene00010883,WBGene00010883,History: N.A.
WBGene00016447,4.65614155175308,3.0083248795861,WBGene00016447,WBGene00016447,History: N.A.
WBGene00019951,4.65591788696907,2.0926539182698,WBGene00019951,WBGene00019951,History: N.A.
WBGene00000667,4.65504208137277,2.1335487248633,WBGene00000667,WBGene00000667,History: N.A.
WBGene00000703,4.65495377792121,2.88425846072686,WBGene00000703,WBGene00000703,History: N.A.
WBGene00012547,4.6461493833021,3.56189633174976,WBGene00012547,WBGene00012547,History: N.A.
WBGene00015629,4.64388873232702,3.33591399077488,WBGene00015629,WBGene00015629,History: N.A.
WBGene00235359,4.64367338648907,2.21006594075037,WBGene00235359,WBGene00235359,History: N.A.
WBGene00016358,4.64268670602532,3.08121304734481,WBGene00016358,WBGene00016358,History: N.A.
WBGene00013887,4.64087587991327,3.56417059130324,WBGene00013887,WBGene00013887,History: N.A.
