# Supplementary File 5,Sheet 8: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for seven generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen7),Input,Suggested Match,History
WBGene00010461,-7.28920057119507,-3.65332541906871,WBGene00010461,WBGene00010461,History: N.A.
WBGene00007682,-7.26219117931152,-2.30964218531298,WBGene00007682,WBGene00007682,History: N.A.
WBGene00013900,-7.22654191925487,-2.09937115481395,WBGene00013900,WBGene00013900,History: N.A.
WBGene00044772,-7.00959905157722,-2.9919965662309,WBGene00044772,WBGene00044772,History: N.A.
WBGene00044719,-6.47338998424502,-1.70085826584262,WBGene00044719,WBGene00044719,History: N.A.
WBGene00020326,-6.34587017105446,-1.67743379660275,WBGene00020326,WBGene00020326,History: N.A.
WBGene00010790,-6.30552730936295,-1.54052816808683,WBGene00010790,WBGene00010790,History: Renamed on 2004-08-25; Renamed on 2021-12-09
WBGene00010062,-6.24934685601326,-1.39957714514029,WBGene00010062,WBGene00010062,History: N.A.
WBGene00014067,-6.23692825591137,-2.74035796811136,WBGene00014067,WBGene00014067,History: N.A.
WBGene00015599,-5.81364683168428,-2.01069338429966,WBGene00015599,WBGene00015599,History: N.A.
WBGene00011508,-5.80923316082707,-2.62353160501374,WBGene00011508,WBGene00011508,History: N.A.
WBGene00044379,-5.79434211497192,-2.47553397857701,WBGene00044379,WBGene00044379,History: N.A.
WBGene00010285,-5.74062370565984,-3.19022839992625,WBGene00010285,WBGene00010285,History: N.A.
WBGene00007758,-5.73005214262659,-1.82512954568067,WBGene00007758,WBGene00007758,History: N.A.
WBGene00009041,-5.65380715706666,-2.73888288730975,WBGene00009041,WBGene00009041,History: N.A.
WBGene00011596,-5.64511027286007,-1.36966642565369,WBGene00011596,WBGene00011596,History: N.A.
WBGene00016923,-5.64290319898091,-1.48613680373791,WBGene00016923,WBGene00016923,History: N.A.
WBGene00019699,-5.58074175169299,-2.33723293648357,WBGene00019699,WBGene00019699,"History: Split into M01D1.12(WBGene00269373). History of WBGene00019699: Split into ""WBGene00269373"" on 2015-12-02"
WBGene00000738,-5.53346820934444,-3.64597128057615,WBGene00000738,WBGene00000738,History: N.A.
WBGene00009526,-5.41649731614937,-2.03150010400775,WBGene00009526,WBGene00009526,History: N.A.
WBGene00044024,-5.35770808756476,-2.47278451709307,WBGene00044024,WBGene00044024,History: N.A.
WBGene00000650,-5.30006992659994,-2.9918603962315,WBGene00000650,WBGene00000650,History: N.A.
WBGene00011672,-5.00304273709935,-2.42979755555943,WBGene00011672,WBGene00011672,History: N.A.
WBGene00012540,-4.95816653768944,-2.23761253214015,WBGene00012540,WBGene00012540,History: N.A.
WBGene00011957,-4.94174672711966,-1.27316740055407,WBGene00011957,WBGene00011957,History: N.A.
WBGene00017307,-4.93248470879355,-2.63052486870332,WBGene00017307,WBGene00017307,History: N.A.
WBGene00009261,-4.9229181534088,-1.89971631482057,WBGene00009261,WBGene00009261,"History: Split into F30A10.13(WBGene00044680). History of WBGene00009261: Split into ""WBGene00044680"" on 2005-11-21"
WBGene00003473,-4.63046127056975,-1.25361563532673,WBGene00003473,WBGene00003473,History: N.A.
WBGene00007560,-4.62443120819958,-1.9335020472093,WBGene00007560,WBGene00007560,History: N.A.
WBGene00014698,-4.52231963165275,-2.76526560124126,WBGene00014698,WBGene00014698,History: N.A.
WBGene00017421,-4.28120912120925,-1.83235775271071,WBGene00017421,WBGene00017421,History: N.A.
WBGene00012673,-4.27950154970101,-4.48081671334565,WBGene00012673,WBGene00012673,History: N.A.
WBGene00019839,-4.21194048497582,-2.40643469550186,WBGene00019839,WBGene00019839,History: N.A.
WBGene00016568,-4.20111767960985,-1.06473973347959,WBGene00016568,WBGene00016568,History: N.A.
WBGene00002015,-4.17661741921022,-1.75110125066012,WBGene00002015,WBGene00002015,History: N.A.
WBGene00018568,-4.15919295195278,-1.36549852048467,WBGene00018568,WBGene00018568,History: N.A.
WBGene00019732,-4.08765451694252,-1.10922071810626,WBGene00019732,WBGene00019732,History: N.A.
WBGene00016247,-3.94244512472373,-1.42492560400929,WBGene00016247,WBGene00016247,History: N.A.
WBGene00004174,-3.91426419913155,-2.37900805432196,WBGene00004174,WBGene00004174,History: Renamed on 2011-04-12
WBGene00009213,-3.9000724462112,-1.20525819741781,WBGene00009213,WBGene00009213,History: Renamed on 2004-08-25
