# Supplementary File 5,Sheet 9: mRNAs significantly up-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for seven generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen7),Input,Suggested Match,History
WBGene00007872,8.61565097038206,3.04058255349102,WBGene00007872,WBGene00007872,History: N.A.
WBGene00018708,7.69604775917388,2.83225530440153,WBGene00018708,WBGene00018708,History: N.A.
WBGene00021731,7.40991261093201,3.07252367429034,WBGene00021731,WBGene00021731,History: N.A.
WBGene00016299,6.82252900688948,4.52464066581964,WBGene00016299,WBGene00016299,History: N.A.
WBGene00004144,6.72004526368759,2.90991244084691,WBGene00004144,WBGene00004144,History: N.A.
WBGene00016885,6.25548878907607,1.13002240762294,WBGene00016885,WBGene00016885,History: N.A.
WBGene00020306,6.11389761277873,1.684089785035,WBGene00020306,WBGene00020306,History: N.A.
WBGene00008028,6.06280782619294,1.6124404865921,WBGene00008028,WBGene00008028,History: N.A.
WBGene00018202,5.83814945043421,2.28466900534251,WBGene00018202,WBGene00018202,History: N.A.
WBGene00017629,5.77725212751741,3.77978071482061,WBGene00017629,WBGene00017629,History: N.A.
WBGene00017729,5.71495165293477,3.75645785831161,WBGene00017729,WBGene00017729,"History: Split into F22H10.11(WBGene00255607). History of WBGene00017729: Split into ""WBGene00255607"" on 2014-12-15"
WBGene00009572,5.58277950551064,5.83672026800266,WBGene00009572,WBGene00009572,History: N.A.
WBGene00020666,5.55674978033422,2.5104854979439,WBGene00020666,WBGene00020666,History: N.A.
WBGene00011172,5.43823025249742,4.88496146805335,WBGene00011172,WBGene00011172,History: N.A.
WBGene00019267,5.26506752976644,3.53233484799069,WBGene00019267,WBGene00019267,History: N.A.
WBGene00007876,5.18383200210064,1.88120066682086,WBGene00007876,WBGene00007876,History: N.A.
WBGene00015879,5.17542027566711,2.37990755296195,WBGene00015879,WBGene00015879,History: N.A.
WBGene00015573,5.17440248449539,1.7496509610476,WBGene00015573,WBGene00015573,History: N.A.
WBGene00016072,5.17145466952039,3.27035835422142,WBGene00016072,WBGene00016072,History: N.A.
WBGene00008575,4.96427089188541,4.00565180116438,WBGene00008575,WBGene00008575,History: N.A.
WBGene00044639,4.91345111170966,3.80815523062254,WBGene00044639,WBGene00044639,History: N.A.
WBGene00017501,4.86764869343815,1.52072152230171,WBGene00017501,WBGene00017501,History: N.A.
WBGene00022674,4.83123797922414,3.24154172850618,WBGene00022674,WBGene00022674,History: N.A.
WBGene00007231,4.78381162715095,3.21140415697956,WBGene00007231,WBGene00007231,"History: Split into C01G10.17(WBGene00044658). History of WBGene00007231: Split into ""WBGene00044658"" on 2005-11-07"
WBGene00014130,4.78091879932715,2.48494097603398,WBGene00014130,WBGene00014130,History: N.A.
WBGene00010474,4.76576021236337,1.7007059992146,WBGene00010474,WBGene00010474,History: N.A.
WBGene00206464,4.71524861172227,3.37561569643318,WBGene00206464,WBGene00206464,History: N.A.
WBGene00019459,4.68565309503799,1.98186482880591,WBGene00019459,WBGene00019459,History: N.A.
WBGene00019517,4.57381576229713,2.30692179717118,WBGene00019517,WBGene00019517,History: N.A.
WBGene00018543,4.54171789097707,1.28291689478104,WBGene00018543,WBGene00018543,History: N.A.
WBGene00014663,4.53518559406612,2.27249922856173,WBGene00014663,WBGene00014663,History: N.A.
WBGene00044249,4.53250689787642,6.18820393106986,WBGene00044249,WBGene00044249,History: N.A.
