# Supplementary File 5,Sheet 10: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for 10 generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen10),Input,Suggested Match,History
WBGene00016017,-7.54087657825264,-2.15735067361105,WBGene00016017,WBGene00016017,History: N.A.
WBGene00018913,-7.00896846824121,-2.29558584761648,WBGene00018913,WBGene00018913,History: N.A.
WBGene00010790,-6.67917205325051,-1.71812926083656,WBGene00010790,WBGene00010790,History: Renamed on 2004-08-25; Renamed on 2021-12-09
WBGene00001477,-6.67601525029571,-1.89446110212599,WBGene00001477,WBGene00001477,History: N.A.
WBGene00044719,-6.57533795780417,-2.05241848088775,WBGene00044719,WBGene00044719,History: N.A.
WBGene00009778,-6.05726513353027,-1.79336226543458,WBGene00009778,WBGene00009778,History: N.A.
WBGene00012070,-5.92758453046573,-2.23255434671908,WBGene00012070,WBGene00012070,History: N.A.
WBGene00014046,-5.80905374157984,-1.0466507121717,WBGene00014046,WBGene00014046,History: N.A.
WBGene00007758,-5.80099385549694,-1.10427866420129,WBGene00007758,WBGene00007758,History: N.A.
WBGene00011677,-5.70192264067861,-2.69554387207822,WBGene00011677,WBGene00011677,History: N.A.
WBGene00009261,-5.48023900752979,-3.62893904775348,WBGene00009261,WBGene00009261,"History: Split into F30A10.13(WBGene00044680). History of WBGene00009261: Split into ""WBGene00044680"" on 2005-11-21"
WBGene00011427,-5.31865025200904,-2.81401979997789,WBGene00011427,WBGene00011427,"History: Split into T04C12.11(WBGene00077693). History of WBGene00011427: Split into ""WBGene00077693"" on 2008-03-27"
WBGene00044242,-5.28523593367558,-1.70084782160281,WBGene00044242,WBGene00044242,History: N.A.
WBGene00008295,-5.19321353127104,-1.44808286290005,WBGene00008295,WBGene00008295,History: N.A.
WBGene00002102,-5.18351152037248,-4.7791494378872,WBGene00002102,WBGene00002102,History: N.A.
WBGene00005228,-5.07049763876447,-2.36575049117177,WBGene00005228,WBGene00005228,History: N.A.
WBGene00000893,-5.0134610967374,-4.14271398010561,WBGene00000893,WBGene00000893,"History: Split into ZC250.5(WBGene00045306). History of WBGene00000893: Split into ""WBGene00045306"" on 2007-03-02"
WBGene00007560,-4.94289685353705,-3.12271780841996,WBGene00007560,WBGene00007560,History: N.A.
WBGene00012540,-4.93702913886041,-2.80915130261279,WBGene00012540,WBGene00012540,History: N.A.
WBGene00012673,-4.91949144075769,-3.84507349837138,WBGene00012673,WBGene00012673,History: N.A.
WBGene00020250,-4.91842736523173,-4.79876863507982,WBGene00020250,WBGene00020250,History: N.A.
WBGene00022577,-4.72384901858926,-3.65205039861808,WBGene00022577,WBGene00022577,History: N.A.
WBGene00019699,-4.71707163674421,-1.06731359541904,WBGene00019699,WBGene00019699,"History: Split into M01D1.12(WBGene00269373). History of WBGene00019699: Split into ""WBGene00269373"" on 2015-12-02"
WBGene00010285,-4.58016467481842,-2.59532835671039,WBGene00010285,WBGene00010285,History: N.A.
WBGene00017018,-4.54573616291672,-4.22881333598333,WBGene00017018,WBGene00017018,History: N.A.
WBGene00022024,-4.50936824313311,-2.84553112730352,WBGene00022024,WBGene00022024,History: N.A.
WBGene00007203,-4.49526563399954,-1.21620679680222,WBGene00007203,WBGene00007203,History: N.A.
WBGene00044024,-4.47363321756047,-1.6109955959302,WBGene00044024,WBGene00044024,History: N.A.
WBGene00011508,-4.37694849856447,-1.04278573300108,WBGene00011508,WBGene00011508,History: N.A.
WBGene00016923,-4.37182045779276,-1.15687352443534,WBGene00016923,WBGene00016923,History: N.A.
WBGene00018295,-4.25621548300783,-3.49772040856991,WBGene00018295,WBGene00018295,History: N.A.
WBGene00007264,-4.25443775692561,-2.83059228846448,WBGene00007264,WBGene00007264,History: N.A.
WBGene00013761,-4.25418994232439,-4.31537423647698,WBGene00013761,WBGene00013761,History: N.A.
WBGene00077558,-4.22288266288194,-2.67181335598542,WBGene00077558,WBGene00077558,History: N.A.
WBGene00019184,-4.17520557993829,-2.47877068363693,WBGene00019184,WBGene00019184,History: N.A.
WBGene00015599,-4.17194531915023,-1.81700019151553,WBGene00015599,WBGene00015599,History: N.A.
WBGene00044772,-4.13266168909647,-2.18214112519346,WBGene00044772,WBGene00044772,History: N.A.
WBGene00001119,-4.08496180520014,-3.63336337708086,WBGene00001119,WBGene00001119,History: N.A.
WBGene00007682,-4.0647816658373,-2.46128432813468,WBGene00007682,WBGene00007682,History: N.A.
WBGene00000705,-4.03856956314428,-4.59345940840629,WBGene00000705,WBGene00000705,History: N.A.
WBGene00009355,-4.03492712382678,-2.88977237200879,WBGene00009355,WBGene00009355,History: N.A.
WBGene00004998,-4.00574402908589,-3.42691813130023,WBGene00004998,WBGene00004998,History: N.A.
WBGene00044807,-3.91787954785608,-1.24984107830354,WBGene00044807,WBGene00044807,History: N.A.
WBGene00015993,-3.89692860040412,-1.91221024478434,WBGene00015993,WBGene00015993,History: N.A.
WBGene00022038,-3.88491072355181,-3.08539227418587,WBGene00022038,WBGene00022038,History: N.A.
WBGene00012878,-3.79858220911555,-1.42499047165609,WBGene00012878,WBGene00012878,History: N.A.
WBGene00003473,-3.77695370732547,-1.16203330614144,WBGene00003473,WBGene00003473,History: N.A.
WBGene00017307,-3.77064695868886,-2.55765901092163,WBGene00017307,WBGene00017307,History: N.A.
WBGene00011997,-3.76563284226493,-1.77858928904922,WBGene00011997,WBGene00011997,History: N.A.
WBGene00011596,-3.76051008495203,-1.31800054832015,WBGene00011596,WBGene00011596,History: N.A.
WBGene00022415,-3.68578356804664,-3.54718562784844,WBGene00022415,WBGene00022415,History: N.A.
WBGene00021491,-3.64512260869714,-1.09179649988212,WBGene00021491,WBGene00021491,History: N.A.
WBGene00016953,-3.57647897590001,-2.28436578006793,WBGene00016953,WBGene00016953,History: N.A.
WBGene00019154,-3.56366256143816,-2.52879791817814,WBGene00019154,WBGene00019154,History: N.A.
WBGene00012448,-3.53637745962776,-1.34653810565813,WBGene00012448,WBGene00012448,History: N.A.
WBGene00007365,-3.47929884045428,-1.05390897080284,WBGene00007365,WBGene00007365,History: N.A.
WBGene00007957,-3.4241209546736,-1.42957350001444,WBGene00007957,WBGene00007957,History: N.A.
WBGene00235268,-3.37796182785261,-2.79558962446362,WBGene00235268,WBGene00235268,History: N.A.
WBGene00001055,-3.3582151668642,-1.47509086328241,WBGene00001055,WBGene00001055,History: N.A.
WBGene00023501,-3.32311192643404,-1.88442215004316,WBGene00023501,WBGene00023501,History: N.A.
WBGene00007883,-3.31632934184652,-1.09279895260194,WBGene00007883,WBGene00007883,History: N.A.
WBGene00021002,-3.25018911860341,-1.23029420884247,WBGene00021002,WBGene00021002,History: N.A.
WBGene00020613,-3.22651476509697,-1.36214915343973,WBGene00020613,WBGene00020613,History: N.A.
WBGene00007459,-3.22341470240314,-1.36835170103396,WBGene00007459,WBGene00007459,History: N.A.
WBGene00010184,-3.14053451937781,-1.8486300723103,WBGene00010184,WBGene00010184,History: N.A.
WBGene00000690,-3.09747524273688,-1.17990404951077,WBGene00000690,WBGene00000690,History: N.A.
WBGene00008597,-3.07728664913279,-1.41378365786762,WBGene00008597,WBGene00008597,History: N.A.
WBGene00006775,-3.05547737170884,-2.39454903261439,WBGene00006775,WBGene00006775,History: N.A.
WBGene00018750,-3.05540710796586,-2.31389613874505,WBGene00018750,WBGene00018750,History: N.A.
WBGene00010768,-3.02423158947894,-1.49429606873451,WBGene00010768,WBGene00010768,History: N.A.
WBGene00017421,-3.00988012892449,-2.3871486624,WBGene00017421,WBGene00017421,History: N.A.
WBGene00000535,-2.97115816846849,-1.26880739504363,WBGene00000535,WBGene00000535,History: Renamed on 2006-01-04
WBGene00021703,-2.94821738008689,-1.48320529296473,WBGene00021703,WBGene00021703,History: N.A.
WBGene00008359,-2.94453343582874,-2.13115598874342,WBGene00008359,WBGene00008359,History: N.A.
WBGene00001714,-2.9131475852052,-2.30578417418859,WBGene00001714,WBGene00001714,History: N.A.
WBGene00001716,-2.88894023567719,-3.61188346514892,WBGene00001716,WBGene00001716,History: N.A.
