# FDR<0.05 AND Fc>4 or <4  lsm-8 vs WT ,
# 1125-N2_edgeR&fC,
# Genes up in GW1125  FDR & 4Fc,
# 122 genes,
WORMBASE_GENE_ID,1: up genes; 0: not significant change; -1 down genes,Input,Suggested Match,History
WBGene00015077,1,WBGene00015077,WBGene00015077,History: N.A.
WBGene00015152,1,WBGene00015152,WBGene00015152,History: N.A.
WBGene00015223,1,WBGene00015223,WBGene00015223,"History: Split into B0507.15(WBGene00202499). History of WBGene00015223: Split into ""WBGene00202499"" on 2010-10-29"
WBGene00044687,1,WBGene00044687,WBGene00044687,History: N.A.
WBGene00003096,1,WBGene00003096,WBGene00003096,History: N.A.
WBGene00015602,1,WBGene00015602,WBGene00015602,History: N.A.
WBGene00015598,1,WBGene00015598,WBGene00015598,History: N.A.
WBGene00044547,1,WBGene00044547,WBGene00044547,History: N.A.
WBGene00015723,1,WBGene00015723,WBGene00015723,History: N.A.
WBGene00015725,1,WBGene00015725,WBGene00015725,History: N.A.
WBGene00000612,1,WBGene00000612,WBGene00000612,History: N.A.
WBGene00007660,1,WBGene00007660,WBGene00007660,History: N.A.
WBGene00007682,1,WBGene00007682,WBGene00007682,History: N.A.
WBGene00000676,1,WBGene00000676,WBGene00000676,History: N.A.
WBGene00001729,1,WBGene00001729,WBGene00001729,History: N.A.
WBGene00016063,1,WBGene00016063,WBGene00016063,History: N.A.
WBGene00007765,1,WBGene00007765,WBGene00007765,History: N.A.
WBGene00000613,1,WBGene00000613,WBGene00000613,History: N.A.
WBGene00044589,1,WBGene00044589,WBGene00044589,History: N.A.
WBGene00044238,1,WBGene00044238,WBGene00044238,History: N.A.
WBGene00016425,1,WBGene00016425,WBGene00016425,History: N.A.
WBGene00016528,1,WBGene00016528,WBGene00016528,History: N.A.
WBGene00008097,1,WBGene00008097,WBGene00008097,History: N.A.
WBGene00016673,1,WBGene00016673,WBGene00016673,History: N.A.
WBGene00000851,1,WBGene00000851,WBGene00000851,History: N.A.
WBGene00043065,1,WBGene00043065,WBGene00043065,History: N.A.
WBGene00001726,1,WBGene00001726,WBGene00001726,History: N.A.
WBGene00044081,1,WBGene00044081,WBGene00044081,History: N.A.
WBGene00000731,1,WBGene00000731,WBGene00000731,History: N.A.
WBGene00000688,1,WBGene00000688,WBGene00000688,History: N.A.
WBGene00001732,1,WBGene00001732,WBGene00001732,History: N.A.
WBGene00017095,1,WBGene00017095,WBGene00017095,"History: Split into E02C12.19(WBGene00271797). History of WBGene00017095: Split into ""WBGene00271797"" on 2017-09-21"
WBGene00000756,1,WBGene00000756,WBGene00000756,History: N.A.
WBGene00017214,1,WBGene00017214,WBGene00017214,History: N.A.
WBGene00017265,1,WBGene00017265,WBGene00017265,History: N.A.
WBGene00008577,1,WBGene00008577,WBGene00008577,History: N.A.
WBGene00008631,1,WBGene00008631,WBGene00008631,History: N.A.
WBGene00006237,1,WBGene00006237,WBGene00006237,History: N.A.
WBGene00017335,1,WBGene00017335,WBGene00017335,History: N.A.
WBGene00001399,1,WBGene00001399,WBGene00001399,History: N.A.
WBGene00008698,1,WBGene00008698,WBGene00008698,History: N.A.
WBGene00001387,1,WBGene00001387,WBGene00001387,History: N.A.
WBGene00008853,1,WBGene00008853,WBGene00008853,History: N.A.
WBGene00008862,1,WBGene00008862,WBGene00008862,History: N.A.
WBGene00017586,1,WBGene00017586,WBGene00017586,"History: Split into F19B10.13(WBGene00194713). History of WBGene00017586: Split into ""WBGene00194713"" on 2009-08-11"
WBGene00050906,1,WBGene00050906,WBGene00050906,History: N.A.
WBGene00009061,1,WBGene00009061,WBGene00009061,"History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
WBGene00009104,1,WBGene00009104,WBGene00009104,History: N.A.
WBGene00001437,1,WBGene00001437,WBGene00001437,History: N.A.
WBGene00005586,1,WBGene00005586,WBGene00005586,History: N.A.
WBGene00018050,1,WBGene00018050,WBGene00018050,History: N.A.
WBGene00009426,1,WBGene00009426,WBGene00009426,History: N.A.
WBGene00009429,1,WBGene00009429,WBGene00009429,History: N.A.
WBGene00009431,1,WBGene00009431,WBGene00009431,History: N.A.
WBGene00001772,1,WBGene00001772,WBGene00001772,History: N.A.
WBGene00018223,1,WBGene00018223,WBGene00018223,History: N.A.
WBGene00018225,1,WBGene00018225,WBGene00018225,History: N.A.
WBGene00009572,1,WBGene00009572,WBGene00009572,History: N.A.
WBGene00044379,1,WBGene00044379,WBGene00044379,History: N.A.
WBGene00018353,1,WBGene00018353,WBGene00018353,History: N.A.
WBGene00000736,1,WBGene00000736,WBGene00000736,History: N.A.
WBGene00018600,1,WBGene00018600,WBGene00018600,"History: Split into F48C1.11(WBGene00195179). History of WBGene00018600: Split into ""WBGene00195179"" on 2010-06-23"
WBGene00018601,1,WBGene00018601,WBGene00018601,History: N.A.
WBGene00009892,1,WBGene00009892,WBGene00009892,History: N.A.
WBGene00018696,1,WBGene00018696,WBGene00018696,History: N.A.
WBGene00000622,1,WBGene00000622,WBGene00000622,History: N.A.
WBGene00000621,1,WBGene00000621,WBGene00000621,History: N.A.
WBGene00010124,1,WBGene00010124,WBGene00010124,History: N.A.
WBGene00018997,1,WBGene00018997,WBGene00018997,History: Renamed on 2005-03-17
WBGene00019016,1,WBGene00019016,WBGene00019016,History: N.A.
WBGene00019101,1,WBGene00019101,WBGene00019101,History: N.A.
WBGene00019134,1,WBGene00019134,WBGene00019134,History: N.A.
WBGene00000758,1,WBGene00000758,WBGene00000758,History: N.A.
WBGene00019178,1,WBGene00019178,WBGene00019178,History: N.A.
WBGene00019179,1,WBGene00019179,WBGene00019179,History: N.A.
WBGene00001712,1,WBGene00001712,WBGene00001712,History: N.A.
WBGene00019379,1,WBGene00019379,WBGene00019379,History: N.A.
WBGene00005005,1,WBGene00005005,WBGene00005005,"History: Split into spp-27(WBGene00271815). History of WBGene00005005: Split into ""WBGene00271815"" on 2017-09-21"
WBGene00044293,1,WBGene00044293,WBGene00044293,History: N.A.
WBGene00019550,1,WBGene00019550,WBGene00019550,History: N.A.
WBGene00019659,1,WBGene00019659,WBGene00019659,History: N.A.
WBGene00000659,1,WBGene00000659,WBGene00000659,History: N.A.
WBGene00010821,1,WBGene00010821,WBGene00010821,History: N.A.
WBGene00010899,1,WBGene00010899,WBGene00010899,History: N.A.
WBGene00006419,1,WBGene00006419,WBGene00006419,History: Renamed on 2008-07-18
WBGene00001728,1,WBGene00001728,WBGene00001728,History: N.A.
WBGene00011172,1,WBGene00011172,WBGene00011172,History: N.A.
WBGene00000617,1,WBGene00000617,WBGene00000617,History: N.A.
WBGene00020472,1,WBGene00020472,WBGene00020472,History: N.A.
WBGene00000660,1,WBGene00000660,WBGene00000660,History: N.A.
WBGene00000737,1,WBGene00000737,WBGene00000737,History: N.A.
WBGene00004002,1,WBGene00004002,WBGene00004002,History: N.A.
WBGene00003545,1,WBGene00003545,WBGene00003545,History: N.A.
WBGene00044206,1,WBGene00044206,WBGene00044206,History: N.A.
WBGene00000627,1,WBGene00000627,WBGene00000627,History: N.A.
WBGene00000628,1,WBGene00000628,WBGene00000628,History: N.A.
WBGene00000593,1,WBGene00000593,WBGene00000593,History: N.A.
WBGene00012294,1,WBGene00012294,WBGene00012294,History: N.A.
WBGene00001397,1,WBGene00001397,WBGene00001397,History: N.A.
WBGene00012329,1,WBGene00012329,WBGene00012329,History: N.A.
WBGene00000697,1,WBGene00000697,WBGene00000697,History: N.A.
WBGene00013637,1,WBGene00013637,WBGene00013637,History: N.A.
WBGene00044441,1,WBGene00044441,WBGene00044441,History: N.A.
WBGene00022497,1,WBGene00022497,WBGene00022497,History: N.A.
WBGene00045416,1,WBGene00045416,WBGene00045416,History: N.A.
