# FDR<0.05 AND Fc>4 or <4 met-2 set-25; lsm-8 vs WT ,,,,
# Genes up FDR& 4Fc met-2 set-25; lsm-8 vs WT (rep1&2),,,,
# 367 genes,,,,
WORMBASE_GENE_ID,1148-N2_edgeR&fC,Unnamed: 2,Unnamed: 3,Unnamed: 4,Input,Suggested Match,History
WBGene00044547,1.0,,,,WBGene00044547,WBGene00044547,History: N.A.
WBGene00015723,1.0,,,,WBGene00015723,WBGene00015723,History: N.A.
WBGene00015725,1.0,,,,WBGene00015725,WBGene00015725,History: N.A.
WBGene00000612,1.0,,,,WBGene00000612,WBGene00000612,History: N.A.
WBGene00000676,1.0,,,,WBGene00000676,WBGene00000676,History: N.A.
WBGene00001729,1.0,,,,WBGene00001729,WBGene00001729,History: N.A.
WBGene00000613,1.0,,,,WBGene00000613,WBGene00000613,History: N.A.
WBGene00044589,1.0,,,,WBGene00044589,WBGene00044589,History: N.A.
WBGene00000851,1.0,,,,WBGene00000851,WBGene00000851,History: N.A.
WBGene00001726,1.0,,,,WBGene00001726,WBGene00001726,History: N.A.
WBGene00000731,1.0,,,,WBGene00000731,WBGene00000731,History: N.A.
WBGene00000688,1.0,,,,WBGene00000688,WBGene00000688,History: N.A.
WBGene00001732,1.0,,,,WBGene00001732,WBGene00001732,History: N.A.
WBGene00017095,1.0,,,,WBGene00017095,WBGene00017095,"History: Split into E02C12.19(WBGene00271797). History of WBGene00017095: Split into ""WBGene00271797"" on 2017-09-21"
WBGene00000756,1.0,,,,WBGene00000756,WBGene00000756,History: N.A.
WBGene00008862,1.0,,,,WBGene00008862,WBGene00008862,History: N.A.
WBGene00050906,1.0,,,,WBGene00050906,WBGene00050906,History: N.A.
WBGene00009061,1.0,,,,WBGene00009061,WBGene00009061,"History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
WBGene00009431,1.0,,,,WBGene00009431,WBGene00009431,History: N.A.
WBGene00000736,1.0,,,,WBGene00000736,WBGene00000736,History: N.A.
WBGene00000621,1.0,,,,WBGene00000621,WBGene00000621,History: N.A.
WBGene00000758,1.0,,,,WBGene00000758,WBGene00000758,History: N.A.
WBGene00001712,1.0,,,,WBGene00001712,WBGene00001712,History: N.A.
WBGene00005005,1.0,,,,WBGene00005005,WBGene00005005,"History: Split into spp-27(WBGene00271815). History of WBGene00005005: Split into ""WBGene00271815"" on 2017-09-21"
WBGene00044293,1.0,,,,WBGene00044293,WBGene00044293,History: N.A.
WBGene00000659,1.0,,,,WBGene00000659,WBGene00000659,History: N.A.
WBGene00001728,1.0,,,,WBGene00001728,WBGene00001728,History: N.A.
WBGene00000617,1.0,,,,WBGene00000617,WBGene00000617,History: N.A.
WBGene00000660,1.0,,,,WBGene00000660,WBGene00000660,History: N.A.
WBGene00000737,1.0,,,,WBGene00000737,WBGene00000737,History: N.A.
WBGene00000627,1.0,,,,WBGene00000627,WBGene00000627,History: N.A.
WBGene00000628,1.0,,,,WBGene00000628,WBGene00000628,History: N.A.
WBGene00000593,1.0,,,,WBGene00000593,WBGene00000593,History: N.A.
WBGene00000697,1.0,,,,WBGene00000697,WBGene00000697,History: N.A.
WBGene00021964,1.0,,,,WBGene00021964,WBGene00021964,History: N.A.
WBGene00001718,1.0,,,,WBGene00001718,WBGene00001718,History: N.A.
WBGene00000620,1.0,,,,WBGene00000620,WBGene00000620,History: N.A.
WBGene00001734,1.0,,,,WBGene00001734,WBGene00001734,History: N.A.
WBGene00000614,1.0,,,,WBGene00000614,WBGene00000614,History: N.A.
WBGene00005543,1.0,,,,WBGene00005543,WBGene00005543,History: N.A.
WBGene00015259,1.0,,,,WBGene00015259,WBGene00015259,History: N.A.
WBGene00007219,1.0,,,,WBGene00007219,WBGene00007219,History: Renamed on 2019-11-21
WBGene00001698,1.0,,,,WBGene00001698,WBGene00001698,History: N.A.
WBGene00015721,1.0,,,,WBGene00015721,WBGene00015721,History: N.A.
WBGene00007672,1.0,,,,WBGene00007672,WBGene00007672,History: N.A.
WBGene00077523,1.0,,,,WBGene00077523,WBGene00077523,History: N.A.
WBGene00005832,1.0,,,,WBGene00005832,WBGene00005832,History: N.A.
WBGene00016369,1.0,,,,WBGene00016369,WBGene00016369,History: N.A.
WBGene00008010,1.0,,,,WBGene00008010,WBGene00008010,History: N.A.
WBGene00008267,1.0,,,,WBGene00008267,WBGene00008267,History: N.A.
WBGene00017228,1.0,,,,WBGene00017228,WBGene00017228,History: N.A.
WBGene00008568,1.0,,,,WBGene00008568,WBGene00008568,History: Renamed on 2016-09-16
WBGene00044014,1.0,,,,WBGene00044014,WBGene00044014,History: N.A.
WBGene00008872,1.0,,,,WBGene00008872,WBGene00008872,"History: Split into F15H10.9(WBGene00044013), F15H10.10(WBGene00044014). History of WBGene00008872: Split into ""WBGene00044013"" on 2004-12-03; Split into ""WBGene00044014"" on 2004-12-03"
WBGene00008891,1.0,,,,WBGene00008891,WBGene00008891,History: N.A.
WBGene00008908,1.0,,,,WBGene00008908,WBGene00008908,"History: Split into F17B5.6(WBGene00044058). History of WBGene00008908: Split into ""WBGene00044058"" on 2004-12-22"
WBGene00009077,1.0,,,,WBGene00009077,WBGene00009077,History: N.A.
WBGene00009224,1.0,,,,WBGene00009224,WBGene00009224,History: N.A.
WBGene00005574,1.0,,,,WBGene00005574,WBGene00005574,History: N.A.
WBGene00009395,1.0,,,,WBGene00009395,WBGene00009395,History: N.A.
WBGene00018105,1.0,,,,WBGene00018105,WBGene00018105,"History: Split into F36H5.12(WBGene00206518). History of WBGene00018105: Split into ""WBGene00206518"" on 2011-07-20"
WBGene00018209,1.0,,,,WBGene00018209,WBGene00018209,History: N.A.
WBGene00001696,1.0,,,,WBGene00001696,WBGene00001696,"History: Split into F46H5.11(WBGene00303398). History of WBGene00001696: Split into ""WBGene00303398"" on 2018-07-18"
WBGene00018671,1.0,,,,WBGene00018671,WBGene00018671,History: N.A.
WBGene00009990,1.0,,,,WBGene00009990,WBGene00009990,History: N.A.
WBGene00044385,1.0,,,,WBGene00044385,WBGene00044385,History: N.A.
WBGene00019146,1.0,,,,WBGene00019146,WBGene00019146,History: N.A.
WBGene00010528,1.0,,,,WBGene00010528,WBGene00010528,History: N.A.
WBGene00019524,1.0,,,,WBGene00019524,WBGene00019524,History: N.A.
WBGene00019527,1.0,,,,WBGene00019527,WBGene00019527,History: N.A.
WBGene00019858,1.0,,,,WBGene00019858,WBGene00019858,History: N.A.
WBGene00044548,1.0,,,,WBGene00044548,WBGene00044548,History: N.A.
WBGene00045401,1.0,,,,WBGene00045401,WBGene00045401,History: N.A.
WBGene00012091,1.0,,,,WBGene00012091,WBGene00012091,History: N.A.
WBGene00004275,1.0,,,,WBGene00004275,WBGene00004275,History: N.A.
WBGene00000648,1.0,,,,WBGene00000648,WBGene00000648,History: N.A.
WBGene00021117,1.0,,,,WBGene00021117,WBGene00021117,History: N.A.
WBGene00022454,1.0,,,,WBGene00022454,WBGene00022454,History: N.A.
WBGene00012618,1.0,,,,WBGene00012618,WBGene00012618,History: N.A.
WBGene00012621,1.0,,,,WBGene00012621,WBGene00012621,History: N.A.
WBGene00021496,1.0,,,,WBGene00021496,WBGene00021496,History: N.A.
WBGene00012947,1.0,,,,WBGene00012947,WBGene00012947,History: N.A.
WBGene00021671,1.0,,,,WBGene00021671,WBGene00021671,"History: Split into Y48G1BM.10(WBGene00306121). History of WBGene00021671: Split into ""WBGene00306121"" on 2020-11-10"
WBGene00021731,1.0,,,,WBGene00021731,WBGene00021731,History: N.A.
WBGene00013126,1.0,,,,WBGene00013126,WBGene00013126,History: N.A.
WBGene00013215,1.0,,,,WBGene00013215,WBGene00013215,History: N.A.
WBGene00022215,1.0,,,,WBGene00022215,WBGene00022215,History: N.A.
WBGene00022544,1.0,,,,WBGene00022544,WBGene00022544,History: N.A.
WBGene00022550,1.0,,,,WBGene00022550,WBGene00022550,History: N.A.
WBGene00006953,1.0,,,,WBGene00006953,WBGene00006953,History: N.A.
WBGene00022713,1.0,,,,WBGene00022713,WBGene00022713,History: N.A.
WBGene00015077,1.0,,,,WBGene00015077,WBGene00015077,History: N.A.
WBGene00015152,1.0,,,,WBGene00015152,WBGene00015152,History: N.A.
