# Genes Up in Xrn2 KD Fc >1.5  ( 50 % increase) AND  up in lsm8  mutant FDR<0.05 and Fc>4,,,
# xrn-2 data from: Miki et al.,,,
# genes enriched in H3K27me3,,,
# 81 on 88 genes,,,
# 92.04545455,,,
# 92%,,,
WBGene00015598,Input,Suggested Match,History
WBGene00044206,WBGene00044206,WBGene00044206,History: N.A.
WBGene00005005,WBGene00005005,WBGene00005005,"History: Split into spp-27(WBGene00271815). History of WBGene00005005: Split into ""WBGene00271815"" on 2017-09-21"
WBGene00044687,WBGene00044687,WBGene00044687,History: N.A.
WBGene00017586,WBGene00017586,WBGene00017586,"History: Split into F19B10.13(WBGene00194713). History of WBGene00017586: Split into ""WBGene00194713"" on 2009-08-11"
WBGene00022713,WBGene00022713,WBGene00022713,History: N.A.
WBGene00004002,WBGene00004002,WBGene00004002,History: N.A.
WBGene00009061,WBGene00009061,WBGene00009061,"History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
WBGene00008577,WBGene00008577,WBGene00008577,History: N.A.
WBGene00044212,WBGene00044212,WBGene00044212,History: N.A.
WBGene00001387,WBGene00001387,WBGene00001387,History: N.A.
WBGene00019101,WBGene00019101,WBGene00019101,History: N.A.
WBGene00015602,WBGene00015602,WBGene00015602,History: N.A.
WBGene00008631,WBGene00008631,WBGene00008631,History: N.A.
WBGene00021081,WBGene00021081,WBGene00021081,History: N.A.
WBGene00015077,WBGene00015077,WBGene00015077,History: N.A.
WBGene00015338,WBGene00015338,WBGene00015338,History: N.A.
WBGene00013637,WBGene00013637,WBGene00013637,History: N.A.
WBGene00007660,WBGene00007660,WBGene00007660,History: N.A.
WBGene00003734,WBGene00003734,WBGene00003734,History: N.A.
WBGene00044238,WBGene00044238,WBGene00044238,History: N.A.
WBGene00001397,WBGene00001397,WBGene00001397,History: N.A.
WBGene00018997,WBGene00018997,WBGene00018997,History: Renamed on 2005-03-17
WBGene00044783,WBGene00044783,WBGene00044783,History: N.A.
WBGene00018600,WBGene00018600,WBGene00018600,"History: Split into F48C1.11(WBGene00195179). History of WBGene00018600: Split into ""WBGene00195179"" on 2010-06-23"
WBGene00006175,WBGene00006175,WBGene00006175,History: N.A.
WBGene00015600,WBGene00015600,WBGene00015600,History: N.A.
WBGene00003096,WBGene00003096,WBGene00003096,History: N.A.
WBGene00014173,WBGene00014173,WBGene00014173,History: N.A.
WBGene00018353,WBGene00018353,WBGene00018353,History: N.A.
WBGene00001772,WBGene00001772,WBGene00001772,History: N.A.
WBGene00020747,WBGene00020747,WBGene00020747,History: N.A.
WBGene00050906,WBGene00050906,WBGene00050906,History: N.A.
WBGene00010206,WBGene00010206,WBGene00010206,"History: Split into F57G4.11(WBGene00195165). History of WBGene00010206: Split into ""WBGene00195165"" on 2010-06-03"
WBGene00012961,WBGene00012961,WBGene00012961,History: N.A.
WBGene00017214,WBGene00017214,WBGene00017214,History: N.A.
WBGene00006237,WBGene00006237,WBGene00006237,History: N.A.
WBGene00000556,WBGene00000556,WBGene00000556,History: N.A.
WBGene00019858,WBGene00019858,WBGene00019858,History: N.A.
WBGene00045416,WBGene00045416,WBGene00045416,History: N.A.
WBGene00010124,WBGene00010124,WBGene00010124,History: N.A.
WBGene00015152,WBGene00015152,WBGene00015152,History: N.A.
WBGene00005832,WBGene00005832,WBGene00005832,History: N.A.
WBGene00010821,WBGene00010821,WBGene00010821,History: N.A.
WBGene00045415,WBGene00045415,WBGene00045415,History: N.A.
WBGene00013837,WBGene00013837,WBGene00013837,History: N.A.
WBGene00018601,WBGene00018601,WBGene00018601,History: N.A.
WBGene00022572,WBGene00022572,WBGene00022572,History: N.A.
WBGene00021553,WBGene00021553,WBGene00021553,History: N.A.
