gene,Input,Suggested Match,History
WBGene00001237,WBGene00001237,WBGene00001237,History: N.A.
WBGene00017940,WBGene00017940,,History: Killed on 2012-12-20. Remark: lack of evidence
WBGene00000185,WBGene00000185,WBGene00000185,History: N.A.
WBGene00022209,WBGene00022209,WBGene00022209,History: N.A.
WBGene00013954,WBGene00013954,WBGene00013954,History: N.A.
WBGene00005390,WBGene00005390,WBGene00005390,History: N.A.
WBGene00013630,WBGene00013630,,History: Killed on 2011-05-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00005419,WBGene00005419,WBGene00005419,History: N.A.
WBGene00009296,WBGene00009296,WBGene00009296,History: N.A.
WBGene00005337,WBGene00005337,WBGene00005337,History: N.A.
WBGene00045364,WBGene00045364,WBGene00045364,History: N.A.
WBGene00008981,WBGene00008981,WBGene00008981,History: N.A.
WBGene00005442,WBGene00005442,WBGene00005442,History: N.A.
WBGene00005467,WBGene00005467,WBGene00005467,History: N.A.
WBGene00008983,WBGene00008983,WBGene00008983,History: N.A.
WBGene00019990,WBGene00019990,,History: Suppressed on 2012-09-04. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00008010,WBGene00008010,WBGene00008010,History: N.A.
WBGene00012453,WBGene00012453,WBGene00012453,History: N.A.
WBGene00006236,WBGene00006236,WBGene00006236,History: N.A.
WBGene00007678,WBGene00007678,WBGene00007678,History: N.A.
WBGene00045512,WBGene00045512,,History: Killed on 2011-05-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00005341,WBGene00005341,WBGene00005341,History: N.A.
WBGene00014679,WBGene00014679,WBGene00014679,History: N.A.
WBGene00013953,WBGene00013953,WBGene00013953,History: N.A.
WBGene00013949,WBGene00013949,WBGene00013949,History: N.A.
WBGene00006235,WBGene00006235,WBGene00006235,History: N.A.
WBGene00008984,WBGene00008984,WBGene00008984,History: N.A.
WBGene00007672,WBGene00007672,WBGene00007672,History: N.A.
WBGene00010536,WBGene00010536,WBGene00010536,History: N.A.
WBGene00013944,WBGene00013944,WBGene00013944,History: N.A.
WBGene00005414,WBGene00005414,WBGene00005414,History: N.A.
WBGene00010534,WBGene00010534,WBGene00010534,History: N.A.
WBGene00009298,WBGene00009298,WBGene00009298,History: N.A.
WBGene00013950,WBGene00013950,WBGene00013950,History: N.A.
WBGene00045361,WBGene00045361,WBGene00045361,History: N.A.
WBGene00022217,WBGene00022217,WBGene00022217,"History: Split into fbxa-222(WBGene00045295). History of WBGene00022217: Split into ""WBGene00045295"" on 2007-02-26"
WBGene00017941,WBGene00017941,WBGene00017941,History: N.A.
WBGene00005375,WBGene00005375,WBGene00005375,History: N.A.
WBGene00005581,WBGene00005581,WBGene00005581,History: N.A.
WBGene00013941,WBGene00013941,WBGene00013941,History: N.A.
WBGene00009836,WBGene00009836,WBGene00009836,History: N.A.
WBGene00012080,WBGene00012080,WBGene00012080,"History: Split into T27C5.12(WBGene00044059). History of WBGene00012080: Split into ""WBGene00044059"" on 2004-12-22"
WBGene00009199,WBGene00009199,WBGene00009197,"History: Merged into ""WBGene00009197"" on 2017-09-21"
WBGene00012403,WBGene00012403,WBGene00012403,History: N.A.
WBGene00005819,WBGene00005819,WBGene00005819,History: N.A.
WBGene00013943,WBGene00013943,WBGene00013943,History: N.A.
WBGene00012404,WBGene00012404,WBGene00012404,History: N.A.
WBGene00008014,WBGene00008014,WBGene00008014,History: N.A.
WBGene00005349,WBGene00005349,WBGene00005349,History: N.A.
WBGene00008013,WBGene00008013,WBGene00008013,History: N.A.
WBGene00022219,WBGene00022219,WBGene00022219,History: N.A.
WBGene00005443,WBGene00005443,WBGene00005443,History: N.A.
WBGene00009198,WBGene00009198,WBGene00009197,"History: Merged into ""WBGene00009197"" on 2017-09-21"
WBGene00020599,WBGene00020599,WBGene00020599,History: N.A.
WBGene00013972,WBGene00013972,WBGene00013972,History: Renamed on 2007-11-08
WBGene00005370,WBGene00005370,WBGene00005370,History: N.A.
WBGene00009197,WBGene00009197,WBGene00009197,History: N.A.
WBGene00005371,WBGene00005371,WBGene00005371,History: N.A.
WBGene00008982,WBGene00008982,WBGene00008982,History: N.A.
WBGene00021240,WBGene00021240,,History: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00009572,WBGene00009572,WBGene00009572,History: N.A.
WBGene00013940,WBGene00013940,WBGene00013940,History: N.A.
WBGene00010535,WBGene00010535,WBGene00010535,History: N.A.
WBGene00008574,WBGene00008574,WBGene00008574,History: N.A.
WBGene00013615,WBGene00013615,WBGene00013615,History: N.A.
WBGene00013935,WBGene00013935,WBGene00013935,History: N.A.
WBGene00005944,WBGene00005944,WBGene00005944,History: N.A.
WBGene00008009,WBGene00008009,WBGene00008009,History: N.A.
WBGene00005778,WBGene00005778,WBGene00005778,History: N.A.
WBGene00044100,WBGene00044100,WBGene00044100,History: N.A.
WBGene00009907,WBGene00009907,WBGene00009907,History: N.A.
WBGene00013469,WBGene00013469,WBGene00013469,History: N.A.
WBGene00005334,WBGene00005334,WBGene00005334,History: N.A.
WBGene00017942,WBGene00017942,WBGene00017942,History: N.A.
WBGene00013938,WBGene00013938,WBGene00013938,History: N.A.
WBGene00013832,WBGene00013832,WBGene00013832,History: N.A.
WBGene00009837,WBGene00009837,WBGene00009837,History: N.A.
WBGene00045381,WBGene00045381,WBGene00045381,History: N.A.
WBGene00016487,WBGene00016487,WBGene00016487,History: N.A.
WBGene00022215,WBGene00022215,WBGene00022215,History: N.A.
WBGene00013939,WBGene00013939,WBGene00013939,History: N.A.
WBGene00005328,WBGene00005328,WBGene00005328,History: N.A.
WBGene00011209,WBGene00011209,WBGene00011209,History: N.A.
WBGene00005578,WBGene00005578,WBGene00005578,History: N.A.
WBGene00013971,WBGene00013971,WBGene00013971,History: Renamed on 2007-11-08
WBGene00008702,WBGene00008702,WBGene00008702,History: N.A.
WBGene00044892,WBGene00044892,WBGene00044892,History: N.A.
WBGene00005582,WBGene00005582,WBGene00005582,History: N.A.
WBGene00013061,WBGene00013061,WBGene00013061,History: N.A.
WBGene00005396,WBGene00005396,WBGene00005396,History: N.A.
WBGene00008898,WBGene00008898,WBGene00008898,History: N.A.
WBGene00008012,WBGene00008012,WBGene00008012,History: N.A.
WBGene00012083,WBGene00012083,WBGene00012083,History: N.A.
WBGene00007723,WBGene00007723,WBGene00007723,History: N.A.
WBGene00013973,WBGene00013973,WBGene00013973,"History: Split into asp-19(WBGene00077655). History of WBGene00013973: Split into ""WBGene00077655"" on 2008-02-22"
WBGene00009906,WBGene00009906,WBGene00009906,History: N.A.
WBGene00008703,WBGene00008703,WBGene00008703,History: N.A.
WBGene00044059,WBGene00044059,WBGene00044059,History: N.A.
WBGene00012081,WBGene00012081,WBGene00012081,History: N.A.
WBGene00007674,WBGene00007674,WBGene00007674,"History: Split into C18D4.12(WBGene00219493). History of WBGene00007674: Split into ""WBGene00219493"" on 2012-05-18"
WBGene00011212,WBGene00011212,WBGene00011212,History: N.A.
WBGene00007677,WBGene00007677,WBGene00007677,History: N.A.
WBGene00008017,WBGene00008017,WBGene00008017,"History: Split into fbxa-175(WBGene00045293). History of WBGene00008017: Split into ""WBGene00045293"" on 2007-02-26"
WBGene00012491,WBGene00012491,WBGene00012491,History: N.A.
WBGene00008698,WBGene00008698,WBGene00008698,History: N.A.
WBGene00009195,WBGene00009195,WBGene00009195,History: N.A.
