# genes enriched in H3K27me3
# 2706 on 4864 genes
# 55.6332237
# 56%
gene,Input,Suggested Match,History
WBGene00013711,WBGene00013711,WBGene00013711,History: N.A.
WBGene00016915,WBGene00016915,WBGene00016915,History: N.A.
WBGene00006167,WBGene00006167,WBGene00006167,History: N.A.
WBGene00005541,WBGene00005541,WBGene00005541,History: N.A.
WBGene00020290,WBGene00020290,WBGene00020290,History: N.A.
WBGene00016196,WBGene00016196,WBGene00016196,History: N.A.
WBGene00006189,WBGene00006189,WBGene00006189,History: N.A.
WBGene00018616,WBGene00018616,WBGene00018616,History: N.A.
WBGene00016436,WBGene00016436,WBGene00016436,History: N.A.
WBGene00018434,WBGene00018434,WBGene00018434,History: N.A.
WBGene00009169,WBGene00009169,WBGene00009169,History: N.A.
WBGene00016619,WBGene00016619,WBGene00016619,History: N.A.
WBGene00003534,WBGene00003534,WBGene00003534,History: N.A.
WBGene00006555,WBGene00006555,WBGene00006555,History: N.A.
WBGene00005841,WBGene00005841,WBGene00005841,History: N.A.
WBGene00005268,WBGene00005268,WBGene00005268,History: N.A.
WBGene00017965,WBGene00017965,WBGene00017965,History: N.A.
WBGene00021049,WBGene00021049,WBGene00021049,History: N.A.
WBGene00011833,WBGene00011833,WBGene00011833,History: N.A.
WBGene00020439,WBGene00020439,WBGene00020439,"History: Split into T12A2.21(WBGene00305999). History of WBGene00020439: Split into ""WBGene00305999"" on 2020-01-20"
WBGene00044773,WBGene00044773,WBGene00044773,History: N.A.
WBGene00013229,WBGene00013229,,History: Killed on 2008-08-26; Suppressed on 2012-11-26. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00012648,WBGene00012648,WBGene00012648,History: N.A.
WBGene00004001,WBGene00004001,WBGene00004001,History: N.A.
WBGene00001066,WBGene00001066,WBGene00001066,History: N.A.
WBGene00010469,WBGene00010469,WBGene00010469,History: N.A.
WBGene00011958,WBGene00011958,WBGene00011958,History: N.A.
WBGene00045195,WBGene00045195,WBGene00045195,History: N.A.
WBGene00012952,WBGene00012952,WBGene00012952,History: N.A.
WBGene00017843,WBGene00017843,WBGene00017843,History: N.A.
WBGene00000034,WBGene00000034,WBGene00000034,History: N.A.
WBGene00012467,WBGene00012467,WBGene00012467,History: N.A.
