# 147 genes,
WORMBASE_GENE_ID,Name,Input,Suggested Match,History
WBGene00044081,hypothetical protein(D1086.11),WBGene00044081,WBGene00044081,History: N.A.
WBGene00012961,hypothetical protein(Y47H10A.5),WBGene00012961,WBGene00012961,History: N.A.
WBGene00044687,hypothetical protein(B0563.9),WBGene00044687,WBGene00044687,History: N.A.
WBGene00012547,hypothetical protein(Y37D8A.5),WBGene00012547,WBGene00012547,History: N.A.
WBGene00017265,SNAPc (Small Nuclear RNA Activating Complex) homolog(snpc-1.3),WBGene00017265,WBGene00017265,History: N.A.
WBGene00044547,hypothetical protein(C13A2.12),WBGene00044547,WBGene00044547,History: N.A.
WBGene00001712,GRound-Like (grd related)(grl-3),WBGene00001712,WBGene00001712,History: N.A.
WBGene00000676,COLlagen(col-102),WBGene00000676,WBGene00000676,History: N.A.
WBGene00001729,GRound-Like (grd related)(grl-20),WBGene00001729,WBGene00001729,History: N.A.
WBGene00016658,hypothetical protein(C45B2.1),WBGene00016658,WBGene00016658,History: N.A.
WBGene00021727,BTB and MATH domain containing(bath-23),WBGene00021727,WBGene00021727,History: N.A.
WBGene00013837,F-box A protein(fbxa-30),WBGene00013837,WBGene00013837,History: N.A.
WBGene00019550,hypothetical protein(K09C4.5),WBGene00019550,WBGene00019550,History: N.A.
WBGene00000620,COLlagen(col-43),WBGene00000620,WBGene00000620,History: N.A.
WBGene00018601,hypothetical protein(F48C1.9),WBGene00018601,WBGene00018601,History: N.A.
WBGene00017214,hypothetical protein(F07E5.9),WBGene00017214,WBGene00017214,History: N.A.
WBGene00019134,hypothetical protein(F59H6.3),WBGene00019134,WBGene00019134,History: N.A.
WBGene00018353,F-box A protein(fbxa-182),WBGene00018353,WBGene00018353,History: N.A.
WBGene00043065,hypothetical protein(C55C3.7),WBGene00043065,WBGene00043065,History: N.A.
WBGene00009431,"DAF-16/FOXO Controlled, germline Tumor affecting(dct-17)",WBGene00009431,WBGene00009431,History: N.A.
WBGene00009430,hypothetical protein(F35E12.6),WBGene00009430,WBGene00009430,History: N.A.
WBGene00000736,COLlagen(col-163),WBGene00000736,WBGene00000736,History: N.A.
WBGene00000731,COLlagen(col-158),WBGene00000731,WBGene00000731,History: N.A.
WBGene00009892,SCP-Like extracellular protein(scl-11),WBGene00009892,WBGene00009892,History: N.A.
WBGene00043743,hypothetical protein(Y59E9AL.2),WBGene00043743,WBGene00043743,History: Killed on 2004-10-04; Resurrected on 2005-06-22
WBGene00015725,hypothetical protein(C13A2.9),WBGene00015725,WBGene00015725,History: N.A.
WBGene00015223,hypothetical protein(B0507.6),WBGene00015223,WBGene00015223,"History: Split into B0507.15(WBGene00202499). History of WBGene00015223: Split into ""WBGene00202499"" on 2010-10-29"
WBGene00022083,hypothetical protein(Y69A2AR.12),WBGene00022083,WBGene00022083,History: N.A.
WBGene00015723,hypothetical protein(C13A2.6),WBGene00015723,WBGene00015723,History: N.A.
WBGene00000659,COLlagen(col-84),WBGene00000659,WBGene00000659,History: N.A.
WBGene00000758,COLlagen(col-185),WBGene00000758,WBGene00000758,History: N.A.
WBGene00044293,hypothetical protein(K08D12.7),WBGene00044293,WBGene00044293,History: N.A.
WBGene00007682,hypothetical protein(C18D11.6),WBGene00007682,WBGene00007682,History: N.A.
WBGene00015598,F-box A protein(fbxa-163),WBGene00015598,WBGene00015598,History: N.A.
WBGene00022497,hypothetical protein(Y119D3B.21),WBGene00022497,WBGene00022497,History: N.A.
WBGene00000688,COLlagen(col-114),WBGene00000688,WBGene00000688,History: N.A.
WBGene00019016,hypothetical protein(F57F4.2),WBGene00019016,WBGene00019016,History: N.A.
WBGene00022674,hypothetical protein(ZK177.9),WBGene00022674,WBGene00022674,History: N.A.
WBGene00015759,hypothetical protein(C14C6.5),WBGene00015759,WBGene00015759,History: N.A.
WBGene00019101,hypothetical protein(F59B1.10),WBGene00019101,WBGene00019101,History: N.A.
WBGene00000756,COLlagen(col-183),WBGene00000756,WBGene00000756,History: N.A.
WBGene00019178,SCP-Like extracellular protein(scl-12),WBGene00019178,WBGene00019178,History: N.A.
WBGene00018997,hypothetical protein(F57B9.3),WBGene00018997,WBGene00018997,History: Renamed on 2005-03-17
WBGene00000851,Cuticlin-1(cut-1),WBGene00000851,WBGene00000851,History: N.A.
WBGene00010007,hypothetical protein(F53H4.2),WBGene00010007,WBGene00010007,History: N.A.
WBGene00016327,hypothetical protein(C32E12.1),WBGene00016327,WBGene00016327,History: N.A.
WBGene00000614,COLlagen(col-37),WBGene00000614,WBGene00000614,History: N.A.
WBGene00014259,hypothetical protein(ZK1320.11),WBGene00014259,WBGene00014259,History: N.A.
WBGene00016063,DEgenerin Linked to Mechanosensation(delm-2),WBGene00016063,WBGene00016063,History: N.A.
WBGene00019379,hypothetical protein(K04A8.10),WBGene00019379,WBGene00019379,History: N.A.
WBGene00005005,SaPosin-like Protein family(spp-20),WBGene00005005,WBGene00005005,"History: Split into spp-27(WBGene00271815). History of WBGene00005005: Split into ""WBGene00271815"" on 2017-09-21"
WBGene00001397,Delta(9)-fatty-acid desaturase fat-5(fat-5),WBGene00001397,WBGene00001397,History: N.A.
WBGene00044206,hypothetical protein(T26H5.9),WBGene00044206,WBGene00044206,History: N.A.
WBGene00018223,BTB and MATH domain containing(bath-13),WBGene00018223,WBGene00018223,History: N.A.
WBGene00021964,hypothetical protein(Y57E12B.4),WBGene00021964,WBGene00021964,History: N.A.
WBGene00009429,hypothetical protein(F35E12.5),WBGene00009429,WBGene00009429,History: N.A.
WBGene00009572,hypothetical protein(F40D4.13),WBGene00009572,WBGene00009572,History: N.A.
WBGene00018050,C-type LECtin(clec-139),WBGene00018050,WBGene00018050,History: N.A.
WBGene00015152,hypothetical protein(B0348.2),WBGene00015152,WBGene00015152,History: N.A.
WBGene00006237,Seven TM Receptor(str-204),WBGene00006237,WBGene00006237,History: N.A.
WBGene00017335,hypothetical protein(F10D2.10),WBGene00017335,WBGene00017335,History: N.A.
WBGene00001399,Delta(9)-fatty-acid desaturase fat-7(fat-7),WBGene00001399,WBGene00001399,History: N.A.
WBGene00022751,hypothetical protein(ZK484.5),WBGene00022751,WBGene00022751,History: N.A.
WBGene00044238,hypothetical protein(C30H6.12),WBGene00044238,WBGene00044238,History: N.A.
WBGene00003545,Zinc metalloproteinase nas-27(nas-27),WBGene00003545,WBGene00003545,History: N.A.
WBGene00001726,GRound-Like (grd related)(grl-17),WBGene00001726,WBGene00001726,History: N.A.
WBGene00022848,hypothetical protein(ZK1055.7),WBGene00022848,WBGene00022848,History: N.A.
WBGene00022847,hypothetical protein(ZK1055.6),WBGene00022847,WBGene00022847,History: N.A.
WBGene00006039,Sperm-specific class P protein 10(ssp-10),WBGene00006039,WBGene00006039,History: N.A.
WBGene00004172,Prion-like-(Q/N-rich)-domain-bearing protein(pqn-92),WBGene00004172,WBGene00004172,"History: Split into Y75B8A.39(WBGene00023483). History of WBGene00004172: Split into ""WBGene00023483"" on 2004-08-11"
WBGene00011801,hypothetical protein(T16G1.7),WBGene00011801,WBGene00011801,History: N.A.
WBGene00009061,hypothetical protein(F22G12.1),WBGene00009061,WBGene00009061,"History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
WBGene00019659,hypothetical protein(K11H12.3),WBGene00019659,WBGene00019659,History: N.A.
WBGene00000617,Cuticle collagen 40(col-40),WBGene00000617,WBGene00000617,History: N.A.
WBGene00008698,hypothetical protein(F11D11.3),WBGene00008698,WBGene00008698,History: N.A.
WBGene00015295,Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase acl-12(acl-12),WBGene00015295,WBGene00015295,History: N.A.
WBGene00001718,GRound-Like (grd related)(grl-9),WBGene00001718,WBGene00001718,History: N.A.
WBGene00000621,COLlagen(col-44),WBGene00000621,WBGene00000621,History: N.A.
WBGene00001481,Feminization Of Germline(fog-1),WBGene00001481,WBGene00001481,History: N.A.
WBGene00010124,hypothetical protein(F55G11.4),WBGene00010124,WBGene00010124,History: N.A.
WBGene00000737,COLlagen(col-164),WBGene00000737,WBGene00000737,History: N.A.
WBGene00019179,SCP-Like extracellular protein(scl-13),WBGene00019179,WBGene00019179,History: N.A.
WBGene00005586,"Serpentine Receptor, class I(sri-74)",WBGene00005586,WBGene00005586,History: N.A.
WBGene00021996,hypothetical protein(Y59E9AL.6),WBGene00021996,WBGene00021996,History: N.A.
WBGene00000613,COLlagen(col-36),WBGene00000613,WBGene00000613,History: N.A.
WBGene00008631,hypothetical protein(F10A3.1),WBGene00008631,WBGene00008631,History: N.A.
WBGene00018600,hypothetical protein(F48C1.8),WBGene00018600,WBGene00018600,"History: Split into F48C1.11(WBGene00195179). History of WBGene00018600: Split into ""WBGene00195179"" on 2010-06-23"
WBGene00044589,hypothetical protein(C29F5.8),WBGene00044589,WBGene00044589,History: N.A.
WBGene00007454,hypothetical protein(C08F11.7),WBGene00007454,WBGene00007454,History: N.A.
WBGene00022653,hypothetical protein(ZK105.1),WBGene00022653,WBGene00022653,History: N.A.
WBGene00013586,hypothetical protein(Y80D3A.8),WBGene00013586,WBGene00013586,History: N.A.
WBGene00000622,COLlagen(col-45),WBGene00000622,WBGene00000622,History: N.A.
WBGene00001728,GRound-Like (grd related)(grl-19),WBGene00001728,WBGene00001728,History: N.A.
WBGene00012294,"Nematode Specific Peptide family, group A(nspa-8)",WBGene00012294,WBGene00012294,History: N.A.
WBGene00003096,LYSozyme(lys-7),WBGene00003096,WBGene00003096,History: N.A.
WBGene00044379,hypothetical protein(F40H7.12),WBGene00044379,WBGene00044379,History: N.A.
WBGene00050906,hypothetical protein(F20E11.17),WBGene00050906,WBGene00050906,History: N.A.
WBGene00008862,hypothetical protein(F15D4.5),WBGene00008862,WBGene00008862,History: N.A.
WBGene00000697,COLlagen(col-123),WBGene00000697,WBGene00000697,History: N.A.
WBGene00016450,C-type LECtin(clec-5),WBGene00016450,WBGene00016450,History: N.A.
WBGene00000628,COLlagen(col-51),WBGene00000628,WBGene00000628,History: N.A.
WBGene00014173,hypothetical protein(ZK970.7),WBGene00014173,WBGene00014173,History: N.A.
WBGene00000627,COLlagen(col-50),WBGene00000627,WBGene00000627,History: N.A.
WBGene00006419,O-ACyltransferase homolog(oac-39),WBGene00006419,WBGene00006419,History: Renamed on 2008-07-18
WBGene00015602,F-box A protein(fbxa-158),WBGene00015602,WBGene00015602,History: N.A.
WBGene00016425,hypothetical protein(C34H4.2),WBGene00016425,WBGene00016425,History: N.A.
WBGene00000612,COLlagen(col-35),WBGene00000612,WBGene00000612,History: N.A.
WBGene00044441,hypothetical protein(Y119C1B.11),WBGene00044441,WBGene00044441,History: N.A.
WBGene00008577,hypothetical protein(F08G2.5),WBGene00008577,WBGene00008577,History: N.A.
WBGene00013637,hypothetical protein(Y105C5A.13),WBGene00013637,WBGene00013637,History: N.A.
WBGene00017586,hypothetical protein(F19B10.4),WBGene00017586,WBGene00017586,"History: Split into F19B10.13(WBGene00194713). History of WBGene00017586: Split into ""WBGene00194713"" on 2009-08-11"
WBGene00012757,hypothetical protein(Y41C4A.11),WBGene00012757,WBGene00012757,"History: Split into Y41C4A.32(WBGene00270321). History of WBGene00012757: Split into ""WBGene00270321"" on 2016-08-31"
WBGene00001734,GRound-Like (grd related)(grl-25),WBGene00001734,WBGene00001734,History: N.A.
WBGene00016673,hypothetical protein(C45G9.1),WBGene00016673,WBGene00016673,History: N.A.
WBGene00011172,hypothetical protein(R09E10.2),WBGene00011172,WBGene00011172,History: N.A.
WBGene00022561,BTB (Broad/complex/Tramtrack/Bric a brac) domain protein(btb-13),WBGene00022561,WBGene00022561,History: N.A.
WBGene00008097,UDP-glucuronosyltransferase(ugt-15),WBGene00008097,WBGene00008097,History: N.A.
WBGene00001437,Putative forkhead-related transcription factor fkh-5(fkh-5),WBGene00001437,WBGene00001437,History: N.A.
WBGene00020472,LIPaSe related(lips-11),WBGene00020472,WBGene00020472,History: N.A.
WBGene00012781,"Nematode Specific Peptide family, group D(nspd-7)",WBGene00012781,WBGene00012781,History: N.A.
WBGene00010821,hypothetical protein(M01G12.7),WBGene00010821,WBGene00010821,History: N.A.
WBGene00021703,Carnitine Palmitoyl Transferase(cpt-3),WBGene00021703,WBGene00021703,History: N.A.
WBGene00009964,Fungus-Induced Protein(fip-6),WBGene00009964,WBGene00009964,History: N.A.
WBGene00007153,C-type LECtin(clec-41),WBGene00007153,WBGene00007153,History: N.A.
WBGene00006533,"TuBulin, Alpha(tba-7)",WBGene00006533,WBGene00006533,History: N.A.
WBGene00020579,hypothetical protein(T19D12.4),WBGene00020579,WBGene00020579,History: N.A.
WBGene00004186,vertebrate Pre-mRNA Processing Factor(prpf-4),WBGene00004186,WBGene00004186,History: Renamed on 2007-02-23; Renamed on 2015-03-05
WBGene00045416,hypothetical protein(Y37H2A.14),WBGene00045416,WBGene00045416,History: N.A.
WBGene00016760,hypothetical protein(C49A9.6),WBGene00016760,WBGene00016760,History: N.A.
WBGene00017095,hypothetical protein(E02C12.10),WBGene00017095,WBGene00017095,"History: Split into E02C12.19(WBGene00271797). History of WBGene00017095: Split into ""WBGene00271797"" on 2017-09-21"
WBGene00010899,hypothetical protein(M28.8),WBGene00010899,WBGene00010899,History: N.A.
WBGene00007765,hypothetical protein(C27B7.9),WBGene00007765,WBGene00007765,History: N.A.
WBGene00018696,intestinal acid PHOsphatase(pho-6),WBGene00018696,WBGene00018696,History: N.A.
WBGene00001732,GRound-Like (grd related)(grl-23),WBGene00001732,WBGene00001732,History: N.A.
WBGene00001387,Fatty Acid/Retinol binding protein(far-3),WBGene00001387,WBGene00001387,History: N.A.
WBGene00000593,Cuticle collagen 2(col-2),WBGene00000593,WBGene00000593,History: N.A.
WBGene00004002,P-GlycoProtein related(pgp-8),WBGene00004002,WBGene00004002,History: N.A.
WBGene00019858,hypothetical protein(R03H10.6),WBGene00019858,WBGene00019858,History: N.A.
WBGene00001772,Glutathione S-Transferase(gst-24),WBGene00001772,WBGene00001772,History: N.A.
WBGene00000841,Cullin-6(cul-6),WBGene00000841,WBGene00000841,History: N.A.
WBGene00007660,hypothetical protein(C17H1.7),WBGene00007660,WBGene00007660,History: N.A.
WBGene00017592,hypothetical protein(F19C7.2),WBGene00017592,WBGene00017592,History: N.A.
WBGene00000660,COLlagen(col-85),WBGene00000660,WBGene00000660,History: N.A.
WBGene00018225,,WBGene00018225,WBGene00018225,History: N.A.
WBGene00015077,,WBGene00015077,WBGene00015077,History: N.A.
WBGene00013065,,WBGene00013065,WBGene00007440,"History: Merged into ""WBGene00007440"" on 2008-07-18"
WBGene00009104,,WBGene00009104,WBGene00009104,History: N.A.
