gene,Input,Suggested Match,History
WBGene00000718,WBGene00000718,WBGene00000718,History: N.A.
WBGene00015392,WBGene00015392,WBGene00015392,History: N.A.
WBGene00001564,WBGene00001564,WBGene00001564,History: Renamed on 2010-11-16
WBGene00015623,WBGene00015623,WBGene00015623,History: N.A.
WBGene00005183,WBGene00005183,WBGene00005183,History: N.A.
WBGene00002026,WBGene00002026,WBGene00002026,History: N.A.
WBGene00044580,WBGene00044580,WBGene00044580,History: N.A.
WBGene00016168,WBGene00016168,WBGene00016168,History: N.A.
WBGene00004084,WBGene00004084,WBGene00004084,History: N.A.
WBGene00016410,WBGene00016410,WBGene00016410,History: N.A.
WBGene00007961,WBGene00007961,WBGene00007961,History: N.A.
WBGene00005309,WBGene00005309,WBGene00005309,History: N.A.
WBGene00008097,WBGene00008097,WBGene00008097,History: N.A.
WBGene00001944,WBGene00001944,WBGene00001944,History: N.A.
WBGene00017414,WBGene00017414,WBGene00017414,History: N.A.
WBGene00077766,WBGene00077766,WBGene00077766,History: N.A.
WBGene00194674,WBGene00194674,WBGene00194674,History: N.A.
WBGene00009221,WBGene00009221,WBGene00009221,History: N.A.
WBGene00189954,WBGene00189954,WBGene00189954,History: N.A.
WBGene00018291,WBGene00018291,WBGene00018291,History: N.A.
WBGene00009691,WBGene00009691,WBGene00009691,History: N.A.
WBGene00009692,WBGene00009692,WBGene00009692,History: N.A.
WBGene00009753,WBGene00009753,WBGene00009753,History: N.A.
WBGene00044691,WBGene00044691,WBGene00044691,History: N.A.
WBGene00009892,WBGene00009892,WBGene00009892,History: N.A.
WBGene00018938,WBGene00018938,WBGene00018938,History: N.A.
WBGene00044471,WBGene00044471,WBGene00044471,History: N.A.
WBGene00044385,WBGene00044385,WBGene00044385,History: N.A.
WBGene00044201,WBGene00044201,WBGene00044201,History: N.A.
WBGene00003629,WBGene00003629,WBGene00003629,History: N.A.
WBGene00045198,WBGene00045198,WBGene00045198,History: N.A.
WBGene00045338,WBGene00045338,WBGene00045338,History: N.A.
WBGene00019730,WBGene00019730,WBGene00019730,History: N.A.
WBGene00011052,WBGene00011052,WBGene00011052,History: N.A.
WBGene00011325,WBGene00011325,WBGene00011325,History: N.A.
WBGene00020240,WBGene00020240,WBGene00020240,History: N.A.
WBGene00000719,WBGene00000719,WBGene00000719,History: N.A.
WBGene00011666,WBGene00011666,WBGene00011666,History: N.A.
WBGene00006076,WBGene00006076,WBGene00006076,History: N.A.
WBGene00012050,WBGene00012050,WBGene00012050,History: N.A.
WBGene00020882,WBGene00020882,WBGene00020882,History: N.A.
WBGene00020946,WBGene00020946,WBGene00020946,History: N.A.
WBGene00013775,WBGene00013775,WBGene00013775,History: N.A.
WBGene00012587,WBGene00012587,WBGene00012587,History: N.A.
WBGene00002018,WBGene00002018,WBGene00002018,History: N.A.
WBGene00002016,WBGene00002016,WBGene00002016,History: N.A.
WBGene00012959,WBGene00012959,WBGene00012959,History: N.A.
WBGene00013071,WBGene00013071,WBGene00013071,History: N.A.
WBGene00021977,WBGene00021977,WBGene00021977,History: N.A.
WBGene00021978,WBGene00021978,WBGene00021978,History: N.A.
WBGene00013371,WBGene00013371,WBGene00013371,History: N.A.
WBGene00012398,WBGene00012398,WBGene00012398,History: N.A.
WBGene00045398,WBGene00045398,WBGene00045398,History: N.A.
WBGene00003082,WBGene00003082,WBGene00003082,History: N.A.
WBGene00022546,WBGene00022546,WBGene00022546,History: N.A.
WBGene00007036,WBGene00007036,WBGene00007036,History: N.A.
WBGene00022746,WBGene00022746,WBGene00022746,History: N.A.
WBGene00014047,WBGene00014047,WBGene00014047,History: N.A.
