# Table S11. Small RNAs significantly upregulated 1.3 fold or greater in mut-16(pk710) gonads.
# * mean reads across all libraries
class,gene_id,public_name,baseMean*,fold_change,pvalue_adj,Input,Suggested Match,History
piRNA,21ur-8542,21ur-8542,5.38802860629423,36.292,0.0005948776868537,21ur-8542,WBGene00171134,Public name for WBGene00171134. History: N.A.
piRNA,21ur-545,21ur-545,12.3896820450306,30.912,0.0003638705785664,21ur-545,WBGene00047871,Public name for WBGene00047871. History: N.A.
piRNA,21ur-12741,21ur-12741,5.33915381698636,29.9151,0.0021923238450339,21ur-12741,WBGene00170435,Public name for WBGene00170435. History: N.A.
piRNA,21ur-10496,21ur-10496,4.39717059209792,27.4861,0.0041353166739431,21ur-10496,WBGene00170708,Public name for WBGene00170708. History: N.A.
piRNA,21ur-9506,21ur-9506,2.99640571956958,26.9078,0.032160613616536,21ur-9506,WBGene00168272,Public name for WBGene00168272. History: N.A.
piRNA,21ur-2103,21ur-2103,2.76772292375679,26.7652,0.0018693018121849,21ur-2103,WBGene00050576,Public name for WBGene00050576. History: N.A.
piRNA,21ur-5200,21ur-5200,2.00780258565655,25.2574,0.0095552205124119,21ur-5200,WBGene00049856,Public name for WBGene00049856. History: N.A.
piRNA,21ur-6379,21ur-6379,9.84743243899397,24.1084,0.0015619900078041,21ur-6379,WBGene00170837,Public name for WBGene00170837. History: N.A.
piRNA,21ur-1796,21ur-1796,10.5582076195896,22.4106,0.0013149730920497,21ur-1796,WBGene00048157,Public name for WBGene00048157. History: N.A.
piRNA,21ur-7077,21ur-7077,6.02983355764067,22.374,0.0107458384947849,21ur-7077,WBGene00170247,Public name for WBGene00170247. History: N.A.
piRNA,21ur-598,21ur-598,6.27398457245107,22.3298,0.0043733764599054,21ur-598,WBGene00049238,Public name for WBGene00049238. History: N.A.
piRNA,21ur-13990,21ur-13990,2.70030527025453,20.613,0.0103007475870402,21ur-13990,WBGene00174939,Public name for WBGene00174939. History: N.A.
piRNA,21ur-2426,21ur-2426,1.96315136091405,20.5886,0.049425159630864,21ur-2426,WBGene00047467,Public name for WBGene00047467. History: N.A.
piRNA,21ur-9254,21ur-9254,7.14844509619541,19.569,0.0059472391241838,21ur-9254,WBGene00166429,Public name for WBGene00166429. History: N.A.
piRNA,21ur-7942,21ur-7942,1.87544453963922,19.4811,0.0148508042072933,21ur-7942,WBGene00166851,Public name for WBGene00166851. History: N.A.
piRNA,21ur-387,21ur-387,2.35612460494094,19.4648,0.0170597645277056,21ur-387,WBGene00047439,Public name for WBGene00047439. History: N.A.
piRNA,21ur-1572,21ur-1572,9.05753446937477,19.1416,0.0034917638179944,21ur-1572,WBGene00045645,Public name for WBGene00045645. History: N.A.
piRNA,21ur-12378,21ur-12378,5.94053304125195,19.1154,0.0055365490228902,21ur-12378,WBGene00169777,Public name for WBGene00169777. History: N.A.
piRNA,21ur-6445,21ur-6445,8.51005179402125,18.7354,0.0031340544774933,21ur-6445,WBGene00170352,Public name for WBGene00170352. History: N.A.
piRNA,21ur-10052,21ur-10052,14.3650661537833,18.6258,0.0011903662872466,21ur-10052,WBGene00173637,Public name for WBGene00173637. History: N.A.
piRNA,21ur-6695,21ur-6695,2.16001114757416,18.1835,0.0248289389833112,21ur-6695,WBGene00168979,Public name for WBGene00168979. History: N.A.
piRNA,21ur-13120,21ur-13120,2.98578742397199,18.0696,0.0317200634205047,21ur-13120,WBGene00171430,Public name for WBGene00171430. History: N.A.
piRNA,21ur-15022,21ur-15022,1.97038137152646,18.0209,0.0383312788238572,21ur-15022,WBGene00167539,Public name for WBGene00167539. History: N.A.
piRNA,21ur-8063,21ur-8063,2.50447811881044,17.4454,0.0158230615010529,21ur-8063,WBGene00171437,Public name for WBGene00171437. History: N.A.
piRNA,21ur-8113,21ur-8113,7.28494463014687,17.2257,0.0051162935073345,21ur-8113,WBGene00165364,Public name for WBGene00165364. History: N.A.
piRNA,21ur-6489,21ur-6489,4.0544014689483,16.9791,0.0185241365541813,21ur-6489,WBGene00174667,Public name for WBGene00174667. History: N.A.
piRNA,21ur-8231,21ur-8231,5.04307755349467,16.925,0.013826771355674,21ur-8231,WBGene00169747,Public name for WBGene00169747. History: N.A.
piRNA,21ur-13522,21ur-13522,1.97443733573045,16.7816,0.0136006162087633,21ur-13522,WBGene00173954,Public name for WBGene00173954. History: N.A.
piRNA,21ur-13894,21ur-13894,2.02388460843577,16.7557,0.0155419024141742,21ur-13894,WBGene00170020,Public name for WBGene00170020. History: N.A.
piRNA,21ur-4666,21ur-4666,4.95248406713773,16.6078,0.0064927814934765,21ur-4666,WBGene00050263,Public name for WBGene00050263. History: N.A.
piRNA,21ur-10954,21ur-10954,7.13837708177458,16.3928,0.015787740414651,21ur-10954,WBGene00166957,Public name for WBGene00166957. History: N.A.
piRNA,21ur-901,21ur-901,6.40288102776426,16.1475,0.0061724803948927,21ur-901,WBGene00049525,Public name for WBGene00049525. History: N.A.
piRNA,21ur-11689,21ur-11689,6.40288102776426,16.1475,0.0061724803948927,21ur-11689,WBGene00167954,Public name for WBGene00167954. History: N.A.
piRNA,21ur-14395,21ur-14395,2.21586564437387,15.1393,0.0361051794178513,21ur-14395,WBGene00170858,Public name for WBGene00170858. History: N.A.
piRNA,21ur-2785,21ur-2785,2.24690335947972,15.056,0.0293162115606931,21ur-2785,WBGene00047754,Public name for WBGene00047754. History: N.A.
piRNA,21ur-14038,21ur-14038,7.38643551306034,14.9036,0.0083540605866246,21ur-14038,WBGene00171216,Public name for WBGene00171216. History: N.A.
piRNA,21ur-1038,21ur-1038,2.10263932137731,14.8309,0.0289448900707874,21ur-1038,WBGene00046255,Public name for WBGene00046255. History: N.A.
piRNA,21ur-10743,21ur-10743,6.88907781567591,14.8053,0.0025941634827166,21ur-10743,WBGene00169297,Public name for WBGene00169297. History: N.A.
piRNA,21ur-3568,21ur-3568,2.26660825932536,14.7403,0.0219935524336257,21ur-3568,WBGene00048151,Public name for WBGene00048151. History: N.A.
piRNA,21ur-5223,21ur-5223,4.34528580114075,14.65,0.0090585585552811,21ur-5223,WBGene00045694,Public name for WBGene00045694. History: N.A.
csr,F58H1.5,F58H1.5,1.79335411199067,14.6017,0.0260647240000932,F58H1.5,WBGene00010288,Public name for WBGene00010288. History: N.A.
csr,K03A11.1,K03A11.1,2.53244088323611,14.4467,0.0271291115382828,K03A11.1,WBGene00010519,Public name for WBGene00010519. History: N.A.
piRNA,21ur-2748,21ur-2748,3.72211141025495,14.3649,0.0355322619704451,21ur-2748,WBGene00050287,Public name for WBGene00050287. History: N.A.
piRNA,21ur-5583,21ur-5583,8.68729126076587,14.2896,0.0113262310891033,21ur-5583,WBGene00166929,Public name for WBGene00166929. History: N.A.
piRNA,21ur-3270,21ur-3270,14.72678598112,14.2274,0.0103770318688575,21ur-3270,WBGene00048266,Public name for WBGene00048266. History: N.A.
piRNA,21ur-2287,21ur-2287,3.37785656389851,14.1919,0.0164969887711575,21ur-2287,WBGene00050241,Public name for WBGene00050241. History: N.A.
piRNA,21ur-10149,21ur-10149,2.21458914088058,14.1779,0.0212654545983322,21ur-10149,WBGene00168454,Public name for WBGene00168454. History: N.A.
piRNA,21ur-9412,21ur-9412,2.8515587634402,14.0609,0.0192367681455122,21ur-9412,WBGene00170312,Public name for WBGene00170312. History: N.A.
piRNA,21ur-10190,21ur-10190,3.0159541686826,14.0144,0.0298851259659155,21ur-10190,WBGene00174761,Public name for WBGene00174761. History: N.A.
piRNA,21ur-931,21ur-931,6.81071769576399,13.895,0.0120943658697397,21ur-931,WBGene00050483,Public name for WBGene00050483. History: N.A.
piRNA,21ur-10939,21ur-10939,2.09239312477625,13.8853,0.0473619367158801,21ur-10939,WBGene00174596,Public name for WBGene00174596. History: N.A.
piRNA,21ur-11521,21ur-11521,2.01618936073735,13.7384,0.0263524049120779,21ur-11521,WBGene00166301,Public name for WBGene00166301. History: N.A.
piRNA,21ur-9392,21ur-9392,6.54378624609288,13.6455,0.0197594681243368,21ur-9392,WBGene00167173,Public name for WBGene00167173. History: N.A.
piRNA,21ur-11263,21ur-11263,8.62205444048469,13.5731,0.0092047513686445,21ur-11263,WBGene00168485,Public name for WBGene00168485. History: N.A.
piRNA,21ur-8015,21ur-8015,2.61017056356869,13.5374,0.0167122149832248,21ur-8015,WBGene00170101,Public name for WBGene00170101. History: N.A.
piRNA,21ur-71,21ur-71,2.61984430245932,13.4359,0.0141164795390511,21ur-71,WBGene00050112,Public name for WBGene00050112. History: N.A.
piRNA,21ur-5343,21ur-5343,3.02674287053617,13.0286,0.0336554276639799,21ur-5343,WBGene00046615,Public name for WBGene00046615. History: N.A.
piRNA,21ur-9227,21ur-9227,9.98240465132205,13.0156,0.0040823960722362,21ur-9227,WBGene00173489,Public name for WBGene00173489. History: N.A.
