# Table S12. mRNAs significantly upregulated 1.3 fold or greater in mut-16(pk710) gonads.
# * mean reads across all libraries
gene_id,public_name,baseMean*,fold_change,pvalue_adj,Input,Suggested Match,History
Y45F10D.1,Transposon,54.0852481657141,1179.8,0.0171959051015747,Y45F10D.1,,Sequence name for Suppressed gene WBGene00012882. Molecular name for Suppressed gene WBGene00012882. Public name for Suppressed gene WBGene00012882. History of WBGene00012882: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBTransposon00000001,Transposon,76.1060363585876,1127.87,3.2049216040607e-05,,,
R09E12.6,Transposon,51.7624517952626,987.158,6.5768879860638e-10,R09E12.6,,Sequence name for Suppressed gene WBGene00019985. Molecular name for Suppressed gene WBGene00019985. Public name for Suppressed gene WBGene00019985. History of WBGene00019985: Killed on 2009-04-15; Suppressed on 2012-11-15. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBTransposon00000065,Transposon,30.4978713196667,670.976,0.0055754434723828,,,
F47B3.1,F47B3.1,68.008710816921,281.932,1.94135439194124e-05,F47B3.1,WBGene00018525,Public name for WBGene00018525. History: N.A.
C08F11.8,ugt-22,20.0120064815699,210.562,9.45366874256773e-09,C08F11.8,WBGene00007455,Sequence name for WBGene00007455(ugt-22). History: N.A.
F16B4.6,F16B4.6,154.455494633077,182.372,1.65475035606291e-54,F16B4.6,WBGene00017508,Public name for WBGene00017508. History: N.A.
Y23H5A.8,Y23H5A.8,816.883913316228,156.918,1.18817585185226e-253,Y23H5A.8,WBGene00023172,Public name for WBGene00023172. History: N.A.
F58D12.1,F58D12.1,8.15154439892431,121.042,7.97350099158124e-06,F58D12.1,WBGene00010249,Public name for WBGene00010249. History: N.A.
C38D9.2,C38D9.2,450.231370742432,112.129,3.90451124381746e-70,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
ZC15.3,ZC15.3,91.6028468054937,108.04,1.6253371624911498e-40,ZC15.3,WBGene00013832,Public name for WBGene00013832. History: N.A.
T13F2.12,ssp-36,14.0360593660938,99.6551,6.01376825345035e-05,T13F2.12,WBGene00011749,Sequence name for WBGene00011749(ssp-36). History: N.A.
C41D11.6,C41D11.6,729.920871440853,94.0083,0.0,C41D11.6,WBGene00016565,Sequence name for WBGene00016565(sosi-1). History: N.A.
K03H9.3,K03H9.3,14.4943997974662,89.9733,0.0002275618409926,K03H9.3,WBGene00019372,Public name for WBGene00019372. History: N.A.
ZK228.1,ZK228.1,7.79727186994199,78.716,2.33581358612534e-05,ZK228.1,WBGene00013944,Public name for WBGene00013944. History: N.A.
Y55F3C.6,Transposon,47.0698419119694,76.719,0.0383437113169095,Y55F3C.6,,"Sequence name for Suppressed gene WBGene00043707. Molecular name for Suppressed gene WBGene00043707. Public name for Suppressed gene WBGene00043707. History of WBGene00043707: Killed on 2004-10-04; Resurrected on 2005-09-09; Split into ""WBGene00044766"" on 2006-02-24; Suppressed on 2012-11-15. Remark: The corresponding CDS object for this gene had been created and removed before WormBase introduced the concept of unique gene identifiers.  This (dead) gene object exists as an attempt to make sure that a gene ID exists for every worm gene prediction that has ever existed....This gene has been resurrected because it may be a member of a small gene family and should not have been removed....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene."
