# Table S13. mRNAs significantly downregulated 1.3 fold or greater in mut-16(pk710) gonads.
# * mean reads across all libraries
gene_id,public_name,baseMean*,fold_change,pvalue_adj,Input,Suggested Match,History
Y37H2A.3,Transposon,27.3088788927443,-151.466,6.52242669543969e-07,Y37H2A.3,,Sequence name for Suppressed gene WBGene00012563. Molecular name for Suppressed gene WBGene00012563. Public name for Suppressed gene WBGene00012563. History of WBGene00012563: Killed on 2005-11-22; Suppressed on 2012-11-22. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
CE7X_3.2,CE7X_3.2,4.82862067591083,-68.6026,5.80636984455062e-05,CE7X_3.2,WBGene00008350,Public name for WBGene00008350. History: N.A.
Y73B3A.6,Transposon,3.62969060424664,-33.8726,0.0046359693452834,Y73B3A.6,,Sequence name for Suppressed gene WBGene00022208. Molecular name for Suppressed gene WBGene00022208. Public name for Suppressed gene WBGene00022208. History of WBGene00022208: Killed on 2008-09-01; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y119D3B.18,fbxa-91,3.75814179576163,-24.9497,0.0268284446750182,Y119D3B.18,WBGene00022494,Sequence name for WBGene00022494(fbxa-91). History: N.A.
E02H9.8,nhr-121,2.90463623412029,-24.0908,0.0071304279640171,E02H9.8,WBGene00003711,Sequence name for WBGene00003711(nhr-121). History: N.A.
F16D3.7,ser-5,20.0514346651607,-23.689,9.61844076962431e-07,F16D3.7,WBGene00008890,Sequence name for WBGene00008890(ser-5). History: N.A.
ZK1307.7,ZK1307.7,2.04769648121533,-22.6832,0.0079406894209808,ZK1307.7,WBGene00014248,Public name for WBGene00014248. History: N.A.
Y55B1BR.5,Y55B1BR.5,7.78004413888011,-20.9825,0.0042411817411324,Y55B1BR.5,WBGene00044401,"Public name for Dead gene WBGene00044400. History of WBGene00044400: Merged into ""WBGene00044401"" on 2014-10-09"
D2063.2,oac-12,1.85562928914159,-18.3068,0.0276685259870706,D2063.2,WBGene00017061,Sequence name for WBGene00017061(oac-12). History: N.A.
Y108F1.4,math-43,3.08587737414764,-17.0798,0.0356469673130553,Y108F1.4,WBGene00022432,Sequence name for WBGene00022432(math-43). History: N.A.
Y105E8A.1,Y105E8A.1,4.47281398888001,-15.7477,0.0142199533932725,Y105E8A.1,WBGene00013666,Public name for WBGene00013666. History: N.A.
Y18D10A.22,Y18D10A.22,1.88422139801058,-15.3235,0.0338831960202569,Y18D10A.22,WBGene00014864,Public name for WBGene00014864. History: N.A.
