# Table S14. mRNAs expressed in whole animals but not in distal gonads.
# * Fold changes were calculated using DESeq2, which applies statistical methods to calulate a finite estimate for genes in which 0  reads were captured in the dataset.
gene_id,public_name,whole_1,whole_2,whole_3,gonad_1,gonad_2,gonad_3,fold_change*,pvalue_adj,Input,Suggested Match,History
Y19D10A.9,clec-209,1214.703422,1605.787361,1277.751265,0,0,0,-7465.14,3.3400000000000003e-26,Y19D10A.9,WBGene00021224,Sequence name for WBGene00021224(clec-209). History: N.A.
F56A4.2,F56A4.2,1214.703422,1605.787361,1277.751265,0,0,0,-7465.14,3.3400000000000003e-26,F56A4.2,WBGene00018910,Public name for WBGene00018910. History: N.A.
C54D10.3,C54D10.3,608.3714875,620.5706606,793.0554968,0,0,0,-3678.69,2.97e-22,C54D10.3,WBGene00008298,Public name for WBGene00008298. History: N.A.
C35B1.4,C35B1.4,505.7017016,721.880181,601.6959103,0,0,0,-3334.48,1.21e-21,C35B1.4,WBGene00016434,Public name for WBGene00016434. History: N.A.
R12E2.9,inx-15,513.5253522,615.2298336,557.3521909,0,0,0,-3068.58,2.2400000000000003e-21,R12E2.9,WBGene00002137,Sequence name for WBGene00002137(inx-15). History: N.A.
Y57A10B.3,btb-14,430.5759335,381.7206594,523.3091567,0,0,0,-2426.61,4.59e-20,Y57A10B.3,WBGene00013275,Sequence name for WBGene00013275(btb-14). History: N.A.
F21F8.4,asp-12,376.2554417,493.6764378,451.7506545,0,0,0,-2408.2,5.14e-20,F21F8.4,WBGene00017678,Sequence name for WBGene00017678(asp-12). History: N.A.
K09E10.1,oac-57,37.95322447,69.93906324,63.85826843,0,0,0,-2132.97,2.55e-18,K09E10.1,WBGene00019579,Sequence name for WBGene00019579(oac-57). History: N.A.
F08H9.7,clec-56,331.8162052,469.1526764,355.5325346,0,0,0,-2107.69,3.01e-19,F08H9.7,WBGene00008595,Sequence name for WBGene00008595(clec-56). History: N.A.
T27E4.4,fip-2,302.2552434,420.1254405,345.9448631,0,0,0,-1945.98,7.1e-19,T27E4.4,WBGene00020862,Sequence name for WBGene00020862(fip-2). History: N.A.
F58G6.3,F58G6.3,263.7040562,422.2477748,351.9099478,0,0,0,-1894.55,1.41e-18,F58G6.3,WBGene00010274,Public name for WBGene00010274. History: N.A.
C36C5.5,C36C5.5,261.7128513,367.8623374,300.345303,0,0,0,-1694.76,3.62e-18,C36C5.5,WBGene00016474,Public name for WBGene00016474. History: N.A.
K10D11.5,K10D11.5,265.647531,287.8884223,305.0864701,0,0,0,-1561.52,6.28e-18,K10D11.5,WBGene00010749,Public name for WBGene00010749. History: N.A.
T08A9.12,spp-2,256.8054858,311.358529,243.9527114,0,0,0,-1476.68,1.37e-17,T08A9.12,WBGene00004987,Sequence name for WBGene00004987(spp-2). History: N.A.
C46G7.1,C46G7.1,219.2798656,312.4272329,247.4486444,0,0,0,-1419.45,2.84e-17,C46G7.1,WBGene00016721,Public name for WBGene00016721. History: N.A.
K09C8.1,pbo-4,262.6812971,235.6412713,272.2410537,0,0,0,-1398.84,2.05e-17,K09C8.1,WBGene00003943,Sequence name for WBGene00003943(pbo-4). History: N.A.
F55G11.4,F55G11.4,199.4860882,260.1668805,282.7781959,0,0,0,-1353.44,4.93e-17,F55G11.4,WBGene00010124,Public name for WBGene00010124. History: N.A.
C53B7.3,C53B7.3,247.9879252,273.4712694,253.1751214,0,0,0,-1324.92,3.71e-17,C53B7.3,WBGene00016894,Public name for WBGene00016894. History: N.A.
K08D8.5,K08D8.5,217.2623425,239.9080504,179.5224981,0,0,0,-1156.74,2.13e-16,K08D8.5,WBGene00010659,Public name for WBGene00010659. History: N.A.
C44C8.3,fbxc-2,181.7091449,244.1727251,208.8598641,0,0,0,-1156.37,2.47e-16,C44C8.3,WBGene00016648,"Sequence name for WBGene00016648(fbxc-2). History: Split into fbxc-10(WBGene00045300). History of WBGene00016648: Split into ""WBGene00045300"" on 2007-02-28"
C44C8.2,fbxc-4,181.7091449,244.1727251,208.8598641,0,0,0,-1156.37,2.47e-16,C44C8.2,WBGene00016647,"Sequence name for WBGene00016647(fbxc-4). History: Split into fbxc-11(WBGene00045299). History of WBGene00016647: Split into ""WBGene00045299"" on 2007-02-28"
T09H2.1,dach-1,189.6071016,237.7744953,206.5202415,0,0,0,-1153.98,2.22e-16,T09H2.1,WBGene00020386,Sequence name for WBGene00020386(dach-1). History: Renamed on 2019-05-20
R07B1.3,scav-5,212.3199126,218.5818097,194.7874625,0,0,0,-1136.54,2.11e-16,R07B1.3,WBGene00011076,Sequence name for WBGene00011076(scav-5). History: N.A.
ZK455.4,asm-2,156.0297233,196.1902968,252.2881008,0,0,0,-1102.52,6.37e-16,ZK455.4,WBGene00000212,Sequence name for WBGene00000212(asm-2). History: N.A.
E02C12.13,ttr-49,145.1793348,249.5077042,202.9573511,0,0,0,-1091.69,8.46e-16,E02C12.13,WBGene00023485,Sequence name for WBGene00023485(ttr-49). History: N.A.
C18A11.3,C18A11.3,173.8124825,201.5234451,188.9017061,0,0,0,-1026.35,7.27e-16,C18A11.3,WBGene00015949,Public name for WBGene00015949. History: N.A.
F13B6.2,F13B6.2,155.0432258,207.9193772,190.0927616,0,0,0,-1007.76,1.14e-15,F13B6.2,WBGene00017417,Public name for WBGene00017417. History: N.A.
C01B10.10,cest-5.2,182.6930127,182.3290218,185.4024665,0,0,0,-999.9,8.52e-16,C01B10.10,WBGene00015284,Sequence name for WBGene00015284(cest-5.2). History: N.A.
C53B7.7,nep-4,150.1064499,184.4620579,157.2346807,0,0,0,-895.0,3.52e-15,C53B7.7,WBGene00016896,Sequence name for WBGene00016896(nep-4). History: N.A.
C29F7.1,C29F7.1,127.3935907,182.3297479,141.9787295,0,0,0,-823.26,1.16e-14,C29F7.1,WBGene00007810,Public name for WBGene00007810. History: N.A.
C05D9.2,lmp-2,104.6817583,168.4690591,163.0922184,0,0,0,-796.71,2.38e-14,C05D9.2,WBGene00015471,Sequence name for WBGene00015471(lmp-2). History: N.A.
