# Table S3. Small RNAs significantly upregulated 1.3 fold or greater in wild type gonads relative to whole animals.
# * mean reads across all libraries
class,gene_id,public_name,baseMean*,fold_change,pvalue_adj,Input,Suggested Match,History
piRNA,21ur-6127,21ur-6127,13.1429426896073,25.7393,0.0010403110895262,21ur-6127,WBGene00171807,Public name for WBGene00171807. History: N.A.
piRNA,21ur-619,21ur-619,29.5322331648266,24.1079,1.49976982863894e-05,21ur-619,WBGene00046543,Public name for WBGene00046543. History: N.A.
piRNA,21ur-6549,21ur-6549,5.80829927861961,21.8033,0.0030675627921465,21ur-6549,WBGene00172132,Public name for WBGene00172132. History: N.A.
piRNA,21ur-9593,21ur-9593,8.40274368124272,16.3157,0.0084029707017874,21ur-9593,WBGene00174739,Public name for WBGene00174739. History: N.A.
piRNA,21ur-7530,21ur-7530,75.4501021945946,15.8122,1.52233868272398e-13,21ur-7530,WBGene00167502,Public name for WBGene00167502. History: N.A.
piRNA,21ur-318,21ur-318,12.299016890159,15.0851,0.0084369728228627,21ur-318,WBGene00048408,Public name for WBGene00048408. History: N.A.
piRNA,21ur-8425,21ur-8425,19.4063281589577,13.8356,0.0001159837385267,21ur-8425,WBGene00170661,Public name for WBGene00170661. History: N.A.
piRNA,21ur-2757,21ur-2757,3.55437406268355,13.3361,0.0212596175153026,21ur-2757,WBGene00047303,Public name for WBGene00047303. History: N.A.
piRNA,21ur-8333,21ur-8333,3.43743135967244,12.9063,0.0345313797875011,21ur-8333,WBGene00167047,Public name for WBGene00167047. History: N.A.
piRNA,21ur-5781,21ur-5781,3.36265761897703,12.5785,0.0449072795745842,21ur-5781,WBGene00169709,Public name for WBGene00169709. History: N.A.
piRNA,21ur-5000,21ur-5000,22.1201909365206,11.9702,2.78916548870682e-05,21ur-5000,WBGene00047801,Public name for WBGene00047801. History: N.A.
piRNA,21ur-4614,21ur-4614,31.483156952917,11.6668,1.10724590484802e-06,21ur-4614,WBGene00047463,Public name for WBGene00047463. History: N.A.
piRNA,21ur-8601,21ur-8601,2.95100515420547,11.0664,0.0388107208439063,21ur-8601,WBGene00167599,Public name for WBGene00167599. History: N.A.
piRNA,21ur-8803,21ur-8803,6.03243204559156,10.3022,0.0199656108157687,21ur-8803,WBGene00167323,Public name for WBGene00167323. History: N.A.
piRNA,21ur-14852,21ur-14852,38.0419180276528,9.84807,4.94453552683323e-08,21ur-14852,WBGene00168781,Public name for WBGene00168781. History: N.A.
csr,Y57E12AL.6,Y57E12AL.6,12.1774667497872,9.55199,0.0026104845822955,Y57E12AL.6,WBGene00021959,Public name for WBGene00021959. History: N.A.
piRNA,21ur-638,21ur-638,9.09867850514921,9.52708,0.0100510918493791,21ur-638,WBGene00047807,Public name for WBGene00047807. History: N.A.
piRNA,21ur-1135,21ur-1135,10.9986347702215,9.36004,0.0212221757545402,21ur-1135,WBGene00046883,Public name for WBGene00046883. History: N.A.
piRNA,21ur-5622,21ur-5622,10.0064177690333,8.97867,0.0226298494511097,21ur-5622,WBGene00173994,Public name for WBGene00173994. History: N.A.
piRNA,21ur-3309,21ur-3309,5.25965355167276,8.85018,0.0370521880481627,21ur-3309,WBGene00049477,Public name for WBGene00049477. History: N.A.
piRNA,21ur-7807,21ur-7807,4.63504914805997,8.80483,0.0362860087823877,21ur-7807,WBGene00166528,Public name for WBGene00166528. History: N.A.
piRNA,21ur-2233,21ur-2233,31.6310362200358,8.67544,3.26355009103981e-05,21ur-2233,WBGene00048475,Public name for WBGene00048475. History: N.A.
piRNA,21ur-3975,21ur-3975,605.101463645806,8.4046,5.29580605214378e-38,21ur-3975,WBGene00048202,Public name for WBGene00048202. History: N.A.
piRNA,21ur-12123,21ur-12123,19.4782595915948,8.27151,0.0001976969275736,21ur-12123,WBGene00172031,Public name for WBGene00172031. History: N.A.
piRNA,21ur-11760,21ur-11760,7.83744998734726,8.08974,0.017216143433137,21ur-11760,WBGene00171959,Public name for WBGene00171959. History: N.A.
piRNA,21ur-6114,21ur-6114,4.77071982998244,7.9067,0.0467666992824866,21ur-6114,WBGene00165239,Public name for WBGene00165239. History: N.A.
piRNA,21ur-5973,21ur-5973,8.70191312504153,7.35636,0.0493604901846785,21ur-5973,WBGene00171841,Public name for WBGene00171841. History: N.A.
piRNA,21ur-1008,21ur-1008,10.8017585623065,7.02436,0.0088997353503146,21ur-1008,WBGene00048965,Public name for WBGene00048965. History: N.A.
piRNA,21ur-6453,21ur-6453,14.8162252041268,6.90741,0.0048505595921356,21ur-6453,WBGene00172386,Public name for WBGene00172386. History: N.A.
csr,ZK970.4,vha-9,6.6004580382507,6.61648,0.0350728897997414,ZK970.4,WBGene00006918,Sequence name for WBGene00006918(vha-9). History: N.A.
piRNA,21ur-1718,21ur-1718,17.0737557472998,6.57162,0.0031121684108182,21ur-1718,WBGene00046160,Public name for WBGene00046160. History: N.A.
