# Table S4. mRNAs significantly downregulated 1.3 fold or greater in wild type gonads relative to whole animals.
# * mean reads across all libraries
gene_id,description,baseMean*,fold_change,pvalue_adj,Input,Suggested Match,History
K09F5.3,spp-14,2063.13225053752,-11937.1,3.7597958511471797e-29,K09F5.3,WBGene00004999,"Sequence name for WBGene00004999(spp-14). History: Split into K09F5.6(WBGene00044698). History of WBGene00004999: Split into ""WBGene00044698"" on 2005-12-19"
F23B2.11,pcp-3,977.857593491557,-11021.2,1.59813606369797e-28,F23B2.11,WBGene00003958,Sequence name for WBGene00003958(pcp-3). History: N.A.
Y5F2A.1,ttr-16,968.249258500443,-10911.4,1.28029116895335e-28,Y5F2A.1,WBGene00012382,Sequence name for WBGene00012382(ttr-16). History: N.A.
C08F11.8,ugt-22,1841.73414622114,-10658.9,2.03042278200319e-28,C08F11.8,WBGene00007455,Sequence name for WBGene00007455(ugt-22). History: N.A.
F56C9.7,F56C9.7,940.101255787904,-10596.4,3.38309863209959e-28,F56C9.7,WBGene00018951,Sequence name for WBGene00018951(nspg-6). History: N.A.
M04G12.2,cpz-2,876.361184558449,-9877.03,7.674556398847229e-28,M04G12.2,WBGene00000789,Sequence name for WBGene00000789(cpz-2). History: N.A.
T08A9.9,spp-5,3089.63513352112,-9652.98,2.45102584994385e-36,T08A9.9,WBGene00004990,Sequence name for WBGene00004990(spp-5). History: N.A.
F58B3.1,lys-4,4611.68371619519,-9610.3,5.97335222005156e-54,F58B3.1,WBGene00003093,Sequence name for WBGene00003093(lys-4). History: N.A.
F54D5.3,F54D5.3,808.02785827368,-9107.97,2.15001503993499e-27,F54D5.3,WBGene00010049,Public name for WBGene00010049. History: N.A.
ZK112.1,pcp-1,789.980507158725,-8904.56,3.27419048988905e-27,ZK112.1,WBGene00003956,Sequence name for WBGene00003956(pcp-1). History: N.A.
Y34B4A.9,Y34B4A.9,787.235706208767,-8872.88,2.79367658495006e-27,Y34B4A.9,WBGene00021325,Sequence name for WBGene00021325(nspg-13). History: N.A.
K04E7.2,pept-1,784.697237656864,-8846.58,3.00727606059342e-27,K04E7.2,WBGene00003877,Sequence name for WBGene00003877(pept-1). History: Renamed on 2009-04-29
Y51F10.7,Y51F10.7,780.860337139968,-8799.64,2.91675031545501e-27,Y51F10.7,WBGene00021768,Public name for WBGene00021768. History: N.A.
Y19D10A.9,clec-209,662.267850810074,-7465.14,3.34002618258027e-26,Y19D10A.9,WBGene00021224,Sequence name for WBGene00021224(clec-209). History: N.A.
F56A4.2,F56A4.2,662.267850810074,-7465.14,3.34002618258027e-26,F56A4.2,WBGene00018910,Public name for WBGene00018910. History: N.A.
R06B10.3,clec-150,1283.90652064356,-7429.48,2.88114649968254e-26,R06B10.3,WBGene00019914,Sequence name for WBGene00019914(clec-150). History: N.A.
EGAP2.3,pho-1,630.267350467367,-7103.89,6.97242452027405e-26,EGAP2.3,WBGene00004020,Sequence name for WBGene00004020(pho-1). History: N.A.
F21F8.7,asp-6,3362.6738724825,-6999.57,4.78482869516303e-51,F21F8.7,WBGene00000219,Sequence name for WBGene00000219(asp-6). History: N.A.
T18D3.4,myo-2,546.785041797718,-6162.07,6.11622844939891e-25,T18D3.4,WBGene00003514,Sequence name for WBGene00003514(myo-2). History: N.A.
F25E2.2,F25E2.2,786.301275774432,-5892.37,8.92535678995089e-26,F25E2.2,WBGene00017780,Public name for WBGene00017780. History: N.A.
K12H4.7,K12H4.7,3726.06079858114,-5744.06,9.624715433682309e-64,K12H4.7,WBGene00019682,Public name for WBGene00019682. History: N.A.
T18H9.2,asp-2,4408.50091013793,-5635.77,1.19409474975523e-79,T18H9.2,WBGene00000215,"Sequence name for WBGene00000215(asp-2). History: Split into T18H9.11(WBGene00271820). History of WBGene00000215: Split into ""WBGene00271820"" on 2017-09-21"
F54E2.1,F54E2.1,487.912434622991,-5498.58,2.1139367955876302e-24,F54E2.1,WBGene00018823,Public name for WBGene00018823. History: N.A.
ZK822.4,ZK822.4,484.089583166491,-5455.15,1.97960826192596e-24,ZK822.4,WBGene00014091,Public name for WBGene00014091. History: N.A.
F22A3.6,ilys-5,7088.34631938149,-5442.44,1.67917590710889e-124,F22A3.6,WBGene00017691,Sequence name for WBGene00017691(ilys-5). History: N.A.
ZK1320.3,ZK1320.3,893.478580485267,-5170.36,3.4301218609944e-24,ZK1320.3,WBGene00014253,Public name for WBGene00014253. History: N.A.
F10C1.7,ifb-2,838.801434348037,-4837.6,5.12780956874557e-24,F10C1.7,WBGene00002054,Sequence name for WBGene00002054(ifb-2). History: N.A.
C49G7.3,C49G7.3,423.913539547485,-4778.26,1.13250416366273e-23,C49G7.3,WBGene00016781,Sequence name for WBGene00016781(phat-7). History: N.A.
Y39B6A.20,asp-1,5349.93162255081,-4775.75,2.1769705653437303e-105,Y39B6A.20,WBGene00000214,Sequence name for WBGene00000214(asp-1). History: N.A.
F32H5.1,F32H5.1,422.274548747573,-4758.44,1.1502024666720901e-23,F32H5.1,WBGene00009347,Public name for WBGene00009347. History: N.A.
C45G9.6,C45G9.6,263.684722111024,-4581.23,2.35739306562564e-23,C45G9.6,WBGene00016677,Public name for WBGene00016677. History: N.A.
T11F9.3,nas-20,400.721784402694,-4516.28,4.53240718040278e-23,T11F9.3,WBGene00003539,Sequence name for WBGene00003539(nas-20). History: N.A.
R12E2.5,inx-16,391.901885399439,-4417.04,3.3923111651716703e-23,R12E2.5,WBGene00002138,Sequence name for WBGene00002138(inx-16). History: N.A.
F20A1.1,F20A1.1,390.1848484545,-4395.3,4.35341139832182e-23,F20A1.1,WBGene00017613,Public name for WBGene00017613. History: N.A.
F09G8.8,clec-160,378.024096710159,-4259.6,3.50907921065001e-23,F09G8.8,WBGene00017322,Sequence name for WBGene00017322(clec-160). History: N.A.
Y69F12A.2,alh-12,754.192060469135,-4255.83,2.6981490076753804e-23,Y69F12A.2,WBGene00000118,Sequence name for WBGene00000118(alh-12). History: N.A.
F35C5.8,clec-65,370.558530275833,-4176.73,3.99477222782953e-23,F35C5.8,WBGene00009396,Sequence name for WBGene00009396(clec-65). History: N.A.
Y4C6B.6,gba-4,714.630726320788,-4134.54,5.72828621264184e-23,Y4C6B.6,WBGene00021160,Sequence name for WBGene00021160(gba-4). History: N.A.
Y22F5A.5,lys-2,364.052802891371,-4104.26,4.70963925463343e-23,Y22F5A.5,WBGene00003091,Sequence name for WBGene00003091(lys-2). History: N.A.
C49C8.5,C49C8.5,364.043566931637,-4103.34,4.75707203436962e-23,C49C8.5,WBGene00016769,Public name for WBGene00016769. History: N.A.
T08G5.10,mtl-2,702.178273265454,-4060.68,8.70326429651986e-23,T08G5.10,WBGene00003474,Sequence name for WBGene00003474(mtl-2). History: N.A.
T07C12.7,ttr-46,1285.03525428581,-4013.9,4.26169627633047e-30,T07C12.7,WBGene00011571,Sequence name for WBGene00011571(ttr-46). History: N.A.
D1086.10,D1086.10,679.831205619474,-3915.37,1.70911672088386e-22,D1086.10,WBGene00044080,Public name for WBGene00044080. History: N.A.
C12D8.5,daf-36,341.858616658476,-3851.8,1.7492969136601299e-22,C12D8.5,WBGene00007536,Sequence name for WBGene00007536(daf-36). History: N.A.
ZK1320.2,ZK1320.2,335.886097925356,-3784.88,1.76674154537909e-22,ZK1320.2,WBGene00014252,Public name for WBGene00014252. History: N.A.
Y43C5A.2,Y43C5A.2,652.194424711501,-3772.47,1.27797658164708e-22,Y43C5A.2,WBGene00012782,Public name for WBGene00012782. History: N.A.
F35E12.6,F35E12.6,333.452412655654,-3757.01,2.27172410904947e-22,F35E12.6,WBGene00009430,Public name for WBGene00009430. History: N.A.
Y34B4A.6,Y34B4A.6,329.093771455601,-3707.4,2.31069260118541e-22,Y34B4A.6,WBGene00021322,Sequence name for WBGene00021322(nspg-14). History: N.A.
C31H5.6,C31H5.6,340.569814039552,-3690.39,3.0172501076317197e-22,C31H5.6,WBGene00007857,Public name for WBGene00007857. History: N.A.
C24B9.3,C24B9.3,631.823090399896,-3686.99,1.44488951787377e-22,C24B9.3,WBGene00016048,Public name for WBGene00016048. History: N.A.
C54D10.3,C54D10.3,326.581762011806,-3678.69,2.9666561330043897e-22,C54D10.3,WBGene00008298,Public name for WBGene00008298. History: N.A.
F35C5.6,clec-63,632.914620066569,-3661.37,1.65991536444832e-22,F35C5.6,WBGene00009394,Sequence name for WBGene00009394(clec-63). History: N.A.
F28H7.3,F28H7.3,1163.1735409565,-3630.34,2.74625609301686e-29,F28H7.3,WBGene00009237,Public name for WBGene00009237. History: N.A.
C49C3.4,C49C3.4,1156.13232705424,-3610.64,1.63648590879844e-29,C49C3.4,WBGene00008194,Public name for WBGene00008194. History: N.A.
Y32F6A.4,Y32F6A.4,315.978050401208,-3560.87,5.33599655650238e-22,Y32F6A.4,WBGene00012529,Public name for WBGene00012529. History: N.A.
F42G10.1,F42G10.1,314.345334170942,-3543.02,3.2212053808921e-22,F42G10.1,WBGene00009645,Public name for WBGene00009645. History: N.A.
T12B5.15,T12B5.15,312.058567023494,-3515.52,1.83596026104015e-21,T12B5.15,WBGene00050914,Public name for WBGene00050914. History: N.A.
T19D12.4,T19D12.4,310.705941698323,-3504.47,4.2591378887946195e-22,T19D12.4,WBGene00020579,Public name for WBGene00020579. History: N.A.
Y50D4B.3,Y50D4B.3,604.564543667713,-3497.35,5.430726472851101e-22,Y50D4B.3,WBGene00021743,"Public name for Dead gene WBGene00021742. History of WBGene00021742: Merged into ""WBGene00021743"" on 2015-07-23"
C44B7.8,pmp-1,599.23581568326,-3466.79,5.07614294637823e-22,C44B7.8,WBGene00004058,Sequence name for WBGene00004058(pmp-1). History: N.A.
T15B7.1,T15B7.1,1108.99647592168,-3462.82,3.2599423968481e-29,T15B7.1,WBGene00020516,Public name for WBGene00020516. History: N.A.
ZK6.7,lipl-5,1708.57055908511,-3447.13,3.70111031989588e-43,ZK6.7,WBGene00022642,Sequence name for WBGene00022642(lipl-5). History: N.A.
F37B4.7,folt-2,4955.0833439095,-3439.77,2.0213470802787198e-125,F37B4.7,WBGene00018138,Sequence name for WBGene00018138(folt-2). History: N.A.
C06B3.3,cyp-35C1,576.796181832927,-3337.0,1.31811528624059e-21,C06B3.3,WBGene00007362,Sequence name for WBGene00007362(cyp-35C1). History: N.A.
C35B1.4,C35B1.4,295.98361649474,-3334.48,1.21088779272255e-21,C35B1.4,WBGene00016434,Public name for WBGene00016434. History: N.A.
C41G11.1,C41G11.1,296.260021927246,-3305.92,1.07783891585067e-21,C41G11.1,WBGene00016568,Public name for WBGene00016568. History: N.A.
F57F5.1,F57F5.1,10050.8892504716,-3302.73,7.26816268663836e-254,F57F5.1,WBGene00010204,Sequence name for WBGene00010204(cpr-9). History: N.A.
C03G6.15,cyp-35A2,1022.18726087171,-3190.52,1.4504093239030298e-28,C03G6.15,WBGene00015400,Sequence name for WBGene00015400(cyp-35A2). History: N.A.
C52E4.1,cpr-1,2521.90109795692,-3152.98,8.95230357672078e-70,C52E4.1,WBGene00000781,Sequence name for WBGene00000781(cpr-1). History: N.A.
R12E2.9,inx-15,272.305896738011,-3068.58,2.23678196293844e-21,R12E2.9,WBGene00002137,Sequence name for WBGene00002137(inx-15). History: N.A.
T25B6.2,nep-22,272.034672797242,-3065.84,2.83321076622053e-21,T25B6.2,WBGene00020788,Sequence name for WBGene00020788(nep-22). History: N.A.
W04E12.8,clec-50,1962.86553685925,-3064.8,1.4685216570514699e-55,W04E12.8,WBGene00012253,Sequence name for WBGene00012253(clec-50). History: N.A.
F01D4.2,ugt-44,529.073374540771,-3060.41,1.8286932209953302e-21,F01D4.2,WBGene00008486,Sequence name for WBGene00008486(ugt-44). History: N.A.
T01D3.6,T01D3.6,525.789705221684,-3049.24,1.44032214147573e-21,T01D3.6,WBGene00011330,Public name for WBGene00011330. History: N.A.
R05D8.8,dhs-14,269.835559454316,-3040.12,4.4866002930575505e-21,R05D8.8,WBGene00000977,Sequence name for WBGene00000977(dhs-14). History: N.A.
Y40H7A.10,Y40H7A.10,521.764846797441,-3018.87,2.62077988349583e-21,Y40H7A.10,WBGene00012747,Public name for WBGene00012747. History: N.A.
C17G1.6,nas-37,259.791558833566,-3006.73,5.54517284636541e-21,C17G1.6,WBGene00003553,Sequence name for WBGene00003553(nas-37). History: N.A.
C17H12.8,C17H12.8,266.485527385482,-3003.47,3.4387296352360804e-21,C17H12.8,WBGene00015933,Public name for WBGene00015933. History: N.A.
F59C6.16,F59C6.16,262.437194457086,-2956.67,8.164301279549011e-21,F59C6.16,WBGene00077764,Public name for WBGene00077764. History: N.A.
T08B1.1,T08B1.1,509.964498156453,-2949.63,2.60977706474796e-21,T08B1.1,WBGene00020340,Public name for WBGene00020340. History: N.A.
C29F7.2,C29F7.2,261.136590855245,-2943.64,3.26846800064941e-21,C29F7.2,WBGene00007811,Public name for WBGene00007811. History: N.A.
F28A12.4,asp-13,1866.4804579747,-2915.67,3.7691641050170805e-54,F28A12.4,WBGene00017881,Sequence name for WBGene00017881(asp-13). History: N.A.
Y71H10A.2,fard-1,931.702726622803,-2908.32,6.8898654785954e-28,Y71H10A.2,WBGene00022200,Sequence name for WBGene00022200(fard-1). History: N.A.
F15A4.6,F15A4.6,254.71835093297,-2868.74,5.8035408632154905e-21,F15A4.6,WBGene00008841,Sequence name for WBGene00008841(phat-8). History: N.A.
F15E11.1,pud-2.1,249.792343902226,-2814.08,5.82796905458059e-21,F15E11.1,WBGene00017490,Sequence name for WBGene00017490(pud-2.1). History: N.A.
F15E11.14,pud-2.2,249.792343902226,-2814.08,5.82796905458059e-21,F15E11.14,WBGene00017500,Sequence name for WBGene00017500(pud-2.2). History: N.A.
F21F8.3,asp-5,2188.36425642218,-2733.24,4.91294654489648e-67,F21F8.3,WBGene00000218,Sequence name for WBGene00000218(asp-5). History: N.A.
F15E6.6,F15E6.6,241.431577355435,-2720.98,7.98175528307928e-21,F15E6.6,WBGene00017487,Public name for WBGene00017487. History: N.A.
R07E3.1,R07E3.1,482.164813594004,-2685.79,7.79486422944697e-21,R07E3.1,WBGene00011102,Public name for WBGene00011102. History: N.A.
T07H6.3,col-166,225.623137693411,-2603.52,5.55860724687261e-20,T07H6.3,WBGene00000739,Sequence name for WBGene00000739(col-166). History: N.A.
F19B2.5,F19B2.5,230.160513925528,-2592.87,1.62032588065602e-20,F19B2.5,WBGene00008944,Public name for WBGene00008944. History: N.A.
T11B7.3,col-118,234.493698882254,-2582.61,2.07293674423536e-20,T11B7.3,WBGene00000692,Sequence name for WBGene00000692(col-118). History: N.A.
C50B6.7,C50B6.7,224.824446933417,-2534.53,2.10101446197601e-20,C50B6.7,WBGene00008220,Public name for WBGene00008220. History: N.A.
H22K11.1,asp-3,4857.36206244337,-2528.67,2.9877726355226902e-151,H22K11.1,WBGene00000216,Sequence name for WBGene00000216(asp-3). History: N.A.
C16H3.2,lec-9,223.364531996472,-2515.98,2.5666551401379202e-20,C16H3.2,WBGene00002272,Sequence name for WBGene00002272(lec-9). History: N.A.
F15E6.4,F15E6.4,222.990214327352,-2512.29,2.21953254308481e-20,F15E6.4,WBGene00017485,Public name for WBGene00017485. History: N.A.
F23B2.12,pcp-2,221.470401524324,-2494.61,3.47616545526185e-20,F23B2.12,WBGene00003957,Sequence name for WBGene00003957(pcp-2). History: N.A.
F18F11.1,F18F11.1,220.447715177535,-2484.05,5.40197839569636e-20,F18F11.1,WBGene00017574,Sequence name for WBGene00017574(pxmp-4). History: N.A.
F41H10.7,elo-5,3163.859175082,-2474.05,1.0510132169166699e-77,F41H10.7,WBGene00001243,Sequence name for WBGene00001243(elo-5). History: N.A.
F44C4.3,cpr-4,2769.48668109518,-2470.47,4.24523963766238e-90,F44C4.3,WBGene00000784,Sequence name for WBGene00000784(cpr-4). History: N.A.
T02B11.3,T02B11.3,254.969350941918,-2464.13,2.80566532015383e-20,T02B11.3,WBGene00020155,Public name for WBGene00020155. History: N.A.
F19C7.1,F19C7.1,425.262561403994,-2459.63,2.1232674730983403e-20,F19C7.1,WBGene00017591,Sequence name for WBGene00017591(nspg-10). History: N.A.
F54D5.4,F54D5.4,782.472350927126,-2448.11,3.93772837555691e-26,F54D5.4,WBGene00010050,Public name for WBGene00010050. History: N.A.
Y57A10B.3,btb-14,215.395810085661,-2426.61,4.5887254562833704e-20,Y57A10B.3,WBGene00013275,Sequence name for WBGene00013275(btb-14). History: N.A.
F13G11.3,ule-2,1161.97169004231,-2423.24,9.28637610737205e-39,F13G11.3,WBGene00045038,Sequence name for WBGene00045038(ule-2). History: N.A.
F21F8.4,asp-12,213.756544491916,-2408.2,5.14347489860873e-20,F21F8.4,WBGene00017678,Sequence name for WBGene00017678(asp-12). History: N.A.
Y43F8C.2,Pseudogene,211.566827899595,-2382.04,6.605949205630981e-20,Y43F8C.2,WBGene00003764,Sequence name for WBGene00003764(nlp-26). History: N.A.
C30G12.2,C30G12.2,759.098496013896,-2370.3,1.23860943299706e-26,C30G12.2,WBGene00016274,Public name for WBGene00016274. History: N.A.
ZK669.3,ZK669.3,208.715894032047,-2351.74,7.052071658828941e-20,ZK669.3,WBGene00014053,Public name for WBGene00014053. History: N.A.
W07B8.5,cpr-5,4124.77875967422,-2343.74,3.35025393789657e-137,W07B8.5,WBGene00000785,Sequence name for WBGene00000785(cpr-5). History: N.A.
C28C12.5,spp-8,207.94631690414,-2342.87,5.2079761356726906e-20,C28C12.5,WBGene00004993,Sequence name for WBGene00004993(spp-8). History: N.A.
W01A11.4,lec-10,404.138450085544,-2336.83,3.7654104846276705e-20,W01A11.4,WBGene00002273,Sequence name for WBGene00002273(lec-10). History: N.A.
T21H3.1,T21H3.1,1914.3579744933,-2316.52,8.50915067780049e-64,T21H3.1,WBGene00020662,Public name for WBGene00020662. History: N.A.
ZC443.6,ugt-16,204.023070731787,-2298.78,1.5780927934524701e-19,ZC443.6,WBGene00013901,Sequence name for WBGene00013901(ugt-16). History: N.A.
