# Table S5. Small RNAs significantly downregulated 1.3 fold or greater in wild type gonads relative to whole animals.
# * mean reads across all libraries
class,gene_id,public_name,baseMean*,fold_change,pvalue_adj,Input,Suggested Match,History
miRNA,miR-60-3p,miR-60-3p,311.980396419225,-9965.22,1.65263748008275e-26,,,
miRNA,miR-236-3p,miR-236-3p,1005.0467626477,-3629.26,1.25189311009735e-51,,,
miRNA,miR-234-3p,miR-234-3p,199.066273231275,-3309.19,1.0034063972865101e-19,,,
mut,F55C9.3,F55C9.3,99.2453176021014,-3151.0,1.48358684979084e-20,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
mut,T08B6.2,T08B6.2,76.3760415087685,-2423.4,1.04886292521502e-18,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
miRNA,miR-62,miR-62,257.545847070504,-2359.59,4.247097979326e-22,,,
miRNA,miR-75-3p,miR-75-3p,72.8486799630209,-2282.61,1.0435264835089e-17,,,
miRNA,miR-244-5p,miR-244-5p,66.8548423875565,-2091.22,2.54165010532846e-17,,,
miRNA,miR-76-3p,miR-76-3p,52.9596379018016,-1734.2,3.84583290298831e-17,,,
miRNA,miR-85-3p,miR-85-3p,718.446147364971,-1647.1,8.86191075971561e-74,,,
miRNA,miR-63-5p,miR-63-5p,180.326173262275,-1645.37,1.46029907404678e-22,,,
miRNA,miR-124-3p,miR-124-3p,48.2530515461192,-1508.05,9.419164832131101e-15,,,
miRNA,miR-2-3p,miR-2-3p,374.387429325186,-1122.49,3.07327935753636e-44,,,
miRNA,miR-239a-5p,miR-239a-5p,298.181203814982,-1046.99,4.98005410061833e-27,,,
miRNA,miR-262,miR-262,64.3523373389347,-1042.7,3.0181413412896e-15,,,
mut,Y43F8B.8,Y43F8B.8,107.023788218365,-951.52,6.03170888773419e-19,Y43F8B.8,WBGene00014888,Public name for WBGene00014888. History: N.A.
miRNA,miR-77-3p,miR-77-3p,10221.6917326501,-929.705,0.0,,,
miRNA,miR-238-5p,miR-238-5p,126.629549536902,-784.418,1.1753298420538e-20,,,
mut,Y102A11A.3,Y102A11A.3,42.8999059469083,-712.794,1.5709513191916898e-12,Y102A11A.3,WBGene00022413,Public name for WBGene00022413. History: N.A.
mut,Y116F11A.1,Y116F11A.1,21.9524594914472,-692.042,4.58781338804566e-12,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
miRNA,miR-63-3p,miR-63-3p,302.587874608826,-689.242,3.1826760667852997e-63,,,
miRNA,miR-787-3p,miR-787-3p,73.2997068244053,-674.486,1.56623350797065e-17,,,
miRNA,miR-259-5p,miR-259-5p,38.3715185280351,-634.502,5.75862316263827e-13,,,
miRNA,miR-1-3p,miR-1-3p,2948.99484719819,-629.172,1.9736168904753e-64,,,
mut,Y47H10A.5,Y47H10A.5,2173.57155761309,-594.746,1.2348324520090701e-279,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
miRNA,miR-1022-5p,miR-1022-5p,17.3059099168908,-577.894,4.20288172655331e-08,,,
miRNA,miR-360-5p,miR-360-5p,34.416875315886,-552.419,3.83959999926827e-09,,,
miRNA,miR-793,miR-793,32.5573690546681,-541.087,3.1186970486029198e-12,,,
miRNA,miR-75-5p,miR-75-5p,14.9875973015085,-494.983,4.36737472005647e-08,,,
miRNA,miR-239b-5p,miR-239b-5p,29.6097763921872,-477.279,7.74243332335766e-08,,,
miRNA,miR-242,miR-242,105.981644546922,-473.091,3.44165736619433e-30,,,
miRNA,miR-790-5p,miR-790-5p,94.140031132728,-440.719,2.38311034283025e-26,,,
miRNA,miR-79-3p,miR-79-3p,308.151239221654,-429.096,1.24125571550139e-34,,,
miRNA,miR-59-3p,miR-59-3p,2946.67948867707,-399.374,1.67086900674716e-52,,,
mut,Y57G11C.1134,linc-121,12.2671484983743,-392.148,1.05891437215568e-09,Y57G11C.1134,WBGene00194923,Sequence name for WBGene00194923(linc-121). History: N.A.
miRNA,miR-86-5p,miR-86-5p,422.428378712569,-367.516,2.26159565228542e-101,,,
mut,F55C9.5,F55C9.5,61.9296998661221,-365.397,1.75442962319386e-19,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
miRNA,miR-46-5p,miR-46-5p,38.6106242448557,-345.328,1.0545872115261399e-12,,,
piRNA,21ur-1415,21ur-1415,11.3099995468039,-344.558,1.89851241668129e-07,21ur-1415,WBGene00049665,Public name for WBGene00049665. History: N.A.
mut,ZK384.4,ZK384.4,133.074342592934,-342.59,9.01956201324023e-44,ZK384.4,,Public name for Dead gene WBGene00014985. History of WBGene00014985: Killed on 2016-02-22. Remark: lack of evidence
miRNA,miR-251,miR-251,11.0856729366596,-338.72,1.18075737314774e-08,,,
miRNA,miR-70-3p,miR-70-3p,27595.8655320901,-338.085,0.0,,,
miRNA,miR-784-5p,miR-784-5p,10.2888961960106,-337.536,1.65451673708087e-07,,,
miRNA,miR-355,miR-355,116.084967556799,-324.727,1.35343797711588e-25,,,
miRNA,miR-238-3p,miR-238-3p,4040.79437073442,-318.799,4.07849341996324e-145,,,
piRNA,21ur-11707,21ur-11707,10.1394044416335,-310.456,2.4572516240466e-06,21ur-11707,WBGene00166010,Public name for WBGene00166010. History: N.A.
piRNA,21ur-3270,21ur-3270,9.72450927284766,-295.883,1.16355232381463e-06,21ur-3270,WBGene00048266,Public name for WBGene00048266. History: N.A.
miRNA,miR-357-3p,miR-357-3p,17.7250759630988,-290.358,2.0820602608978e-09,,,
piRNA,21ur-12378,21ur-12378,9.17063057893899,-283.456,3.15044367463044e-05,21ur-12378,WBGene00169777,Public name for WBGene00169777. History: N.A.
miRNA,miR-231-3p,miR-231-3p,17.6209996247061,-277.979,7.150824943567671e-09,,,
miRNA,miR-49-3p,miR-49-3p,301.247931219655,-275.744,1.35520338643663e-102,,,
mut,T25C12.3,T25C12.3,15.6536277788867,-260.827,4.75249764031984e-09,T25C12.3,WBGene00012018,Public name for WBGene00012018. History: N.A.
miRNA,miR-358-3p,miR-358-3p,7.2475250138765,-242.961,1.42069328567118e-06,,,
miRNA,miR-249-3p,miR-249-3p,7.66823263822446,-239.694,1.51000134967573e-07,,,
miRNA,miR-255-3p,miR-255-3p,7.62396635746754,-229.514,3.00875496335279e-06,,,
mut,Y43F8B.28,Y43F8B.28,14.4500190767936,-226.754,2.45524041834009e-08,Y43F8B.28,WBGene00219302,Public name for WBGene00219302. History: N.A.
miRNA,miR-84-5p,miR-84-5p,692.32559062258,-224.539,5.0694417293133e-75,,,
piRNA,21ur-5617,21ur-5617,6.93503806950838,-215.106,0.0008942570067966,21ur-5617,WBGene00170567,Public name for WBGene00170567. History: N.A.
miRNA,miR-800-3p,miR-800-3p,6.30669674712251,-208.584,2.76046219740485e-06,,,
miRNA,miR-239a-3p,miR-239a-3p,13.0560038889624,-206.424,4.52889692864685e-08,,,
miRNA,miR-47-5p,miR-47-5p,6.30125651885038,-201.579,3.62906378619144e-06,,,
