# Table S8. mRNAs significantly upregulated 1.3 fold or greater in prg-1(n4357) gonads.
# * mean reads across all libraries
gene_id,public_name,baseMean*,fold_change,pvalue_adj,predicted_piRNA_targets,CLASH_counts,Input,Suggested Match,History
F47B3.1,F47B3.1,68.008710816921,1177.24,2.12023880303002e-08,10.0,9.0,F47B3.1,WBGene00018525,Public name for WBGene00018525. History: N.A.
Y60A3A.29,Transposon,39.9263231959014,887.291,3.652392403346e-14,,,Y60A3A.29,WBGene00189981,Public name for WBGene00189981. History: N.A.
T20B6.1,T20B6.1,14.3599362102934,256.184,1.57427011692734e-07,15.0,2.0,T20B6.1,WBGene00020598,"Public name for Dead gene WBGene00020597. History of WBGene00020597: Merged into ""WBGene00020598"" on 2020-01-21"
F37H8.4,sfxn-1.2,13.9116130622494,248.523,4.87531787825206e-07,5.0,0.0,F37H8.4,WBGene00009513,Sequence name for WBGene00009513(sfxn-1.2). History: N.A.
R09E10.2,R09E10.2,317.09462934764,244.304,5.050794295668049e-16,13.0,1.0,R09E10.2,WBGene00011172,Public name for WBGene00011172. History: N.A.
C38C6.5,C38C6.5,12.3698372998752,228.782,1.14469225691441e-06,14.0,4.0,C38C6.5,WBGene00007998,Public name for WBGene00007998. History: N.A.
K03H9.3,K03H9.3,14.4943997974662,219.045,2.98365603948025e-06,14.0,5.0,K03H9.3,WBGene00019372,Public name for WBGene00019372. History: N.A.
Y51A2B.5,Y51A2B.5,11.8465102600496,213.528,1.8945329699311e-05,3.0,7.0,Y51A2B.5,WBGene00013069,Public name for WBGene00013069. History: N.A.
F46F5.5,F46F5.5,22.4668249193958,206.416,2.10266684384852e-06,4.0,3.0,F46F5.5,WBGene00018496,Public name for WBGene00018496. History: N.A.
Y66D12A.2,Transposon,9.19968955962206,204.568,6.33186679949599e-07,,,Y66D12A.2,,Sequence name for Suppressed gene WBGene00013428. Molecular name for Suppressed gene WBGene00013428. Public name for Suppressed gene WBGene00013428. History of WBGene00013428: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y48G10A.5,Transposon,9.19968955962206,204.568,6.33186679949599e-07,,,Y48G10A.5,,Sequence name for Suppressed gene WBGene00013022. Molecular name for Suppressed gene WBGene00013022. Public name for Suppressed gene WBGene00013022. History of WBGene00013022: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T13F2.12,ssp-36,14.0360593660938,201.38,1.25493911231458e-06,7.0,0.0,T13F2.12,WBGene00011749,Sequence name for WBGene00011749(ssp-36). History: N.A.
ZK637.15,ZK637.15,10.5814419274242,197.323,4.68930311100761e-06,10.0,2.0,ZK637.15,WBGene00014032,Public name for WBGene00014032. History: N.A.
ZK546.7,ZK546.7,9.44217469962041,179.726,2.84298554204085e-06,,,ZK546.7,WBGene00022763,Public name for WBGene00022763. History: N.A.
F01D4.3,F01D4.3,18.8877938707727,177.925,0.0001897188453638,,,F01D4.3,WBGene00008487,Public name for WBGene00008487. History: N.A.
W03G9.6,paf-1,19.5565513756722,173.572,4.41705932244584e-06,25.0,1.0,W03G9.6,WBGene00003906,Sequence name for WBGene00003906(paf-1). History: N.A.
ZK84.5,ZK84.5,20.0817147359873,173.368,7.55499960762719e-07,1.0,3.0,ZK84.5,WBGene00022652,Public name for WBGene00022652. History: N.A.
Y39F10A.3,Y39F10A.3,9.96725283989825,168.408,2.13842379730599e-05,11.0,0.0,Y39F10A.3,WBGene00021454,Public name for WBGene00021454. History: N.A.
Y46G5A.25,Pseudogene,17.2035462258268,168.051,5.41347686513145e-05,,,Y46G5A.25,WBGene00004903,Sequence name for WBGene00004903(snf-4). History: N.A.
C02G6.2,C02G6.2,14.2143211189234,143.062,2.81953241874076e-05,30.0,0.0,C02G6.2,WBGene00015360,Public name for WBGene00015360. History: N.A.
R11H6.7,Pseudogene,14.8272914336469,137.189,2.15329240207138e-05,,,R11H6.7,WBGene00077579,Public name for WBGene00077579. History: N.A.
Y116A8C.465,Y116A8C.465,13.9561632467422,137.023,4.70183020952936e-05,0.0,2.0,Y116A8C.465,WBGene00194957,Public name for WBGene00194957. History: N.A.
R13F6.5,dhhc-5,7.16048434939711,136.66,0.0001275715450876,5.0,0.0,R13F6.5,WBGene00020066,Sequence name for WBGene00020066(dhhc-5). History: N.A.
F36G9.13,F36G9.13,24.9634251943906,136.412,2.61190294547152e-06,34.0,5.0,F36G9.13,WBGene00009489,Public name for WBGene00009489. History: N.A.
T10E10.2,col-167,6.6987816000396,129.649,0.0001208820749094,9.0,8.0,T10E10.2,WBGene00000740,Sequence name for WBGene00000740(col-167). History: N.A.
Y37E3.19,Y37E3.19,15.5229585542087,127.79,2.83438237734524e-05,1.0,2.0,Y37E3.19,WBGene00044810,Public name for WBGene00044810. History: N.A.
WBTransposon00000429,Transposon,7.38023438661514,122.601,0.0027801238367737,,,,,
M05D6.1,M05D6.1,58.6777463030955,120.556,2.46336171666967e-08,10.0,4.0,M05D6.1,WBGene00010874,Public name for WBGene00010874. History: N.A.
