# Table S9. mRNAs significantly downregulated 1.3 fold or greater in prg-1(n4357) gonads.
# * mean reads across all libraries
gene_id,public_name,baseMean*,fold_change,pvalue_adj,predicted_piRNA_targets,CLASH_counts,Input,Suggested Match,History
CE7X_3.2,CE7X_3.2,4.82862067591083,-73.959,2.3342492506431e-05,,,CE7X_3.2,WBGene00008350,Public name for WBGene00008350. History: N.A.
C03E10.5,clec-223,4.4981999729801,-48.9714,0.0052821328212682,18.0,4.0,C03E10.5,WBGene00007282,Sequence name for WBGene00007282(clec-223). History: N.A.
Y60A3A.30,Transposon,3.23713465389998,-44.3997,0.0021258237422242,,,Y60A3A.30,,Sequence name for Suppressed gene WBGene00235148. Molecular name for Suppressed gene WBGene00235148. Public name for Suppressed gene WBGene00235148. History of WBGene00235148: Suppressed on 2013-04-15. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
M199.4,clec-190,4.53531017708828,-43.2732,0.0047441413257362,12.0,0.0,M199.4,WBGene00010953,Sequence name for WBGene00010953(clec-190). History: N.A.
Y108F1.4,math-43,3.08587737414764,-35.8644,0.0042654878003027,,,Y108F1.4,WBGene00022432,Sequence name for WBGene00022432(math-43). History: N.A.
Y73B3A.13,Y73B3A.13,3.75090422430419,-29.6976,0.0037667637456673,10.0,16.0,Y73B3A.13,WBGene00022215,Public name for WBGene00022215. History: N.A.
Y119D3B.18,fbxa-91,3.75814179576163,-26.8978,0.0177881838882968,13.0,1.0,Y119D3B.18,WBGene00022494,Sequence name for WBGene00022494(fbxa-91). History: N.A.
T08D2.2,T08D2.2,38.4249830972625,-26.2288,2.02654076094192e-12,,,T08D2.2,WBGene00011607,Public name for WBGene00011607. History: N.A.
C16B8.2,C16B8.2,2.7779061269033,-23.7189,0.0050659284707279,26.0,1.0,C16B8.2,WBGene00015822,Public name for WBGene00015822. History: N.A.
Y73B3B.1,Y73B3B.1,2.90955544039362,-22.1927,0.0479463122781482,21.0,3.0,Y73B3B.1,WBGene00022223,Public name for WBGene00022223. History: N.A.
ZK131.7,his-13,3157.14118608317,-21.9901,0.0,2.0,16.0,ZK131.7,WBGene00001887,Sequence name for WBGene00001887(his-13). History: N.A.
ZK131.2,his-25,3157.14118608317,-21.9901,0.0,3.0,18.0,ZK131.2,WBGene00001899,Sequence name for WBGene00001899(his-25). History: N.A.
ZK131.3,his-9,3157.14118608317,-21.9901,0.0,2.0,16.0,ZK131.3,WBGene00001883,Sequence name for WBGene00001883(his-9). History: N.A.
ZK131.4,his-10,7696.48769556206,-19.6481,0.0,3.0,43.0,ZK131.4,WBGene00001884,Sequence name for WBGene00001884(his-10). History: N.A.
ZK131.8,his-14,7696.48769556206,-19.6481,0.0,3.0,43.0,ZK131.8,WBGene00001888,Sequence name for WBGene00001888(his-14). History: N.A.
ZK131.1,his-26,7696.48769556206,-19.6481,0.0,3.0,43.0,ZK131.1,WBGene00001900,Sequence name for WBGene00001900(his-26). History: N.A.
F40A3.5,nipi-4,6.14940750834012,-18.7292,0.0009473162359106,28.0,11.0,F40A3.5,WBGene00077712,"Sequence name for WBGene00077712(nipi-4). History: N.A.. Public name for Dead gene WBGene00018220. History of WBGene00018220: Merged into ""WBGene00077712"" on 2012-04-12"
Y11D7A.19,Y11D7A.19,2.08421955752568,-18.5634,0.0137395873624545,8.0,3.0,Y11D7A.19,WBGene00077756,Public name for WBGene00077756. History: N.A.
F15A4.13,fbxb-102,1.42588421177317,-18.4776,0.016827133126518,11.0,0.0,F15A4.13,WBGene00008847,Sequence name for WBGene00008847(fbxb-102). History: N.A.
F39H12.4,igcm-1,1.56250594268747,-18.0842,0.0347493295445466,42.0,0.0,F39H12.4,WBGene00018215,Sequence name for WBGene00018215(igcm-1). History: N.A.
Y73B3A.9,Y73B3A.9,55.5752791126505,-17.9289,2.94112995879575e-26,,,Y73B3A.9,WBGene00022211,Public name for WBGene00022211. History: N.A.
W04A8.4,W04A8.4,2.03183465105727,-14.683,0.0297816430394502,12.0,4.0,W04A8.4,WBGene00012239,Public name for WBGene00012239. History: N.A.
ZC416.2,ZC416.2,1.667750214518,-14.5183,0.0295041202622575,4.0,1.0,ZC416.2,WBGene00022609,Public name for WBGene00022609. History: N.A.
Y34F4.5,Y34F4.5,37.9596532894953,-14.343,4.53939006220063e-13,1.0,2.0,Y34F4.5,WBGene00021340,Public name for WBGene00021340. History: N.A.
T08D2.9,Pseudogene,66.2793015179603,-13.9497,1.37992734477011e-26,,,T08D2.9,WBGene00044700,Public name for WBGene00044700. History: N.A.
Y39B6A.41,Y39B6A.41,3.91992932671817,-13.9103,0.0206916294428705,24.0,0.0,Y39B6A.41,WBGene00012699,Public name for WBGene00012699. History: N.A.
Y40A1A.1,Y40A1A.1,11.7549577935418,-13.1761,4.16924718528796e-05,,,Y40A1A.1,WBGene00021483,Public name for WBGene00021483. History: N.A.
D1086.6,D1086.6,10.0230984236442,-13.0843,0.0035042738813373,9.0,2.0,D1086.6,WBGene00008393,"Public name for WBGene00008393. History: Split into D1086.10(WBGene00044080). History of WBGene00008393: Split into ""WBGene00044080"" on 2005-01-11"
Y73B3A.21,Y73B3A.21,46.6290140114473,-12.3581,6.23441502878912e-21,,,Y73B3A.21,WBGene00022222,Public name for WBGene00022222. History: N.A.
T08D2.6,T08D2.6,6.04897126936084,-11.1522,0.0024352165939493,8.0,6.0,T08D2.6,WBGene00011611,Public name for WBGene00011611. History: N.A.
CE7X_3.1,CE7X_3.1,42.2477411711226,-10.8494,3.31961888900675e-16,,,CE7X_3.1,WBGene00008349,Public name for WBGene00008349. History: N.A.
