# Supplementary Table 3. Normalized peptide counts for LC-MS/MS.
# For each pull-down, peptide counts for each protein were normalized to total peptide counts.
Gene,(UG)18,36 scrambled UGs,(UG)5,beads only,Input,Suggested Match,History
car-1,0.0779567950292609,0.0329476367915277,0.0038127687190719,0.0016787095832421,car-1,WBGene00012484,Public name for WBGene00012484. History: Renamed on 2005-12-05
plp-1,0.0749223322014305,0.0560240570046414,0.0717936237527379,0.0014597474636887,plp-1,WBGene00004046,Public name for WBGene00004046. History: N.A.
pyc-1,0.0341738313705657,0.0406615676276394,0.109110083556421,0.069483979271586,pyc-1,WBGene00004258,Public name for WBGene00004258. History: N.A.
C44E4.4,0.0267321725308865,0.0317709354775446,0.0614099131986696,0.0007298737318443,C44E4.4,WBGene00016653,Sequence name for WBGene00016653(ssb-1). History: N.A.
mtss-1,0.0215302362546059,0.0007190952474341,0.0004867364322219,7.29873731844391e-05,mtss-1,WBGene00019800,Public name for WBGene00019800. History: N.A.
cgh-1,0.0203742504154324,0.0173236582336406,0.0026770503772207,0.0008758484782132,cgh-1,WBGene00000479,Public name for WBGene00000479. History: N.A.
tdp-1,0.0190737663463623,0.0001307445904425,0.0017035775127768,7.29873731844391e-05,tdp-1,WBGene00006514,Public name for WBGene00006514. History: Renamed on 2008-11-20
mex-1,0.0190015172314139,0.0054912727985879,0.0024336821611097,7.29873731844391e-05,mex-1,WBGene00003228,Public name for WBGene00003228. History: N.A.
Y71G10AL.1,0.0143053247597717,0.0018957965614172,0.0003244909548146,0.0002919494927377,Y71G10AL.1,WBGene00022134,Sequence name for WBGene00022134(hrpu-2). History: N.A.
vit-2,0.0101148760927679,0.0125514806824868,0.0112760606798086,0.0107291438581125,vit-2,WBGene00006926,Public name for WBGene00006926. History: N.A.
perm-2,0.0088143920236977,0.0069948355886775,0.0014602092966658,0.0001459747463688,perm-2,WBGene00016636,Public name for WBGene00016636. History: N.A.
vit-3,0.0088143920236977,0.0109171733019546,0.0132230064086964,0.0103642069921904,vit-3,WBGene00006927,Public name for WBGene00006927. History: N.A.
vit-6,0.0081641499891626,0.009871216578414,0.0088423785186987,0.0068608130793372,vit-6,WBGene00006930,Public name for WBGene00006930. History: N.A.
eft-3,0.0076584061845242,0.0090867490357586,0.0082745193477731,0.0102912196190059,eft-3,WBGene00001168,Other name for WBGene00001168(eef-1A.1). History: Renamed on 2005-09-08; Renamed on 2010-08-03
perm-4,0.0073694097247308,0.0061449957508008,0.0007301046483329,0.0002189621195533,perm-4,WBGene00016638,Public name for WBGene00016638. History: N.A.
nol-5,0.0070804132649375,0.0028763809897365,0.0017035775127768,0.0008758484782132,nol-5,WBGene00020915,Other name for WBGene00020915(nol-58). History: Renamed on 2017-08-01
uaf-2,0.0070081641499891,0.0023534026279662,0.0006489819096292,0.0005838989854755,uaf-2,WBGene00006698,Public name for WBGene00006698. History: N.A.
fib-1,0.0069359150350408,0.0045760606654899,0.0008112273870365,0.0010948105977665,fib-1,WBGene00001423,Public name for WBGene00001423. History: N.A.
pab-1,0.006357922115454,0.0056873896842518,0.0021091912062951,0.0016787095832421,pab-1,WBGene00003902,Public name for WBGene00003902. History: N.A.
ddx-17,0.005924427425764,0.0032686147610642,0.0010545956031475,0.0002189621195533,ddx-17,WBGene00010260,Public name for WBGene00010260. History: N.A.
cey-2,0.0057799291958673,0.0043145714846048,0.0040561369351829,0.0046711918838041,cey-2,WBGene00000473,Public name for WBGene00000473. History: N.A.
K07C5.4,0.0052741853912289,0.0041838268941622,0.0015413320353695,0.0008758484782132,K07C5.4,WBGene00010627,Sequence name for WBGene00010627(nol-56). History: N.A.
CELE_F52B5.3,0.0052019362762806,0.0015035627900895,0.0003244909548146,7.29873731844391e-05,CELE_F52B5.3,WBGene00009922,Other name for WBGene00009922(F52B5.3). History: N.A.
uaf-2,0.0046239433566938,0.0007190952474341,8.11227387036586e-05,7.29873731844391e-05,uaf-2,WBGene00006698,Public name for WBGene00006698. History: N.A.
rps-4,0.0044071960118488,0.0044453160750473,0.0018658229901841,0.0016787095832421,rps-4,WBGene00004473,Public name for WBGene00004473. History: N.A.
CELE_H05C05.1,0.0043349468969005,0.0023534026279662,0.0003244909548146,7.29873731844391e-05,CELE_H05C05.1,WBGene00019157,Other name for WBGene00019157(H05C05.1). History: N.A.
C27B7.5,0.0042626977819521,0.0033993593515068,0.0008923501257402,7.29873731844391e-05,C27B7.5,WBGene00007762,Public name for WBGene00007762. History: N.A.
cey-4,0.0041181995520554,0.0032032424658429,0.0021091912062951,0.0016787095832421,cey-4,WBGene00000475,Public name for WBGene00000475. History: N.A.
rps-11,0.0039014522072104,0.0020919134470811,0.0004867364322219,0.0008758484782132,rps-11,WBGene00004480,Public name for WBGene00004480. History: N.A.
rps-3,0.0036847048623654,0.0033993593515068,0.0025148048998134,0.0031384570469308,rps-3,WBGene00004472,Public name for WBGene00004472. History: N.A.
zbp-1,0.0036847048623654,0.0020919134470811,0.0012168410805548,0.0002189621195533,zbp-1,WBGene00010908,Other name for WBGene00010908(imph-1). History: Renamed on 2018-03-19
