# Supplementary Table 2. Genes upregulated in rde-3(-) mutants.
# List of genes upregulated in rde-3(-)mutants (adjusted p value <0.05 and log2fold change >1.5). Data is based on mRNA-seq performed on two replicates each of WT vs. rde-3(-) animals.
Gene,log2FoldChange,Fold Change,padj,Input,Suggested Match,History
F11D11.3,11.0046301287902,2054.58332923594,6.245067107294509e-12,F11D11.3,WBGene00008698,Public name for WBGene00008698. History: N.A.
C38D9.2,9.57995913006824,765.3411337384,7.97287511104506e-66,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
21ur-10687,8.76232981185482,434.234280044718,2.92531756623366e-08,21ur-10687,WBGene00165653,Public name for WBGene00165653. History: N.A.
21ur-10492,8.7074208422093,418.017879998636,1.35261109721467e-14,21ur-10492,WBGene00168059,Public name for WBGene00168059. History: N.A.
Y47H10A.5,8.64467774765622,400.227849081062,1.6535296529374797e-30,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
F15D4.5,8.53255501372541,370.301097132696,1.71759548809418e-141,F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
F49F1.17,8.46447308450947,353.232207912745,1.91952987675178e-06,F49F1.17,WBGene00235367,Public name for WBGene00235367. History: N.A.
F55B11.6,8.30100627685566,315.392879005673,3.00214778736186e-07,F55B11.6,WBGene00044249,Public name for WBGene00044249. History: N.A.
K08D10.11,8.10593614856493,275.505278240386,8.7195413041805e-06,K08D10.11,WBGene00019534,Public name for WBGene00019534. History: N.A.
K08D10.15,7.99355126811863,254.858254055354,1.48875088455607e-05,K08D10.15,WBGene00235370,Public name for WBGene00235370. History: N.A.
ZC15.3,7.87201451379463,234.267743808274,1.02713238619879e-08,ZC15.3,WBGene00013832,Public name for WBGene00013832. History: N.A.
cyp-35A1,7.39432480123344,168.2339193653,0.0001973412309961,cyp-35A1,WBGene00015399,Public name for WBGene00015399. History: N.A.
F11D11.4,6.89024431804106,118.623358892514,0.0011954997993624,F11D11.4,WBGene00008699,"Public name for WBGene00008699. History: Split into F11D11.22(WBGene00271804). History of WBGene00008699: Split into ""WBGene00271804"" on 2017-09-21"
F07B7.1,6.71729818089229,105.222409435459,4.89835153441483e-15,F07B7.1,WBGene00017185,Public name for WBGene00017185. History: N.A.
K09H11.11,6.71072608317366,104.744166138409,9.85071855617768e-22,K09H11.11,WBGene00044541,Public name for WBGene00044541. History: N.A.
F40G12.7,6.59514971599344,96.6802779724438,0.0035095782802227,F40G12.7,WBGene00009602,Public name for WBGene00009602. History: N.A.
srg-31,6.49430995313335,90.1533972808885,0.0063299383354179,srg-31,WBGene00005188,Public name for WBGene00005188. History: N.A.
sdz-25,6.42775763392861,86.0890375717305,0.0063023016264454,sdz-25,WBGene00019791,Public name for WBGene00019791. History: Renamed on 2005-12-13
abu-8,6.42085146525361,85.677914899348,0.0058027261727964,abu-8,WBGene00000031,Public name for WBGene00000031. History: N.A.
cyp-13A8,6.32924179672049,80.4065874654944,0.0086666589459187,cyp-13A8,WBGene00011674,Public name for WBGene00011674. History: N.A.
nhx-6,6.31655837873927,79.7027931569028,1.9959113784288903e-09,nhx-6,WBGene00003734,Public name for WBGene00003734. History: N.A.
clec-168,6.2278275107492,74.9484901879949,0.0010562800423271,clec-168,WBGene00009520,Public name for WBGene00009520. History: N.A.
C38D9.13,6.18720675344615,72.8676598182899,0.0011354173788576,C38D9.13,WBGene00235090,Public name for WBGene00235090. History: N.A.
phat-5,6.1263385601682,69.8572797574867,0.0157436519039414,phat-5,WBGene00020242,Public name for WBGene00020242. History: N.A.
W09B7.1,6.06749901503057,67.0655054684378,1.2977357921798002e-10,W09B7.1,WBGene00021106,Public name for WBGene00021106. History: N.A.
fbxb-44,6.00267450931008,64.1187550713733,0.0193677212911281,fbxb-44,WBGene00019416,Public name for WBGene00019416. History: N.A.
F49F1.8,5.99390563734877,63.7302156463992,1.48269168831983e-26,F49F1.8,WBGene00018648,Public name for WBGene00018648. History: N.A.
