Gene_Name,SX1316_1,SX1316_2,SX1316_3,SX3249_1,SX3249_2,SX3249_3,Input,Suggested Match,History
F16B4.6,0,-0.023460472,-0.052515885,0.145172219,0.136993738,0.199273985,F16B4.6,WBGene00017508,Public name for WBGene00017508. History: N.A.
Y46H3C.7,0,0.050379301,0.080987395,-0.668539098,-0.675510883,-0.412251078,Y46H3C.7,WBGene00021607,Public name for WBGene00021607. History: N.A.
Y40B10A.2,0,-0.345310954,-0.262701643,-1.358187098,-1.333403199,-1.149661433,Y40B10A.2,WBGene00021487,Sequence name for WBGene00021487(comt-3). History: N.A.
Y19D10A.4,0,-0.004713843,0.036097606,-0.832890167,-0.810686948,-0.255510689,Y19D10A.4,WBGene00021219,Public name for WBGene00021219. History: N.A.
C01B4.7,0,-0.004713843,0.036097606,-0.832890167,-0.810686948,-0.255510689,C01B4.7,WBGene00015271,Public name for WBGene00015271. History: N.A.
T03D3.5,0,-0.005669831,0.025444816,-0.280569856,-0.319912121,-0.404537909,T03D3.5,WBGene00020183,Public name for WBGene00020183. History: N.A.
C04F5.1,0,-0.01073187,0.008386212,0.921927905,0.947600709,0.867731503,C04F5.1,WBGene00004795,Sequence name for WBGene00004795(sid-1). History: Renamed on 2013-10-16
CD4.8,0,0.063728142,0.092876155,-0.007763959,-0.005027892,0.090048889,CD4.8,WBGene00016993,Public name for WBGene00016993. History: N.A.
F29G9.1,0,0.078600688,0.121418354,-0.54722977,-0.57066846,-0.327154695,F29G9.1,WBGene00017930,Public name for WBGene00017930. History: N.A.
ZK1055.7,0,-0.050252226,-0.065386219,-1.421107845,-1.513995415,-1.349181856,ZK1055.7,WBGene00022848,Public name for WBGene00022848. History: N.A.
T15B7.15,0,-0.031178949,-0.042904657,-0.901583007,-0.956692751,-1.042066147,T15B7.15,WBGene00020527,Public name for WBGene00020527. History: N.A.
F09G2.1,0,-0.243185636,-0.312982201,-1.236594944,-1.36524474,-1.099487194,F09G2.1,WBGene00017310,Public name for WBGene00017310. History: N.A.
T11F9.10,0,-0.029383136,-0.031020267,-0.553454719,-0.601479694,-0.282354841,T11F9.10,WBGene00011712,Public name for WBGene00011712. History: N.A.
K10C8.1,0,-0.001162589,0.013709583,0.372770396,0.428228451,0.312894327,K10C8.1,WBGene00010734,Sequence name for WBGene00010734(parn-1). History: N.A.
F18E2.4,0,-0.145521247,-0.157476404,-0.849488128,-0.799575255,-0.924438772,F18E2.4,WBGene00008937,Sequence name for WBGene00008937(srt-43). History: N.A.
F40G12.7,0,-0.050042509,-0.065389638,-0.473810974,-0.390200304,-0.331350473,F40G12.7,WBGene00009602,Public name for WBGene00009602. History: N.A.
C06B8.7,0,0.232520158,0.203685197,-0.841358009,-0.812889864,-0.683981629,C06B8.7,WBGene00007372,Public name for WBGene00007372. History: N.A.
F21A3.6,0,-0.170997211,-0.116143787,-1.567613692,-1.601258347,-1.53975533,F21A3.6,WBGene00008996,Sequence name for WBGene00008996(glb-14). History: N.A.
F28F8.2,0,-0.072702858,0.003477271,-0.640521194,-0.588478283,-0.429677968,F28F8.2,WBGene00009221,Sequence name for WBGene00009221(acs-2). History: N.A.
B0391.10,0,0.000478194,0.03634949,-0.085499426,-0.049128421,0.175495683,B0391.10,WBGene00007165,Public name for WBGene00007165. History: N.A.
